reward_terms/phase_contact,reward_terms/stance_time,time/total_timesteps,ankle/ankle_defl_peak,reward_terms/foot_ahead,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/lat_vel,reward_terms/overrun,reward_terms/angmom,reward_terms/stand_drift,reward_terms/stop,reward_terms/coef_rate,time/iterations,reward_terms/alive,time/fps,reward_terms/motor_vel,reward_terms/time,reward_terms/stand,reward_terms/energy,reward_terms/track_yaw,reward_terms/assist_pen,reward_terms/stance,curriculum/ctrl_jitter_ms,reward_terms/height,rollout/ep_rew_mean,curriculum/dr_scale,curriculum/eff_scale,reward_terms/track_lin,reward_terms/residual,reward_terms/torque,curriculum/swing_frac_mean,curriculum/ctrl_drop_prob,curriculum/cmd_scale,ankle/ankle_spring_energy_peak,curriculum/stance_ratio,curriculum/cmd_track_err,reward_terms/upright,est/vel_rmse,ankle/ankle_spring_trq_peak,reward_terms/clearance,reward_terms/step_rate,time/time_elapsed,rollout/ep_len_mean,reward_terms/hip_roll,reward_terms/duty_sym,reward_terms/air_time,reward_terms/vz,curriculum/swing_frac_min,reward_terms/action_rate,reward_terms/fwd_speed,reward_terms/ang_xy,reward_terms/residual_rate,train/entropy_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/approx_kl,train/std,train/loss,train/clip_range,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/stance_ratio_progress
-0.12561431991846064,-0.012525737896794453,18432,0.505200774287896,0.0,-0.5094386881819123,0.01,-2.650176666722311e-09,0.0,-0.03409842080188218,-0.007899045591744536,0.0,-1.57602666019607,1,0.0,8108,0.0,0.0,0.6851930896884676,0.0,1.999986180811734,0.0,-0.0032181063564900355,0.0,-0.002735763916711822,-89.2419599142857,0.0,0.0,1.043756539805855,-0.06019066488651467,0.0,0.17515733506944442,0.0,0.0,0.0,0.7,0.7376232226182362,-6.91213295725442e-08,1.045977877067472,0.0,0.007670346213608978,-0.004166666666666694,2,186.37142857142857,-0.017340337335884456,-0.0038474602235094146,0.0001459416913955162,-0.01266188928314543,0.12955729166666666,-0.23942197396210732,0.0,-1.3515520423610832e-06,0.0,,,,,,,,,,,,,,,,
-0.0444457319224083,-0.035662141078824386,36864,0.5045394276964017,0.0,-0.42515266831749804,0.01,-2.3470847873090902e-09,0.0,-0.03370222892209168,-0.024775922670609768,0.0,-1.6197448511250254,2,0.0,8433,0.0,0.0,0.6728875588941698,0.0,1.9999912884616475,0.0,-0.007686738150755231,0.0,-0.005021228102837668,-55.92316785106384,0.0,0.0,1.003561511581629,-0.060770830539413984,0.0,0.11724175347222222,0.0,0.0,0.0,0.7,0.551915370167423,-6.796064104756399e-08,0.6909959513190941,0.0,0.0008194054461992633,-0.003634982638888908,4,235.41489361702128,-0.011637857921414007,-0.01045496601278025,4.340254236012697e-06,-0.019432766265379653,0.0896267361111111,-0.24321492149329982,0.0,-1.3827441832510832e-06,0.0,-36.921389770507815,4,0.000299963136,-0.022514121333369986,276.84058380126953,0.05135498046875,0.0052658915519714355,0.008000415,1.0023586750030518,134.85906982421875,0.2,,,,,
-0.013228121252111251,-0.013980573987484805,55296,0.5052127700014947,0.0,-0.4301293320599933,0.01,-2.421778448004815e-09,0.0,-0.03281278559103415,-0.03504103622081074,0.0,-1.6039104021025024,3,0.0,8442,0.0,0.0,0.6450741484744995,0.0,1.9999909611425606,0.0,-0.001342383517295217,0.0,-0.004880199018577825,-31.995691829999995,0.0,0.0,0.9549112671602374,-0.061065088872721024,0.0,0.12125651041666667,0.0,0.0,0.0,0.7,0.5300345881654416,-6.095850041016509e-08,0.644382529006618,0.0,0.0002177924935113509,-0.0037434895833333543,6,257.41,-0.01093952736823348,0.0,0.0,-0.019201629471764806,0.0947265625,-0.24273638922929314,0.0,-1.3723198043866606e-06,0.0,-36.91123752593994,8,0.000299926272,-0.009309794788714498,342.76845397949216,0.016162109375,0.24788951873779297,0.0045119054,1.001601219177246,161.30865478515625,0.2,,,,,
-0.0042370968124948,-0.0033365885416666665,73728,0.504923404953498,0.0,-0.43924990565402783,0.01,-2.6805024879373934e-09,0.0,-0.03468792656707087,-0.04764834864469592,0.0,-1.5835842984237554,4,0.0,8169,0.0,0.0,0.6287861696926593,0.0,1.9999914362632103,0.0,-0.0051736511343289885,0.0,-0.005443945981577086,-39.72367375,0.0,0.0,0.9219256583099652,-0.0610690854635663,0.0,0.122802734375,0.0,0.0,0.0,0.7,0.5719623089333576,-6.393466777774559e-08,0.5912566032202234,0.0,0.0,-0.0038845486111111355,9,256.73,-0.011532244421270217,-0.0022033075557896797,8.13800337103506e-06,-0.022442302813126133,0.10112847222222222,-0.24520652614306554,0.0,-1.341335658083682e-06,0.0,-36.9105863571167,12,0.00029988940799999996,-0.007748436887050047,308.205827331543,0.00677490234375,0.46287691593170166,0.0029100259,1.0015897750854492,144.21279907226562,0.2,,,,,
0.0,0.0,92160,0.5051083785965648,0.0,-0.44386508909287375,0.01,-2.619375576865713e-09,0.0,-0.03802613045461275,-0.05738003110224654,0.0,-1.594982097150587,5,0.0,7789,0.0,0.0,0.5472803613596366,0.0,1.9999909806015477,0.0,-0.002507045798697651,0.0,-0.005726222216861857,-35.07397396999999,0.0,0.0,0.8614039397853682,-0.06087840200125247,0.0,0.12950303819444445,0.0,0.0,0.0,0.7,0.5358263358373784,-5.941521253232007e-08,0.5881030183792818,0.0,0.0,-0.003982204861111136,11,260.18,-0.011210698767618703,0.0,0.0,-0.022519442197653988,0.12093098958333333,-0.24433732258499818,0.0,-1.467050562049792e-06,0.0,-36.91121253967285,16,0.000299852544,-0.007874096365412697,295.3390853881836,0.005224609375,0.5583165884017944,0.002716112,1.0015262365341187,141.70140075683594,0.2,,,,,
0.0,0.0,110592,0.5050497505620989,0.0,-0.4710939489906825,0.01,-2.319039560146806e-09,0.0,-0.036532440333079313,-0.054423151056433076,0.0,-1.6008953280402505,6,0.0,7462,0.0,0.0,0.6416798704892551,0.0,1.9999919184049473,0.0,-0.003317619285236892,0.0,-0.005294457065380494,-46.351012960000006,0.0,0.0,1.0291448194188926,-0.06073283795167835,0.0,0.13533528645833331,0.0,0.0,0.0,0.7,0.577789083208515,-5.8593043751125065e-08,0.5552002055114179,0.0,0.0,-0.004264322916666694,14,231.21,-0.010378094402332432,0.0,0.0,-0.021541300922771855,0.119140625,-0.24313811425288392,0.0,-1.2943650760983649e-06,0.0,-36.91058139801025,20,0.00029981568,-0.00840543502708897,316.40616302490236,0.00572509765625,0.6111189126968384,0.002847464,1.0015276670455933,159.10357666015625,0.2,,,,,
0.0,0.0,129024,0.5049127707875405,0.0,-0.4615669996188956,0.01,-2.3832199502515237e-09,0.0,-0.03501450443577045,-0.07817613487808298,0.0,-1.587964275403064,7,0.0,7281,0.0,0.0,0.6992812593047177,0.0,1.9999912447919774,0.0,-0.0008443428623550996,0.0,-0.005550315579721717,-28.6939597,0.0,0.0,1.0393854686265762,-0.06070920783187736,0.0,0.12152777777777778,0.0,0.0,0.0,0.7,0.550752517749155,-5.778381458290049e-08,0.5238606464892691,0.0,0.0,-0.003656684027777799,17,264.66,-0.010429728178691809,0.0,0.0,-0.02181893857360727,0.12060546875,-0.2428937471080259,0.0,-1.3513616738183237e-06,0.0,-36.91463508605957,24,0.000299778816,-0.008356520335655659,308.05486755371095,0.0040283203125,0.6527356505393982,0.0026082278,1.0018727779388428,154.6771240234375,0.2,,,,,
0.0,0.0,147456,0.5049800338610846,0.0,-0.44997808712967735,0.01,-2.37401343635797e-09,0.0,-0.038261753980540276,-0.07814204521232922,0.0,-1.608892170146289,8,0.0,7147,0.0,0.0,0.6109086081233029,0.0,1.999991152129808,0.0,-0.0030742241857233997,0.0,-0.00598711651889078,-0.8835749999999953,0.0,0.0,0.9198441170804507,-0.060792546110085714,0.0,0.11127387152777779,0.0,0.0,0.0,0.7,0.6453825331191446,-5.390156333602162e-08,0.5529887284773654,0.0,0.0,-0.0036675347222222426,20,302.09,-0.009515918360031267,0.0,0.0,-0.024704013673288068,0.1022677951388889,-0.24559346905727017,0.0,-1.345537126719774e-06,0.0,-36.91218566894531,28,0.000299741952,-0.008660742035135626,294.74918060302736,0.0059814453125,0.6986491680145264,0.003023188,1.0015473365783691,139.3507537841797,0.2,,,,,
0.0,0.0,165888,0.5050537243000274,0.0,-0.470228771469365,0.01,-2.621680680803192e-09,0.0,-0.037256532929067124,-0.029035838951921595,0.0,-1.5792174469519902,9,0.0,7036,0.0,0.0,0.773603095955701,0.0,1.9999909148849393,0.0,-0.0019221342235579831,0.0,-0.0057462784785987575,-30.993489090000004,0.0,0.0,1.1455962273871443,-0.06095809860275804,0.0,0.12323676215277778,0.0,0.0,0.0,0.7,0.5963992707586744,-5.459977839989832e-08,0.5131862070468963,0.0,0.0,-0.004188368055555582,23,243.54,-0.01016284238663113,0.0,0.0,-0.02326888258729763,0.1184353298611111,-0.24242463910205803,0.0,-1.3986131056781499e-06,0.0,-36.909445190429686,32,0.00029970508799999996,-0.009047438018023967,304.73336639404295,0.00867919921875,0.7175061702728271,0.0035137788,1.001412272453308,141.59278869628906,0.2,,,,,
0.0,0.0,184320,0.5052151588324534,0.0,-0.4699006802813528,0.01,-2.1689698221341043e-09,0.0,-0.03524899418439702,-0.023563685576340206,0.0,-1.5960877286217006,10,0.0,6947,0.0,0.0,0.8356593980747492,0.0,1.9999911554528882,0.0,-0.000373910284558898,0.0,-0.005202175233596135,15.89519250000001,0.0,0.0,1.1636353875992533,-0.060963469720232207,0.0,0.1240505642361111,0.0,0.0,0.0,0.7,0.5918423798023019,-5.489790769392466e-08,0.4976874756411238,0.0,0.0,-0.003862847222222245,26,285.55,-0.009418579995693952,0.0,0.0,-0.02168730804756557,0.10536024305555555,-0.24347334702131418,0.0,-1.31900805384943e-06,0.0,-36.90909309387207,36,0.000299668224,-0.009021734606358222,323.53641204833986,0.00701904296875,0.7352983951568604,0.0031491134,1.0013186931610107,147.7432098388672,0.2,,,,,
