reward_terms/assist_pen,reward_terms/overrun,time/iterations,reward_terms/step_rate,curriculum/ctrl_jitter_ms,reward_terms/action_rate,curriculum/stance_ratio,reward_terms/lat_vel,reward_terms/coef_rate,reward_terms/stop,reward_terms/hip_roll,reward_terms/time,time/fps,reward_terms/upright,reward_terms/vz,curriculum/ctrl_drop_prob,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/stance,curriculum/ent_coef,reward_terms/energy,reward_terms/air_time,time/time_elapsed,reward_terms/residual,reward_terms/motor_vel,reward_terms/foot_ahead,reward_terms/height,curriculum/eff_scale,reward_terms/phase_contact,reward_terms/residual_rate,rollout/ep_rew_mean,reward_terms/clearance,reward_terms/stance_time,reward_terms/torque,reward_terms/foot_slip,time/total_timesteps,reward_terms/angmom,reward_terms/ang_xy,reward_terms/alive,curriculum/sprint_dist_m,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/std,train/clip_fraction,train/policy_gradient_loss
0.0,0.0,1,0.0,0.0,-0.13038312446135392,0.65,-4.1120247840034724e-08,-1.2950524749447527,0.0,-0.006491608762233098,-0.5,3859,-8.313942650083209e-08,-0.13855288575042668,0.0,-1.3805908412803083,429.3142857142857,-5.67852359196867e-06,0.01,0.0,0.0,4,-0.06138088123869704,0.0,0.0,-0.039565380282855826,0.0,-0.5230142803423177,0.0,-206.99698211428571,0.03583396836351413,-0.0556163414213289,0.0,-0.6010668507286024,18432,0.0,-1.1156295313830311e-05,0.0,25.0,,,,,,,,,,,
0.0,0.0,2,0.0,0.0,-0.13105444485890982,0.649982336,-4.100255946340928e-08,-1.3022873466655076,0.0,-0.0061196597031683495,-0.5,3758,-8.19327776088134e-08,-0.1755532526408465,0.0,-1.6157839958932747,422.73417721518985,-6.382570856208515e-06,0.01,-1.4177709393905401e-06,0.0,9,-0.061310115029282,-1.491228569693106e-07,0.0,-0.05042873118314778,7.68e-05,-0.4865497153025255,0.0,-205.36206797468353,0.04703267240649836,-0.04905235522245574,-1.8721344383401427e-05,-0.5920274805433609,36864,0.0,-1.0400222907366182e-05,0.0,25.01152,4,0.02117741107940674,0.000299990784,-19.89371967315674,0.007074313,204.32842102050782,84.26139831542969,0.2,1.0041890144348145,0.03912353515625,-0.011955478310119361
0.0,0.0,3,0.0,0.0,-0.13125266417020323,0.6499646720000001,-4.160664226005223e-08,-1.2931923070653335,0.0,-0.006087787609916202,-0.5,3918,-8.264431038999491e-08,-0.1579907552729286,0.0,-1.4166794938821898,425.59,0.0,0.01,-2.7684259435482736e-06,0.0,14,-0.061402385712730156,-3.0658950769436977e-07,0.0,-0.0451033025066932,0.0001536,-0.5078240933258162,0.0,-206.09276405,0.04067015080734349,-0.057580986710187666,-3.505959061581876e-05,-0.579010676167097,55296,0.0,-1.0803361637728137e-05,0.0,25.02304,8,0.17634201049804688,0.000299981568,-19.88534059524536,0.0041515594,235.57117233276367,106.02615356445312,0.2,1.0028990507125854,0.01292724609375,-0.0074923538253642615
0.0,0.0,4,0.0,0.0,-0.13040019390616917,0.649947008,-3.9184593405817266e-08,-1.3071450742064472,0.0,-0.005856974653179037,-0.5,4000,-8.411869220897405e-08,-0.14293557328663414,0.0,-1.4129270169570427,439.82,-3.6284065679798125e-07,0.01,-4.130037046372621e-06,0.0,18,-0.0613396543700523,-4.6061654554070424e-07,0.0,-0.04128112352353345,0.0002304,-0.5184427610831321,0.0,-209.64359732999998,0.037744397555489265,-0.058481590707540616,-5.166813477332764e-05,-0.6004772640512424,73728,0.0,-1.1102724030062299e-05,0.0,25.03456,12,0.3487052321434021,0.00029997235199999997,-19.88021240234375,0.003446342,216.51276321411132,97.70947265625,0.2,1.0022566318511963,0.00877685546875,-0.00723442601156421
0.0,0.0,5,0.0,0.0,-0.1318238855474398,0.649929344,-3.995684499795136e-08,-1.2975450482451878,0.0,-0.0066820533472015655,-0.5,4055,-8.256990920199294e-08,-0.16418264401924643,0.0,-1.545425843422426,436.2,-0.00020381282565776196,0.01,-5.608501173962873e-06,0.0,22,-0.06138341709293154,-6.005157834766714e-07,0.0,-0.04721796130969313,0.0003072,-0.4907510005676282,0.0,-208.72721371,0.04415924880846072,-0.053138189577212974,-7.286368843758316e-05,-0.5800296485646432,92160,0.0,-1.0721130936608765e-05,0.0,25.04608,16,0.4521569609642029,0.000299963136,-19.87510738372803,0.0035640947,188.18472442626953,96.80266571044922,0.2,1.001421570777893,0.0083984375,-0.0069594216882251205
0.0,0.0,6,0.0,0.0,-0.13110064903087318,0.64991168,-4.051641218082973e-08,-1.3031065968433606,0.0,-0.006506621721234267,-0.5,4100,-8.094179110725358e-08,-0.1615037252118295,0.0,-1.532221216821792,436.2,-3.071207613082349e-06,0.01,-7.0465469851310325e-06,0.0,26,-0.061168315699779666,-7.649737937478825e-07,0.0,-0.04760495003996393,0.000384,-0.4973805631167491,0.0,-208.71246981999997,0.0434970815969056,-0.05291763523806973,-8.993999160267551e-05,-0.5919459903502906,110592,0.0,-1.0463845049959385e-05,0.0,25.0576,20,0.5060423612594604,0.00029995392,-19.871653652191164,0.0034171566,198.24358062744142,104.35685729980469,0.2,1.0011171102523804,0.00789794921875,-0.006977054913295433
0.0,0.0,7,0.0,0.0,-0.13147927949969246,0.6498940160000001,-4.101340663960097e-08,-1.3113559159309864,0.0,-0.007020809583707312,-0.5,4130,-8.363015424433341e-08,-0.15904126492654613,0.0,-1.4995059550448957,439.96,-0.00010943927384316079,0.01,-8.375005456410218e-06,0.0,31,-0.06147163753892129,-9.085972549302087e-07,0.0,-0.04426514051214223,0.0004608,-0.5053701801077604,0.0,-209.65673318,0.04115298742111095,-0.06559516290467905,-0.00010738987805061621,-0.6366836460556958,129024,0.0,-1.0848357343785039e-05,0.0,25.06912,24,0.5623065233230591,0.00029994470399999997,-19.869094562530517,0.0026363924,188.83992385864258,78.60933685302734,0.2,1.0009047985076904,0.004296875,-0.00560177763691172
0.0,0.0,8,0.0,0.0,-0.1308438322590887,0.649876352,-3.783387401611043e-08,-1.2967609451815008,0.0,-0.006651485504286271,-0.5,4156,-8.176878516347005e-08,-0.1606245557784341,0.0,-1.4507069161770847,446.08,-2.4163778803389886e-06,0.01,-9.433485356090421e-06,0.0,35,-0.06118870492871219,-1.014837826151403e-06,0.0,-0.04696153172240894,0.0005376,-0.5045037171256184,0.0,-211.19179768,0.042434822532087996,-0.04957968298792063,-0.00012189431041244372,-0.5833612702509883,147456,0.0,-1.0594770242154877e-05,0.0,25.08064,28,0.592788577079773,0.000299935488,-19.872138595581056,0.0028756643,165.87096710205077,75.17951965332031,0.2,1.0015701055526733,0.00526123046875,-0.006402938032988459
0.0,0.0,9,0.0,0.0,-0.13068296980416666,0.649858688,-4.121263520293429e-08,-1.305257963215196,0.0,-0.0060337880028948935,-0.5,4173,-8.416784231062753e-08,-0.1418383723841326,0.0,-1.4001096472298848,445.56,-2.657345139929092e-05,0.01,-1.0996066554778528e-05,0.0,39,-0.06156792091337969,-1.213791709361617e-06,0.0,-0.04086615580428396,0.0006144,-0.5131817792201262,0.0,-211.06038444,0.03735625350394767,-0.06847994238746145,-0.00013741039053220036,-0.5779854048417548,165888,0.0,-1.0870222045071914e-05,0.0,25.09216,32,0.5983356237411499,0.000299926272,-19.877167797088624,0.0025788175,176.7728713989258,83.2907485961914,0.2,1.001873254776001,0.00360107421875,-0.004970850306563079
0.0,0.0,10,0.0,0.0,-0.12962111756241324,0.649841024,-4.0699948353816624e-08,-1.3137968808043237,0.0,-0.007651561324089932,-0.5,4188,-8.484123964449384e-08,-0.15829993401577835,0.0,-1.5360311695848199,452.71,-2.4620263502391874e-05,0.01,-1.2677482366338014e-05,0.0,44,-0.06150114053380809,-1.3685518188949638e-06,0.0,-0.046926860672289815,0.0006912,-0.4929581179821923,0.0,-212.8624,0.04373681499943702,-0.06621799147170451,-0.00016289446940456317,-0.554569552088693,184320,0.0,-1.0494514664507733e-05,0.0,25.10368,36,0.6122572422027588,0.000299917056,-19.878705787658692,0.0029979884,145.1286991119385,62.82810592651367,0.2,1.002176284790039,0.00579833984375,-0.006456193432677537
