curriculum/sprint_dist_m,reward_terms/lat_vel,rollout/ep_rew_mean,reward_terms/ang_xy,reward_terms/energy,reward_terms/angmom,reward_terms/torque,curriculum/eff_scale,reward_terms/alive,reward_terms/foot_ahead,reward_terms/action_rate,time/iterations,reward_terms/step_rate,reward_terms/fwd_speed,curriculum/torque_util,reward_terms/upright,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,time/time_elapsed,reward_terms/overrun,reward_terms/stance,reward_terms/motor_vel,reward_terms/time,reward_terms/clearance,reward_terms/vz,reward_terms/assist_pen,reward_terms/height,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/residual,reward_terms/stop,reward_terms/coef_rate,reward_terms/air_time,time/total_timesteps,reward_terms/foot_slip,reward_terms/phase_contact,curriculum/torque_scale,reward_terms/stance_time,curriculum/ent_coef,reward_terms/hip_roll,time/fps,train/n_updates,train/clip_fraction,train/approx_kl,train/explained_variance,train/loss,train/policy_gradient_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/value_loss
25.0,-3.7485953971618216e-08,-123.86198197,-0.5781424938411819,0.0,-0.16301883514094506,0.0,0.0,0.0,0.0,-0.09607025739184903,1,0.0,0.053701436050569075,0.17092209920492607,-0.47342492364585836,96.9,0.0,6,0.0,-1.0760721715719758e-05,0.0,-0.5,0.0806195234791966,-0.14515407559820365,0.0,-0.013881578823030214,0.65,0.0,-0.10376899367072394,0.0,-1.2665875788023906,0.00016384515523289642,18432,-0.50457752637034,-0.4296361191190585,1.0,0.0,0.01,-0.08375973121005682,3010,,,,,,,,,,,
25.01152,-3.901592820338686e-08,-126.17296626000001,-0.6592399091822965,-5.128246939035882e-06,-0.17754629663378463,-3.6610044177883814e-05,7.68e-05,0.0,0.0,-0.10145636918777322,2,0.0,-0.007964904521070291,0.1710480265554365,-0.5230803381017096,106.22,0.0,13,0.0,-5.380920397124288e-05,-9.840193385721749e-07,-0.5,0.07626577033386658,-0.13111877191840096,0.0,-0.009214427603354872,0.649982336,0.0,-0.10231442593599249,0.0,-1.349502939722573,0.00014268630184233189,36864,-0.49159615221888825,-0.42682911816941543,1.0,0.0,0.01,-0.0411214728391148,2835,137308,0.17840576171875,0.023213034,0.7399556040763855,162.33070373535156,-0.02069478537887335,-33.139136505126956,0.9750409126281738,0.000299987712,0.2,478.1779052734375
25.02304,-4.194504153001477e-08,-138.36846963999997,-0.5151856075671153,-1.1366735790594085e-05,-0.1346830342911026,-8.213430592137181e-05,0.0001536,0.0,0.0,-0.10125982401495265,3,0.0,0.13159911070057206,0.17738422541716062,-0.4569608628245432,156.06,0.0,17,0.0,-7.476435274272131e-05,-2.1832323897979874e-06,-0.5,0.08429695464826607,-0.17751686478210205,0.0,-0.01719895668061455,0.6499646720000001,0.0,-0.10467320572262998,0.0,-1.3123787855970543,0.0002235237625427544,55296,-0.5628202664721615,-0.42417366055798206,1.0,0.0,0.01,-0.06910633554158577,3221,137312,0.3025030838815789,0.046447434,0.4619830250740051,74.60440826416016,-0.016348621048229307,-33.14711159153988,0.9755653142929077,0.000299975424,0.2,226.74349252801193
25.03456,-4.171799893105609e-08,-140.61405429,-0.4787118107565933,-1.6973938548332847e-05,-0.13892090663085044,-0.000125055088161555,0.0002304,0.0,0.0,-0.09827309320509676,4,0.0,0.18262211781931226,0.17760397162307445,-0.4454225150242834,165.42,0.0,21,0.0,-0.0003809769755830472,-3.3152197297594878e-06,-0.5,0.08748811635086089,-0.2001723660155456,0.0,-0.022650228835831943,0.649947008,0.0,-0.10529434444980779,0.0,-1.3129691584645722,0.00023220435832627118,73728,-0.5838696278738044,-0.4276437606637092,1.0,0.0,0.01,-0.07424362966026637,3471,137313,0.2197265625,0.023777353,0.4497529864311218,193.70045471191406,0.01401316188275814,-33.14157485961914,0.9749102592468262,0.000299963136,0.2,411.2826232910156
25.04608,-4.087161737073454e-08,-144.10298178,-0.47111152499258946,-2.4040529224641836e-05,-0.11612798177608709,-0.00017455062210635557,0.0003072,0.0,0.0,-0.10073862873020438,5,0.0,0.059008230755954884,0.18241925609013918,-0.3564895676619344,180.61,0.0,25,0.0,-0.0017172223673282215,-4.683831234801348e-06,-0.5,0.0761839372959676,-0.17355215068635993,0.0,-0.015015954684539538,0.649929344,0.0,-0.1061129369618264,0.0,-1.3172588987980802,0.00021647083728263775,92160,-0.6262675045081686,-0.43302236633120555,1.0,0.0,0.01,-0.06255954566558412,3638,137314,0.2931315104166667,0.039007615,0.4284834861755371,217.55621337890625,0.02313271421007812,-33.14214579264323,0.9749583005905151,0.00029995084799999997,0.2,472.8395182291667
25.0576,-4.440292355395311e-08,-148.99366322,-0.4707835558942248,-3.194434518332732e-05,-0.13223476692799513,-0.00023560997327008273,0.000384,0.0,0.0,-0.0998320631338123,6,0.0,0.1997896166947188,0.18709191453801804,-0.37632971665743864,202.12,0.0,29,0.0,-0.001155980437516563,-6.140938899809522e-06,-0.5,0.08463834341465543,-0.18623795134984344,0.0,-0.01913521727992957,0.64991168,0.0,-0.10639929391521251,0.0,-1.2913867313976453,0.00020670523453089927,110592,-0.6405646270294341,-0.41876202861837536,1.0,-1.3562837719089455e-06,0.01,-0.07157443962416134,3750,137318,0.30855712890625,0.029330555,0.5138784050941467,171.66122436523438,-0.02085913934279233,-33.15589065551758,0.9763047695159912,0.00029993856,0.2,453.43354949951174
25.06912,-4.0883396119828914e-08,-143.32881110999998,-0.46512291146676077,-3.8211493066414904e-05,-0.11686166219046276,-0.00027473201111295796,0.0004608,0.0,0.0,-0.10151150757173147,7,0.0,0.13223692493910363,0.1850204539392818,-0.3608047598684136,177.48,0.0,33,0.0,-0.0009396500958271205,-7.5179983059394755e-06,-0.5,0.07905398801006475,-0.17005217514210733,0.0,-0.014083804198107976,0.6498940160000001,0.0,-0.10600348192444585,0.0,-1.308491822729745,0.0001638451067265123,129024,-0.6274642018276528,-0.43166179034565033,1.0,-8.0701523175877e-05,0.01,-0.05862186424002406,3831,137322,0.2517822265625,0.032840542,0.4282095432281494,118.59931945800781,-0.02945814811391756,-33.16505889892578,0.9765154123306274,0.000299926272,0.2,349.8445648193359
25.08064,-4.305153953534216e-08,-146.31988597999998,-0.4548125501081926,-4.5645556239476646e-05,-0.13444447365635415,-0.00033433007786949235,0.0005376,0.0,0.0,-0.10091370754079423,8,0.0,0.15664661718302922,0.18651467661209195,-0.35515177048570656,190.24,0.0,37,0.0,-0.0011131427858959053,-8.894957562491906e-06,-0.5,0.08120021742091706,-0.1866335151308294,0.0,-0.018093519106325694,0.649876352,0.0,-0.10620900799631869,0.0,-1.3066245568258836,0.0002381722669168893,147456,-0.6461709967006122,-0.4172218610855689,1.0,0.0,0.01,-0.06087707300216424,3898,137326,0.29598388671875,0.043867987,0.49344468116760254,92.44318389892578,-0.028744023520266636,-33.17071876525879,0.976765513420105,0.000299913984,0.2,247.38287429809571
25.09216,-4.48558059033227e-08,-149.03216249000002,-0.4695623450707916,-5.1525250795463314e-05,-0.1202554316244525,-0.00037303302902868407,0.0006144,0.0,0.0,-0.10036584580961605,9,0.0,-0.06370904218708472,0.18744123060988097,-0.3145591928269327,199.56,0.0,41,0.0,-0.0076565449159712124,-1.0112203076367179e-05,-0.5,0.08150500877678563,-0.18957187992055402,0.0,-0.019991092690989868,0.649858688,0.0,-0.10639821199527716,0.0,-1.2855380568223298,0.00032443508906807337,165888,-0.613732620174194,-0.40337126048690636,1.0,0.0,0.01,-0.06059869831320275,3952,137330,0.2905120849609375,0.049466886,0.5506861209869385,95.1145248413086,-0.020722077490063384,-33.17232918739319,0.9766656160354614,0.00029990169599999997,0.2,218.3672637939453
25.10368,-4.367700337331935e-08,-149.31842429,-0.4726505733749193,-5.996299038533603e-05,-0.11711142536419056,-0.0004339824241306102,0.0006912,0.0,0.0,-0.10006518274069423,10,0.0,-0.02870633139418076,0.18969315122112532,-0.3325990888002327,201.16,0.0,46,0.0,-0.006301188697731067,-1.1834832337013102e-05,-0.5,0.08165709056397484,-0.19895348146905614,0.0,-0.01890983336472901,0.649841024,0.0,-0.10625349945023274,0.0,-1.2983284183142958,0.000286457691496859,184320,-0.6206503158304685,-0.39287840710132577,1.0,0.0,0.01,-0.06244778028068221,3998,137333,0.29640299479166665,0.040354803,0.5581701993942261,66.88273620605469,-0.01663109250366688,-33.17143758138021,0.976482093334198,0.00029988940799999996,0.2,178.92266947428385
25.1152,-4.7079451086277653e-08,-149.65503776000003,-0.4691491719906345,-6.800520930672123e-05,-0.11970341185778367,-0.00049194438580344,0.000768,0.0,0.0,-0.1012636771744371,11,0.0,-0.040518397906889936,0.1905260754727183,-0.3219916827182712,204.18,0.0,50,0.0,-0.012071807000463834,-1.3330959714440718e-05,-0.5,0.08534186772026066,-0.20940859066956763,0.0,-0.019499808389481857,0.6498233600000001,0.0,-0.10651780467372601,0.0,-1.2845289592813849,0.0003287752818626662,202752,-0.6230454568398769,-0.37714385402676476,1.0,0.0,0.01,-0.06436591208879258,4038,137336,0.28541666666666665,0.037780188,0.44581520557403564,76.76207733154297,-0.01601015745351712,-33.17162246704102,0.9765464663505554,0.00029987712,0.2,186.92395731608073
25.12672,-4.5823276741245263e-08,-151.22427362,-0.4533790889599806,-7.629974335421435e-05,-0.10737471117427508,-0.0005493308331405388,0.0008448,0.0,0.0,-0.10223310820743065,12,0.0,0.07074459505056699,0.19215711921773215,-0.26949294944439683,213.63,0.0,54,0.0,-0.0036484811608358267,-1.5026733664804198e-05,-0.5,0.08128682625606362,-0.16864749574776716,0.0,-0.014038446323315183,0.649805696,0.0,-0.10691896699361951,0.0,-1.3007785586114675,0.0003076165481211825,221184,-0.6586297241934704,-0.39643117147396656,1.0,0.0,0.01,-0.059605180887399585,4068,137340,0.3055419921875,0.05514938,0.3678475618362427,76.50997161865234,-0.021727145445765927,-33.17849326133728,0.976995587348938,0.000299864832,0.2,187.0489845275879
25.13824,-4.611173818735936e-08,-151.34727667,-0.4723296677268174,-8.185478183879376e-05,-0.11642259216296452,-0.0005994341788467432,0.0009216,0.0,0.0,-0.10007004686057738,13,0.0,-0.15739992751149662,0.19238146606145487,-0.31071093953399265,207.97,0.0,58,0.0,-0.007171698430508498,-1.6099193386239462e-05,-0.5,0.08274184424954663,-0.20897446487633287,0.0,-0.018851873106862947,0.649788032,0.0,-0.10628822275995956,0.0,-1.2953926703381815,0.00027180931970684067,239616,-0.615760739091662,-0.3675777433712747,1.0,0.0,0.01,-0.05589174292166849,4096,137343,0.30629185267857145,0.04125315,0.3053778409957886,67.63719177246094,-0.017486295429989696,-33.18274961199079,0.9770469665527344,0.000299852544,0.2,166.9242455618722
25.14976,-4.6587361389538506e-08,-149.55112044,-0.4652547618738907,-8.898095953607015e-05,-0.11279200286210606,-0.0006535073154392389,0.0009984,0.0,0.0,-0.10140138017572108,14,0.0,-0.07113194890523811,0.19278761686391968,-0.30033628908198984,202.02,0.0,62,0.0,-0.003263943782897302,-1.739914438041973e-05,-0.5,0.07731333223820062,-0.186550977286662,0.0,-0.015751284530599853,0.649770368,0.0,-0.1065672216268367,0.0,-1.3003486943079183,0.00033528579256704286,258048,-0.6519880440157543,-0.3872601538151609,1.0,-1.2749320982644955e-05,0.01,-0.05639868713613051,4122,137346,0.2678000710227273,0.054665554,0.363585889339447,45.400421142578125,-0.012415772261606022,-33.18031241677024,0.9766585230827332,0.00029984025599999996,0.2,107.05689378218217
