time/iterations,reward_terms/stance_time,reward_terms/clearance,reward_terms/motor_vel,reward_terms/upright,curriculum/ent_coef,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/angmom,time/total_timesteps,time/fps,reward_terms/residual,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/phase_contact,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/energy,reward_terms/ang_xy,reward_terms/assist_pen,time/time_elapsed,reward_terms/vz,reward_terms/stop,reward_terms/time,reward_terms/alive,reward_terms/air_time,curriculum/ctrl_drop_prob,reward_terms/stance,curriculum/eff_scale,reward_terms/torque,reward_terms/action_rate,reward_terms/lat_vel,reward_terms/height,reward_terms/foot_slip,train/entropy_loss,train/clip_fraction,train/std,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss
11,-0.07863059408555273,0.022769895921575415,-3.890993247828714e-06,-0.44070640382092496,0.01,25.1152,0.0,-1.4756982561112162,-161.99717884,-0.13948992237303182,202752,4472,-0.1001056363962152,0.6498233600000001,0.0,-0.02964283009986514,-0.6608655605460154,-0.06521185930657013,248.99,-2.9546020340123806e-05,-0.31262656285354534,0.0,45,-0.12413973479682405,0.0,-0.5,0.0,5.425312944377462e-06,0.0,-0.0006837476100970816,0.000768,-0.0003144245737713429,-0.1388788754233297,-1.6931300317687976e-08,-0.024202496644094216,-0.7184562329035104,-34.08217792510986,0.2506103515625,1.0026531219482422,0.00029995392,6.066522121429443,6332,0.8797731399536133,0.022249151,0.2,-0.012235957500524818,19.751104593276978
12,-0.10818269528519725,0.016496802056303547,-4.179926567759228e-06,-0.40578443255003066,0.01,25.12672,0.0,-1.4664635902779495,-163.12766105,-0.11730981872353004,221184,4479,-0.09988987438299632,0.649805696,0.0,-0.14347881138619284,-0.6637805581669629,-0.06430284325463836,254.57,-3.206509110351777e-05,-0.3020332122823338,0.0,49,-0.10078290525791239,0.0,-0.5,0.0,8.680527874579033e-06,0.0,-0.0005872192858832775,0.0008448,-0.00034420311791364603,-0.13989766424137082,-1.6626737934922525e-08,-0.02109152637869669,-0.7190514356952366,-34.083001899719235,0.2545166015625,1.0023622512817383,0.000299949312,4.25846529006958,6336,0.8739317655563354,0.0281309,0.2,-0.017411784105934202,14.646257400512695
13,-0.1020607231912436,0.014677505844526519,-4.3799736232534e-06,-0.4172076980462149,0.01,25.13824,0.0,-1.5078004940643581,-165.58698251,-0.12043025362572471,239616,4490,-0.10040175549153556,0.649788032,0.0,-0.19421973427052913,-0.6921040353888985,-0.061529728490884304,263.71,-3.349702151920263e-05,-0.2948226422430862,0.0,53,-0.11084764107353667,0.0,-0.5,0.0,0.0,0.0,-0.0020798395947969855,0.0009216,-0.00035708506022167036,-0.1370524373777469,-1.567695611522664e-08,-0.018449513674065863,-0.6821445186709102,-34.05489921569824,0.247314453125,1.0001564025878906,0.00029994470399999997,8.213077545166016,6337,0.8671103715896606,0.022116706,0.2,0.014084015507251024,17.819910049438477
14,-0.10252675655647181,0.015787964534281152,-4.8143577085122715e-06,-0.41149679902439595,0.01,25.14976,0.0,-1.4847467063257533,-165.10974911999998,-0.11845023356349074,258048,4490,-0.10070027348422445,0.649770368,0.0,-0.26532021577045073,-0.6938560099844245,-0.05349158726705669,262.18,-3.607372956745458e-05,-0.2867408822583801,0.0,57,-0.10839887512111715,0.0,-0.5,0.0,1.1393179496129354e-05,0.0,-0.0002379879234409818,0.0009984,-0.0003784979300921012,-0.13805761792141857,-1.5521844751314345e-08,-0.02036981311004523,-0.6516065687837569,-34.08199501037598,0.26207275390625,1.0031377077102661,0.000299940096,3.422658681869507,6341,0.8634775280952454,0.03262673,0.2,-0.02365492961835116,10.639650964736939
15,-0.17370806437813574,0.010697114001384293,-4.926456903066281e-06,-0.4207898809478905,0.01,25.16128,0.0,-1.4931838066527203,-167.79521611999996,-0.11960346100501378,276480,4501,-0.10227929605835266,0.6497527040000001,0.0,-0.46980336185635035,-0.7119662945099908,-0.05536758259233665,273.0,-3.7429565930384055e-05,-0.2777395121086758,0.0,61,-0.09953523702431095,0.0,-0.5,0.0,0.0,0.0,-0.00025810034945846405,0.0010752,-0.00038704098403533044,-0.13136690112080082,-1.3597372740604705e-08,-0.017620965059884967,-0.6411898325620967,-34.05840810139974,0.23177083333333334,1.0003705024719238,0.000299935488,5.311809539794922,6342,0.867107629776001,0.020744,0.2,0.014853267620007196,12.675983428955078
16,-0.13398517466622353,0.010513059594656282,-5.3115309418328614e-06,-0.43907450615204774,0.01,25.1728,0.0,-1.5024155378559114,-169.19178587,-0.12032300939263006,294912,4505,-0.10171603750881379,0.64973504,0.0,-0.5526917029936333,-0.7006045002972745,-0.05396319491902416,277.88,-3.9980251537941985e-05,-0.28088612546988884,0.0,65,-0.09633476195975582,0.0,-0.5,0.0,0.0,0.0,-0.0004226324551790502,0.001152,-0.00041319771934591825,-0.13410493447012697,-1.3662844308114853e-08,-0.013664664172206785,-0.6193160069549739,-34.0909782409668,0.34959716796875,1.0031468868255615,0.00029993088,2.749164342880249,6346,0.8582563400268555,0.03979503,0.2,-0.017998250620439648,8.092889332771302
17,-0.11829278368774492,0.007699686005263048,-5.756204256539261e-06,-0.41374032802327265,0.01,25.18432,0.0,-1.5064900663171799,-165.53951255,-0.1202377138191232,313344,4509,-0.10177130616506952,0.649717376,0.0,-0.49176778829938134,-0.7032665868956607,-0.06194317683117342,262.83,-4.3649321250751764e-05,-0.29358575528333375,0.0,69,-0.0869564930417544,0.0,-0.5,0.0,0.0,0.0,-0.0011944407535846792,0.0012288,-0.0004487417973864866,-0.13386300111303037,-1.4727299115554484e-08,-0.01332497799093902,-0.6677436903699534,-34.079548597335815,0.3777923583984375,1.0024561882019043,0.000299926272,1.9552923440933228,6350,0.8552432060241699,0.049422733,0.2,-0.00418959921807982,6.484355181455612
18,-0.11933988137267686,0.008476858339502102,-6.232454374727128e-06,-0.4544170058261277,0.01,25.19584,0.0,-1.476637638241326,-163.18589097,-0.11973788068371724,331776,4515,-0.10028360957793181,0.649699712,0.0,-0.48026605259373273,-0.697872776667146,-0.05037237002494158,253.33,-4.6183326013270506e-05,-0.29085376365600213,0.0,73,-0.08582973135296992,0.0,-0.5,0.0,0.0,0.0,-0.0010606674145596615,0.0013056,-0.0004788358519256582,-0.1366176773321006,-1.5480289781270014e-08,-0.013715047814160466,-0.6416207853065825,-34.07499902898615,0.3547141335227273,1.0018830299377441,0.000299921664,2.2231388092041016,6353,0.8437567949295044,0.045781694,0.2,0.010353927860375155,6.5089240507646045
19,-0.1434442934664225,0.012802354501447299,-6.5999185854577655e-06,-0.4189591260049823,0.01,25.20736,0.0,-1.4691437861881136,-166.98456101,-0.11792953154444273,350208,4516,-0.09950825355547625,0.6496820480000001,0.0,-0.4663100290547724,-0.6922918698674607,-0.07381393411413686,268.47,-5.039262491220106e-05,-0.2815603029123941,0.0,77,-0.1094423960971711,0.0,-0.5,0.0,0.0,0.0,-0.00046564644971058806,0.0013824,-0.0005318647644797299,-0.14010783619198414,-1.6406438573097657e-08,-0.018693461114699716,-0.6287845200342799,-34.08885407447815,0.3126983642578125,1.0028812885284424,0.000299917056,1.4757697582244873,6357,0.8129386901855469,0.046940655,0.2,-0.013280648723593913,4.820941478013992
20,-0.13725370100938664,0.012447146608487765,-7.187185622954317e-06,-0.39959180144270856,0.01,25.21888,0.0,-1.5002033187491328,-169.80405979,-0.12984118068755782,368640,4520,-0.09977171307823235,0.649664384,0.0,-0.3864023997705403,-0.7064755261362097,-0.05819276062530297,279.98,-5.513602707643792e-05,-0.30974278755220364,0.0,81,-0.09504306542636581,0.0,-0.5,0.0,9.223071780676642e-06,0.0,-0.0016304829620165879,0.0014592,-0.0005688361670883625,-0.1409374886550837,-1.606756118583847e-08,-0.01668462174234158,-0.6764525428780175,-34.07880193536932,0.3432395241477273,1.0021508932113647,0.000299912448,1.383925199508667,6360,0.7669869661331177,0.047456358,0.2,0.004882786285386167,4.63929802721197
