rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/assist_pen,curriculum/sprint_dist_m,reward_terms/hip_roll,rollout/ep_rew_mean,reward_terms/foot_ahead,reward_terms/coef_rate,reward_terms/lat_vel,reward_terms/phase_contact,curriculum/eff_scale,reward_terms/air_time,curriculum/stance_ratio,reward_terms/angmom,reward_terms/torque,reward_terms/stop,reward_terms/stance_time,curriculum/ctrl_jitter_ms,time/time_elapsed,reward_terms/time,reward_terms/residual,time/iterations,reward_terms/alive,curriculum/ent_coef,reward_terms/height,time/fps,curriculum/ctrl_drop_prob,reward_terms/ang_xy,reward_terms/vz,reward_terms/clearance,reward_terms/stance,time/total_timesteps,reward_terms/upright,reward_terms/action_rate,reward_terms/motor_vel,reward_terms/foot_slip,reward_terms/overrun,reward_terms/energy,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/std,train/learning_rate,train/value_loss,train/approx_kl
257.8095238095238,-1.0121770943677157,0.0,25.0,-0.18727268337781802,-164.3856253333333,0.005185368586439872,-1.525046055477166,-1.8772530331979302e-08,-0.43375085377399875,0.0,0.0007655157015607175,0.65,-0.1511396443498537,0.0,0.0,-0.013040730352966219,0.0,5,-0.5,-0.10411680937980718,1,0.0,0.01,-0.025781097169802914,3087,0.0,-0.3213101870292498,-0.18896325111512213,0.04058597908194232,-0.00016710760248106612,18432,-0.3287155513141865,-0.12402296089270742,0.0,-0.4996294806460704,0.0,0.0,,,,,,,,,,,
243.81,-0.9351805312669828,0.0,25.01152,-0.20381508131563034,-160.88927765,0.0058871529363522905,-1.5131019455197028,-2.1983610610140247e-08,-0.42937743525249406,7.68e-05,0.000603840485887809,0.649982336,-0.1546147087145146,-3.347207438891844e-05,0.0,-0.012438929442497384,0.0,12,-0.5,-0.10255354332413692,2,0.0,0.01,-0.025278324596111363,3055,0.0,-0.35108346366162924,-0.19692586949340904,0.03940741603001414,-0.001505985868727813,36864,-0.4132796582934415,-0.12622766514060968,-4.2287746019079415e-07,-0.5647418614748906,0.0,-3.1222594251880915e-06,-0.0016972601646557451,7376,0.2,0.13089599609375,0.44388628005981445,-34.06613674163818,38.04596710205078,1.000932216644287,0.00029995392,208.98624954223632,0.01048482
224.4,-1.0052451313097457,0.0,25.02304,-0.1931908701962543,-156.06907259,0.006493532461534788,-1.5049151414563002,-2.1667545674767138e-08,-0.4423070773107619,0.0001536,0.000638562390425553,0.6499646720000001,-0.14856042816367893,-6.337530792170705e-05,0.0,-0.007288383999063323,0.0,16,-0.5,-0.1022447195067073,3,0.0,0.01,-0.02515642850330478,3400,0.0,-0.33546300978456967,-0.19623692254202904,0.04068867465409285,-0.0035650775355234687,55296,-0.44106198644437455,-0.1286270015992009,-8.239664655861884e-07,-0.5565777676922055,0.0,-6.0538451943495635e-06,-0.006191541324369609,7380,0.2,0.05106201171875,0.8210782408714294,-34.05710945129395,25.091026306152344,1.0003832578659058,0.00029990784,137.34528160095215,0.006591751
224.47,-0.9669853542690271,0.0,25.03456,-0.20183357469131483,-155.97391044,0.0059849080198587585,-1.4604198272375617,-2.268377871388777e-08,-0.44392262571797286,0.0002304,0.0007807063617898772,0.649947008,-0.1549724495011983,-9.15630938583752e-05,0.0,-0.007679141973817928,0.0,20,-0.5,-0.10113935029113466,4,0.0,0.01,-0.02657475776767513,3608,0.0,-0.3399735415507253,-0.19476793057528957,0.0432938210680178,-0.005468839372829867,73728,-0.45165580661929217,-0.128579375887705,-1.2014080673942879e-06,-0.5179020201609222,0.0,-8.831529171449236e-06,-0.00818848914350383,7384,0.2,0.06102294921875,0.8900095224380493,-34.057718658447264,26.859447479248047,1.0004020929336548,0.00029986176,108.36321868896485,0.0071055875
225.51,-1.0167161011995072,0.0,25.04608,-0.21563985768564045,-156.00786832,0.005136925605076712,-1.3979040572615336,-2.295647485047257e-08,-0.42566016556692454,0.0003072,0.0009374989410086224,0.649929344,-0.163103935369457,-0.00011893622078787079,0.0,-0.013778030948338306,0.0,24,-0.5,-0.10143380950323228,5,0.0,0.01,-0.029672207006640416,3749,0.0,-0.3116656289798453,-0.20072282309909806,0.04698620909845898,-0.0010671190413271523,92160,-0.45590995786373767,-0.12729100680476765,-1.5492679551417038e-06,-0.4804169234651375,0.0,-1.1495521984552605e-05,-0.010052594891749322,7388,0.2,0.07144775390625,0.8952826261520386,-34.05920906066895,29.31151008605957,1.0006202459335327,0.00029981568,118.53212814331054,0.008060588
227.62,-1.0836413830744756,0.0,25.0576,-0.22483321467591744,-156.74489859,0.005128313560162166,-1.3666727168498634,-2.1659080490200305e-08,-0.42264953514057985,0.000384,0.0011534278843707095,0.64991168,-0.16615060092852935,-0.00013846025812196808,0.0,-0.023634120205921743,0.0,28,-0.5,-0.10126858527928836,6,0.0,0.01,-0.028936276836896806,3846,0.0,-0.30469436311290354,-0.19916187107855599,0.04710594967114323,-0.009147859332590809,110592,-0.4666279724215277,-0.1295608402726338,-1.938751333948392e-06,-0.4435917587616917,0.0,-1.4192942886558031e-05,-0.010779268527403473,7392,0.2,0.11954345703125,0.9200804829597473,-34.063884544372556,20.340009689331055,1.0009634494781494,0.00029976959999999996,93.40436515808105,0.0103055
228.84,-1.1118888969710026,0.0,25.06912,-0.22896775808837994,-157.08428911000001,0.005062462249523587,-1.3806446485687276,-2.2754545073827297e-08,-0.43147262817625615,0.0004608,0.001244031028666844,0.6498940160000001,-0.17320426270466538,-0.00016313863346251878,0.0,-0.01680835751338034,0.0,32,-0.5,-0.10141444905996827,7,0.0,0.01,-0.028997921068021387,3924,0.0,-0.30555534249570154,-0.2070802478128402,0.04966674208285757,-0.0003338883455087304,129024,-0.4150879770867478,-0.12741047339229844,-2.248249802376513e-06,-0.4372846060720573,0.0,-1.6565028731046843e-05,-0.007935270288726315,7396,0.2,0.12958984375,0.9281595349311829,-34.06857471466064,21.966434478759766,1.0011720657348633,0.00029972352,83.20495529174805,0.011787334
230.17,-1.084575113815453,0.0,25.08064,-0.2140328823155942,-157.514239,0.004761781511151622,-1.3765989404327315,-2.2579249323637803e-08,-0.44338012974490987,0.0005376,0.0010595694895730251,0.649876352,-0.16192753051023503,-0.00019004353604513966,0.0,-0.025332648918265477,0.0,37,-0.5,-0.10123706313499034,8,0.0,0.01,-0.026519214987605275,3980,0.0,-0.3079456613346104,-0.18926458934286697,0.043428966547690746,-0.0020181665909779455,147456,-0.44154995217225584,-0.13017929577056492,-2.7407970145962634e-06,-0.43009040232669354,0.0,-1.9732374208437725e-05,-0.009578779467847198,7400,0.2,0.13140869140625,0.9240019917488098,-34.064694786071776,19.36418914794922,1.0008898973464966,0.00029967744,72.15781307220459,0.011076043
240.39,-1.1606061745018377,0.0,25.09216,-0.22101642531980958,-159.9886465,0.004579328439470136,-1.3668344659988743,-2.1517492084489923e-08,-0.44560674482147294,0.0006144,0.0008799907744913879,0.649858688,-0.17707279761571118,-0.0002140985620703151,0.0,-0.02237556029447458,0.0,41,-0.5,-0.1018904048905992,9,0.0,0.01,-0.02857378859430483,4031,0.0,-0.3052030306937339,-0.20755810071590775,0.04698263598792584,-0.0018930306702639847,165888,-0.3899096178004896,-0.12632179303768876,-3.0456529217865113e-06,-0.4525997158429082,0.0,-2.2291141530604213e-05,-0.010467673023231327,7404,0.2,0.1234375,0.9156361222267151,-34.063177299499515,17.48253059387207,1.0008751153945923,0.00029963136,61.093828964233396,0.012434863
243.69,-1.2209985238424694,0.0,25.10368,-0.21612685253421668,-160.83144266000002,0.003706921158050522,-1.3855047792354684,-2.1196319844456266e-08,-0.44304371787700153,0.0006912,0.0006190316829209527,0.649841024,-0.1731868568941691,-0.00023456682426078112,0.0,-0.01743783052693794,0.0,45,-0.5,-0.10206102884013064,10,0.0,0.01,-0.025900083659207176,4072,0.0,-0.28899744744083744,-0.19728057655864675,0.045432210419118414,-0.0027040165728199573,184320,-0.36413617751922883,-0.12831577003684766,-3.408596682861467e-06,-0.45119246916548533,0.0,-2.4993556362473977e-05,-0.013131376821547747,7408,0.2,0.12113037109375,0.9159979224205017,-34.065267944335936,12.975247383117676,1.0010441541671753,0.00029958527999999996,46.976340675354,0.013279316
249.83,-1.3155311819891833,0.0,25.1152,-0.21719520028405104,-162.42912631,0.004676683776781314,-1.3848669865602337,-2.5283515367212434e-08,-0.4353212494847985,0.000768,0.0008072910972663926,0.6498233600000001,-0.18937360583336327,-0.00027311197659151467,0.0,-0.01677389900174199,0.0,49,-0.5,-0.10184757116590422,11,0.0,0.01,-0.029911279204749015,4100,0.0,-0.32690612410560044,-0.21104204225858245,0.04592562197856668,-0.0034040961970679545,202752,-0.3555330873002877,-0.13152445745721317,-3.821191163679662e-06,-0.46886368137197354,0.0,-2.86635151454426e-05,-0.010942344344221056,7412,0.2,0.130224609375,0.9171853065490723,-34.06627368927002,10.907383918762207,1.0011098384857178,0.0002995392,38.99148511886597,0.012594181
