time/env_steps,time/rollout_s,time/gae_s,time/update_s,time/est_s,time/iter_s,time/sps,rollout/ep_len_mean,rollout/ep_ret_mean,rollout/episodes,rollout/finishes,rollout/falls,rollout/t_line_mean,rollout/sprint_d_mean,rollout/reward_mean,rollout/swing_frac_min,rollout/thermal_max,rollout/torque_util,rollout/commit_frac,rollout/resync_frac,diag/freq_hz_median,diag/freq_lo_rail,diag/freq_hi_rail,diag/res_sat_sampled,train/loss_pg,train/loss_vf,train/entropy,train/loss_sym,train/bound_loss,train/mu_out_frac,train/approx_kl,train/clipfrac,train/n_minibatch_updates,train/early_stop,train/ent_coef,train/log_std_clamp,train/std_mean,train/lr,est/vel_rmse,reward_terms/action_rate,reward_terms/air_time,reward_terms/alive,reward_terms/ang_xy,reward_terms/angmom,reward_terms/brake_foot,reward_terms/clearance,reward_terms/duty_sym,reward_terms/energy,reward_terms/foot_flat,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/heading,reward_terms/height,reward_terms/hip_roll,reward_terms/knob,reward_terms/lane,reward_terms/lat_vel,reward_terms/motor_vel,reward_terms/overrun,reward_terms/phase_contact,reward_terms/residual,reward_terms/residual_rate,reward_terms/spec_cycle,reward_terms/stance,reward_terms/stance_time,reward_terms/step_rate,reward_terms/stop,reward_terms/swing_floor,reward_terms/thermal,reward_terms/time,reward_terms/torque,reward_terms/track,reward_terms/upright,reward_terms/vz,reward_terms/yaw_rate,curriculum/dr_scale,curriculum/sprint_dist_m,curriculum/stance_ratio,curriculum/eff_scale,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,curriculum/bringup_scale,curriculum/bringup_p_drop,curriculum/bringup_p_held,curriculum/cmd_zero_p,curriculum/cmd_lo,curriculum/cmd_hi,curriculum/track_sigma,curriculum/shape_scale,curriculum/stoplight_prob,curriculum/gait_freq_lo,curriculum/hold_s,curriculum/hold_z,curriculum/hold_pitch,curriculum/hold_roll,curriculum/start_red_s,curriculum/release_vx,curriculum/release_vy,curriculum/release_vz,time/elapsed_s
36864,52.03832030296326,0.5244054794311523,3.3910577297210693,1.7489418983459473,59.58183288574219,618.712066782261,7.056603773584905,-89.6575927734375,53,0,53,nan,0.00041159684769809246,1.2252755165100098,0.2437608540058136,0.7022672295570374,0.17553026974201202,0.1120876736111111,0.0,2.445549249649048,0.15634075508228462,0.03581800580832527,0.22521068431712962,0.012395340949296951,101.4554672241211,11.37562370300293,1.6503081321716309,3.37112237502879e-06,0.00036101642763242126,0.024663124233484268,0.2568359375,2,1.0,0.01,-0.3567,0.6998984217643738,0.00029999794787727296,0.10695524736754902,-0.004344587214291096,0.0,1.5,-0.04836215823888779,-0.01657097600400448,0.0,0.02655457705259323,0.0,0.0,-0.5659857988357544,-0.18650184571743011,0.0,-0.0005452870391309261,0.0,-0.012887032702565193,-0.005703439936041832,0.0,-0.003074989188462496,0.0,0.0,-0.040098272264003754,-0.07482482492923737,-0.011651069857180119,0.0,-0.04961192607879639,0.0,-0.005092773586511612,0.0,0.0,0.0,0.0,0.0,2.4016218185424805,-0.03757018595933914,-0.006084508262574673,-0.12125350534915924,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.5,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.754573345184326
73728,50.213874101638794,0.001104593276977539,0.061234235763549805,0.08854031562805176,50.43845796585083,730.87086647651,15.074450084602368,-81.96827697753906,591,0,591,nan,0.0030322945676743984,-0.7141492366790771,0.4268392026424408,0.7045286297798157,0.18107348680496216,0.014105902777777778,0.0,2.4487202167510986,0.1076923076923077,0.11730769230769231,0.29585322627314814,0.0226212739944458,696.1435546875,7.035573959350586,6.710334142049153,0.00758558635910352,0.0801214079062144,0.04664850731690725,0.3150227864583333,3,1.0,0.01,-0.3567,0.6998569965362549,0.000299994891975075,1.7484703872219471,-0.004536549095064402,0.0,1.5,-0.08359254896640778,-0.02931944467127323,0.0,0.06235845759510994,0.0,0.0,-0.5158284306526184,-0.14638927578926086,0.0,-0.013169953599572182,0.0,-0.02823140285909176,-0.005731940735131502,0.0,-0.00747178727760911,0.0,0.0,-0.06569032371044159,-0.08589000999927521,-0.01436537690460682,0.0,-0.10833325982093811,0.0,-0.004291178658604622,0.0,0.0,0.0,0.0,0.0,2.1619064807891846,-0.28795111179351807,-0.02598974108695984,-0.542044460773468,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49917056,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.2112410068512
110592,1.7169790267944336,0.0010616779327392578,0.05270266532897949,0.08140969276428223,1.922471046447754,19175.30940679981,22.70941883767535,-79.39093780517578,998,0,998,nan,nan,-2.1257832050323486,0.4054633378982544,nan,nan,0.029486762152777776,0.0,2.4824018478393555,0.08923643054277829,0.10303587856485741,0.27091019241898145,0.016230300068855286,1052.4002278645833,7.559771219889323,5.071203549702962,0.005328420549631119,0.06152863303820292,0.023700324197610218,0.21826171875,3,1.0,0.01,-0.3567,0.6998338103294373,0.0002999918069690466,1.2260896779752695,-0.004490499850362539,6.4675179274609196e-12,1.5,-0.09662405401468277,nan,0.0,nan,0.0,nan,-0.5236545205116272,-0.15111464262008667,0.0,-0.053441956639289856,nan,nan,-0.005785112734884024,nan,nan,nan,0.0,-0.05558626353740692,-0.08195986598730087,-0.013509063981473446,-0.0011393228778615594,nan,0.0,-0.0038460285868495703,0.0,0.0,nan,0.0,nan,nan,-0.5586743950843811,nan,-0.6896346211433411,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49834112,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.14895677566528
147456,1.7122611999511719,0.0008311271667480469,0.05399656295776367,0.08294129371643066,1.9215977191925049,19184.028951701835,30.069423929098967,-80.11675262451172,1354,0,1354,nan,nan,-3.056204319000244,0.4021809995174408,nan,nan,0.04945203993055555,0.0,2.503235340118408,0.10093252879868349,0.09928688974218322,0.2444525824652778,0.017337724566459656,1354.16513671875,8.547711181640626,3.014917755126953,0.0020593183115124704,0.03263276815414429,0.023907393217086792,0.236376953125,5,1.0,0.01,-0.3567,0.6998164653778076,0.0002999866846948862,0.8884647337569921,-0.004421082325279713,0.00010091144940815866,1.5,-0.09595730900764465,nan,0.0,0.06823223829269409,0.0,nan,-0.5091959834098816,nan,0.0,-0.0835789293050766,nan,nan,-0.005873537622392178,nan,nan,nan,0.0,-0.04974929615855217,-0.07765057682991028,-0.012665980495512486,-0.0038655598182231188,nan,0.0,-0.0038688150234520435,0.0,0.0,nan,0.0,nan,nan,-0.6152945756912231,nan,-0.6377986073493958,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49751168,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.08429646492004
184320,1.7138664722442627,0.0008981227874755859,0.05211305618286133,0.08235907554626465,1.9180006980895996,19220.006692123654,32.96860572483841,-78.69291687011719,1083,0,1083,nan,0.00035872901207767427,-2.2191319465637207,0.4067111611366272,0.7104505896568298,0.20009978115558624,0.039252387152777776,0.0,2.515191078186035,0.09813407049067036,0.09329647546648238,0.22621889467592593,0.013837906221548716,1052.3916015625,8.100682576497396,1.7688918113708496,0.001566343940794468,0.024703219532966614,0.019450131803750992,0.18509928385416666,6,1.0,0.01,-0.3567,0.6998139023780823,0.00029998054378665984,0.32350487997731475,-0.004441534634679556,0.00013726121687795967,1.5,-0.09070003032684326,-0.03669130057096481,0.0,0.06822080165147781,0.0,0.0,-0.5006917119026184,-0.14546699821949005,0.0,-0.0786258801817894,-0.002858320949599147,-0.026951979845762253,-0.005868053995072842,0.0,-0.017794204875826836,0.0,0.0,-0.05048113316297531,-0.07483385503292084,-0.012859178707003593,-0.002685546875,-0.11019401252269745,0.0,-0.004034017212688923,0.0,0.0,0.0,0.0,0.0,1.9486308097839355,-0.5304469466209412,-0.03997374698519707,-0.5869392156600952,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49668224,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.01671767234802
221184,1.7095646858215332,0.0010635852813720703,0.05124974250793457,0.08526611328125,1.917785882949829,19222.159563787176,33.12720156555773,-77.552978515625,1022,0,1022,nan,0.0002378080680500716,-2.0764362812042236,0.426025390625,0.7091978788375854,0.20160982012748718,0.035807291666666664,0.0,2.583742141723633,0.0856060606060606,0.11136363636363636,0.2158881293402778,0.012337345216009352,1022.7374131944445,7.9324756198459205,1.1782423655192058,0.0013754392663637798,0.02321355872684055,0.021905582812097337,0.23255750868055555,9,1.0,0.01,-0.3567,0.6998046040534973,0.00029997131787240505,0.18187858007781155,-0.00444207014515996,0.00012803814024664462,1.5,-0.09203468263149261,-0.03721749410033226,0.0,0.07041853666305542,-8.893871950022003e-07,0.0,-0.4992133378982544,-0.141502246260643,0.0,-0.08262620866298676,-0.002164775040000677,-0.02665940672159195,-0.005816904827952385,0.0,-0.016339920461177826,0.0,0.0,-0.053078267723321915,-0.0731588676571846,-0.012985716573894024,-0.0025797528214752674,-0.0954136997461319,0.0,-0.003945312462747097,0.0,0.0,0.0,0.0,0.0,1.933789610862732,-0.5353015065193176,-0.03932831063866615,-0.6164012551307678,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.4958528,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.94897866249084
258048,1.706538200378418,0.0007975101470947266,0.13942861557006836,0.08205389976501465,1.9987094402313232,18443.897078405767,32.6739336492891,-77.94345092773438,1055,0,1055,nan,0.0006971387774683535,-2.18056058883667,0.4376627504825592,0.7103135585784912,0.20196525752544403,0.038764105902777776,0.0,2.6089296340942383,0.08467459762071379,0.11406578026592022,0.2102322048611111,0.008224477224490222,941.8090676700367,8.062846800860237,0.5864166371962604,0.0012799160664572434,0.02204079443917555,0.027411092730129465,0.30483829273897056,34,1.0,0.01,-0.3567,0.6996708512306213,0.0002999365096911788,0.1357537408755886,-0.004482050891965628,9.494354162598029e-05,1.5,-0.09318547695875168,-0.0372614786028862,0.0,0.0691540390253067,-3.491387178655714e-05,0.0,-0.5018852949142456,-0.14354513585567474,0.0,-0.09173887223005295,-0.0016975969774648547,-0.025049153715372086,-0.0057803550735116005,0.0,-0.015266608446836472,0.0,0.0,-0.05231195688247681,-0.07205867022275925,-0.013093989342451096,-0.0029296875,-0.08459140360355377,0.0,-0.003953450825065374,0.0,0.0,0.0,0.0,0.0,1.9198496341705322,-0.5537197589874268,-0.04016026481986046,-0.6207574009895325,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49502336,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.96230602264404
294912,1.706338882446289,0.0009598731994628906,0.1384899616241455,0.08012557029724121,1.9961163997650146,18467.852071163525,33.879231473010066,-76.1202621459961,1093,0,1093,nan,0.00035914822365157306,-2.28359317779541,0.4441189169883728,0.7060617208480835,0.2020357996225357,0.040608723958333336,0.0,2.6327147483825684,0.07949231796927188,0.11356045424181696,0.19968894675925927,-0.009542908794375964,880.8239474826389,8.140919155544704,0.3938026494450039,0.0010645881864345735,0.019983457608355418,0.005942284763376746,0.06748453776041667,36,0.0,0.01,-0.3567,0.699573814868927,0.0002998996642418206,0.11933154302519211,-0.004502813331782818,0.00013075080642011017,1.5,-0.09180383384227753,-0.03813691809773445,0.0,0.07018264383077621,-9.936992137227207e-05,0.0,-0.4961073100566864,-0.14404752850532532,0.0,-0.09154722839593887,-0.0020537213422358036,-0.025256536900997162,-0.00574409868568182,0.0,-0.016142072156071663,0.0,0.0,-0.04985256493091583,-0.07034072279930115,-0.01310811098664999,-0.003466797061264515,-0.09138628840446472,-1.6275638472507126e-06,-0.004035645164549351,0.0,0.0,0.0,0.0,0.0,1.909287929534912,-0.5604493021965027,-0.04065175727009773,-0.6138453483581543,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49419392,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.97254419326782
331776,1.7067863941192627,0.0009572505950927734,0.1380929946899414,0.08413934707641602,2.0001237392425537,18430.855295704714,34.68333333333333,-76.37753295898438,1080,0,1080,nan,nan,-2.2464725971221924,0.4429253339767456,0.7110592126846313,0.20274925231933594,0.03957790798611111,0.0,2.611074447631836,0.10143934201507881,0.09389993145990404,0.1946388527199074,-0.011108667602659099,785.5413140190972,8.096193313598633,0.32160958978864884,0.0008791805141501956,0.017905808985233307,0.0054554772278707885,0.05714246961805555,36,0.0,0.01,-0.3567,0.6996518969535828,0.0002998627896886319,0.10914891582174235,-0.004507835954427719,0.00015516486018896103,1.5,-0.09347403049468994,-0.038460053503513336,0.0,0.07022453844547272,-6.8998197093605995e-06,nan,-0.4962022602558136,-0.14401642978191376,0.0,-0.09175854176282883,-0.001975264400243759,nan,-0.005688752047717571,nan,nan,nan,0.0,-0.050946593284606934,-0.06955590844154358,-0.013066777028143406,-0.0030436196830123663,-0.0889129787683487,-1.5597766832797788e-05,-0.004010416567325592,0.0,0.0,0.0,0.0,0.0,nan,-0.5530012845993042,nan,-0.6050549745559692,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49336448,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.98653817176819
368640,1.7074031829833984,0.0009741783142089844,0.14227986335754395,0.08079147338867188,2.0015816688537598,18417.430470871364,33.74742750233863,-77.4698486328125,1069,0,1069,nan,-4.6782297431491315e-05,-2.2185893058776855,0.4391547441482544,0.7074268460273743,0.19957426190376282,0.03919813368055555,0.0,2.6005632877349854,0.08235294117647059,0.09688581314878893,0.19325991030092593,-0.012616900119206144,730.6685926649305,8.07933955722385,0.27566738923390705,0.0007561046966455049,0.01606855086154408,0.005916671905045708,0.053202311197916664,36,0.0,0.01,-0.3567,0.6996005177497864,0.00029982594423927367,0.10369606306519616,-0.004473868291825056,0.00014648429350927472,1.5,-0.0925571620464325,-0.037674639374017715,0.0,0.06933818012475967,-3.7998295738361776e-05,0.0,-0.497314453125,-0.14325830340385437,0.0,-0.09090913832187653,-0.0017237570136785507,-0.024679016321897507,-0.0056953695602715015,0.0,-0.016137588769197464,0.0,0.0,-0.05139417573809624,-0.06915838271379471,-0.012925936840474606,-0.0030598959419876337,-0.08398981392383575,-6.917267455719411e-06,-0.003960775211453438,0.0,0.0,0.0,0.0,0.0,1.8960469961166382,-0.5582144260406494,-0.04202274978160858,-0.6017018556594849,0.15,100.0,0.65,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.15,0.45,1.49253504,0.15,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.00069975852966
