reward_terms/stop,reward_terms/foot_slip,curriculum/stance_ratio,time/total_timesteps,reward_terms/angmom,reward_terms/height,curriculum/eff_scale,reward_terms/time,reward_terms/lat_vel,curriculum/sprint_dist_m,reward_terms/motor_vel,reward_terms/hip_roll,time/fps,reward_terms/energy,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/stance,reward_terms/alive,rollout/ep_rew_mean,rollout/ep_len_mean,reward_terms/action_rate,reward_terms/coef_rate,reward_terms/torque,reward_terms/vz,reward_terms/clearance,reward_terms/ang_xy,reward_terms/overrun,reward_terms/residual,reward_terms/fwd_speed,reward_terms/upright,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/assist_pen,curriculum/ctrl_drop_prob,time/iterations,time/time_elapsed,reward_terms/air_time,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_range,train/std,train/value_loss,train/learning_rate,train/approx_kl
0.0,-0.6834318231976969,0.65,18432,-0.27224728289713446,-0.053308021723693255,0.0,-0.5,-5.937599261069483e-08,25.0,0.0,-0.41172714066255367,4460,0.0,0.01,0.0,-2.4460185435915307e-05,0.0,-121.71796688,86.97,-0.18629355539891984,-1.4968090691868143,0.0,-0.41031254477369483,0.12906871350737203,-0.4696115227305758,0.0,-0.10118067226073865,0.3858868816144135,-0.7660470550018474,-0.005611965938846374,-0.37695702329031217,0.0,0.0,1,4,7.92095767489324e-05,,,,,,,,,,,
0.0,-0.7043317121525,0.649982336,36864,-0.3584971901094877,-0.05144701717536549,7.68e-05,-0.5,-6.336086408509035e-08,25.01152,-9.650967762788596e-07,-0.3999655351280862,4284,-7.128011770407471e-06,0.01,0.0,-2.114889294192828e-05,0.0,-121.74790234,87.19,-0.19769496209295023,-1.49720445093766,-6.96787328071779e-05,-0.45991571756175126,0.15970605301455482,-0.6102184303993845,0.0,-0.09862884197138926,0.40167084691395066,-0.8212636417561322,-0.000576712590474118,-0.3388551063495836,0.0,0.0,2,8,6.835897026273112e-05,-34.06480102539062,6296,0.0472412109375,-0.0041894605848938225,58.37607192993164,0.7805129885673523,0.2,1.0006881952285767,247.59887313842773,0.000299995392,0.0072141057
0.0,-0.7744474060741865,0.6499646720000001,55296,-0.35448939219608083,-0.06372607267249512,0.0001536,-0.5,-7.222764864490562e-08,25.02304,-1.8849382553330977e-06,-0.3811308368620444,4360,-1.4317483975314747e-05,0.01,0.0,-0.0032982099944221504,0.0,-120.47426542,82.01,-0.20950319627131456,-1.4742479183597754,-0.00014730870793514558,-0.46555794675120005,0.1409848847782364,-0.6609033708296885,0.0,-0.09617708972082274,0.44350292138899816,-0.7262642957519492,-0.0031716510453002732,-0.3621163487873602,0.0,0.0,3,12,7.703958544880152e-05,-34.05640544891357,6300,0.03719482421875,-0.007387916638981551,44.317100524902344,0.7222874164581299,0.2,1.0002479553222656,185.58238220214844,0.000299990784,0.007164578
0.0,-0.7743220342295114,0.649947008,73728,-0.35240468668762204,-0.061873265760682875,0.0002304,-0.5,-7.100229870399094e-08,25.03456,-2.935786082186332e-06,-0.33055475069547174,4408,-2.2102709576867085e-05,0.01,0.0,-0.003762849626688108,0.0,-121.02914121000003,84.33,-0.2162902908330861,-1.4663122226409675,-0.00022114461814581635,-0.45026581274517163,0.14100601082787956,-0.6784651472718606,0.0,-0.0948755659942718,0.45900267480367407,-0.6717443094632752,-0.0001485175744164735,-0.3657405866969359,0.0,0.0,4,16,6.347625943211217e-05,-34.057837295532224,6304,0.05743408203125,-0.011508443276397884,41.79549789428711,0.7182533740997314,0.2,1.000407099723816,153.34139823913574,0.00029998617599999997,0.008527497
0.0,-0.8895852625820909,0.649929344,92160,-0.300729394453884,-0.056379820810449816,0.0003072,-0.5,-6.588187236226079e-08,25.04608,-3.5586477863444583e-06,-0.2803189771474766,4423,-2.754687223245011e-05,0.01,0.0,-0.003685887982706563,0.0,-123.12458671,92.93,-0.22264843395967704,-1.4132442574144188,-0.0002699552934455339,-0.449069194134838,0.11680418245642425,-0.600675654458525,0.0,-0.09471886494834546,0.3910158939141791,-0.598225059959434,-0.0010751632895941536,-0.4051182516517655,0.0,0.0,5,20,6.022110270957152e-05,-34.06023483276367,6308,0.0899169921875,-0.013033304782584309,32.87285232543945,0.7160476446151733,0.2,1.000622034072876,116.90918426513672,0.000299981568,0.0114288945
0.0,-0.9226154888778078,0.64991168,110592,-0.2649560881784814,-0.07293438988058037,0.000384,-0.5,-7.215044581058948e-08,25.0576,-4.664015492198024e-06,-0.3108911046349495,4431,-3.5427615942781044e-05,0.01,0.0,-0.00846832912474744,0.0,-123.10980856999998,92.88,-0.22535806970814815,-1.4037109342601153,-0.0003460228043464476,-0.4321607325213783,0.10913415537581492,-0.5844990892842952,0.0,-0.094621727002022,0.4978432643099967,-0.5117117970397755,-0.0004770224493566073,-0.41702529716046,0.0,0.0,6,24,4.828536960606774e-05,-34.0615909576416,6312,0.11309814453125,-0.008246604632586241,40.80405044555664,0.7612196207046509,0.2,1.0006519556045532,127.11769523620606,0.00029997696,0.009983155
0.0,-0.9367507406903327,0.6498940160000001,129024,-0.24662398429848015,-0.06648021043666522,0.0004608,-0.5,-6.685513278221628e-08,25.06912,-5.466109932502693e-06,-0.2912686811772332,4445,-4.122523919291e-05,0.01,0.0,-0.006029676881840478,0.0,-125.37058232999999,101.88,-0.2219808828971633,-1.3728698856509407,-0.00039168573050828626,-0.41819777903311256,0.10288921228158805,-0.5521601708979746,0.0,-0.0951545243644108,0.4550575879153531,-0.4849531490817378,-0.0003214490198944178,-0.4242558567176328,0.0,0.0,7,29,3.851979272440076e-05,-34.06255664825439,6316,0.09541015625,-0.015280691313091666,30.61058235168457,0.6932773590087891,0.2,1.0008940696716309,85.42175235748292,0.00029997235199999997,0.011742221
0.0,-0.9506132075229987,0.649876352,147456,-0.24829403289695223,-0.07132695437895278,0.0005376,-0.5,-7.211801124419753e-08,25.08064,-6.287911266231389e-06,-0.30848378992283826,4454,-4.757522952772416e-05,0.01,0.0,-0.00277891342150495,0.0,-126.60643594000001,106.89,-0.22328528096321795,-1.3827629166898054,-0.00045658908000338974,-0.43042261130028353,0.10026222080381055,-0.540939069570306,0.0,-0.0955966118623965,0.48506542324638346,-0.5262927359712455,-0.00473238399071205,-0.43058241918160706,0.0,0.0,8,33,5.0998040630171694e-05,-34.06826457977295,6320,0.0978515625,-0.013361998961772769,27.28000831604004,0.6682090163230896,0.2,1.0014694929122925,76.19234561920166,0.000299967744,0.011271485
0.0,-0.9521365714743923,0.649858688,165888,-0.2399807806706989,-0.07465522610085351,0.0006144,-0.5,-6.99476998493489e-08,25.09216,-7.3276851545763e-06,-0.3186689740859478,4457,-5.497282995489988e-05,0.01,0.0,-0.006596598456505126,0.0,-127.60257566000001,110.77,-0.21896922445683586,-1.3642793519487284,-0.0005169751594329096,-0.4363722424565092,0.09836740921245231,-0.5308692739305271,0.0,-0.096085023077412,0.48864020984538875,-0.4893876588696204,-0.00044962268859510205,-0.4349671519565519,0.0,0.0,9,37,5.9136044001206756e-05,-34.07393474578858,6324,0.1365478515625,-0.018303648254368456,16.749435424804688,0.6894155740737915,0.2,1.0017460584640503,43.574668884277344,0.000299963136,0.014115492
0.0,-1.002129133035848,0.649841024,184320,-0.20343986732516361,-0.07818206684480689,0.0006912,-0.5,-7.534364085254567e-08,25.10368,-8.545022762847299e-06,-0.32499389118989114,4464,-6.356869055435927e-05,0.01,0.0,-0.007439610076597763,0.0,-127.17629427,109.12,-0.22307632268055144,-1.382908158122759,-0.0005992712642568267,-0.40300577508951974,0.08624848747567429,-0.5033455049127946,0.0,-0.09585003184176331,0.5073931805363601,-0.4484293063474183,-0.0018587184652763729,-0.4555968976372607,0.0,0.0,10,41,3.092429445435604e-05,-34.074106979370114,6328,0.1794189453125,-0.017856323369778694,12.048134803771973,0.5800987482070923,0.2,1.0018829107284546,32.32901849746704,0.00029995852799999997,0.01538721
