curriculum/eff_scale,reward_terms/energy,reward_terms/angmom,time/total_timesteps,rollout/ep_rew_mean,reward_terms/foot_slip,est/vel_rmse,reward_terms/stand_drift,reward_terms/action_rate,reward_terms/height,reward_terms/alive,reward_terms/assist_pen,reward_terms/track_lin,reward_terms/upright,reward_terms/ang_xy,reward_terms/stance_time,reward_terms/overrun,reward_terms/foot_ahead,reward_terms/stance,reward_terms/fwd_speed,curriculum/swing_frac_mean,reward_terms/time,curriculum/swing_frac_min,reward_terms/track_yaw,reward_terms/stop,reward_terms/clearance,reward_terms/coef_rate,reward_terms/motor_vel,time/iterations,reward_terms/lat_vel,reward_terms/step_rate,ankle/ankle_spring_trq_peak,reward_terms/residual_rate,reward_terms/vz,curriculum/dr_scale,reward_terms/duty_sym,reward_terms/phase_contact,reward_terms/residual,reward_terms/hip_roll,curriculum/cmd_scale,rollout/ep_len_mean,reward_terms/torque,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/stand,time/fps,curriculum/stance_ratio,curriculum/cmd_track_err,curriculum/ent_coef,curriculum/ctrl_jitter_ms,ankle/ankle_spring_energy_peak,ankle/ankle_defl_peak,time/time_elapsed,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/n_updates,curriculum/eff_scale_progress,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress
0.0,0.0,-0.034786532003598825,18432,-76.85262323255814,-0.5363153353150862,1.0399693711979143,-0.008248714500477839,-0.23995841292501435,-0.003305877878379474,0.0,0.0,1.1416760557051133,-7.10048595453876e-08,-1.4176873974551846e-06,-0.013035989156277437,0.0,0.0,-0.029096317525286058,0.0,0.17857530381944445,0.0,0.1003689236111111,1.999985485327838,0.0,0.008230078399598011,-1.572926725888051,0.0,1,-3.747522923127605e-09,-0.004253472222222252,0.0,0.0,-0.013971629907416707,0.0,-0.009308077480947776,-0.13058098641530777,-0.06022303795008588,-0.024021949790519026,0.0,204.2093023255814,0.0,0.0,0.00018337650302176675,0.7464227754142434,8835,0.7,0.7355373285786351,0.01,0.0,0.0,0.5052012598050253,2,,,,,,,,,,,,,,,,
0.0,0.0,-0.03353989959708947,36864,-50.665235938144335,-0.5064203619248135,0.6673895349071894,-0.02226200477258832,-0.24279925619613715,-0.004573163855688612,0.0,0.0,1.134341159162584,-6.177509566015803e-08,-1.3048445250171709e-06,-0.03855059883628403,0.0,0.0,-0.011255790629443176,0.0,0.128173828125,0.0,0.09000651041666667,1.99999119996395,0.0,0.00041479325718936285,-1.608208634960753,0.0,2,-3.207642259698603e-09,-0.0037651909722222435,0.0,0.0,-0.018613759716244897,0.0,-0.005696813550382462,-0.04483986709266613,-0.06093573934358654,-0.02349855722029994,0.0,228.10309278350516,0.0,0.0,4.882812370649642e-05,0.7965385151652279,8948,0.7,0.7071014319121374,0.01,0.0,0.0,0.5052270994092974,4,1.0023722648620605,-36.92250518798828,-0.023472515685716643,0.0003337264060974121,0.000299963136,0.0550537109375,0.00836734,0.2,141.2201385498047,324.6278839111328,4,,,,,
0.0,0.0,-0.03349416273590364,55296,-33.08586961,-0.45699240124085194,0.6289240437709276,-0.02953703173498052,-0.24368120915437563,-0.004491444339131811,0.0,0.0,1.0443938592009276,-6.11897481506306e-08,-1.2479852956624963e-06,-0.014470345240422629,0.0,0.0,-0.015363713432716801,0.0,0.13289388020833334,0.0,0.08550347222222222,1.9999910511234888,0.0,0.00021930729298575804,-1.5985329950080145,0.0,3,-2.708958420578556e-09,-0.004199218750000028,0.0,0.0,-0.01866018570172773,0.0,-0.0002184766177814047,-0.011085353371553489,-0.060932009493949474,-0.02545162502331745,0.0,237.85,0.0,0.0,0.0,0.6544970624137927,8764,0.7,0.47401994243789036,0.01,0.0,0.0,0.5050120312150405,6,1.0013070106506348,-36.906907844543454,-0.008763853169512004,0.24895590543746948,0.000299926272,0.00902099609375,0.0035418489,0.2,149.21519470214844,328.86100006103516,8,,,,,
0.0,0.0,-0.03572129857846606,73728,-24.468364709999996,-0.4396501235049493,0.6120112201061076,-0.03934626284716046,-0.24300052710162123,-0.0056288122714436735,0.0,0.0,0.9761154538782567,-5.888349927266549e-08,-1.331920195035129e-06,0.0,0.0,0.0,-0.023512977654737244,0.0,0.1379665798611111,0.0,0.0818142361111111,1.9999910430285333,0.0,0.0,-1.5928578853189763,0.0,4,-3.0465918836920545e-09,-0.004047309027777804,0.0,0.0,-0.021522567294575204,0.0,0.0,0.0,-0.06083168588833791,-0.021981479793146783,0.0,246.9,0.0,0.0,0.0,0.6148312962833186,8320,0.7,0.48389621772704955,0.01,0.0,0.0,0.5051564077767376,8,1.0014984607696533,-36.908477783203125,-0.007707035727798938,0.45344966650009155,0.00029988940799999996,0.00538330078125,0.0027721047,0.2,135.25291442871094,300.0874450683594,12,,,,,
0.0,0.0,-0.03271063421375253,92160,-28.38329417,-0.4295893696291404,0.5821216436252078,-0.049687837931720366,-0.24322131582066214,-0.0051350269090913924,0.0,0.0,1.0357647541468522,-6.42019195152617e-08,-1.2276675261541279e-06,0.0,0.0,0.0,-0.007930048799600607,0.0,0.12030707465277778,0.0,0.09581163194444445,1.9999906440208075,0.0,0.0,-1.6028284853728412,0.0,5,-3.1322553470505356e-09,-0.0034830729166666838,0.0,0.0,-0.01983259911187914,0.0,0.0,0.0,-0.060978923411704265,-0.022841585696526348,0.0,250.19,0.0,0.0,0.0,0.6284982842967971,7822,0.7,0.5432786965786016,0.01,0.0,0.0,0.5051368424194308,11,1.001595377922058,-36.911702919006345,-0.00801287725334987,0.5516864061355591,0.000299852544,0.00721435546875,0.0030748504,0.2,168.01492309570312,326.27862854003905,16,,,,,
0.0,0.0,-0.03572619679644829,110592,-44.02499052000001,-0.4719699463097644,0.5831108577276729,-0.06202279315508405,-0.2427211165508976,-0.00530270069568025,0.0,0.0,1.1362619010434765,-5.984057375054793e-08,-1.3548838671430098e-06,0.0,0.0,0.0,-0.010608772069489793,0.0,0.12076822916666666,0.0,0.0886501736111111,1.9999911632049918,0.0,0.0,-1.5871861208034403,0.0,6,-3.13811991597158e-09,-0.003851996527777802,0.0,0.0,-0.020695690293217425,0.0,0.0,0.0,-0.060697533802038524,-0.025194856498664566,0.0,223.34,0.0,0.0,0.0,0.7585065994761976,7502,0.7,0.48701004018737154,0.01,0.0,0.0,0.5051991443852585,14,1.001377820968628,-36.90925483703613,-0.009021065628621728,0.6158238649368286,0.00029981568,0.0088134765625,0.0034176274,0.2,149.13841247558594,287.67479248046874,20,,,,,
0.0,0.0,-0.032859864780460615,129024,-12.311286749999999,-0.46464381297919527,0.5492414770945292,-0.06591792718647063,-0.24216364741936688,-0.004995134485535417,0.0,0.0,1.1909651307763398,-6.371404995655726e-08,-1.256007413849608e-06,0.0,0.0,0.0,-0.010662099967007063,0.0,0.1283637152777778,0.0,0.08403862847222222,1.999991376263048,0.0,0.0,-1.5898706728426109,0.0,7,-2.7329464405005258e-09,-0.004155815972222249,0.0,0.0,-0.019814950135801486,0.0,0.0,0.0,-0.06101051643490955,-0.02257366997308609,0.0,248.57,0.0,0.0,0.0,0.7853043962041218,7250,0.7,0.5107132577791192,0.01,0.0,0.0,0.5048097985158875,17,1.0012867450714111,-36.90831069946289,-0.008178530423901976,0.6396849751472473,0.000299778816,0.0035400390625,0.0024575405,0.2,157.179931640625,332.10325622558594,24,,,,,
0.0,0.0,-0.035229648030185086,147456,15.606196579999999,-0.48376281263564025,0.5515283428130432,-0.0727243994740533,-0.24545727979818657,-0.0053289022380467125,0.0,0.0,1.030548860326733,-6.156295188961482e-08,-1.4489565519613797e-06,0.0,0.0,0.0,-0.00983605503230403,0.0,0.12464735243055555,0.0,0.08973524305555555,1.9999905473570432,0.0,0.0,-1.5979331050237617,0.0,8,-2.97144540881887e-09,-0.003927951388888913,0.0,0.0,-0.02038620248030156,0.0,0.0,0.0,-0.06080138586806792,-0.023270247153538606,0.0,300.38,0.0,0.0,0.0,0.654313945810808,7073,0.7,0.5304146656416246,0.01,0.0,0.0,0.5047079829537098,20,1.0013525485992432,-36.9084114074707,-0.00898388225468807,0.6854989528656006,0.000299741952,0.00513916015625,0.0028325922,0.2,136.9880828857422,302.45958557128904,28,,,,,
0.0,0.0,-0.03392825207588097,165888,-2.276658869999997,-0.5000391371402572,0.5230182562954956,-0.021490701751919555,-0.24203511990603024,-0.005155941862316954,0.0,0.0,1.0314178796637274,-6.460466906394672e-08,-1.3457931636097972e-06,0.0,0.0,0.0,-0.010627211924282209,0.0,0.12337239583333334,0.0,0.09027777777777778,1.999990728488239,0.0,0.0,-1.599134981807929,0.0,9,-3.1204207063346977e-09,-0.004047309027777804,0.0,0.0,-0.02020731165656699,0.0,0.0,0.0,-0.060868095936201586,-0.024435204399270175,0.0,267.42,0.0,0.0,0.0,0.6341706279164355,7002,0.7,0.5321039188469519,0.01,0.0,0.0,0.5048896813365258,23,1.0014514923095703,-36.909217071533206,-0.009565847227349877,0.7073663473129272,0.00029970508799999996,0.00911865234375,0.0036292523,0.2,155.68772888183594,311.78025970458987,32,,,,,
0.0,0.0,-0.03527731536242904,184320,-1.7442053999999985,-0.461906966856958,0.5184948558018792,-0.02024977705506571,-0.24287512650250498,-0.005436562239064357,0.0,0.0,1.1222046588829642,-6.134728463886932e-08,-1.3923593336341687e-06,0.0,0.0,0.0,-0.007050419714809525,0.0,0.117919921875,0.0,0.08458116319444445,1.9999904763944845,0.0,0.0,-1.6010417809566162,0.0,10,-3.08409771024623e-09,-0.003960503472222247,0.0,0.0,-0.020930390554766965,0.0,0.0,0.0,-0.060905906487177405,-0.020674377954339223,0.0,293.87,0.0,0.0,0.0,0.7486047005867286,6928,0.7,0.44446443685503917,0.01,0.0,0.0,0.5051257477054152,26,1.0016359090805054,-36.91115226745605,-0.011260861821938306,0.7360544800758362,0.000299668224,0.014501953125,0.0046407403,0.2,131.38922119140625,281.864794921875,36,,,,,
