reward_terms/torque,curriculum/ctrl_drop_prob,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/stop,reward_terms/upright,time/fps,reward_terms/height,reward_terms/step_rate,reward_terms/coef_rate,reward_terms/action_rate,reward_terms/hip_roll,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,reward_terms/foot_slip,reward_terms/vz,reward_terms/energy,curriculum/ent_coef,curriculum/eff_scale,curriculum/stance_ratio,time/iterations,time/total_timesteps,time/time_elapsed,curriculum/sprint_dist_m,reward_terms/ang_xy,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/clearance,reward_terms/alive,reward_terms/stance,rollout/ep_rew_mean,reward_terms/time,reward_terms/overrun,reward_terms/lat_vel,reward_terms/foot_ahead,reward_terms/residual,reward_terms/angmom,reward_terms/motor_vel,reward_terms/air_time,train/value_loss,train/clip_range,train/std,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,train/policy_gradient_loss,train/n_updates
0.0,0.0,-3.43150038841284e-05,-0.3303713685513725,0.0,-1.006073476499746,3203,-0.007903290347331867,-0.010091145833333558,-1.083665689440468,-0.14313494013282357,-0.08793080259683578,86.78,0.0,-0.40305957644940665,-0.20872227597121923,0.0,0.01,0.0,0.65,1,18432,5,25.0,-0.5751626875022895,0.0,0.08674851222651331,0.1096705114950525,0.0,-0.11762514294688087,-121.67119248,-0.5,0.0,-4.160278745114546e-08,0.0,-0.08766585965646141,-0.18766274340349998,0.0,0.0003613275152424143,,,,,,,,,,,
-4.2765870174491384e-05,0.0,0.0,-0.31803943949925373,0.0,-1.0373971416082335,3072,-0.006771866939322481,-0.00994466145833355,-1.0634654907262664,-0.14643408493997281,-0.0811914147155206,86.46,0.0,-0.41312753670003416,-0.21642997426732896,-4.264205306470803e-06,0.01,7.68e-05,0.649982336,2,36864,11,25.01152,-0.5785384229977747,0.0,0.0987512867487737,0.11161656062549369,0.0,-0.13772499145424266,-121.59546511999999,-0.5,0.0,-4.309299733023649e-08,0.0,-0.08749938909200541,-0.16864547048634496,-7.200829306389998e-07,0.0003304030979052186,740.2711013793945,0.2,1.0016359090805054,0.07706298828125,-34.07668628692627,0.009940935,0.00029995392,0.376595139503479,140.2725372314453,-0.006417297513689846,20578
-8.449638130377973e-05,0.0,0.0,-0.3083963121424857,0.0,-1.0383927974161613,3423,-0.007440742370196485,-0.010603841145833575,-1.0347741267832187,-0.14651137708690248,-0.08147193693790586,84.25,0.0,-0.4513027901393624,-0.2212911309607385,-8.503341785192462e-06,0.01,0.0001536,0.6499646720000001,3,55296,16,25.02304,-0.5756126790665136,0.0,0.09461317229003903,0.09980659368311408,0.0,-0.1397586035152757,-121.04476815,-0.5,0.0,-4.1950003800950344e-08,0.0,-0.08793616458224018,-0.1786343626386332,-1.4524734581792721e-06,0.00011881483886908326,106.07544536590576,0.2,1.0013461112976074,0.18516845703125,-34.0673849105835,0.019355666,0.00029990784,-0.7981714010238647,21.344446182250977,-0.006432780832983554,20582
-0.00013169430322874562,0.0,0.0,-0.30876809217779033,0.0,-1.0185561123328817,3632,-0.006468818118345392,-0.010555013020833571,-1.0237259803952896,-0.14591453710244598,-0.08721636596861754,87.0,0.0,-0.45772597489405453,-0.20897615343193846,-1.3127254790722625e-05,0.01,0.0002304,0.649947008,4,73728,20,25.03456,-0.5673394985137702,0.0,0.088103347538316,0.0962061699007893,0.0,-0.16634871976950413,-121.72089276000001,-0.5,0.0,-4.297151268039538e-08,0.0,-0.0893224382946016,-0.1772141846484761,-2.1953898706079703e-06,0.00017523842204051712,47.0869047164917,0.2,1.001887559890747,0.312255859375,-34.07694225311279,0.038874753,0.00029986176,-0.6925803422927856,10.791473388671875,-0.003218572889454663,20586
-0.00017962847771694262,0.0,0.0,-0.30454724900251484,0.0,-0.9955488971876216,3786,-0.008855671165412821,-0.01079101562500025,-1.0048607037021113,-0.14513308652069595,-0.09353482601729737,95.23,0.0,-0.46080268973470734,-0.23316498303914043,-1.821607742944522e-05,0.01,0.0003072,0.649929344,5,92160,24,25.04608,-0.5649841582689098,0.0,0.09079744277621918,0.09760692865437942,0.0,-0.17124221883652757,-123.78168907,-0.5,0.0,-4.351569711325717e-08,0.0,-0.09009245694180983,-0.17357704441726166,-3.1014170301010928e-06,8.843293956791361e-05,43.00859705607096,0.2,1.000213861465454,0.298095703125,-34.05660502115885,0.0258309,0.00029981568,-1.311849594116211,19.587547302246094,0.01964430542041858,20587
-0.00022369187062527964,0.0,0.0,-0.30512860618378557,0.0,-0.9709952945821628,3887,-0.007985936752539646,-0.011043294270833589,-0.9914576506326731,-0.1449631747339225,-0.10438031259763175,99.1,0.0,-0.48701985289183014,-0.21281485068467346,-2.3184183483258593e-05,0.01,0.000384,0.64991168,6,110592,28,25.0576,-0.5400932258066803,0.0,0.08786363651209814,0.09304698226608657,0.0,-0.2113561442490904,-124.73431849,-0.5,0.0,-4.568068037473354e-08,0.0,-0.09087835686411774,-0.16690566803197165,-4.0647120607598685e-06,6.673161988146603e-05,31.6931235369514,0.2,1.0026353597640991,0.29964671415441174,-34.08244705200195,0.042655736,0.00029976959999999996,-2.3310747146606445,8.076923370361328,-0.008067749002400567,20591
-0.00027531268954383224,0.0,0.0,-0.2951638815677089,0.0,-1.000988335708425,3972,-0.008707953407535406,-0.011319986979166932,-0.978376250663534,-0.14526866635126282,-0.09590382050069163,94.49,0.0,-0.5038994684689784,-0.21235673864026408,-2.7820399587636825e-05,0.01,0.0004608,0.6498940160000001,7,129024,32,25.06912,-0.525724335864179,0.0,0.1011722001925814,0.09102877193028992,0.0,-0.19770428740312684,-123.59171189,-0.5,0.0,-4.2127457144474506e-08,0.0,-0.0913414627960107,-0.16448524190781133,-4.858278825373575e-06,7.541218979491128e-05,28.93498357137044,0.2,1.0004162788391113,0.267333984375,-34.05859247843424,0.023881482,0.00029972352,-1.3377954959869385,14.451791763305664,0.018024104336897533,20592
-0.0003248620152971548,0.0,0.0,-0.2884896846667008,0.0,-0.9564658891676986,4032,-0.009452002244865428,-0.012044270833333627,-0.9824729242476337,-0.14657073838201978,-0.09888000797338996,101.63,0.0,-0.5294959852413701,-0.20026158877455938,-3.3333310564957805e-05,0.01,0.0005376,0.649876352,8,147456,36,25.08064,-0.5113756999298923,0.0,0.08601258040674015,0.08268423241950443,0.0,-0.21925015786990965,-125.38548922999999,-0.5,0.0,-4.0307871405188574e-08,0.0,-0.09179184574769889,-0.1763810510898448,-5.899143297892461e-06,8.08374509991457e-05,24.43516731262207,0.2,1.0024279356002808,0.3199869791666667,-34.080465952555336,0.039297864,0.00029967744,-2.7542762756347656,8.750120162963867,0.0022429397536648642,20594
-0.0003914398086957006,0.0,0.0,-0.28185738766213453,0.0,-0.9036470236385524,4084,-0.00784705704376961,-0.011515299479166937,-0.9636239712875702,-0.14676917247349636,-0.09516167897324473,101.05,0.0,-0.5256129045237109,-0.19640437533093866,-4.0611921247948635e-05,0.01,0.0006144,0.649858688,9,165888,40,25.09216,-0.5188510893633534,0.0,0.10181866640654928,0.08522572666419578,0.0,-0.2023733055117216,-125.20832238999999,-0.5,0.0,-3.9708207604665385e-08,0.0,-0.09205953127865142,-0.1718907118079537,-7.371457819980593e-06,0.00011121941174173521,21.101087252298992,0.2,1.0021612644195557,0.3594563802083333,-34.08063761393229,0.06077078,0.00029963136,-4.352822303771973,8.870865821838379,0.015801550975690287,20596
-0.00044269922243430634,0.0,-3.43150038841284e-05,-0.2800286375106291,0.0,-0.8729708267658698,4128,-0.009256547248777678,-0.01204427083333362,-0.9618677110866414,-0.14408486030544487,-0.09992649027965365,108.4,0.0,-0.5653164264590722,-0.19836174708696372,-4.734848539749827e-05,0.01,0.0006912,0.649841024,10,184320,44,25.10368,-0.4991502821451672,0.0,0.07681551575853579,0.08334844382876422,0.0,-0.2237217256731348,-127.05587229999999,-0.5,0.0,-4.2340665057957856e-08,0.0,-0.09253412544863404,-0.19048234118549515,-8.672716175647782e-06,0.0001247827991998444,45.39479446411133,0.2,1.0004141330718994,0.2415771484375,-34.05935096740723,0.02408471,0.00029958527999999996,-2.180438280105591,30.060741424560547,0.007673710584640503,20597
