reward_terms/torque,reward_terms/hip_roll,curriculum/eff_scale,reward_terms/motor_vel,reward_terms/stance,reward_terms/foot_slip,reward_terms/height,rollout/ep_len_mean,time/time_elapsed,reward_terms/stance_time,reward_terms/assist_pen,reward_terms/air_time,reward_terms/energy,time/fps,reward_terms/stop,reward_terms/alive,reward_terms/action_rate,reward_terms/phase_contact,reward_terms/lat_vel,reward_terms/ang_xy,reward_terms/upright,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/angmom,curriculum/stance_ratio,time/iterations,rollout/ep_rew_mean,time/total_timesteps,reward_terms/time,reward_terms/vz,reward_terms/coef_rate,reward_terms/clearance,reward_terms/residual,reward_terms/fwd_speed,curriculum/ent_coef,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/std,train/approx_kl,train/loss
0.0,-0.0032121006278904864,0.0,0.0,-4.248066871323789e-06,-0.08940267224719951,-0.054464078113442144,276.41818181818184,9,-0.09376333065221035,0.0,0.0,0.0,1869,0.0,0.0,-0.21801303018693705,-0.6124684014548964,-2.4083317743860916e-08,-9.65806211977326e-06,-6.888883306362143e-08,25.0,0.0,0.0,0.65,1,-169.06243941818178,18432,-0.5,-0.21465300763552655,-1.5553573988457665,0.024424624715364402,-0.060765029195925586,-1.2792632074792476,0.01,,,,,,,,,,,
-2.2389898432574175e-05,-0.0036106860062697626,7.68e-05,-1.5584448234074246e-07,0.0,-0.10417393573719826,-0.06659990513336181,279.05,14,-0.08898766602861644,0.0,0.0,-1.6672516482098321e-06,2531,0.0,0.0,-0.21529370749012688,-0.589934392185422,-2.4789968552386318e-08,-9.156384024813793e-06,-6.681491879359793e-08,25.01152,0.0,0.0,0.649982336,2,-169.72154394,36864,-0.5,-0.2635769865955239,-1.566597966614712,0.03028278908238175,-0.06099506612915219,-1.4052622068951448,0.01,-0.01637434959411621,316.0878601074219,0.0517578125,0.00029999385599999997,-34.08082332611084,-0.019946133194025606,4,0.2,1.0023794174194336,0.0080361245,140.320068359375
-4.537682920829397e-05,-0.003710504384292145,0.0001536,-3.090693034401693e-07,0.0,-0.1032524259463697,-0.06973564739981779,274.25,18,-0.08522410595226877,0.0,0.0,-3.3469319146129457e-06,2970,0.0,0.0,-0.21738193132117412,-0.5875237407540062,-2.4845829683731994e-08,-9.385954397799051e-06,-6.701446525623706e-08,25.02304,0.0,0.0,0.6499646720000001,3,-168.52187390999998,55296,-0.5,-0.27162633893021315,-1.5592326499915727,0.031041507598322374,-0.061122327988528756,-1.4571432418218955,0.01,0.17299336194992065,366.8873291015625,0.01612548828125,0.000299987712,-34.07714672088623,-0.011582110135350376,8,0.2,1.0020880699157715,0.004679839,151.83035278320312
-6.736370403607461e-05,-0.0033676145606166916,0.0002304,-4.6317046254658985e-07,0.0,-0.10378854463131065,-0.06339475096842091,273.14,22,-0.09497004618040389,0.0,0.0,-4.949147554046517e-06,3256,0.0,0.0,-0.21636401292243798,-0.6007822300296558,-2.5089046535723337e-08,-9.31362367398575e-06,-6.736783984939832e-08,25.03456,0.0,0.0,0.649947008,4,-168.24655912999998,73728,-0.5,-0.24819144472483837,-1.5688263931915813,0.028102419533470955,-0.061293535337125955,-1.38668541915394,0.01,0.36915767192840576,351.4338668823242,0.0096923828125,0.000299981568,-34.07596263885498,-0.010090330831008031,12,0.2,1.0018994808197021,0.0036735577,169.22918701171875
-8.783081026165174e-05,-0.004101500056557923,0.0003072,-6.121049677260177e-07,0.0,-0.10648622580281306,-0.06278930511326897,279.12,26,-0.09732423572535885,0.0,0.0,-6.517276289372394e-06,3453,0.0,0.0,-0.2160422517562675,-0.5997111787657976,-2.50790318074214e-08,-9.411802314590905e-06,-6.953091983268826e-08,25.04608,0.0,0.0,0.649929344,5,-169.7441283,92160,-0.5,-0.2480242119926458,-1.5694840813771513,0.027690791276470166,-0.06075728860861593,-1.3614545686571438,0.01,0.5282347202301025,305.8557647705078,0.00904541015625,0.000299975424,-34.0796932220459,-0.010695983772166073,16,0.2,1.0023579597473145,0.0036206637,148.60382080078125
-0.00011225583898259161,-0.003918591575193132,0.000384,-7.864154194463706e-07,-1.2527165899772847e-05,-0.11020190177615828,-0.06620429683736932,279.6,30,-0.09560251157543259,0.0,0.0,-8.358143708157764e-06,3598,0.0,0.0,-0.21744147574501663,-0.5926155204191459,-2.47256851963245e-08,-9.23197162419446e-06,-6.526809550628332e-08,25.0576,0.0,0.0,0.64991168,6,-169.85972505,110592,-0.5,-0.25870547866388294,-1.5645274256492756,0.028424321757573583,-0.06100716110463238,-1.397338296032282,0.01,0.6034194827079773,292.15475311279295,0.01312255859375,0.00029996928,-34.08362979888916,-0.01143901011091657,20,0.2,1.002588152885437,0.004301117,134.6156768798828
-0.00013253972572818085,-0.003315394893906434,0.0004608,-9.236945114569935e-07,0.0,-0.09403407622647282,-0.06143349915217186,278.2,34,-0.10439046949775527,0.0,0.0,-9.835749556630985e-06,3712,0.0,0.0,-0.2153881383268573,-0.5998809489682293,-2.4588493752445413e-08,-9.499671511864799e-06,-7.065022460089399e-08,25.06912,0.0,0.0,0.6498940160000001,7,-169.50528585,129024,-0.5,-0.24110234183563334,-1.5536612144710653,0.02758311642986016,-0.06103025586416936,-1.3508560914111303,0.01,0.6388128995895386,301.42523803710935,0.0106201171875,0.000299963136,-34.07762260437012,-0.01054181563667953,24,0.2,1.0019108057022095,0.0038818433,129.75437927246094
-0.00015491872754583189,-0.003086763637674619,0.0005376,-1.071242367316854e-06,0.0,-0.10196062067009912,-0.06650750631910042,277.09,38,-0.0934576044706369,0.0,0.0,-1.1450077278973147e-05,3796,0.0,0.0,-0.2154602795922714,-0.5934159443918539,-2.4723364022633242e-08,-9.182194865861089e-06,-6.759332247037046e-08,25.08064,0.0,0.0,0.649876352,8,-169.23787973999998,147456,-0.5,-0.2608205109068793,-1.552912853734051,0.029258563393205404,-0.06112670709641462,-1.3989093061703486,0.01,0.6799136400222778,272.6821624755859,0.01077880859375,0.000299956992,-34.074528503417966,-0.011591984739061445,28,0.2,1.0017311573028564,0.0038766689,125.58016967773438
-0.0001782175954571609,-0.00391223283190051,0.0006144,-1.2530839037880763e-06,0.0,-0.10284016520649757,-0.06347814958662348,280.89,43,-0.11052923913262526,0.0,0.0,-1.3298471033207844e-05,3849,0.0,0.0,-0.2145739653001567,-0.5957571016467227,-2.5321230388398543e-08,-9.268504081342628e-06,-6.923343104935174e-08,25.09216,0.0,0.0,0.649858688,9,-170.18640411999996,165888,-0.5,-0.24767186067928965,-1.5606023030749414,0.0282438276929675,-0.06105182071595155,-1.3773307101679078,0.01,0.6852395534515381,290.1568298339844,0.00582275390625,0.00029995084799999997,-34.074691963195804,-0.010094914981164039,32,0.2,1.0018596649169922,0.0030268095,130.96397399902344
-0.00019662726082980673,-0.003933711552142206,0.0006912,-1.4222553529508516e-06,0.0,-0.10951488164341035,-0.06308216261878946,281.79,47,-0.0985563343048044,0.0,0.0,-1.4974875182563443e-05,3903,0.0,0.0,-0.21672215168638786,-0.5985043796403535,-2.4746778847412407e-08,-9.526187913356918e-06,-6.922728030577699e-08,25.10368,0.0,0.0,0.649841024,10,-170.40709643999998,184320,-0.5,-0.2459480579971173,-1.5588403393790329,0.02769276198802642,-0.061224764857116046,-1.37161924374967,0.01,0.7050774097442627,254.94315338134766,0.0099365234375,0.00029994470399999997,-34.076667404174806,-0.010826627374626696,36,0.2,1.0020068883895874,0.0035985583,114.74087524414062
