reward_terms/coef_rate,reward_terms/angmom,reward_terms/hip_roll,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/torque,reward_terms/vz,time/iterations,reward_terms/stop,reward_terms/energy,reward_terms/residual,reward_terms/clearance,curriculum/eff_scale,time/total_timesteps,reward_terms/stance_time,reward_terms/upright,time/fps,reward_terms/ang_xy,reward_terms/alive,reward_terms/phase_contact,reward_terms/height,reward_terms/air_time,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/stance,time/time_elapsed,reward_terms/motor_vel,reward_terms/fwd_speed,curriculum/stance_ratio,rollout/ep_len_mean,reward_terms/overrun,reward_terms/time,reward_terms/action_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/explained_variance
-0.875357008979106,-0.24771382728056782,-0.01441601593289383,-127.93337492999999,-3.4367267828055275e-09,-0.0017004174490809613,-0.08209109248726483,15,0.0,-0.0001696469923561729,-0.5112112312192589,0.04047137986118181,0.0043008,276480,-0.01797415440604608,-0.27975386543889563,2900,-0.5743509394860713,0.5,-0.4169183560278229,-0.013691067431210792,3.580721871306499e-05,-0.6891140455919161,0.01,-0.004040179409914305,95,-4.434660199086125e-05,-0.162914809518082,0.649010816,29.27,0.0,0.0,-0.11460191207529917,0.2,0.043188196,-34.07051031930106,0.00665108796342143,0.0003,1.0012859106063843,33468,2.836625814437866,11.998669419969831,0.3241489955357143,-5.378611087799072
-0.8804656310094106,-0.22585923432674143,-0.014317130638564872,-129.49479959,-3.47461949607062e-09,-0.0018383234773680973,-0.08135072623687783,16,0.0,-0.00018223147457452728,-0.5102480523520386,0.040180546921451774,0.004608,294912,-0.021996502644873947,-0.25429582049888844,2906,-0.5431799925320788,0.5,-0.4136108349612595,-0.013895956545476571,2.7126716708557473e-05,-0.6760267409988308,0.01,-0.0035549074528210406,101,-4.8151128964201155e-05,-0.15945775682007313,0.64894016,30.76,0.0,0.0,-0.11460337032076867,0.2,0.027071174,-34.06348342895508,0.009891100693494081,0.0003,1.000732421875,33469,4.962600231170654,25.31776237487793,0.293505859375,-4.951714992523193
-0.8764096032084053,-0.22667523065334727,-0.013406366744290112,-123.98987695,-3.469228484942447e-09,-0.0019682930813815194,-0.08043801311075914,17,0.0,-0.00019465711036361613,-0.5110556227185176,0.04253395520729302,0.0049152,313344,-0.019571373636911932,-0.25594062531728795,2911,-0.5266564293482381,0.5,-0.4122094119242425,-0.013329396994144042,6.944439438585605e-05,-0.6795700425469572,0.01,-0.0026943864332339444,107,-5.0593730912224904e-05,-0.14245320976452738,0.648869504,25.61,0.0,0.0,-0.11453183078249962,0.2,0.045559976,-34.06304041544596,0.004984843311831355,0.0003,1.0007188320159912,33471,2.07932448387146,6.581556797027588,0.24312337239583334,-8.112356185913086
-0.8656556937573461,-0.23399769162745596,-0.013859034985164888,-127.35239057999998,-3.4493135015116455e-09,-0.0020707326655708975,-0.08096935358502672,18,0.0,-0.00020619395021402514,-0.5099557254654621,0.041979149501278255,0.0052224,331776,-0.023432591021345515,-0.26512885094431565,2916,-0.5355889064042656,0.5,-0.4172636384539078,-0.013465999641391106,3.689232269405491e-05,-0.7046943141918072,0.01,-0.004252324010086379,113,-5.40616467540315e-05,-0.1493351381233704,0.648798848,28.91,0.0,0.0,-0.11334342081936362,0.2,0.02391313,-34.059542655944824,0.0055864774622023106,0.0003,1.0004334449768066,33472,10.65107250213623,28.81237506866455,0.2418212890625,-0.32153165340423584
-0.8669687247668281,-0.2246427221648975,-0.01267138429947325,-125.74691492000002,-3.052634463832978e-09,-0.002235337320132717,-0.07540304868631977,19,0.0,-0.00021840185139185926,-0.5109346162479849,0.036920413188369444,0.0055296,350208,-0.02682234672344445,-0.26139740073061146,2920,-0.5279184969645397,0.5,-0.42206616107969874,-0.01295111126683776,4.014753762425648e-05,-0.6800548489019784,0.01,-0.003946918634253497,119,-5.677069910090946e-05,-0.17993315272063848,0.648728192,27.2,0.0,0.0,-0.11369805044004708,0.2,0.081671804,-34.06214396158854,0.009173759647334615,0.0003,1.0006351470947266,33474,7.047743797302246,17.134652137756348,0.253662109375,-9.610512733459473
-0.8717815577799497,-0.22060107626221578,-0.014177891579672268,-127.62594053,-3.6395771095351933e-09,-0.0023962331201969897,-0.07517267348792527,20,0.0,-0.00023330323280067365,-0.51080667525927,0.03702517008750586,0.0058368,368640,-0.031091545900886156,-0.2674381538358366,2924,-0.5132107563251562,0.5,-0.414705436534182,-0.013085334631192437,6.618919562444919e-05,-0.7035376445134586,0.01,-0.006568708427924517,126,-5.973860727061018e-05,-0.18641293826842723,0.648657536,29.36,0.0,0.0,-0.11341985439717463,0.2,0.04824555,-34.05574417114258,0.022485477733425796,0.0003,1.0001146793365479,33475,5.70237398147583,16.021183490753174,0.2996826171875,-6.2331109046936035
-0.868837626852642,-0.22765918934220064,-0.013515333780272561,-127.65838956999998,-3.4141226750865572e-09,-0.002458705891631675,-0.0767924793615719,21,0.0,-0.00024163931704444374,-0.5102343451610402,0.036224126843089254,0.006144,387072,-0.026158824323728267,-0.27407596559139574,2928,-0.5229489937858921,0.5,-0.4234344035133193,-0.012438732786238036,3.146696771081123e-05,-0.7034983480695982,0.01,-0.005780570259885512,132,-6.212998098403512e-05,-0.1825194321413523,0.64858688,29.29,0.0,0.0,-0.11274608111630154,0.2,0.039789323,-34.05500793457031,0.023830117541365325,0.0003,1.0000827312469482,33476,3.8101797103881836,9.312909126281738,0.2816162109375,-6.653560161590576
-0.8706914424722593,-0.22769070610126685,-0.013663295504436505,-129.45620674,-3.4191941381743647e-09,-0.0026072299482389947,-0.07971698284546802,22,0.0,-0.0002531640928708091,-0.5113559534406691,0.03748117270710337,0.0064512,405504,-0.03190860235352173,-0.28876119479785106,2932,-0.5233284539872433,0.5,-0.4231114667385269,-0.013264080985755187,7.269961254981656e-05,-0.6981872634820654,0.01,-0.004923990111310559,138,-6.485794579486432e-05,-0.19721752449242402,0.648516224,31.14,0.0,0.0,-0.11254059140268523,0.2,0.0363417,-34.054426193237305,0.020675845444202423,0.0003,1.0000594854354858,33477,4.272238731384277,9.252670288085938,0.2757568359375,-7.693182945251465
-0.870164811024499,-0.224027092844669,-0.01397008619485654,-128.68299792,-3.4371739181561393e-09,-0.002751297952214882,-0.08004261508021965,23,0.0,-0.00026480161793174055,-0.5110771308498809,0.037522744484193404,0.0067584,423936,-0.026106741242175404,-0.28840968201888106,2935,-0.5159290298048166,0.5,-0.42731617461577975,-0.013737796745865406,4.01475473255333e-05,-0.718164743608147,0.01,-0.007259697172647568,144,-6.726752629944426e-05,-0.19045156066548904,0.648445568,30.44,0.0,0.0,-0.11249745846551232,0.2,0.028428946,-34.05385208129883,0.011960341595113277,0.0003,1.00003182888031,33478,9.369115829467773,20.60391139984131,0.2515869140625,-6.350222110748291
-0.8620765484425073,-0.22757776654709452,-0.013969864164064772,-127.74542362999999,-3.427800320016875e-09,-0.002919747960974028,-0.07790239640934792,24,0.0,-0.00027791097272604574,-0.5107253145365207,0.03619579836986694,0.0070656,442368,-0.024623993527105387,-0.2874128483537911,2939,-0.5193163189164235,0.5,-0.4288106178503401,-0.012547845073841907,6.835932920997341e-05,-0.7249017094652772,0.01,-0.0051918712218157435,150,-6.959786044308412e-05,-0.1848694606240532,0.648374912,29.47,0.0,0.0,-0.11171736308600343,0.2,0.023172587,-34.05326843261719,0.0075113310012966394,0.0003,1.0000030994415283,33479,17.940872192382812,32.87111759185791,0.2310791015625,-6.647450923919678
