reward_terms/torque,time/total_timesteps,reward_terms/energy,rollout/ep_rew_mean,reward_terms/residual,reward_terms/motor_vel,reward_terms/air_time,reward_terms/lat_vel,curriculum/ctrl_jitter_ms,rollout/ep_len_mean,reward_terms/stand,curriculum/ctrl_drop_prob,reward_terms/clearance,curriculum/cmd_scale,reward_terms/coef_rate,reward_terms/track_yaw,reward_terms/angmom,reward_terms/stance_time,reward_terms/assist_pen,time/iterations,reward_terms/action_rate,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/alive,reward_terms/step_rate,reward_terms/stance,reward_terms/ang_xy,reward_terms/track_lin,curriculum/stance_ratio,reward_terms/overrun,reward_terms/stand_drift,reward_terms/stop,curriculum/cmd_track_err,reward_terms/fwd_speed,reward_terms/vz,reward_terms/time,time/time_elapsed,time/fps,reward_terms/hip_roll,curriculum/ent_coef,reward_terms/foot_ahead,reward_terms/residual_rate,reward_terms/upright,reward_terms/phase_contact,reward_terms/height,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction
0.0,18432,0.0,-74.8830016440678,-0.09898285769678203,0.0,0.0003195522779909273,-0.26836072660219745,0.0,207.52542372881356,0.15350698569717172,0.0,0.05656776155697395,0.0,-0.6167863241977538,0.5074244848881659,-0.10417856342058752,0.0,0.0,1,-0.11250226985628015,0.0,-0.41963459556992166,0.5,0.0,-0.12980136699616046,-0.40083388637485695,1.5175045714520552,0.7,0.0,-0.009774343945509575,0.0,0.5807351617703088,0.0,-0.09937746869629398,0.0,4,4079,-0.1065921032966335,0.01,0.0,0.0,-0.2727718269097945,-0.04224916573721524,-0.01618416273902866,,,,,,,,,,,
0.0,36864,0.0,-54.112904529999994,-0.09997864392163774,0.0,0.0002707242804010295,-0.258872696072483,0.0,260.52,0.10350000134376357,0.0,0.04108267313562676,0.0,-0.5988164028900735,0.5296759468566121,-0.09878879541941672,0.0,0.0,2,-0.11001722315712391,0.0,-0.402274326372349,0.5,0.0,-0.1601515588438639,-0.40666346845350615,1.5640313970214668,0.7,0.0,-0.11250720239904065,0.0,0.3735545753376335,0.0,-0.09002896077730298,0.0,9,3929,-0.11248391780156525,0.01,0.0,0.0,-0.25972613821810087,-0.03131809281589184,-0.013925311657033541,1262.6891021728516,-36.90781955718994,0.000299990784,0.012658834,-0.0071796157862991095,1.0010509490966797,462.2906494140625,0.2,20184,0.8821848630905151,0.17432861328125
0.0,55296,0.0,-30.128129559999998,-0.10069405847937288,0.0,0.00027777717979107465,-0.2732280337310656,0.0,304.83,0.10243168945912881,0.0,0.05092212831456158,0.0,-0.5652039898200943,0.565607066323959,-0.09012627307721112,0.0,0.0,3,-0.10183001575489826,0.0,-0.37316390163654956,0.5,0.0,-0.15668140291835525,-0.37875271498243696,1.3346353630019276,0.7,0.0,-0.13867950030055134,0.0,0.4166242055304938,0.0,-0.09462953945953399,0.0,13,3996,-0.10655813736571793,0.01,0.0,0.0,-0.27625309304861684,-0.03241623706781869,-0.013897643246528982,1020.8340454101562,-36.899905395507815,0.000299981568,0.008614561,-0.01259218539344147,1.0006234645843506,386.3316345214844,0.2,20188,0.8967682123184204,0.06512451171875
0.0,73728,0.0,-26.927355679999994,-0.10061556085253852,0.0,0.0004660364292148087,-0.2622263621998596,0.0,392.17,0.12923646956500817,0.0,0.06717773050948124,0.0,-0.6094525201993624,0.5412026820581896,-0.10855689037092939,0.0,0.0,4,-0.11070388701320205,0.0,-0.40943639208261684,0.5,0.0,-0.17723891929754432,-0.3928153098756547,1.25738703714547,0.7,0.0,-0.06753466931937097,0.0,0.3804105556621597,0.0,-0.09967697159713296,0.0,18,4034,-0.13062911631370777,0.01,0.0,0.0,-0.2932650563092173,-0.04566334776596779,-0.015470102467130261,844.6286895751953,-36.89928150177002,0.00029997235199999997,0.009709764,-0.015915466425940394,1.000616431236267,346.681640625,0.2,20192,0.9006435871124268,0.08516845703125
0.0,92160,0.0,-33.54223172,-0.10118848081446435,0.0,0.00025227799778804183,-0.25444793128454946,0.0,380.79,0.0880664134382244,0.0,0.04363534775223516,0.0,-0.5695940277159329,0.5535987752885213,-0.07612358745893971,0.0,0.0,5,-0.10632330534612378,0.0,-0.37934654480934316,0.5,0.0,-0.1531088570076956,-0.3486073286127094,1.7407126085214244,0.7,0.0,-0.006542491605804781,0.0,0.31746268944064504,0.0,-0.0846036954869225,0.0,22,4058,-0.09809110735476591,0.01,0.0,0.0,-0.24945055144516434,-0.040106939048774846,-0.013653699993301809,719.3689910888672,-36.9002965927124,0.000299963136,0.009957203,-0.01781418826431036,1.0007158517837524,249.3238067626953,0.2,20196,0.9145280718803406,0.0828857421875
0.0,110592,0.0,-27.38721219,-0.10033058923019686,0.0,0.000311414180840883,-0.2774096358470006,0.0,357.28,0.1220219381771887,0.0,0.05664376226341691,0.0,-0.5811611261109516,0.5273982950867198,-0.08073692771226777,0.0,0.0,6,-0.10825900661805175,0.0,-0.38611439591391167,0.5,0.0,-0.18259206355660068,-0.36749102351038476,1.3882760351420675,0.7,0.0,-0.07580761647338,0.0,0.3892473052051795,0.0,-0.07212073598102271,0.0,27,4075,-0.09795879602906646,0.01,0.0,0.0,-0.24663404663988414,-0.04822823487931781,-0.012373129207141943,716.1876831054688,-36.900447845458984,0.00029995392,0.010692871,-0.01833410547114909,1.0006237030029297,249.8327178955078,0.2,20200,0.9021458029747009,0.10401611328125
0.0,129024,0.0,-0.5435689100000001,-0.10138186334819528,0.0,0.00028265980654396117,-0.30683951825636824,0.0,438.51,0.06756063142062878,0.0,0.07243539404327845,0.0,-0.560132882931671,0.5082140325234811,-0.08017385489657919,-8.0701523175877e-05,0.0,7,-0.10383309953765713,0.0,-0.35476607764050333,0.5,0.0,-0.17633761147956586,-0.3414539434009056,1.5899781878936825,0.7,0.0,-0.03142742664202413,0.0,0.32236145294421,0.0,-0.07976710637247504,0.0,31,4086,-0.10715758310669701,0.01,0.0,0.0,-0.24602006229687032,-0.04643718752823452,-0.013787794342576437,715.4880828857422,-36.899682426452635,0.00029994470399999997,0.010280596,-0.016287738690152764,1.0007070302963257,254.05528259277344,0.2,20204,0.8869637846946716,0.09661865234375
0.0,147456,0.0,-27.800057990000006,-0.09911892391122554,0.0,0.0003786884222386612,-0.29454664587718654,0.0,354.9,0.1201150387794855,0.0,0.05544861191903192,0.0,-0.6315940195635291,0.47692332883053773,-0.11533650717488365,0.0,0.0,8,-0.11755078116747214,0.0,-0.4444478413667393,0.5,0.0,-0.17616104647879044,-0.41597000462451184,1.3455710269276806,0.7,0.0,-0.022862650743611553,0.0,0.4466684548980933,0.0,-0.10506504197000234,0.0,35,4096,-0.1210911957304199,0.01,0.0,0.0,-0.3265114146778047,-0.0388513300218867,-0.018747884072628094,553.6950424194335,-36.90310153961182,0.000299935488,0.013091274,-0.021872748585883527,1.0009149312973022,202.82815551757812,0.2,20208,0.905738353729248,0.13917236328125
0.0,165888,0.0,-62.41744001,-0.09978681634006024,0.0,0.00027614956424157653,-0.27383071816468846,0.0,276.14,0.08247261364951569,0.0,0.0511644237529304,0.0,-0.6103725237304786,0.4656997234741863,-0.12103547685481904,0.0,0.0,9,-0.11513041749197783,0.0,-0.4392137766592895,0.5,0.0,-0.14976405976108031,-0.3967496509869324,1.4193666334329338,0.7,0.0,-0.015583308187009716,0.0,0.45253127321153563,0.0,-0.11352667641330896,0.0,40,4102,-0.10717066944739623,0.01,0.0,0.0,-0.2813711587782026,-0.0414247356774014,-0.018469606404439984,606.7681701660156,-36.90371322631836,0.000299926272,0.013787177,-0.021757868572603912,1.0010100603103638,254.8114776611328,0.2,20212,0.8888306617736816,0.13697509765625
0.0,184320,0.0,-58.05234369,-0.09998457487117937,0.0,0.0002164708340488788,-0.2485988394377989,0.0,290.25,0.11799763971487695,0.0,0.03826928106880148,0.0,-0.5994540695370544,0.5025474893114966,-0.09474285622731961,0.0,0.0,10,-0.111718061333764,0.0,-0.4002068939015986,0.5,0.0,-0.1756363215559796,-0.3943167794473232,1.4834022977153953,0.7,0.0,-0.021330714578371088,0.0,0.4579623166742713,0.0,-0.1184596165600945,0.0,44,4111,-0.1206448350890468,0.01,0.0,0.0,-0.2901304016100213,-0.02581080430136677,-0.017160493861604693,528.9782531738281,-36.90352878570557,0.000299917056,0.0130700935,-0.02151930871186778,1.000956654548645,204.1898193359375,0.2,20216,0.9015011191368103,0.11947021484375
0.0,202752,0.0,-41.58654494,-0.10010039319685456,0.0,0.0002522780592294617,-0.2795552448795685,0.0,307.41,0.12818005673867758,0.0,0.041357745508148455,0.0,-0.6007747403395465,0.5427514243489463,-0.09469469046610357,0.0,0.0,11,-0.11136203580699308,0.0,-0.4120811252423344,0.5,0.0,-0.14326832308073667,-0.3755133319778215,1.5889516550961098,0.7,0.0,-0.023016221571790525,0.0,0.5151026832355197,0.0,-0.10086046219493286,0.0,49,4117,-0.1034266686226132,0.01,0.0,0.0,-0.257696802931936,-0.03461644544401585,-0.01691047471087428,427.45117645263673,-36.902740478515625,0.00029990784,0.01486565,-0.02410682903137058,1.000797986984253,175.48544311523438,0.2,20220,0.9236385226249695,0.1411865234375
0.0,221184,0.0,-14.248158369999992,-0.10003190993748357,0.0,0.00019585457630455494,-0.26470522028592414,0.0,352.81,0.0849436739376904,0.0,0.039613510241156426,0.0,-0.5939717667790892,0.5254713154726449,-0.09276880628579091,0.0,0.0,12,-0.11001076397269087,0.0,-0.4277456178131814,0.5,0.0,-0.1818493333967216,-0.40359545387095447,1.4510477711727188,0.7,0.0,-0.10308403892975718,0.0,0.4236552905819679,0.0,-0.08449291986735243,0.0,53,4123,-0.11591531866299759,0.01,0.0,0.0,-0.2928388888826574,-0.030213963638557988,-0.012067112454219337,464.3843795776367,-36.90154762268067,0.000299898624,0.0154174,-0.021962686645565554,1.0009019374847412,179.41482543945312,0.2,20224,0.9135614037513733,0.15386962890625
