reward_terms/clearance,reward_terms/assist_pen,reward_terms/action_rate,reward_terms/vz,time/fps,rollout/ep_len_mean,curriculum/stance_ratio,reward_terms/foot_slip,curriculum/eff_scale,time/iterations,rollout/ep_rew_mean,time/time_elapsed,curriculum/ent_coef,reward_terms/lat_vel,reward_terms/fwd_speed,reward_terms/stance_time,reward_terms/foot_ahead,reward_terms/upright,curriculum/ctrl_drop_prob,reward_terms/time,reward_terms/height,reward_terms/residual,reward_terms/ang_xy,curriculum/ctrl_jitter_ms,curriculum/sprint_dist_m,reward_terms/step_rate,reward_terms/energy,reward_terms/alive,reward_terms/hip_roll,reward_terms/motor_vel,time/total_timesteps,reward_terms/torque,reward_terms/air_time,reward_terms/overrun,reward_terms/stance,reward_terms/coef_rate,reward_terms/stop,reward_terms/phase_contact,reward_terms/angmom,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/std,train/value_loss
0.05412763337115096,0.0,-0.16303427227808265,-0.2285225088991964,4242,99.37,0.65,-0.4283737882983263,0.0,1,-124.81999858,4,0.01,-0.2828542994621587,-0.015013979329513797,-7.4597159659283025e-06,0.0,-0.8715878238909135,0.0,-0.5,-0.01732312295806259,-0.09316929518635236,-0.4487526667266562,0.0,25.0,0.0,0.0,0.0,-0.22839701530098097,0.0,18432,0.0,0.0002680116029094077,0.0,-0.6485402923740571,-1.1864902812985485,0.0,-0.4361785862183541,-0.06772808856089493,,,,,,,,,,,
0.04730402599064405,0.0,-0.16235267888960267,-0.2746857893594043,4085,107.62,0.649982336,-0.4112864010900678,7.68e-05,2,-126.88390199,9,0.01,-0.39028164978493335,0.056802804731028105,0.0,0.0,-0.9994322004818521,0.0,-0.5,-0.018822926351824556,-0.09225924265962153,-0.45367080619133904,0.0,25.01152,0.0,-2.669867664969227e-06,0.0,-0.2169962495344184,-3.67637076012983e-07,36864,-2.4327591883125905e-05,0.00019639711050937572,0.0,-0.7242888059033795,-1.2653941149290266,0.0,-0.4346228642584068,-0.06680672555970965,-0.05870342254638672,0.00029999385599999997,-34.073160552978514,24486,-0.005198740371270105,0.1058837890625,450.780517578125,0.012281116,0.2,1.0013424158096313,1878.84814453125
0.03562730954246242,0.0,-0.15877723496843515,-0.25498440963365815,4216,114.87,0.6499646720000001,-0.45553146699968594,0.0001536,3,-128.6898405,13,0.01,-0.4165409993348175,0.036509777518311644,0.0,0.0,-0.9834936554458866,0.0,-0.5,-0.021308259716102472,-0.09334772184695163,-0.4262741066458935,0.0,25.02304,0.0,-5.6866841519013395e-06,0.0,-0.20955501265174165,-7.959599047634916e-07,55296,-5.088472004660342e-05,0.00012261259770538245,0.0,-0.7083837367264265,-1.2378465749089829,0.0,-0.43893777637831916,-0.06803167234238537,-0.2452026605606079,0.000299987712,-34.061619186401366,24490,-0.007120564847718924,0.109521484375,192.81539916992188,0.011733371,0.2,1.0007537603378296,782.3107955932617
0.03386134584889971,0.0,-0.15888928379793665,-0.248105699235963,4273,116.35,0.649947008,-0.46714668724211567,0.0002304,4,-129.07039782,17,0.01,-0.4378353601765659,0.07229064292034991,-1.1935545545485285e-05,0.0,-0.9991090374453653,0.0,-0.5,-0.021734207205293992,-0.09462173484434164,-0.41042045849450015,0.0,25.03456,0.0,-9.040042220918478e-06,0.0,-0.20700962172961246,-1.2959831278871447e-06,73728,-7.906232302179853e-05,9.006057451996539e-05,0.0,-0.6981281992575916,-1.2201088950567212,0.0,-0.434071167675654,-0.06201056671743769,0.3754041790962219,0.000299981568,-34.0658935546875,24494,-0.008482845674734563,0.14827880859375,85.96529388427734,0.017076328,0.2,1.0010693073272705,286.71507568359374
0.03205610571642644,0.0,-0.1582945896355815,-0.2544480027498428,4310,127.98,0.649929344,-0.5071427736674453,0.0003072,5,-131.96878807,21,0.01,-0.5276460134798102,0.08142244084909865,-1.3562061616943942e-07,0.0,-1.0090400672767332,0.0,-0.5,-0.026383225766631442,-0.09600898035608606,-0.38759126371533426,0.0,25.04608,0.0,-1.2781942157676805e-05,0.0,-0.21042126793107546,-1.9094805525445065e-06,92160,-0.00010485838730225914,4.014749235163132e-05,0.0,-0.7316583671694478,-1.201067881344534,0.0,-0.4348271847600438,-0.056439641952095415,0.6957807540893555,0.000299975424,-34.06482486724853,24498,-0.01159105442930013,0.19501953125,59.307655334472656,0.02200543,0.2,1.0009944438934326,180.15758056640624
0.03382837799121067,0.0,-0.15574254273363272,-0.2450005919708586,4349,148.17,0.64991168,-0.5395766003483008,0.000384,6,-137.02176352,25,0.01,-0.5900868019024456,0.09370011144173813,-1.3562061616943942e-07,0.0,-1.0233509534608975,0.0,-0.5,-0.02832931184173588,-0.09767106041687496,-0.3496740307372226,0.0,25.0576,0.0,-1.703026731554438e-05,0.0,-0.21629348149352512,-2.677312128303223e-06,110592,-0.0001305423096947389,4.720039820919434e-05,0.0,-0.7723884154718951,-1.1811325540748712,0.0,-0.40076110370808177,-0.053543254543386806,0.782807469367981,0.00029996928,-34.06388473510742,24502,-0.003502117573387093,0.3041178385416667,42.117523193359375,0.038851578,0.2,1.0009033679962158,137.20582495795355
0.034691520170679745,0.0,-0.15480521634164787,-0.23362751446922475,4380,153.61,0.6498940160000001,-0.5408032539960028,0.0004608,7,-138.38841785,29,0.01,-0.5815484968813512,0.09173613750899647,-2.848226965094606e-06,0.0,-0.9989268578661318,0.0,-0.5,-0.02731896389905342,-0.09852091672269037,-0.3422232248489025,0.0,25.06912,0.0,-2.1319137889576195e-05,0.0,-0.20831256878564008,-3.426519629226662e-06,129024,-0.0001586437038363685,6.510391055295865e-06,0.0,-0.5783584054833198,-1.1480124267106993,0.0,-0.37679971483758523,-0.0522831480009056,0.810427188873291,0.000299963136,-34.051883697509766,24503,0.025263481307774782,0.323974609375,92.58088684082031,0.0364233,0.2,0.9999629259109497,177.6551055908203
0.03298994407947152,0.0,-0.15550429297056192,-0.24870518632986316,4398,161.4,0.649876352,-0.5910045246763596,0.0005376,8,-140.32353325,33,0.01,-0.6542833163472037,0.09542970115197728,-5.424953997135162e-07,0.0,-0.9593714566321245,0.0,-0.5,-0.03134405598633192,-0.09956093798147088,-0.33553991106041897,0.0,25.08064,0.0,-2.6254706586714685e-05,0.0,-0.2214641075040823,-4.33210989242318e-06,147456,-0.0001897897664798166,3.092442057095468e-05,0.0,-0.6680562453829136,-1.1156128807403145,0.0,-0.36658963825960234,-0.05095700311355958,0.7452479600906372,0.000299956992,-34.072297748766445,24507,-0.00670658901186758,0.3382118626644737,31.092975616455078,0.042754993,0.2,1.0021309852600098,103.38137094598068
0.038341190791204544,0.0,-0.15488495147897405,-0.23031728912217775,4418,166.59,0.649858688,-0.591050782448724,0.0006144,9,-141.62000933,37,0.01,-0.5887432443575279,0.08272507088940971,-8.137625021239122e-07,0.0,-0.9327993435186676,0.0,-0.5,-0.02876693567878763,-0.10000788946475149,-0.32519688933357066,0.0,25.09216,0.0,-3.120051942281529e-05,0.0,-0.2122443730131515,-5.314613308028339e-06,165888,-0.00022165206890314057,6.130629723581175e-05,0.0,-0.5107829360216262,-1.0916102556119192,0.0,-0.351383711257123,-0.05535598398232165,0.8060005307197571,0.00029995084799999997,-34.059435526529946,24508,0.026198612215618294,0.3328450520833333,59.847862243652344,0.039693613,0.2,1.000406265258789,118.33636983235677
0.035477253066515016,0.0,-0.15590255175869658,-0.19995360515033958,4434,166.53,0.649841024,-0.6277969429884191,0.0006912,10,-141.61344216999998,41,0.01,-0.555347788749379,0.11681169360264455,-4.692874305571119e-05,0.0,-0.9262540288280494,0.0,-0.5,-0.024419901054459042,-0.10001668383493477,-0.3446205421255432,0.0,25.10368,0.0,-3.685984721042965e-05,0.0,-0.20467913014965228,-6.3755796974882975e-06,184320,-0.00026144408006077875,4.340254236012697e-06,0.0,-0.48912761226701273,-1.0688267191736438,0.0,-0.3529180417126251,-0.05361287551404273,0.7844210267066956,0.00029994470399999997,-34.0772959391276,24511,0.00242354484119763,0.3100179036458333,24.965974807739258,0.04033332,0.2,1.001912236213684,78.97459348042806
0.035535252945598075,0.0,-0.1545787740201063,-0.2234684089248081,4447,174.4,0.6498233600000001,-0.6503333198029729,0.000768,11,-143.58144291,45,0.01,-0.6041014928591518,0.08716682316234751,-0.00012152660120692517,0.0,-0.8877767740687769,0.0,-0.5,-0.029705741882749645,-0.10050902926958588,-0.3303986708033564,0.0,25.1152,0.0,-4.1230507635255225e-05,0.0,-0.20672662184123286,-7.245299677810094e-06,202752,-0.00029164645517617356,3.255198438030978e-05,0.0,-0.506615320652036,-1.0428145790319272,0.0,-0.3353258075853373,-0.053468937900191756,0.7597984075546265,0.00029993856,-34.07149887084961,24513,0.004955424823694759,0.3223470052083333,20.86113739013672,0.0371661,0.2,1.0014952421188354,55.119649251302086
0.03254843065604352,0.0,-0.15701132352543293,-0.22018907513807376,4455,179.24,0.649805696,-0.6786207330251236,0.0008448,12,-144.7873155,49,0.01,-0.6307636120107882,0.09983707963059861,-0.00011393114820950561,0.0,-0.8660800812773499,0.0,-0.5,-0.02877912746128432,-0.10083241616633344,-0.34682824225975667,0.0,25.12672,0.0,-4.836871871516528e-05,0.0,-0.2039806596022511,-8.644487631451547e-06,221184,-0.0003367959360150078,3.2009469578042626e-05,0.0,-0.47909847377723697,-1.0244941981405573,0.0,-0.3312125940354826,-0.061653536634585185,0.7152676582336426,0.000299932416,-34.069738176133896,24515,0.003908194743821191,0.3038736979166667,15.574042320251465,0.03896275,0.2,1.0013455152511597,40.289435704549156
0.03339141070051127,0.0,-0.15703707025317026,-0.2217471547463066,4465,183.98,0.649788032,-0.7083179884206472,0.0009216,13,-145.97252669,53,0.01,-0.6155625980890276,0.07264446054747514,-1.627583211908738e-05,0.0,-0.8333820724731188,0.0,-0.5,-0.02944103506543371,-0.10100220627597079,-0.34286167672585777,0.0,25.13824,0.0,-5.4174027737521623e-05,0.0,-0.19517856684901824,-9.833556627638027e-06,239616,-0.0003708697393914574,4.882798142110308e-06,0.0,-0.4170723159273552,-0.9896347521939701,0.0,-0.3277689075826612,-0.062095038482872233,0.6954004168510437,0.000299926272,-34.06562696184431,24517,0.010744653642177582,0.310791015625,11.03164005279541,0.04477355,0.2,1.0010673999786377,31.09580639430455
