reward_terms/time,reward_terms/energy,reward_terms/stance,reward_terms/vz,curriculum/eff_scale,time/time_elapsed,curriculum/ent_coef,curriculum/stance_ratio,time/fps,curriculum/pitch_assist,reward_terms/overrun,reward_terms/ang_xy,reward_terms/lat_vel,reward_terms/stop,reward_terms/torque,reward_terms/air_time,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/upright,reward_terms/residual,reward_terms/hip_roll,time/iterations,reward_terms/clearance,reward_terms/alive,reward_terms/stance_time,reward_terms/height,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/action_rate,rollout/ep_len_mean,reward_terms/phase_contact,time/total_timesteps,reward_terms/motor_vel,reward_terms/coef_rate,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
0.0,0.0,-0.0009085924802191346,-0.13871191603520233,0.0,7,0.01,0.65,2374,1.0,0.0,-0.3299811618518711,-7.665783452633798e-09,0.0,0.0,0.0002604166026382397,-0.8558160833203046,1.2675866779256488,-0.07855321215826516,-0.2613783668516405,-0.01770644018555902,1,0.09677955002951326,0.5,0.0,-0.03017089349150953,-0.19172406749103205,-113.02171345000001,-0.15557899589851107,31.86,-0.45331547393446847,18432,0.0,-0.5822620259818203,,,,,,,,,,,
0.0,0.0,-5.8153296312276145e-05,-0.14265507042441725,0.0,15,0.01,0.65,2326,0.9995392,0.0,-0.3466791519069439,-8.615842667275005e-09,0.0,0.0,0.00023546000658017065,-0.9107254269490076,1.194743391700921,-0.07499733845046729,-0.26083791907598,-0.020676846380012905,2,0.09645293071462241,0.5,0.0,-0.027499492704268866,-0.19632267158177816,-115.97560371999998,-0.1617667134032719,30.93,-0.45570891975801253,36864,0.0,-0.618020881064,0.0003,-1.3179759979248047,1.0006959438323975,33433,0.0034420527750626206,0.2,0.016458051,0.137255859375,6781.688403320312,1629.4361572265625,-34.06504077911377
0.0,0.0,-0.001521286328494751,-0.13470984641535433,0.0,21,0.01,0.65,2523,0.9990784,0.0,-0.35780707758751334,-9.28330205099039e-09,0.0,0.0,0.00016927082712451616,-0.9521450905835801,1.0646721390860705,-0.07304010770156118,-0.26010679455162466,-0.02146437055665618,3,0.08377370440249693,0.5,-4.014747941659557e-05,-0.02868020662068864,-0.19346774523683685,-117.63796233000001,-0.1680227725653449,30.19,-0.46408643777901987,55296,0.0,-0.6590210892649349,0.0003,-2.2553579807281494,1.000138282775879,33437,-0.00411686827428639,0.2,0.0032235081,0.0073486328125,3152.7332153320312,865.0628662109375,-34.05631427764892
0.0,0.0,-0.001778279682578203,-0.12530010428957622,0.0,27,0.01,0.65,2633,0.9986176,0.0,-0.3602307430850993,-8.222451921708714e-09,0.0,0.0,6.944438468457924e-05,-0.9521964390906036,0.95485251769967,-0.06709730934883967,-0.2590446272771152,-0.020698778523726154,4,0.07406236706582309,0.5,-0.000257161043312711,-0.02758135007176696,-0.19087351983818673,-120.50404124999999,-0.17127940827787513,31.41,-0.46524931341240955,73728,0.0,-0.7180708705431688,0.0003,-1.7196145057678223,1.0001840591430664,33441,-0.008853446925058961,0.2,0.006514523,0.03433837890625,987.4428527832031,249.0504150390625,-34.05604019165039
0.0,0.0,-0.0057265700705345975,-0.12495607409610218,0.0,34,0.01,0.65,2704,0.9981568,0.0,-0.3605740642144621,-7.293965661043359e-09,0.0,0.0,7.812494489674766e-05,-0.92911472130265,0.884414662949456,-0.06188999731335067,-0.25887956354042874,-0.022450280390522933,5,0.0722921436872946,0.5,-0.000667316538359349,-0.026346562718060105,-0.18990893016993934,-123.85630225999999,-0.17053074153405698,34.39,-0.4679337091346471,92160,0.0,-0.7592335413339035,0.0003,-1.005711317062378,1.0003747940063477,33445,-0.010964322998188437,0.2,0.010879594,0.07735595703125,292.41622161865234,77.3449478149414,-34.05790958404541
0.0,0.0,-0.00649233924901187,-0.12603364498329653,0.0,40,0.01,0.65,2754,0.997696,0.0,-0.3624586758502504,-8.211360823963079e-09,0.0,0.0,0.00017144088956734372,-0.9212003702381634,0.8386402259862922,-0.06431697055746098,-0.2582206899507235,-0.024555940659015105,6,0.07103438562000533,0.5,-0.0006960705957478947,-0.028794356532373173,-0.19303293645491906,-124.5496209,-0.17171082385731581,34.55,-0.46112634857302454,110592,0.0,-0.7899788318058468,0.0003,-0.9795123338699341,1.0007822513580322,33449,-0.014868654101155699,0.2,0.01838473,0.1452880859375,100.21683731079102,24.217187881469727,-34.06180629730225
0.0,0.0,-0.006349522560595532,-0.1226534027743289,0.0,46,0.01,0.65,2791,0.9972352,0.0,-0.3772586164005926,-7.759175757109013e-09,0.0,0.0,6.94443652820256e-05,-0.9231431126460206,0.8219044296962124,-0.06578539959002924,-0.2582623574977598,-0.024501984871580406,7,0.06725653813299563,0.5,-0.0007904716039774939,-0.027812493016159623,-0.1973296680612153,-124.53050905999999,-0.17503141683114462,32.91,-0.46279589093771584,129024,0.0,-0.8158568887474693,0.0003,-1.1962759494781494,1.0011988878250122,33453,-0.013522524863947182,0.2,0.025726268,0.24468994140625,55.75228080749512,13.388282775878906,-34.06664047241211
0.0,0.0,-0.004532357021170234,-0.11924888968052962,0.0,52,0.01,0.65,2820,0.9967744,0.0,-0.38075910818359054,-7.946245930519131e-09,0.0,0.0,0.00014322903007268906,-0.8972129278114941,0.7842720159828518,-0.055797053090326246,-0.25832045050498453,-0.024048823755379825,8,0.07085068273708121,0.5,-0.0009890388367542375,-0.023916840838544215,-0.19743707532496133,-123.36044873,-0.1767413315754341,32.12,-0.4512310068054944,147456,0.0,-0.832836213398098,0.0003,-0.42872750759124756,1.0010759830474854,33456,-0.0002051650413445064,0.2,0.04380259,0.35377720424107145,23.459628650120326,7.964996337890625,-34.06512641906738
0.0,0.0,-0.005248888705262459,-0.11851763369690484,0.0,58,0.01,0.65,2846,0.9963136,0.0,-0.3892303883057061,-8.121733917713669e-09,0.0,0.0,8.463528744565944e-05,-0.9030031938604179,0.7977208925941789,-0.06832470495717607,-0.25836925052520027,-0.026067001488317403,9,0.06656007027417674,0.5,-0.0009190518531896588,-0.027916758525282012,-0.2018739898379535,-126.28746507,-0.17939822125803634,35.26,-0.4554609130735221,165888,0.0,-0.8386280900497914,0.0003,-0.3719686269760132,1.0008010864257812,33458,0.0013647864439657756,0.2,0.043126635,0.27378627232142855,15.265369687761579,6.442297458648682,-34.0627065386091
0.0,0.0,-0.0052296591821931505,-0.11573211784321338,0.0,64,0.01,0.65,2867,0.9958528,0.0,-0.39327163792874814,-9.184063513361543e-09,0.0,0.0,0.00011284711783648365,-0.8916559742311249,0.8126896227854906,-0.06988414640027171,-0.2574242644837145,-0.02622240499103035,10,0.06483868727706806,0.5,-0.0019449837062792438,-0.02780961055791163,-0.19967345905962836,-125.68595087,-0.17817211533798694,35.05,-0.4647829380341481,184320,0.0,-0.8412919358359725,0.0003,-0.750460147857666,1.00026535987854,33459,0.015891904399419825,0.2,0.026462207,0.2791341145833333,19.67242368062337,9.501875877380371,-34.056678771972656
