time/iterations,reward_terms/step_rate,reward_terms/time,reward_terms/coef_rate,reward_terms/hip_roll,curriculum/stance_ratio,reward_terms/ang_xy,reward_terms/height,reward_terms/assist_pen,reward_terms/angmom,curriculum/eff_scale,time/time_elapsed,reward_terms/alive,reward_terms/torque,reward_terms/lat_vel,reward_terms/overrun,reward_terms/phase_contact,reward_terms/residual,reward_terms/action_rate,reward_terms/stance_time,reward_terms/vz,reward_terms/air_time,curriculum/ent_coef,time/total_timesteps,reward_terms/foot_ahead,reward_terms/upright,reward_terms/clearance,curriculum/ctrl_drop_prob,reward_terms/stance,reward_terms/fwd_speed,reward_terms/foot_slip,rollout/ep_rew_mean,time/fps,curriculum/sprint_dist_m,curriculum/ctrl_jitter_ms,reward_terms/energy,rollout/ep_len_mean,reward_terms/motor_vel,reward_terms/stop,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/n_updates,train/std,train/loss,train/learning_rate
1,-0.00790201822916679,-0.5,-1.4470681307232975,-0.33995655324458984,0.65,-0.5687714119512849,-0.02952387715580762,0.0,-0.29619290499776574,0.0,5,0.0,0.0,-1.1164575074352925e-07,0.0,-0.24381262444630863,-0.0973680819472506,-0.1253257495047441,0.0,-0.33739815813449564,0.00023925740000170967,0.01,18432,0.0,-0.2818563261733574,0.12945991044465255,0.0,-0.040739602144663614,-0.4071520490491358,-0.232354232003135,-119.18154292000001,3218,25.0,0.0,0.0,76.83,0.0,0.0,,,,,,,,,,,
2,-0.007763671875000124,-0.5,-1.4612646305011345,-0.336928063722473,0.649982336,-0.5380436462740605,-0.03171052044437039,0.0,-0.3498892830186399,7.68e-05,11,0.0,-6.694806313634902e-05,-1.0262742214000801e-07,0.0,-0.24219049883740545,-0.09773865223980684,-0.12761394446439872,0.0,-0.3311231238752017,0.00029568101551073295,0.01,36864,0.0,-0.3159484703840703,0.12967479768008208,0.0,-0.04229572588709416,-0.42901774237848095,-0.2663854636207936,-120.22358726,3090,25.01152,0.0,-7.645063774270443e-06,81.0,-1.6985729961361915e-06,0.0,0.044491589069366455,870.6890991210937,0.0021222567069344223,0.15745849609375,0.2,-34.0656213760376,0.012752843,7376,1.000860333442688,209.46238708496094,0.00029995392
3,-0.008024088541666802,-0.5,-1.4680206262859399,-0.33677551994099575,0.6499646720000001,-0.5507914282679828,-0.03289840968613497,0.0,-0.3590261153964964,0.0001536,16,0.0,-0.00013734717365321985,-1.4850365032813788e-07,0.0,-0.26406947878106324,-0.09710735171438561,-0.13016929466063923,0.0,-0.3326242946194518,0.0002880855172406882,0.01,55296,0.0,-0.3442797478069351,0.12549483230852448,0.0,-0.05164183844136373,-0.4356241804801254,-0.3043632231288115,-121.07572632,3444,25.02304,0.0,-1.5025985973962177e-05,84.38,-3.1243805097464876e-06,0.0,0.6041926145553589,468.3132720947266,-0.003526735620107502,0.02774658203125,0.2,-34.05498847961426,0.004881018,7380,1.000190019607544,101.1515884399414,0.00029990784
4,-0.00795898437500013,-0.5,-1.4651134052191646,-0.3401006924460268,0.649947008,-0.586565759799661,-0.03512872196009361,0.0,-0.3529080939903836,0.0002304,20,0.0,-0.00022444510216870786,-1.3176170317551626e-07,0.0,-0.26994364989878883,-0.09595703538071297,-0.1350598626035064,0.0,-0.33784244726606033,0.0002794048761845463,0.01,73728,0.0,-0.37320868843555677,0.12762365539051354,0.0,-0.057572700885255824,-0.40785425517342994,-0.324692063794307,-120.06454518000001,3654,25.03456,0.0,-2.3212730165608078e-05,80.35,-4.500352114058457e-06,0.0,0.5687289237976074,294.3128089904785,-0.007416586042381823,0.03302001953125,0.2,-34.05562744140625,0.007426186,7384,1.0002341270446777,65.22905731201172,0.00029986176
5,-0.008048502604166804,-0.5,-1.463507477733284,-0.3333952389570092,0.649929344,-0.6631217865549824,-0.0327309999346075,0.0,-0.3822641512967756,0.0003072,24,0.0,-0.00031502588534856413,-1.2344762596971918e-07,0.0,-0.2798463401763827,-0.09485354083061319,-0.13982054636076072,0.0,-0.3421229778390022,0.0003293179809891929,0.01,92160,0.0,-0.4116352022009516,0.12599329864797512,0.0,-0.07959535901119558,-0.3958669735754662,-0.3515956533693505,-120.15937069,3794,25.04608,0.0,-3.114325068201575e-05,80.75,-5.590424806867592e-06,0.0,0.4089878797531128,210.36370773315429,-0.010558689199388026,0.04945068359375,0.2,-34.057298469543454,0.009391244,7388,1.00040864944458,47.53660583496094,0.00029981568
6,-0.007625325520833456,-0.5,-1.4359963968137177,-0.32309795280883485,0.64991168,-0.6728956537298922,-0.03211912027677008,0.0,-0.3682269398842033,0.000384,28,0.0,-0.0003720963411067945,-1.1661107819307406e-07,0.0,-0.2899394186626536,-0.09440157659421934,-0.1425913675212237,0.0,-0.34326903301481715,0.000195312103541154,0.01,110592,0.0,-0.41457142638240085,0.12593070717882002,0.0,-0.07524007075224316,-0.3333341597581442,-0.3413009544455431,-118.59134263,3894,25.0576,0.0,-3.720327849981909e-05,74.46,-6.641149566052966e-06,0.0,0.21755236387252808,107.20853729248047,-0.015913017641287296,0.0843505859375,0.2,-34.060583877563474,0.011707954,7392,1.0006704330444336,22.749853134155273,0.00029976959999999996
7,-0.007934570312500127,-0.5,-1.4046894840778308,-0.32221863272686746,0.6498940160000001,-0.6829878198986612,-0.03265753721926615,0.0,-0.33800399901317024,0.0004608,32,0.0,-0.00043029077713757744,-1.0982205375500562e-07,0.0,-0.2927207003947152,-0.09443397192374242,-0.14206809811733245,0.0,-0.35777253857495106,0.00018283384916786518,0.01,129024,0.0,-0.4028780630065413,0.12750234646920078,0.0,-0.07172891595484511,-0.3144897962807715,-0.35057411616187806,-119.41458154,3968,25.06912,0.0,-4.374311647964878e-05,77.76,-7.665778691264339e-06,0.0,0.2613356113433838,55.105283164978026,-0.016035544895567,0.1344970703125,0.2,-34.06482124328613,0.015830418,7396,1.0011509656906128,13.546517372131348,0.00029972352
8,-0.007633463541666792,-0.5,-1.3991470197757128,-0.29993209263725534,0.649876352,-0.6821828917042196,-0.0354553806349974,0.0,-0.30973030925400874,0.0005376,36,0.0,-0.0004970565809389902,-1.204277385575297e-07,0.0,-0.2970315226898361,-0.09456185080774954,-0.1433532988581662,0.0,-0.3694920415197913,0.00030490401938247186,0.01,147456,0.0,-0.42209045123945166,0.12845937919910963,0.0,-0.055454601289258575,-0.24055670743604984,-0.34706453852853664,-120.18192472000001,4027,25.08064,0.0,-4.948595903207126e-05,80.82,-8.715595595734631e-06,0.0,0.10199534893035889,27.69510898590088,-0.01802785604959354,0.2132568359375,0.2,-34.06710147857666,0.024644807,7400,1.0011848211288452,6.444495677947998,0.00029967744
9,-0.007063802083333439,-0.5,-1.3585944168140118,-0.3312061446301857,0.649858688,-0.7102518403924526,-0.04334292450623962,0.0,-0.342599976093901,0.0006144,40,0.0,-0.0005757450154614265,-1.4851979919431208e-07,0.0,-0.2935056891896037,-0.09444683145642356,-0.1406156784988919,0.0,-0.4190853246388804,0.00022840668680146337,0.01,165888,0.0,-0.4357047405966028,0.13351226723420978,0.0,-0.06566473613824386,-0.2962132575225876,-0.34644184454006827,-120.81118845,4074,25.09216,0.0,-5.8275047196128374e-05,83.31,-1.0478331669515862e-05,0.0,-0.22899210453033447,14.03755750656128,-0.017539107368793338,0.29254150390625,0.2,-34.075923919677734,0.039876327,7404,1.0026416778564453,2.9882094860076904,0.00029963136
10,-0.006827799479166767,-0.5,-1.3720628008509161,-0.30677479120376555,0.649841024,-0.6634502695072997,-0.040219381999004176,0.0,-0.29597285004885265,0.0006912,44,0.0,-0.000612047229564998,-1.148404340444199e-07,0.0,-0.30202016211761396,-0.09559322547517018,-0.14099145627049223,0.0,-0.39160819967856414,0.00025336325698946085,0.01,184320,0.0,-0.4183116115264353,0.13231254978726306,0.0,-0.06506246460336039,-0.22746540805878496,-0.34626559184179073,-122.43070654000002,4123,25.10368,0.0,-6.454974278499351e-05,89.82,-1.1781392437394141e-05,0.0,-0.605414628982544,13.523028755187989,0.013247121591120958,0.283203125,0.2,-34.063723754882815,0.02427239,7405,1.000828742980957,6.85013484954834,0.00029958527999999996
