curriculum/cmd_vx_frac,reward_terms/track_heading,reward_terms/foot_slip,time/iterations,reward_terms/stance,reward_terms/torque,reward_terms/height,reward_terms/track_yaw,reward_terms/progress,reward_terms/ang_xy,reward_terms/air_time,rollout/ep_rew_mean,time/total_timesteps,reward_terms/upright,rollout/ep_len_mean,reward_terms/heading_pen,reward_terms/fwd_speed,reward_terms/yaw_rate,reward_terms/track_vx,reward_terms/action_rate,reward_terms/vz,reward_terms/lat_vel,reward_terms/track_pos,reward_terms/stance_time,time/time_elapsed,curriculum/ent_coef,reward_terms/pos_pen,time/fps,reward_terms/clearance,reward_terms/hip_roll,reward_terms/alive,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range
0.0,0.0,-0.44256153751756416,1,-0.4195186217449122,-0.08580776616135247,0.0,0.0,0.0,-2.918620990536246e-07,0.01609128222467284,-46.55793713999999,4096,-2.4579531617163027e-08,18.38,0.0,0.10379973424813276,0.0,0.0,-0.005180878836532183,0.0,-2.9225702107715143e-10,0.0,-0.021962773171767085,37,0.01,0.0,109,0.05797655379119105,-0.11953866296366558,0.5,,,,,,,,,,,
0.000512,0.0,-0.4727912968649997,2,-0.44359179539965005,-0.09221242634352697,0.0,0.0,0.0,-2.280348290583184e-07,0.016168112704782505,-45.92797401000001,8192,-2.158664380766988e-08,18.52,0.0,0.09507671031754124,0.0,0.0,-0.005033207434877061,0.0,-2.8039793855668766e-10,0.0,-0.018234270678957058,76,0.01,0.0,107,0.05579553411528088,-0.12090605172717354,0.5,417.2300720214844,0.012794004,0.000299744,717.1198101043701,4,1.0015875101089478,0.009661376476287842,-25.549712240695953,0.1087646484375,-0.037441721637151204,0.2
0.001024,0.0,-0.5076545236233037,3,-0.42300019934679534,-0.08790665487009551,0.0,0.0,0.0,-2.76112272103936e-07,0.014666047786561219,-50.53647001,12288,-2.478250029548038e-08,18.15,0.0,0.11851704210539317,0.0,0.0,-0.005095347921325264,0.0,-3.0541117046414627e-10,0.0,-0.026070414815960053,114,0.01,0.0,106,0.05657164508105426,-0.11929801873440474,0.5,229.08975219726562,0.010992118,0.000299488,608.8948526382446,8,1.0012602806091309,0.22230058908462524,-25.547741055488586,0.0728759765625,-0.02878698920540046,0.2
0.001536,0.0,-0.47950685098526935,4,-0.43802527369151273,-0.08404740106854473,0.0,0.0,0.0,-3.0521832524829324e-07,0.015322395155042445,-48.694714669999996,16384,-2.479956688837137e-08,18.73,0.0,0.1295423387943877,0.0,0.0,-0.005091180869391975,0.0,-3.0532196614426733e-10,0.0,-0.024214370880475372,153,0.01,0.0,106,0.05687014017328616,-0.12124056243395769,0.5,322.96575927734375,0.009465725,0.00029923199999999997,629.5146598815918,12,1.0012688636779785,0.34076130390167236,-25.54700356721878,0.05706787109375,-0.026822055304364767,0.2
0.002048,0.0,-0.4418910658194803,5,-0.42414113766569717,-0.08741694705538633,0.0,0.0,0.0,-2.5509283439476135e-07,0.016107459701960144,-49.85838244000001,20480,-2.546469544653416e-08,18.67,0.0,0.11131565779532256,0.0,0.0,-0.005057220422221717,0.0,-3.054628106785949e-10,0.0,-0.0245416665950857,192,0.01,0.0,106,0.05616661070377292,-0.12031070980755093,0.5,272.7369384765625,0.010419055,0.000298976,519.1786270141602,16,1.0014636516571045,0.42110782861709595,-25.549591898918152,0.07049560546875,-0.030521167442202568,0.2
0.00256,0.0,-0.45452241267841026,6,-0.4287366414330514,-0.08557473081783275,0.0,0.0,0.0,-2.42511391324862e-07,0.016003932656380282,-40.25920794,24576,-2.574984164103081e-08,20.61,0.0,0.12731859049159477,0.0,0.0,-0.004924859223808852,0.0,-2.84456629005456e-10,0.0,-0.023342469239053545,230,0.01,0.0,106,0.05668766151056812,-0.12056479220671537,0.5,259.82452392578125,0.010134908,0.00029872,526.9700708389282,20,1.000628113746643,0.45669466257095337,-25.53992795944214,0.0638427734375,-0.03180138921015896,0.2
0.003072,0.0,-0.4718128023507123,7,-0.39227865388160815,-0.08746204148886384,0.0,0.0,0.0,-2.3482321398537512e-07,0.015307499552179755,-39.86647028,28672,-2.3820434098845665e-08,19.35,0.0,0.10978711773551543,0.0,0.0,-0.004929453312150681,0.0,-2.966673020435356e-10,0.0,-0.025930707652117687,269,0.01,0.0,106,0.05551787064688902,-0.11856099657202646,0.5,169.66049194335938,0.012257667,0.00029846399999999997,366.11206007003784,24,1.000009536743164,0.4799065589904785,-25.529515206813812,0.0850830078125,-0.03487774863970117,0.2
0.003584,0.0,-0.46787183302970803,8,-0.42257975171695455,-0.08880475183370157,0.0,0.0,0.0,-2.1764321875200642e-07,0.0153152019600361,-40.22077518,32768,-2.3846041554207557e-08,19.21,0.0,0.10388248006910239,0.0,0.0,-0.004991581863727472,0.0,-2.8780168397109655e-10,0.0,-0.026733740352649357,308,0.01,0.0,106,0.05419254302312667,-0.12023267408494767,0.5,123.9512939453125,0.01649068,0.000298208,308.23547887802124,28,1.0005435943603516,0.4224444627761841,-25.529203057289124,0.12298583984375,-0.03794203409051988,0.2
0.004096,0.0,-0.4746719037949675,9,-0.39982693718158124,-0.08609604072768363,0.0,0.0,0.0,-2.3784237102103383e-07,0.01535468556842496,-43.41645567,36864,-2.42002308663567e-08,17.92,0.0,0.11119393655692787,0.0,0.0,-0.004837163921546135,0.0,-2.850501783936777e-10,0.0,-0.023710989906295644,347,0.01,0.0,106,0.05449437238603063,-0.1181029575486485,0.5,161.36541748046875,0.010708934,0.000297952,320.4477767944336,32,1.0008862018585205,0.4763597846031189,-25.541250944137573,0.06988525390625,-0.031156157987425104,0.2
0.004608,0.0,-0.47545840714983156,10,-0.39760616294516127,-0.08490525741067884,0.0,0.0,0.0,-2.369887443589021e-07,0.01506948553679191,-49.77744015000001,40960,-2.5405532774054788e-08,17.92,0.0,0.1167550206700708,0.0,0.0,-0.004951790017044978,0.0,-3.0032953153103533e-10,0.0,-0.024814917572272152,386,0.01,0.0,106,0.05561447991297543,-0.11927682045619405,0.5,136.84347534179688,0.014331147,0.000297696,309.1778573989868,36,1.000720500946045,0.4592477083206177,-25.539157927036285,0.0966796875,-0.03569338262605015,0.2
0.00512,0.0,-0.4632450559963317,11,-0.3703078358770302,-0.08526640628812619,0.0,0.0,0.0,-2.372489834754739e-07,0.015338515138382844,-44.57062684,45056,-2.395098364735662e-08,18.4,0.0,0.11380464211852419,0.0,0.0,-0.004867474365736173,0.0,-3.0579740429641665e-10,0.0,-0.02297591659789029,425,0.01,0.0,105,0.055988147862508185,-0.1164502788384044,0.5,157.978759765625,0.01290027,0.00029744,332.96705532073975,40,0.9999186992645264,0.4794178009033203,-25.52639728784561,0.09259033203125,-0.036403195197635796,0.2
0.005632,0.0,-0.4788301274048518,12,-0.3794611595272636,-0.08733697503983562,0.0,0.0,0.0,-2.529185164356949e-07,0.015100460250765453,-42.369513669999996,49152,-2.591220153850716e-08,19.59,0.0,0.116752568226818,0.0,0.0,-0.004984123819400275,0.0,-2.963010073128294e-10,0.0,-0.02599000708360893,463,0.01,0.0,106,0.054248397414182144,-0.11629848998756162,0.5,117.03627014160156,0.021911062,0.000297184,264.25972509384155,44,0.9999729990959167,0.47873133420944214,-25.5216423869133,0.16033935546875,-0.044008888013195246,0.2
0.006144,0.0,-0.4537026339731065,13,-0.3648961214078845,-0.08814591708944394,0.0,0.0,0.0,-2.2137810079670993e-07,0.01571769656680917,-48.69216368,53248,-2.344366712972539e-08,19.2,0.0,0.1132803022469138,0.0,0.0,-0.004819425921884284,0.0,-2.7982393900964405e-10,0.0,-0.022341158051968964,501,0.01,0.0,106,0.055583238780308,-0.11534899527182584,0.5,132.43434143066406,0.014303748,0.00029692799999999996,285.7636766433716,48,0.9994009733200073,0.5384454131126404,-25.514180064201355,0.10296630859375,-0.036006997026561294,0.2
0.006656,0.0,-0.44979729615849023,14,-0.34120060778781147,-0.08478399944399702,0.0,0.0,0.0,-2.042856627443452e-07,0.014814357508359079,-36.641037929999996,57344,-2.6200790828889346e-08,20.09,0.0,0.12127710732925409,0.0,0.0,-0.004790242013902603,0.0,-2.8778842026493043e-10,0.0,-0.03034360111415571,540,0.01,0.0,106,0.05490042830175407,-0.11773384355060737,0.5,122.51651763916016,0.020825395,0.000296672,241.8820357322693,52,0.9988130927085876,0.5861512422561646,-25.507574021816254,0.1480712890625,-0.04405320166551974,0.2
0.007168,0.0,-0.477072721764524,15,-0.38324706857943863,-0.08980163374362243,0.0,0.0,0.0,-1.9517605369783488e-07,0.01473762433142186,-43.82828061,61440,-2.614370940980191e-08,18.79,0.0,0.1115876269353201,0.0,0.0,-0.004844993067689772,0.0,-2.9376594408689134e-10,0.0,-0.023898796745981308,578,0.01,0.0,106,0.05418490900512523,-0.11851829123682243,0.5,114.74873352050781,0.025700036,0.000296416,215.17995023727417,56,0.9971423745155334,0.5430322289466858,-25.494338393211365,0.18121337890625,-0.048224142054095864,0.2
0.00768,0.0,-0.448849459913521,16,-0.325501932776831,-0.08474067371207139,0.0,0.0,0.0,-2.319959936572289e-07,0.015873392338602885,-41.18435359,65536,-2.564750791246564e-08,19.5,0.0,0.12835875892379753,0.0,0.0,-0.004786897006801226,0.0,-2.974044008852634e-10,0.0,-0.027351297138602768,617,0.01,0.0,106,0.05507788642152152,-0.11499624337770543,0.5,127.98197937011719,0.020919673,0.00029616,242.93732452392578,60,0.9975816011428833,0.5384588837623596,-25.47897732257843,0.15179443359375,-0.04406258091330528,0.2
0.008192,0.0,-0.45829017928836285,17,-0.3383887765015058,-0.08436916038236086,0.0,0.0,0.0,-2.263818983859916e-07,0.014610977411712018,-41.799004489999994,69632,-2.348972089418417e-08,18.47,0.0,0.11081692031561151,0.0,0.0,-0.004663820726355624,0.0,-2.711749039469207e-10,0.0,-0.027857444527176714,656,0.01,0.0,106,0.05306923438478636,-0.1144807126866968,0.5,119.46266174316406,0.023186747,0.000295904,262.3299970626831,64,0.9975357055664062,0.5348014831542969,-25.483974039554596,0.16766357421875,-0.04682974927709438,0.2
0.008704,0.0,-0.48780377653760637,18,-0.3350469006413603,-0.08633585987004935,0.0,0.0,0.0,-2.3726987331103259e-07,0.014073848725202068,-42.446778609999996,73728,-2.7276148843698555e-08,19.65,0.0,0.13062950246114957,0.0,0.0,-0.004746232080616619,0.0,-3.000131636162101e-10,0.0,-0.030833690763361524,695,0.01,0.0,105,0.05356313547177858,-0.11615766997196472,0.5,114.28252410888672,0.025143323,0.00029564799999999997,237.46138381958008,68,0.9961445331573486,0.5586743354797363,-25.468117117881775,0.1893310546875,-0.04749991434800904,0.2
