reward_terms/hip_roll,time/time_elapsed,reward_terms/track_vx,reward_terms/heading_pen,reward_terms/lat_vel,rollout/ep_len_mean,reward_terms/air_time,time/fps,reward_terms/stance_time,time/iterations,time/total_timesteps,reward_terms/torque,reward_terms/clearance,reward_terms/track_heading,reward_terms/progress,reward_terms/ang_xy,reward_terms/vz,reward_terms/upright,curriculum/ent_coef,reward_terms/action_rate,reward_terms/foot_slip,reward_terms/stance,reward_terms/pos_pen,reward_terms/alive,reward_terms/yaw_rate,rollout/ep_rew_mean,reward_terms/track_pos,reward_terms/track_yaw,reward_terms/height,train/loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/std,train/approx_kl,train/learning_rate
-0.1139527596953397,6,0.6326857303703947,-0.07047236598791719,-0.0456976220049615,20.15,0.0,881,0.0,1,6144,-0.6073101993180234,0.0,1.3284586680191595,0.0,-1.0774018951981208,-0.18174136218658873,-0.6966012655985389,0.01,-0.6060387018966745,-1.1633347259409217,-0.08062501889002813,-0.010529220135284088,0.5,-1.1475388457517721,-125.47308497000002,1.981780465154111,0.15437473994799072,-0.01139860716934525,,,,,,,,,,,
-0.10725909991338724,14,0.6226441875450421,-0.07949350044399049,-0.055549556237821485,21.11,0.0,861,0.0,2,12288,-0.608882632617442,0.0,1.3198246363656,0.0,-1.0870322879065981,-0.18623444485545357,-0.7307203850155765,0.01,-0.6036233130286442,-1.1808202424515013,-0.07878162468274903,-0.011170537350049853,0.5,-1.1737284598938849,-130.09599096,1.9781213449525124,0.147241103936028,-0.012436121507579495,3112.13671875,-0.006224638636922464,0.001434326171875,-0.0033299922943115234,0.2,-8.511516451835632,6355.873046875,4,0.9992725253105164,0.0021661285,0.00029999385599999997
-0.10584228959096657,22,0.6266104017512778,-0.07294217817615493,-0.053147475461802623,21.02,0.0,823,0.0,3,18432,-0.6163725126771326,0.0,1.3253117450202687,0.0,-1.0765391612294837,-0.18641072686309548,-0.7087979766434774,0.01,-0.6006536363156556,-1.2174108021819545,-0.07625342687675259,-0.010835076122185705,0.5,-1.1655057609461184,-126.73492876000002,1.9806221059482911,0.15078950916075043,-0.011519040510740547,3297.203857421875,-0.002690683031687513,0.000274658203125,0.02645963430404663,0.2,-8.50437879562378,6646.508728027344,8,0.998058557510376,0.0011963667,0.000299987712
-0.111070771898792,30,0.6141984466199454,-0.07438628062257181,-0.06722126514395617,20.61,0.0,807,0.0,4,24576,-0.6030939177738653,0.0,1.3213171348145938,0.0,-1.0585077930968736,-0.18331914393006754,-0.705556238500082,0.01,-0.6041757499754871,-1.1981857747771074,-0.09111400385087977,-0.013106368305534117,0.5,-1.1386815970143351,-123.66793119,1.9710409592420346,0.1554926032117915,-0.012612369530890092,3210.77294921875,-0.0024602415796834975,0.0001220703125,0.04848676919937134,0.2,-8.498799324035645,6548.291442871094,12,0.9970309734344482,0.0009160908,0.000299981568
-0.10975365970166617,38,0.6183199592556134,-0.07653776297205843,-0.06367563945373227,22.1,0.0,800,0.0,5,30720,-0.6145682733560637,0.0,1.3250246773236087,0.0,-1.0532426078232495,-0.17644835902835634,-0.6603901545455576,0.01,-0.6030947580626768,-1.1839100490727508,-0.07723892166764075,-0.012700201227500714,0.5,-1.1408227217615379,-125.82791681999998,1.972199773325693,0.15379158630284842,-0.013104173865089446,3178.113525390625,-0.002547973024775274,0.0001220703125,0.05496567487716675,0.2,-8.493611812591553,6382.065368652344,16,0.996264636516571,0.0011131963,0.000299975424
-0.10732614931917502,45,0.6233076781298467,-0.07411934142383524,-0.06406089133631979,22.04,0.0,805,0.0,6,36864,-0.6006145581374724,0.0,1.3239511418255365,0.0,-1.0457087777209575,-0.1822747874270467,-0.6427242678570387,0.01,-0.6030198334331848,-1.1962609251620617,-0.07607621863544144,-0.011383381162434043,0.5,-1.1069067925623954,-123.73612431000001,1.980388244776811,0.16033479083186944,-0.013402246101529845,3172.697265625,-0.0024126489006448537,0.0006103515625,0.0575329065322876,0.2,-8.489662051200867,6365.4571533203125,20,0.9957370758056641,0.0013719639,0.00029996928
-0.11330855975196846,53,0.6022396619129794,-0.08053486661840122,-0.09457747037934132,21.96,0.0,811,0.0,7,43008,-0.6019030549310351,0.0,1.3209574353962488,0.0,-1.0670309929876143,-0.1948202465923864,-0.6627226424508823,0.01,-0.601912471221984,-1.1792442782971457,-0.0882319589845954,-0.014597168376151335,0.5,-1.1305900201333199,-127.50078063,1.9651672537978297,0.1557016036736305,-0.015964132259799188,3018.5283203125,-0.002531718375394121,0.000732421875,0.057634711265563965,0.2,-8.486717343330383,6135.703674316406,24,0.9952276349067688,0.0012726289,0.000299963136
-0.11883369098279682,60,0.6198183181769206,-0.07231706684564655,-0.07175661764111144,21.47,0.0,814,0.0,8,49152,-0.606852125129063,0.0,1.3333782781299028,0.0,-1.0397104789734826,-0.18155242834439708,-0.632352777351853,0.01,-0.602883473411263,-1.1934134821992366,-0.06741389219063491,-0.014178973317568178,0.5,-1.1288444357953344,-124.80989336,1.964396955685488,0.15462932191301657,-0.015154407515900102,3111.2099609375,-0.0018716907361522317,0.000335693359375,0.05415850877761841,0.2,-8.483052492141724,6342.7955322265625,28,0.9944913387298584,0.0010414518,0.000299956992
-0.11926116914735024,68,0.6199388689419868,-0.07228196368303923,-0.0713872594603964,22.69,0.0,811,0.0,9,55296,-0.5972524294727274,0.0,1.3249589937435289,0.0,-1.0510374357430787,-0.18199199092770743,-0.6310416107389716,0.01,-0.5895337161902413,-1.2032044515677975,-0.06345835171199733,-0.013245726371095072,0.5,-1.1287827332771931,-127.81620221000001,1.9737080645066996,0.15661282424577844,-0.015118791036674467,3094.29931640625,-0.0018719444051384926,3.0517578125e-05,0.04238021373748779,0.2,-8.477761030197144,6141.9775390625,32,0.9934414029121399,0.0008127935,0.00029995084799999997
-0.11806657186406434,75,0.6001873141508146,-0.06948834685927555,-0.07488769010194175,22.56,0.0,809,0.0,10,61440,-0.5997522557062258,0.0,1.322267879197928,0.0,-1.0267373462251963,-0.18704774744887617,-0.6333184480552945,0.01,-0.6001236851003947,-1.1971183764648767,-0.08353460114292333,-0.015088986865348812,0.5,-1.1313471425570678,-127.73232248999999,1.962882381352805,0.15356067369494406,-0.018148510195991945,2966.20361328125,-0.0013633813941851258,0.0,0.030852138996124268,0.2,-8.471391558647156,5956.646301269531,36,0.9924766421318054,0.0004914522,0.00029994470399999997
