reward_terms/foot_ahead,reward_terms/air_time,reward_terms/vz,reward_terms/ang_xy,curriculum/cmd_track_err,reward_terms/clearance,curriculum/ent_coef,curriculum/stance_ratio,reward_terms/time,reward_terms/stop,reward_terms/stand,time/fps,ankle/ankle_spring_trq_peak,reward_terms/stand_drift,curriculum/swing_frac_min,reward_terms/track_yaw,reward_terms/action_rate,reward_terms/phase_contact,curriculum/ctrl_drop_prob,reward_terms/residual_rate,reward_terms/foot_slip,reward_terms/step_rate,time/iterations,reward_terms/residual,reward_terms/fwd_speed,reward_terms/overrun,reward_terms/angmom,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,reward_terms/height,curriculum/eff_scale,est/vel_rmse,reward_terms/track_lin,ankle/ankle_defl_peak,reward_terms/lat_vel,curriculum/dr_scale,rollout/ep_len_mean,reward_terms/hip_roll,reward_terms/coef_rate,curriculum/swing_frac_mean,reward_terms/torque,reward_terms/upright,time/time_elapsed,reward_terms/stance,curriculum/cmd_scale,reward_terms/energy,ankle/ankle_spring_energy_peak,time/total_timesteps,reward_terms/alive,reward_terms/stance_time,rollout/ep_rew_mean,reward_terms/assist_pen,reward_terms/duty_sym,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/std,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/dr_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress
0.0,4.340263937289516e-06,-0.17583483475768372,-0.21612685983338614,0.48358828224661915,0.011455422079260652,0.01,0.7,0.0,0.0,0.4298559517287745,8685,0.0,-0.0535331233086519,0.20865885416666666,1.9999121013779555,-0.09138026790049447,-0.03465294644077498,0.0,0.0,-0.5315569026142445,-0.0070095486111111755,1,-0.09468109588073391,0.0,0.0,-0.27205003103324243,0.0,0.0,-0.023831329937170537,0.0,1.5917639231635328,0.6609285798067164,0.5052023803488553,-1.1286978236531947e-08,0.0,135.63541666666666,-0.135766827544815,-0.8070243907807011,0.4021538628472222,0.0,-0.3381893138614148,2,-0.04865239160123179,0.0,0.0,0.0,18432,0.0,0.0,-79.40113134375001,0.0,-0.013383017978197118,,,,,,,,,,,,,,,,
0.0,0.0,-0.19820935786094254,-0.20778879401258704,0.2608873780660362,0.0,0.01,0.7,0.0,0.0,0.3233555358639056,9754,0.0,-0.10096178826799854,0.1787109375,1.9999130636040219,-0.09370737488299435,0.0,0.0,0.0,-0.38714677527046537,-0.005349392361111157,2,-0.0955814963214709,0.0,0.0,-0.3202173089139071,0.0,0.0,-0.03503316738864489,0.0,1.055820675788847,0.5224641482412525,0.505210325696564,-1.3375946143725766e-08,0.0,161.9,-0.1601992422647999,-0.7766523937597568,0.4446072048611111,0.0,-0.5121937534786789,3,-0.04238667699637546,0.0,0.0,0.0,36864,0.0,0.0,-76.35456662,0.0,-0.027538489064551752,0.00029995392,0.10622839629650116,-36.877620697021484,0.2,21694,0.569091796875,0.21315974,5256.541015625,0.9324404001235962,2628.008056640625,0.9994317293167114,,,,,
0.0,0.0,-0.20137405512583462,-0.19130947966890752,0.2418552806995136,0.0,0.01,0.7,0.0,0.0,0.34824083155879815,10029,0.0,-0.09209302227753394,0.15928819444444445,1.9998867291518028,-0.09588801399052128,0.0,0.0,0.0,-0.41900820224182156,-0.005154079861111155,3,-0.09466143281509891,0.0,0.0,-0.32352030754126004,0.0,0.0,-0.037225060671914556,0.0,0.7596524112558446,0.5605448720657158,0.5049137225126716,-1.5013640538657516e-08,0.0,167.8,-0.15117919781734057,-0.7577552989844931,0.4352484809027778,0.0,-0.5921075596272463,5,-0.036205241706873476,0.0,0.0,0.0,55296,0.0,0.0,-70.69374841,0.0,-0.026251976824242042,0.00029990784,0.0621887743473053,-36.877620697021484,0.2,21695,0.4296875,0.13717176,6254.91552734375,0.9257715344429016,3127.151123046875,0.9994317293167114,,,,,
0.0,0.0,-0.21920157732645504,-0.1768438212433195,0.3621478699348797,0.0,0.01,0.7,0.0,0.0,0.41804426054014804,9528,0.0,-0.09169199803278878,0.158203125,1.9998855901154744,-0.09899689423075307,0.0,0.0,0.0,-0.41028883144310857,-0.005045572916666709,4,-0.09446700067401897,0.0,0.0,-0.3202813066383204,0.0,0.0,-0.03986591009277271,0.0,0.6569098833369343,0.6207754659505027,0.5051032798757895,-1.4363487352895628e-08,0.0,177.04,-0.15516288766417918,-0.7594921110953331,0.4346788194444444,0.0,-0.5710103288844093,7,-0.05005850875593937,0.0,0.0,0.0,73728,0.0,0.0,-70.53983117000001,0.0,-0.027958945807103383,0.00029986176,0.017190800188109277,-36.88138828277588,0.2,21699,0.31368408203125,0.029415643,3849.398272705078,0.9078982472419739,851.5673828125,0.9997190833091736,,,,,
0.0,0.0,-0.199348850697064,-0.181528925986847,0.2318272942598786,0.0,0.01,0.7,0.0,0.0,0.3709439588218462,9257,0.0,-0.08441419965115558,0.15858289930555555,1.9998902123153688,-0.10655546952678753,0.0,0.0,0.0,-0.40156546773308777,-0.005273437500000044,5,-0.09358693541716497,0.0,0.0,-0.3049202216395633,0.0,0.0,-0.03259511761702991,0.0,0.5917820440769382,0.5613443198905593,0.5050099003829993,-1.4238145513897675e-08,0.0,172.67,-0.15741383160265057,-0.75734527832422,0.4352756076388889,0.0,-0.49402685861712886,9,-0.0700840728470079,0.0,0.0,0.0,92160,0.0,0.0,-66.83692511,0.0,-0.02188509362867473,0.00029981568,0.028187114745378494,-36.876888275146484,0.2,21700,0.336181640625,0.047678925,5469.6220703125,0.9435035586357117,2734.470458984375,0.999403715133667,,,,,
0.0,0.0,-0.20795408106220287,-0.2016737010434879,0.24277826439634262,0.0,0.0099963136,0.7,0.0,0.0,0.32161123159535965,8667,0.0,-0.10436946845995002,0.17333984375,1.9998886341471527,-0.10502682772531542,0.0,0.0,0.0,-0.3775133922973009,-0.004828559027777816,6,-0.09389392661419915,0.0,0.0,-0.32374812094751754,0.0,0.0,-0.03555140015369593,0.0,0.5576258456598508,0.552843803121621,0.5052067361837719,-1.3775299999041323e-08,0.0,165.17,-0.13039839185389668,-0.7830223732713011,0.4370388454861111,0.0,-0.5339954322114524,12,-0.06629244155626648,0.0,0.0,0.0,110592,0.0,0.0,-71.89328605,0.0,-0.03270935426994434,0.00029976959999999996,0.003768734633922577,-36.880235290527345,0.2,21704,0.176220703125,0.011137225,3450.7897827148436,0.9242463707923889,894.5817260742188,0.9996967315673828,,,,,
0.0,0.0,-0.20777628761246356,-0.22031431857884531,0.2370366234087237,0.0,0.0099926272,0.7,0.0,0.0,0.34721997035485186,8239,0.0,-0.08532482616558534,0.18782552083333334,1.9998622485023791,-0.1115621829057863,0.0,0.0,0.0,-0.41751945681449554,-0.006000434027777833,7,-0.09299937091017299,0.0,0.0,-0.3292335506052781,0.0,0.0,-0.035345788640469306,0.0,0.510292394911281,0.5764402865230598,0.5049270048502641,-1.586725218005527e-08,0.0,154.44,-0.12415070841348978,-0.8034212217948935,0.4328070746527778,0.0,-0.5110055207469242,15,-0.07410015535731349,0.0,0.0,0.0,129024,0.0,0.0,-75.47358818,0.0,-0.020072799042213978,0.00029972352,-0.0026935410336591304,-36.883396530151366,0.2,21708,0.06842041015625,0.006773594,2896.3511291503905,0.9435735940933228,732.9808349609375,0.999809980392456,,,,,
0.0,0.0,-0.20026027000962596,-0.21409046401399703,0.24781461856253664,0.0,0.0099889408,0.7,0.0,0.0,0.37961193850423275,7859,0.0,-0.07731514848213913,0.1750217013888889,1.9998888551711782,-0.11106915438765437,0.0,0.0,0.0,-0.42344006447645827,-0.005740017361111164,8,-0.09268557087318793,0.0,0.0,-0.31553232528399167,0.0,0.0,-0.032199369611517335,0.0,0.4775051580769622,0.6027256291675868,0.5052171846619613,-1.3490131827109302e-08,0.0,150.0,-0.1219249829105784,-0.7835674574231233,0.42032877604166663,0.0,-0.48583740333328507,18,-0.08991613601306174,0.0,0.0,0.0,147456,0.0,0.0,-75.01057608,0.0,-0.017058201557947985,0.00029967744,-0.0053432048240210864,-36.886208152771,0.2,21712,0.0536865234375,0.008236627,2320.256427001953,0.9429855346679688,595.4597778320312,0.9999441504478455,,,,,
0.0,0.0,-0.21397405037082867,-0.22382433530515286,0.23859045765586842,0.0,0.0099852544,0.7,0.0,0.0,0.35280074528440186,7639,0.0,-0.10766346686236133,0.20176866319444445,1.9998739563243093,-0.11356140343430376,0.0,0.0,0.0,-0.41566099073404983,-0.005859375000000053,9,-0.09257566949306821,0.0,0.0,-0.33701435812799263,0.0,0.0,-0.0391066303979955,0.0,0.47040513605943696,0.5591458465393339,0.5051713280634297,-1.5662421504772417e-08,0.0,155.7,-0.12372256533283152,-0.8106087338450605,0.4415961371527778,0.0,-0.5180784971306786,21,-0.10117769032744388,0.0,0.0,0.0,165888,0.0,0.0,-76.87617674,0.0,-0.021393482389945755,0.00029963136,-0.005838926753494888,-36.88876438140869,0.2,21716,0.0461181640625,0.006410502,2250.6974548339845,0.9382328391075134,591.9022216796875,1.0000377893447876,,,,,
0.0,0.0,-0.21513102792725422,-0.21426344793839325,0.24687804296089325,0.0,0.009981568,0.7,0.0,0.0,0.361707443466906,7490,0.0,-0.0869406212056039,0.1680230034722222,1.9998840517132064,-0.10830388573178745,0.0,0.0,0.0,-0.41028610550898137,-0.005078125000000043,10,-0.09311259011036102,0.0,0.0,-0.3325254854953791,0.0,0.0,-0.03625038745475891,0.0,0.39952572704998796,0.5776897114793232,0.5050939298354293,-1.6417610178833917e-08,0.0,153.64,-0.11861154270607546,-0.7702972634352077,0.4255913628472222,0.0,-0.516861254027006,24,-0.06531290999709045,0.0,0.0,0.0,184320,0.0,0.0,-75.39638363,0.0,-0.017070120086736487,0.00029958527999999996,-0.006881099788006395,-36.88994255065918,0.2,21720,0.043603515625,0.0076319873,1753.7404754638671,0.926780641078949,440.0610046386719,1.0000615119934082,,,,,
