curriculum/ctrl_jitter_ms,reward_terms/clearance,reward_terms/residual,reward_terms/lat_vel,ankle/ankle_spring_energy_peak,reward_terms/ang_xy,reward_terms/alive,reward_terms/time,reward_terms/track_lin,reward_terms/stand,reward_terms/fwd_speed,rollout/ep_len_mean,curriculum/ctrl_drop_prob,ankle/ankle_defl_peak,reward_terms/energy,reward_terms/overrun,curriculum/cmd_scale,reward_terms/hip_roll,curriculum/dr_scale,time/time_elapsed,reward_terms/action_rate,reward_terms/torque,reward_terms/air_time,reward_terms/upright,time/iterations,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/phase_contact,reward_terms/foot_slip,reward_terms/assist_pen,reward_terms/stance,reward_terms/residual_rate,reward_terms/stance_time,time/total_timesteps,curriculum/eff_scale,reward_terms/stop,reward_terms/step_rate,reward_terms/foot_ahead,reward_terms/stand_drift,curriculum/ent_coef,reward_terms/angmom,time/fps,curriculum/stance_ratio,reward_terms/vz,curriculum/swing_frac_mean,curriculum/cmd_track_err,curriculum/swing_frac_min,reward_terms/motor_vel,reward_terms/track_yaw,reward_terms/duty_sym,est/vel_rmse,reward_terms/height,ankle/ankle_spring_trq_peak,train/entropy_loss,train/n_updates,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/loss,train/learning_rate,train/value_loss,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/eff_scale_progress
0.0,0.02037160985850003,-0.09356319403111739,-0.08469954581512457,0.0,-0.06289246691064125,0.0,0.0,1.4274560007268389,0.41786555395917524,0.0,205.5625,0.0,0.5052023278385805,0.0,0.0,0.0,-0.0870887240622909,0.0,2,-0.09672641225742593,0.0,5.7508499594405293e-05,-0.07153488692743178,1,-0.6142697292757161,-45.58695490625,-0.08790146263565601,-0.649248140203669,0.0,-0.04342644044468229,0.0,-0.0004981798604906847,18432,0.0,0.0,-0.00788845486111113,0.0,-0.012165386794811887,0.01,-0.08411216700871207,8259,0.7,-0.04695803027637852,0.2960340711805556,0.5532889732988122,0.1981879340277778,0.0,1.999937459262431,-0.0006752557520674882,1.427080539598538,-0.00856350678592785,0.0,,,,,,,,,,,,,,,,
0.0,0.005761523515046263,-0.09325340055795148,-0.0525657070934997,0.0,-0.061906966194384024,0.0,0.0,1.951966787434409,0.6118728936828399,0.0,292.8333333333333,0.0,0.505114650841468,0.0,0.0,0.0,-0.0772661375231171,0.0,4,-0.109100678335251,0.0,1.356333571796616e-05,-0.08769254017957535,2,-0.6153802065535922,6.1837082424242436,-0.015624350491921167,-0.5177655743100269,0.0,-0.0444243103496471,0.0,-2.034438592899177e-06,36864,0.0,0.0,-0.0069444444444445134,0.0,-0.049561120132203054,0.01,-0.08429458510289937,8633,0.7,-0.059988632855988516,0.2528483072916667,0.3492441809510766,0.15391710069444445,0.0,1.999957760783246,-0.005214555869253396,0.9274776063256707,-0.012230394457512981,0.0,-36.81709728240967,38848,0.9973545670509338,0.017224366,0.2,-0.010567015048582106,0.8604655861854553,0.2000244140625,219.4105987548828,0.00029995392,687.734358215332,,,,,
0.0,0.0005143374962842556,-0.09404951740690115,-0.056911415399219796,0.0,-0.07371557564272926,0.0,0.0,1.540541919809545,0.37173146434124255,0.0,358.57575757575756,0.0,0.5030324912770714,0.0,0.0,0.0,-0.05598627415829966,0.0,6,-0.10637008920318267,0.0,0.0,-0.10081895376406189,3,-0.6328006247264014,70.81371734343436,-6.451311118678096e-05,-0.5182653760516392,0.0,-0.033884755227477296,0.0,-1.4241251240794858e-05,55296,0.0,0.0,-0.008192274305555554,0.0,-0.07337249874165161,0.01,-0.09335619989186096,8710,0.7,-0.07151279193294291,0.25325520833333337,0.20511500477772407,0.16552734375,0.0,1.9999591143177544,0.0,0.7618604870509978,-0.016534812469356685,0.0,-36.82707748413086,38852,0.9978700280189514,0.012631999,0.2,-0.008372603624593467,0.920751690864563,0.148193359375,141.97918701171875,0.00029990784,440.89954528808596,,,,,
0.0,0.0,-0.09542594059032604,-0.06129065954885352,0.0,-0.0708073966836026,0.0,0.0,1.5450729037447772,0.45294689601584043,0.0,450.54,0.0,0.505148979815402,0.0,0.0,0.0,-0.06014093149325466,0.0,8,-0.10890536695889758,0.0,0.0,-0.07887227606811646,4,-0.629527647138548,157.26273349000002,0.0,-0.4937934844337122,0.0,-0.03366261659745435,0.0,0.0,73728,0.0,0.0,-0.008062065972222228,0.0,-0.09266576767742103,0.01,-0.08203513233726228,8497,0.7,-0.052934855951895864,0.2564019097222222,0.21717761006928366,0.14246961805555555,0.0,1.9999599413375404,0.0,0.8185546933253549,-0.012087765953968037,0.0,-36.841118812561035,38856,0.998661458492279,0.020192035,0.2,-0.014675034151878208,0.9680842161178589,0.1974853515625,65.1312026977539,0.00029986176,237.85692443847657,,,,,
0.0,0.0,-0.09542562151105607,-0.07212059774136252,0.0,-0.06592437964965599,0.0,0.0,1.477546191237304,0.3640059370460758,0.0,538.96,0.0,0.5041373560103695,0.0,0.0,0.0,-0.07030067467387208,0.0,11,-0.10589944638034587,0.0,0.0,-0.07337526571864975,5,-0.6297291575368333,230.54145733000001,0.0,-0.5013536509299481,0.0,-0.04626609619327119,0.0,0.0,92160,0.0,0.0,-0.00806206597222223,0.0,-0.11527688287070142,0.01,-0.06765309492655612,8149,0.7,-0.050149384906472735,0.2639702690972222,0.15958644090425694,0.1509331597222222,0.0,1.9999475471335364,-1.7980290524593196e-06,0.7256316508169892,-0.011444861491158646,0.0,-36.860629081726074,38860,0.9996242523193359,0.022857293,0.2,-0.013886161055415869,0.9652807116508484,0.22718505859375,81.638427734375,0.00029981568,242.48175735473632,,,,,
0.0,0.0,-0.09569118301624772,-0.08054924993867688,0.0,-0.07030705009738407,0.0,0.0,1.4984110535977881,0.37492436070686597,0.0,615.1,0.0,0.5044979624695273,0.0,0.0,0.0,-0.09028704624122735,0.0,14,-0.10295068104200963,0.0,0.0,-0.06772899789762582,6,-0.6345400870788805,273.28083482,0.0,-0.5184488924149542,0.0,-0.07182551384412358,0.0,0.0,110592,0.0,0.0,-0.00869140624999997,0.0,-0.07157368301601265,0.0099963136,-0.07290388343392339,7816,0.7,-0.04513145587437614,0.280029296875,0.20167108949482546,0.15478515625,0.0,1.9999510215601235,0.0,0.7096695124749921,-0.010742109123812855,0.0,-36.88386859893799,38864,1.0009241104125977,0.028088216,0.2,-0.022016098303720356,0.9777545928955078,0.25518798828125,65.50834655761719,0.00029976959999999996,183.8089859008789,,,,,
0.0,0.0,-0.0953960748878141,-0.09182737397857076,0.0,-0.059868556130872844,0.0,0.0,1.2907742888044722,0.3452738071891195,0.0,645.48,0.0,0.5047804273219698,0.0,0.0,0.0,-0.08023730020868008,0.0,17,-0.10465599166450378,0.0,0.0,-0.05519895578735585,7,-0.6300570376040412,276.12834621999997,0.0,-0.47998131388633936,0.0,-0.08869226016572601,0.0,0.0,129024,0.0,0.0,-0.008138020833333334,0.0,-0.11197420094323934,0.0099926272,-0.05774140023899851,7556,0.7,-0.03818175428395263,0.2882486979166667,0.20586076451097268,0.17545572916666666,0.0,1.9999550839883438,-0.004275173843552164,0.6360600112142167,-0.008272249265156753,0.0,-36.90127429962158,38868,1.0015560388565063,0.032786228,0.2,-0.018327402207069098,0.9761601090431213,0.303857421875,57.44284439086914,0.00029972352,180.14842681884767,,,,,
0.0,0.0005796657635674467,-0.09600527804630542,-0.08906272288251742,0.0,-0.06661171004195493,0.0,0.0,1.2746615312498895,0.2632002900423827,0.0,673.58,0.0,0.5041177313732127,0.0,0.0,0.1,-0.08425959301890598,0.0,19,-0.10341824290999609,0.0,5.967866551751892e-06,-0.06295437909944732,8,-0.6595497443310081,262.15706317999997,-0.002357239311064454,-0.5260083057273731,0.0,-0.0838217993954689,0.0,0.0,147456,0.0,0.0,-0.008984374999999958,0.0,-0.17696255744145672,0.0099889408,-0.06871590163100988,7382,0.7,-0.046499960884682986,0.290283203125,0.28238473707732237,0.1738823784722222,0.0,1.9999433832310034,-4.3673922715078925e-05,0.576811328940898,-0.01096117247311671,0.0,-36.90014419555664,38872,1.0013409852981567,0.02668492,0.2,-0.020909727900289,0.9779594540596008,0.26248779296875,63.14531326293945,0.00029967744,174.60752182006837,,,,,
0.0009216,0.0039274609504795265,-0.09628263942772329,-0.08781774529255694,0.0,-0.07158235577491573,0.0,0.0,1.3257777639976789,0.3112876593493722,0.0,680.87,1.152e-05,0.5050163727918872,-3.0903584687844584e-07,0.0,0.1,-0.07898812954585462,0.0002304,22,-0.1018972165784007,-3.25260976420615e-06,8.137983968481421e-06,-0.07013614030884419,9,-0.6220478845863657,238.77624441000003,-0.024424408857632654,-0.46913700928561614,0.0,-0.0659382587167273,0.0,-0.000637476914562285,165888,2.6879999999999997e-05,0.0,-0.009526909722222148,0.0,-0.12336461619157145,0.0099852544,-0.07222547262306483,7249,0.699993856,-0.048143795097664324,0.3106553819444444,0.23343604984680677,0.1870659722222222,-4.917886503439542e-08,1.9999449031604801,-2.6094229573565057e-07,0.547518460602653,-0.011575090814872364,0.0,-36.90381622314453,38876,1.0019465684890747,0.031279944,0.2,-0.024470428144559263,0.9796158671379089,0.274365234375,61.369789123535156,0.00029963136,166.29291534423828,7.68e-05,0.0002304,0.0002304,0.0002304,7.68e-05
0.0018432,0.002505985958252353,-0.09661868897117606,-0.11271561432008828,0.0,-0.06599553467893754,0.0,0.0,1.4159031503036115,0.295430621536444,0.0,676.63,2.304e-05,0.5041189459582452,-6.407668866519257e-07,0.0,0.1,-0.0955482256861633,0.0004608,25,-0.10218967094058296,-6.853187447393207e-06,1.24782285032173e-05,-0.059831903976254756,10,-0.6520882026840478,223.78315580999998,-0.03475714259589049,-0.5107957447599046,0.0,-0.11062241368324036,0.0,-0.0001112184642503659,184320,5.3759999999999994e-05,0.0,-0.008897569444444404,0.0,-0.08971512700162992,0.009981568,-0.06315051533390087,7145,0.699987712,-0.03860900974612505,0.2891981336805556,0.25675899533731256,0.16297743055555555,-1.0191908144752171e-07,1.999947307427971,-5.299852343239763e-06,0.5117817614249354,-0.010538752142251463,0.0,-36.91463012695313,38880,1.0022084712982178,0.029158155,0.2,-0.020260520663578065,0.9781146049499512,0.279345703125,61.45796585083008,0.00029958527999999996,177.03415298461914,0.0001536,0.0004608,0.0004608,0.0004608,0.0001536
