reward_terms/torque,reward_terms/hip_roll,reward_terms/foot_slip,reward_terms/time,reward_terms/stance,reward_terms/height,reward_terms/fwd_speed,curriculum/stance_ratio,reward_terms/energy,reward_terms/lat_vel,time/iterations,curriculum/eff_scale,reward_terms/ang_xy,curriculum/ent_coef,reward_terms/clearance,time/total_timesteps,reward_terms/overrun,rollout/ep_rew_mean,curriculum/sprint_dist_m,time/fps,reward_terms/upright,reward_terms/action_rate,rollout/ep_len_mean,reward_terms/motor_vel,reward_terms/vz,time/time_elapsed,reward_terms/stance_time,reward_terms/alive,reward_terms/air_time,reward_terms/stop,reward_terms/residual,reward_terms/coef_rate,reward_terms/phase_contact,train/learning_rate,train/clip_range,train/loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/std
0.0,-0.007245554676711126,-0.2368723003469242,-0.5,-0.0001399156278331821,-0.06582370869338189,-1.2033218876606864,0.65,0.0,-4.0567839885484654e-09,1,0.0,-1.5215415696027456e-06,0.01,0.02626950448522024,20480,0.0,-182.38114351000002,25.0,1188,-1.3855152682462534e-07,-0.13319874968106854,82.43,0.0,-0.23947483932891456,17,-0.17410973499791,0.0,0.0,0.0,-0.30526786281617596,-1.5660996405207117,-0.5894773871987717,,,,,,,,,,,
-8.41153308330839e-05,-0.007251563725614323,-0.21752867088883693,-0.5,-0.00030955222475415154,-0.06370539843659259,-1.2531636149315852,0.6499214933333334,-5.350688175192813e-06,-3.553814277879763e-09,2,0.00034133333333333335,-1.4821313398626533e-06,0.01,0.026266183251443403,40960,0.0,-186.35019434000003,25.0512,1193,-1.251011521028679e-07,-0.13385943742825412,86.41,-9.954211206295191e-07,-0.239192175306652,34,-0.18509556626231644,0.0,0.0,0.0,-0.3059276505217797,-1.5664103306199433,-0.5883141959323261,0.0002999829333333333,0.2,739.3102416992188,1533.1795593261718,-34.0833137512207,0.007434433,0.05120849609375,4,-0.019173145294189453,-0.020208774355705828,1.002342939376831
-0.0001660479392525547,-0.0077596035600710185,-0.20343266307022492,-0.5,-9.051406033688788e-05,-0.06977639249676407,-1.3271947770351846,0.6498429866666667,-1.0659308809511204e-05,-4.193519478896975e-09,3,0.0006826666666666667,-1.5666069674993068e-06,0.01,0.028171480403492443,61440,0.0,-175.01762709,25.1024,1171,-1.2005821959532488e-07,-0.13552719239990635,75.06,-1.999935615143944e-06,-0.25754605112382933,52,-0.14953696912998565,0.0,9.765586582943798e-07,0.0,-0.30663897438475723,-1.563943982516933,-0.5783979559281236,0.0002999658666666667,0.2,701.1954956054688,1455.4882690429688,-34.074959182739256,0.004325042,0.0130126953125,8,0.18936771154403687,-0.010729271243326366,1.0018056631088257
-0.0002847293933642793,-0.007149158826296001,-0.26462190838252825,-0.5,-0.00023860567274921972,-0.06427345742054566,-1.1528776022695761,0.64976448,-1.688074809547765e-05,-3.7095389135641094e-09,4,0.001024,-1.4430708544278748e-06,0.01,0.024953046110897555,81920,0.0,-188.22850634999998,25.1536,1171,-1.4591898214729677e-07,-0.13425007270467146,88.31,-2.95213152368962e-06,-0.2304085938581773,69,-0.20196958511078264,0.0,1.9531173165887596e-06,0.0,-0.3066866272126455,-1.569532256434382,-0.5947186639050038,0.00029994879999999997,0.2,718.1859130859375,1493.0142944335937,-34.06769027709961,0.0035886124,0.00830078125,12,0.4016304016113281,-0.009648011170793325,1.0013834238052368
-0.0004124263860376852,-0.007532860203693292,-0.2803842907058229,-0.5,-0.000136207255537523,-0.06897560162647716,-1.1301638282722677,0.6496859733333333,-2.3299271854167177e-05,-3.462949524543978e-09,5,0.0013653333333333334,-1.408581697701057e-06,0.01,0.025192297803307468,102400,0.0,-192.80196490000003,25.2048,1172,-1.5748171562858705e-07,-0.13408570832994007,92.88,-3.935707901955296e-06,-0.23177192691973758,87,-0.21888658673706232,0.0,7.812495459802448e-06,0.0,-0.3066657907640261,-1.565725395953804,-0.5944917527923932,0.0002999317333333333,0.2,662.5518798828125,1347.712579345703,-34.070509338378905,0.0054633715,0.020361328125,16,0.5763411521911621,-0.011887015769025311,1.001802682876587
-0.0005201835355740319,-0.008805892459994457,-0.2986362063037509,-0.5,-0.0004228088650270813,-0.06564284413203889,-1.0591474683816853,0.6496074666666667,-2.8995101588795033e-05,-3.728499903598706e-09,6,0.0017066666666666667,-1.4409463408684174e-06,0.01,0.023685091391086918,122880,0.0,-190.53009909000005,25.256,1166,-1.6142527861851236e-07,-0.13474637499937778,90.66,-4.962891755918534e-06,-0.21372139778075647,105,-0.22841342802421422,0.0,6.835936801508069e-06,0.0,-0.30578770046779963,-1.5689271028734928,-0.5995481831719293,0.00029991466666666667,0.2,635.6781005859375,1324.3927856445312,-34.077250480651855,0.004899186,0.01766357421875,20,0.6317870616912842,-0.01032802159897983,1.0020445585250854
-0.0006169750777720725,-0.008289591128053317,-0.2773196750748465,-0.5,-0.0003144189266183591,-0.06644910977718818,-1.0856665215861754,0.64952896,-3.4181007547953965e-05,-3.808010049938397e-09,7,0.002048,-1.4683299092684173e-06,0.01,0.024644158326435864,143360,0.0,-185.23627391999997,25.3072,1169,-1.5646036583002446e-07,-0.13456537296776414,85.29,-5.8698655696469725e-06,-0.22209670170527823,122,-0.22974399459635605,0.0,0.0,0.0,-0.30522453682395456,-1.5722448280821408,-0.5979316604498701,0.0002998976,0.2,590.6554565429688,1216.722918701172,-34.077599334716794,0.004938553,0.0171142578125,24,0.6527173519134521,-0.011249710991978645,1.0020912885665894
-0.0008735174307656045,-0.007223909078942432,-0.323535299505864,-0.5,-0.00021540673615050957,-0.07361605040435054,-0.9028889207484069,0.6494504533333334,-4.1889961453241333e-05,-3.31330759876019e-09,8,0.002389333333333333,-1.4487607915320415e-06,0.01,0.02176891219338093,163840,0.0,-213.48001884,25.3584,1167,-1.9097989435981395e-07,-0.13426562826022764,113.64,-6.635465380191477e-06,-0.19798683659061952,140,-0.2931341203089687,0.0,4.882810753770173e-06,0.0,-0.3066213608902717,-1.5750075336442897,-0.6070324056283299,0.0002998805333333333,0.2,571.8906860351562,1186.4553466796874,-34.07651844024658,0.003911707,0.00980224609375,28,0.6610811948776245,-0.009477323453756981,1.0018819570541382
-0.0009710726468080447,-0.008629790196916221,-0.34507383739430425,-0.5,-0.00022535175515513975,-0.07244684418166743,-0.8530465714926387,0.6493719466666666,-4.737844115992009e-05,-3.3120026529204337e-09,9,0.002730666666666667,-1.469205144555836e-06,0.01,0.02039887247199331,184320,0.0,-192.73545098000002,25.4096,1167,-1.85592747871862e-07,-0.13453841632703165,92.89,-7.778939753771887e-06,-0.19219505225767647,157,-0.27925032661150906,0.0,2.929684706032276e-06,0.0,-0.3078333020626416,-1.5794717923205783,-0.6134445824326158,0.00029986346666666667,0.2,516.8778686523438,1101.2362976074219,-34.07569217681885,0.005792373,0.0257080078125,32,0.6441749334335327,-0.010716160293668509,1.0020161867141724
-0.0012262238850524456,-0.008615568886550693,-0.38127675632761926,-0.5,-0.001759220382256705,-0.06722653695195199,-0.681556373390908,0.64929344,-5.636379228712942e-05,-2.9400893326661248e-09,10,0.003072,-1.3930277901665024e-06,0.01,0.017670840749959733,204800,0.0,-218.34769907999998,25.4608,1164,-2.1418606784393017e-07,-0.13501656293163225,118.57,-8.485250044449333e-06,-0.16411715749704828,175,-0.33846859233890425,0.0,0.0,0.0,-0.3072756709843067,-1.5796025081357266,-0.6257201011162429,0.00029984639999999996,0.2,526.6336669921875,1080.4866912841796,-34.08218498229981,0.006402909,0.02786865234375,36,0.6176793575286865,-0.01119717222172767,1.0024856328964233
