curriculum/ctrl_jitter_ms,curriculum/cmd_track_err,reward_terms/stop,reward_terms/ang_xy,curriculum/stance_ratio,reward_terms/stand,reward_terms/torque,time/total_timesteps,reward_terms/hip_roll,reward_terms/stance,reward_terms/angmom,curriculum/cmd_scale,reward_terms/lat_vel,reward_terms/air_time,reward_terms/residual,curriculum/ent_coef,ankle/ankle_spring_energy_peak,reward_terms/track_lin,reward_terms/duty_sym,reward_terms/energy,est/vel_rmse,reward_terms/height,reward_terms/vz,reward_terms/overrun,reward_terms/residual_rate,reward_terms/upright,rollout/ep_len_mean,curriculum/eff_scale,reward_terms/assist_pen,curriculum/swing_frac_min,reward_terms/stance_time,reward_terms/step_rate,reward_terms/stand_drift,reward_terms/track_yaw,time/fps,curriculum/ctrl_drop_prob,reward_terms/clearance,reward_terms/motor_vel,time/iterations,rollout/ep_rew_mean,reward_terms/time,reward_terms/fwd_speed,reward_terms/action_rate,reward_terms/foot_ahead,reward_terms/coef_rate,ankle/ankle_spring_trq_peak,ankle/ankle_defl_peak,curriculum/dr_scale,reward_terms/foot_slip,time/time_elapsed,curriculum/swing_frac_mean,reward_terms/phase_contact,reward_terms/alive,train/value_loss,train/clip_range,train/entropy_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/dr_scale_progress
0.0,0.6000150815396937,0.0,-0.13139169806696438,0.7,0.8563093347718168,0.0,18432,-0.1637607673096983,-0.004337871314098089,-0.061481784794245486,0.0,-1.6938580184579294e-08,3.146693537322184e-05,-0.09276378095858155,0.01,0.0,1.2197448058916602,0.0,0.0,1.16722037027793,-0.010719926324042789,-0.051067089354179265,0.0,0.0,-0.15061730584527958,123.65,0.0,0.0,0.2559136284722222,-9.033147944137454e-05,-0.0064561631944445065,-0.0056011636931215004,1.999900710705405,8883,0.0,0.009636992166124864,0.0,1,-48.12433364999999,0.0,0.0,-0.11518756244953002,0.0,-0.9178066766830442,0.0,0.5052115139015979,0.0,-0.43232620777359176,2,0.3198513454861111,-0.045112543367445385,0.0,,,,,,,,,,,,,,,,
0.0,0.43176452439617374,0.0,-0.08986483323376104,0.7,0.8097472466231195,0.0,36864,-0.1872486967226606,-3.9114300144190066e-07,-0.05328801267461416,0.0,-1.3909719757992771e-08,0.0,-0.0952693337433563,0.01,0.0,1.2878831533648398,-0.00012206111592603828,0.0,0.9429805460952938,-0.01159012010939753,-0.039218735333696984,0.0,0.0,-0.14146180745481543,154.04,0.0,0.0,0.2823893229166667,0.0,-0.005436197916666715,-0.00295501682471947,1.9999336139475856,9585,0.0,0.0,0.0,2,-18.053455909999997,0.0,0.0,-0.11482189664252045,0.0,-0.8481904957836366,0.0,0.5052055848014275,0.0,-0.3302843453373527,3,0.30251736111111116,0.0,0.0,11986.2646484375,0.2,-36.848829905192055,5843.9228515625,0.9983283281326294,21699,0.00029995392,0.7669858932495117,0.024825042734543484,0.2823893229166667,0.043284576,,,,,
0.0,0.4474255862991212,0.0,-0.10410770624153896,0.7,0.764692032874351,0.0,55296,-0.17596221991345454,-0.004776765961448723,-0.067650161640888,0.0,-1.6625286896325864e-08,0.0,-0.0943558038680596,0.01,0.0,1.2278403077124762,-0.00010608723006549694,0.0,0.9126090206706128,-0.01347231437238248,-0.05282187480381822,0.0,0.0,-0.16542351214534365,184.09,0.0,0.0,0.2827690972222222,0.0,-0.005642361111111161,-0.007255390409934337,1.999916629986947,9161,0.0,0.0,0.0,3,4.520778300000001,0.0,0.0,-0.1179164358678239,0.0,-0.8634828857335767,0.0,0.5050454257591543,0.0,-0.32719067812453423,6,0.3017306857638889,0.0,0.0,8923.985595703125,0.2,-36.850527954101565,2825.413330078125,0.998530924320221,21703,0.00029990784,0.7555637359619141,0.00028349311323836444,0.1496826171875,0.012064391,,,,,
0.0,0.3910792500847028,0.0,-0.08952903426537405,0.7,0.8316049656115696,0.0,73728,-0.18351310598280768,-0.00011278069293155132,-0.06174088564858845,0.0,-1.6055099834152847e-08,0.0,-0.09440779667043889,0.01,0.0,1.1833345821364327,-3.8528222624260783e-05,0.0,0.6837755887824185,-0.012607010262863878,-0.046743213291993164,0.0,0.0,-0.16314291203457548,162.23,0.0,0.0,0.3098415798611111,0.0,-0.005772569444444497,-0.0061437131261292705,1.999920836359288,8605,0.0,0.0,0.0,4,-9.973879770000002,0.0,0.0,-0.11631793757948526,0.0,-0.813175532904691,0.0,0.5050491687791255,0.0,-0.2762327446685026,8,0.32185872395833337,0.0,0.0,6175.151928710938,0.2,-36.85638275146484,2205.597412109375,0.9987913966178894,21707,0.00029986176,0.8354488015174866,-0.00027581920730881395,0.06761474609375,0.0075970753,,,,,
0.0,0.3991217093640012,0.0,-0.08831068260412059,0.7,0.8210270261122907,0.0,92160,-0.18623418176440765,-0.00018361267578614372,-0.04450421650668637,0.0,-1.624601111413793e-08,0.0,-0.0953995151757085,0.01,0.0,1.2380614653365525,0.0,0.0,0.6577886753796758,-0.010777979617419666,-0.036487576141216144,0.0,0.0,-0.12410985704270527,168.39,0.0,0.0,0.2916124131944444,0.0,-0.005197482638888934,-0.003261895258296342,1.9999256345392007,8091,0.0,0.0,0.0,5,3.9724545899999986,0.0,0.0,-0.11613527502700616,0.0,-0.8670902933378226,0.0,0.5049779546823001,0.0,-0.30009711998347666,11,0.2924262152777778,0.0,0.0,5692.996911621094,0.2,-36.862439727783205,1898.8092041015625,0.9989758729934692,21711,0.00029981568,0.8431631326675415,-0.001320518192369491,0.0482421875,0.005503823,,,,,
0.0,0.46437534408275283,0.0,-0.08874858720315211,0.7,0.7267979619399245,0.0,110592,-0.1727960978066658,-0.00043056808013002955,-0.06141866676739232,0.0,-1.5291268769558613e-08,0.0,-0.09516522715315942,0.0099963136,0.0,1.1454723022068092,-0.00035169804179345445,0.0,0.6106606639181119,-0.012716786849735163,-0.05039849081145586,0.0,0.0,-0.16680960579700713,188.05,0.0,0.0,0.2832573784722222,0.0,-0.005349392361111158,-0.005473830797518592,1.9999238000674937,7774,0.0,0.0,0.0,6,-1.963859350000003,0.0,0.0,-0.11829602576580273,0.0,-0.8544978596303704,0.0,0.5051785825340467,0.0,-0.2800661955338677,14,0.3064778645833333,0.0,0.0,3928.296728515625,0.2,-36.86524639129639,1181.5604248046875,0.9990794062614441,21715,0.00029976959999999996,0.8921381831169128,-0.003202042181510478,0.026953125,0.0043965257,,,,,
0.0,0.37454795347376907,0.0,-0.0857966156353034,0.7,0.848520737548512,0.0,129024,-0.18209980346582633,-0.009657426830439988,-0.04831205286596452,0.0,-1.3120003225211264e-08,0.0,-0.09534311179099914,0.0099926272,0.0,1.2724842679229704,0.0,0.0,0.5503567893008646,-0.011611849268689026,-0.03676903593135749,0.0,0.0,-0.12535981019640338,158.74,0.0,0.0,0.2759874131944444,0.0,-0.0051649305555556,-0.00841502440267821,1.999936135936154,7566,0.0,0.0,0.0,7,-22.86260609,0.0,0.0,-0.11716059004306982,0.0,-0.8576417645502133,0.0,0.5051301033460227,0.0,-0.29840540544222466,17,0.2788357204861111,0.0,0.0,3514.2099853515624,0.2,-36.869150161743164,1237.079345703125,0.9992579221725464,21719,0.00029972352,0.8994811177253723,-0.0062239215068984775,0.04150390625,0.007156053,,,,,
0.0,0.42245347107530906,0.0,-0.0768185011305468,0.7,1.00605210457717,0.0,147456,-0.18417275489113566,-0.0006399314083272589,-0.047811826925181544,0.0,-1.4545111223450605e-08,0.0,-0.09520181962381322,0.0099889408,0.0,1.4103908926918802,0.0,0.0,0.49351861880059994,-0.011987393980837152,-0.03665239141300184,0.0,0.0,-0.12082823598211435,189.59,0.0,0.0,0.2642144097222222,0.0,-0.005349392361111157,-0.004026149327156989,1.9999303554196775,7410,0.0,0.0,0.0,8,22.940828449999998,0.0,0.0,-0.11838782784213225,0.0,-0.8291766722148759,0.0,0.5052082525791262,0.0,-0.3064843307233843,19,0.275390625,0.0,0.0,3320.9162109375,0.2,-36.87329044342041,1127.7073974609375,0.9994194507598877,21723,0.00029967744,0.8957993388175964,-0.004481348767876625,0.0218017578125,0.0056210156,,,,,
0.0,0.3726971208921257,0.0,-0.08147941112231319,0.7,0.8897437216260702,0.0,165888,-0.17223918109392697,-0.0012751280190166443,-0.04435670759183147,0.0,-1.2851802060656452e-08,0.0,-0.09460888738787357,0.0099852544,0.0,1.2283942539173882,-2.9850417363291214e-06,0.0,0.5141134938279487,-0.011743779615379653,-0.038384160121695675,0.0,0.0,-0.12183680178849879,192.08,0.0,0.0,0.23746744791666666,0.0,-0.004882812500000039,-0.009673216545278472,1.99994016513937,7286,0.0,0.0,0.0,9,33.111934409999996,0.0,0.0,-0.1176596815375206,0.0,-0.8631730646461349,0.0,0.5051711580081886,0.0,-0.2809879751772477,22,0.2772352430555555,0.0,0.0,2997.5097412109376,0.2,-36.877017402648924,1117.449951171875,0.9996619820594788,21727,0.00029963136,0.8995770215988159,-0.006429592124186456,0.03983154296875,0.0075940937,,,,,
0.0,0.3571189884245223,0.0,-0.08793916490803472,0.7,0.793856015062003,0.0,184320,-0.1649519433408896,-4.577092201686273e-05,-0.05033771676425256,0.0,-1.1302235964259213e-08,0.0,-0.0946953389108606,0.009981568,0.0,1.1608466741007315,-0.0002004960515763224,0.0,0.5046347445855134,-0.013023869134674208,-0.04135807152950299,0.0,0.0,-0.13628966450026037,187.03,0.0,0.0,0.20068359375,0.0,-0.005023871527777819,-0.012627371631927087,1.9999243346083797,7171,0.0,0.0,0.0,10,1.6476313400000004,0.0,0.0,-0.11938068110776874,0.0,-0.8607211405632603,0.0,0.5050396400322243,0.0,-0.29877582695971217,25,0.267333984375,0.0,0.0,3122.8101318359377,0.2,-36.88175678253174,1152.4952392578125,0.9998652338981628,21731,0.00029958527999999996,0.8791276812553406,-0.0048892699007410554,0.033984375,0.0064366325,,,,,
