reward_terms/air_time,reward_terms/coef_rate,reward_terms/foot_slip,reward_terms/foot_ahead,rollout/ep_len_mean,curriculum/eff_scale,reward_terms/angmom,time/iterations,time/fps,reward_terms/fwd_speed,reward_terms/assist_pen,reward_terms/height,reward_terms/lat_vel,reward_terms/upright,reward_terms/residual,curriculum/ctrl_jitter_ms,reward_terms/stance,reward_terms/stop,reward_terms/residual_rate,reward_terms/stance_time,curriculum/ctrl_drop_prob,reward_terms/overrun,reward_terms/vz,reward_terms/alive,curriculum/ent_coef,reward_terms/action_rate,time/time_elapsed,reward_terms/time,reward_terms/hip_roll,reward_terms/torque,reward_terms/clearance,reward_terms/step_rate,curriculum/sprint_dist_m,curriculum/stance_ratio,reward_terms/motor_vel,rollout/ep_rew_mean,time/total_timesteps,reward_terms/ang_xy,reward_terms/phase_contact,reward_terms/energy,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/value_loss,train/std,train/approx_kl,train/loss,train/learning_rate
0.001498478843132034,-0.030172329192604787,-0.2614660869139238,0.0,125.13,0.0,-0.26384919887761565,1,4060,-0.3475110786688479,0.0,-0.05991973447900851,-0.35802563527949344,-0.9764030005639488,-0.1105837642198428,0.0,-0.9710650971051291,0.0,0.0,-0.00059949338901788,0.0,0.0,-0.16357602681367106,0.0,0.01,-0.009611462091020139,4,-0.5,-0.635952788944589,0.0,0.07208459683521831,0.0,25.0,0.65,0.0,-130.97300717000002,18432,-0.5488765113351161,-0.46145963977548277,0.0,,,,,,,,,,,
0.001933591123411639,-0.03582410375865468,-0.35282427190722365,0.0,144.55,0.0006144,-0.26976308048445374,2,3976,-0.3404752716598292,0.0,-0.06849989813366211,-0.5079873043288715,-1.1365856061717277,-0.11137089810513194,0.0,-0.9688251449240036,0.0,0.0,-0.0017978080658293846,0.0,0.0,-0.18399758452005757,0.0,0.01,-0.008934333801090754,9,-0.5,-0.6442708743652354,-0.0001623053504401631,0.07522802398570026,0.0,25.06912,0.649858688,-5.496893841645014e-06,-135.81737862000003,36864,-0.5832847811193436,-0.41583986703446274,-2.3528068605194343e-05,0.1519736647605896,-16.703166689191544,0.24930245535714285,51311,0.014795704279094934,0.2,277.77225821358815,0.8681837320327759,0.04785284,72.68415832519531,0.00029993856
0.0017453318481178333,-0.03624706601174718,-0.3704897493643801,0.0,144.99,0.0012288,-0.2527622440357447,3,4036,-0.32318353570249375,0.0,-0.06634706639676442,-0.5227090426240684,-1.1287458425411874,-0.11112176267808643,0.0,-0.9512611125668177,0.0,0.0,-0.002239294537705266,0.0,0.0,-0.2039983029322382,0.0,0.01,-0.009588260978496375,13,-0.5,-0.631474800803857,-0.0003100012387516091,0.07577684222306683,0.0,25.13824,0.649717376,-1.1200323691041752e-05,-135.98221825000002,55296,-0.5860957797291229,-0.40181386476012776,-4.7390945251490306e-05,0.3515125513076782,-16.702409553527833,0.13067626953125,51315,0.001107215735828504,0.2,53.1468804359436,0.8681761026382446,0.01307292,9.477701187133789,0.00029987712
0.0016395377493204756,-0.04488955890734885,-0.3660151382704562,0.0,145.78,0.0018432,-0.23442551789299199,4,4062,-0.34447107768795093,0.0,-0.06968709869235103,-0.5583296185189157,-1.1357347934489916,-0.11056425333532299,0.0,-0.957466895851819,0.0,0.0,-0.0024553582803087514,0.0,0.0,-0.220910459260904,0.0,0.01,-0.010854357186937787,18,-0.5,-0.6244640703658288,-0.0004712521205116436,0.0758798882567947,0.0,25.20736,0.649576064,-1.5998563889645415e-05,-136.20247041000002,73728,-0.5889959978621423,-0.3774597932432787,-6.915708125351646e-05,0.844161868095398,-16.702128887176514,0.145751953125,51316,0.010851858649402857,0.2,61.14730167388916,0.8681462407112122,0.020347167,18.5552921295166,0.00029981568
0.0003602425567805767,-0.131316355275647,-0.4999286967509169,0.0,141.99,0.0024576,-0.21475188468926232,5,4047,-0.5473370210470304,0.0,-0.05518091807846212,-0.4084884018443715,-0.8497895007037681,-0.10966399509865805,0.0,-0.7297231076263366,0.0,0.0,-0.0008196262028327005,0.0,0.0,-0.17562733294259564,0.0,0.01,-0.01822767055313386,22,-0.5,-0.4411335271729343,-0.0008469161431369069,0.059139723998833355,0.0,25.27648,0.649434752,-2.0791490254412087e-05,-135.26260799999997,92160,-0.5901256096519271,-0.4206022402049838,-0.00010254540822287972,0.6515473127365112,-16.702565288543703,0.0840576171875,51320,-0.0008545812568627297,0.2,24.50984468460083,0.8681970238685608,0.007592237,5.554888725280762,0.00029975423999999997
0.0001399737763373802,-0.323836749466982,-0.7409528456498156,0.0,78.34,0.003072,-0.14865449185267404,6,4051,-0.507735832884335,0.0,-0.02168907780796068,-0.1768274800320776,-0.7297199275994436,-0.10561479363451609,0.0,-0.5767564841872903,0.0,0.0,-0.0005521621917270952,0.0,0.0,-0.18477904930127273,0.0,0.01,-0.037196362408688,27,-0.5,-0.38998329600766884,-0.0017408268607261718,0.06259789591935533,0.0,25.3456,0.64929344,-3.463862656740647e-05,-119.36002726999997,110592,-0.7900882018935269,-0.4633484147316263,-0.00020360275434472538,0.4402123689651489,-16.703554916381837,0.04261474609375,51324,-0.00530676021007821,0.2,32.097630977630615,0.8682906627655029,0.0066951336,6.248714447021484,0.0002996928
0.0,-0.3574346939484991,-0.7926028481589842,0.0,64.39,0.0036864,-0.06695525943313944,7,4037,-0.11815239412651499,0.0,-0.018977836696572783,-0.23524668624091044,-0.7911200229423898,-0.10504761634716041,0.0,-0.7840620932792792,0.0,0.0,0.0,0.0,0.0,-0.1650952850333794,0.0,0.01,-0.045346227417921894,31,-0.5,-0.396307509169622,-0.002505641545432326,0.05316946460021914,0.0,25.41472,0.649152128,-4.415535936276358e-05,-115.85652092000001,129024,-0.8775752043605938,-0.5301828307938241,-0.0002831649910967618,0.037220001220703125,-16.705186080932616,0.0413818359375,51328,-0.00373491442296654,0.2,55.721250247955325,0.8683621883392334,0.006211207,14.180389404296875,0.00029963136
0.0,-0.34855817688260854,-0.7838485595788354,0.0,64.94,0.0043008,-0.05986342809004941,8,4024,-0.12417195642343086,0.0,-0.018677298736873536,-0.2100091171397396,-0.801305991776595,-0.10541749494943159,0.0,-0.8203424563762609,0.0,0.0,0.0,0.0,0.0,-0.17738245738556357,0.0,0.01,-0.04764952060021727,36,-0.5,-0.4138830107166576,-0.0029007558127753285,0.056024908835303054,0.0,25.48384,0.649010816,-5.260891412156654e-05,-116.01199113000001,147456,-0.8761939856527658,-0.5237437846662958,-0.00033228416304369223,0.4474073648452759,-16.7063871383667,0.0325439453125,51332,-0.005133307352662086,0.2,28.179139709472658,0.8684225678443909,0.0058249715,6.972772598266602,0.00029956992
5.42524503543973e-07,-0.3288271104870992,-0.7982417103927318,0.0,63.1,0.0049152,-0.05502618662531058,9,4011,-0.13437701917238615,0.0,-0.01595886898903893,-0.2037474729639349,-0.7898942074230765,-0.10559713167782266,0.0,-0.8728874686012443,0.0,0.0,0.0,0.0,0.0,-0.1573097500944113,0.0,0.01,-0.0481454572636257,41,-0.5,-0.4287389713459844,-0.0032764910126638538,0.054394486815601654,0.0,25.55296,0.648869504,-6.089969052993823e-05,-115.53622951,165888,-0.8557164199728245,-0.5253480896203738,-0.0003788178828162061,0.2858468294143677,-16.707415866851807,0.0577880859375,51336,-0.00487949880771339,0.2,16.68424243927002,0.8684886693954468,0.008272966,3.563446521759033,0.00029950848
2.0073736474538844e-05,-0.31466166764556386,-0.7968209890026974,0.0,64.55,0.0055296,-0.047427827957756644,10,4004,-0.1210952005787877,0.0,-0.018863497911617143,-0.21726549358298666,-0.8429668882873799,-0.10589646485930025,0.0,-0.9038543876782952,0.0,0.0,0.0,0.0,0.0,-0.15847592177213807,0.0,0.01,-0.051060264587527895,46,-0.5,-0.47634546825086094,-0.0037423658107628354,0.05613378079788198,0.0,25.62208,0.648728192,-7.317439033261312e-05,-115.92033103000001,184320,-0.888581817248058,-0.5168596712897942,-0.0004430688199425119,-0.34076738357543945,-16.708790016174316,0.1203857421875,51340,-0.00437203865731135,0.2,8.421739864349366,0.8686560392379761,0.017585099,1.8725268840789795,0.00029944704
