curriculum/dr_scale,ankle/ankle_defl_peak,reward_terms/track_lin,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio,reward_terms/alive,reward_terms/lat_vel,reward_terms/overrun,ankle/ankle_spring_trq_peak,reward_terms/action_rate,reward_terms/hip_roll,rollout/ep_rew_mean,time/total_timesteps,curriculum/stance_ratio_progress,reward_terms/residual_rate,reward_terms/angmom,reward_terms/coef_rate,reward_terms/track_yaw,reward_terms/fwd_speed,reward_terms/stance_time,reward_terms/step_rate,time/fps,reward_terms/foot_slip,reward_terms/foot_ahead,time/time_elapsed,reward_terms/stand_drift,curriculum/dr_scale_progress,reward_terms/clearance,reward_terms/motor_vel,reward_terms/energy,curriculum/ctrl_drop_prob,reward_terms/stance,reward_terms/torque,reward_terms/phase_contact,reward_terms/height,reward_terms/duty_sym,ankle/ankle_spring_energy_peak,curriculum/cmd_scale,reward_terms/vz,time/iterations,curriculum/ent_coef,curriculum/ctrl_drop_prob_progress,curriculum/ctrl_jitter_ms,reward_terms/air_time,reward_terms/stop,reward_terms/residual,reward_terms/ang_xy,curriculum/cmd_track_err,rollout/ep_len_mean,reward_terms/stand,reward_terms/assist_pen,reward_terms/upright,curriculum/eff_scale,reward_terms/time,curriculum/eff_scale_progress,train/value_loss,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/approx_kl
0.4168703999999778,0.21484770787771099,1.9027230253148362,0.6253055999999984,0.6833251840000009,0.5,-0.12833099679155138,0.0,75.19669775719885,-0.04210300594731216,-0.14701599538494958,392.43952657,162016812,0.2084351999999889,0.0,-0.07092594061304718,-0.277317295215512,0.53209779285882,0.0,0.0,0.0,2736,-0.34188476538369184,0.0,6,-0.08746038513839362,0.4168703999999778,0.04865222794243933,-0.0009128043834945071,-0.004775063228451481,0.031265279999999916,-0.16293727220332815,-0.040797044137132976,-0.03853377598111875,-0.011936087233322496,0.0,8.54497476848514,0.0,-0.03655871494122968,1,0.0037995219999999996,0.6253055999999984,2.5012223999999934,0.00020779022209656736,0.0,-0.11555673641422949,-0.3532687714854089,0.6083943557557225,1199.75,0.26256790958684834,0.0,-0.2929013443829677,0.07295231999999612,0.0,0.2084351999999889,,,,,,,,,,,
0.4168703999999778,0.21348591692253507,2.1951112482291837,0.6253055999999984,0.6833251840000009,0.5,-0.2048332342253717,0.0,74.72007092288727,-0.03916617760150234,-0.17068661212577188,366.60708244999995,162035244,0.2084351999999889,0.0,-0.06512431287583667,-0.24918280268497459,0.5792272235443604,0.0,0.0,0.0,2739,-0.31418336564141436,0.0,13,-0.2563302702552385,0.4168703999999778,0.030530084959557557,-0.0009167105736932178,-0.0048397951404657675,0.031265279999999916,-0.24446257135215343,-0.04209841579233039,-0.019617432654155675,-0.01121459284312094,0.0,7.978878091608977,0.0,-0.028035350061618447,2,0.0037976788,0.6253055999999984,2.5012223999999934,0.00021050289635443024,0.0,-0.11673174704219497,-0.346659588242072,0.2199266577809696,1128.32,0.2168503379137212,0.0,-0.28965266360455877,0.07295231999999612,0.0,0.2084351999999889,437.13792724609374,0.000218991594,166.22332763671875,0.9081491231918335,-36.88522815704346,0.223779296875,0.9999622106552124,0.2,-0.03074804472271353,195299,0.031685174
0.4168703999999778,0.18411064281899528,2.049772733071683,0.6253055999999984,0.6833251840000009,0.5,-0.17978244582370265,0.0,64.43872498664835,-0.03875824975674805,-0.15969811911855944,357.39320546999994,162053676,0.2084351999999889,0.0,-0.05001781902232469,-0.24847772762339312,0.5857617929510295,0.0,0.0,0.0,3019,-0.3177525222018473,0.0,18,-0.27769633051301157,0.4168703999999778,0.030749373945709202,-0.0009221494765304154,-0.004845340239124411,0.031265279999999916,-0.24198319142832178,-0.041851807664068104,-0.02177034687222841,-0.010375259306191648,0.0,6.017705753900263,0.0,-0.022665054369650176,3,0.0037958356,0.6253055999999984,2.5012223999999934,0.00017903593834489584,0.0,-0.11678115663802463,-0.3355449091074513,0.2749246745845377,1075.36,0.1418462006670435,0.0,-0.2852580983078923,0.07295231999999612,0.0,0.2084351999999889,367.04492340087893,0.000218982378,141.1776885986328,0.9050959944725037,-36.88314437866211,0.2212158203125,0.9998608827590942,0.2,-0.03048680068459362,195303,0.026896277
0.41671679999997785,0.19301875208935768,1.9246767478494577,0.6250751999999984,0.6833313280000008,0.5,-0.2568941442215967,0.0,67.55656323127519,-0.04151610111074365,-0.16808858438841962,336.50745524999996,162072108,0.20835839999998892,0.0,-0.06293711520471701,-0.2565435118280596,0.5591741379324758,0.0,0.0,0.0,3180,-0.33510668394459214,0.0,23,-0.21857904409224665,0.41671679999997785,0.029270779676376795,-0.0009167840593676044,-0.0048291389508825396,0.03125375999999992,-0.23286896397193807,-0.04119734821592287,-0.019193156455803315,-0.014255364843584414,0.0,6.520522119120508,0.0,-0.03597144522966004,4,0.0037939923999999996,0.6250751999999984,2.5003007999999936,0.0001405160098026196,0.0,-0.11661795123599925,-0.3356113347886633,0.26274933718183785,1063.38,0.15839354243174691,0.0,-0.29583180151444943,0.07292543999999612,0.0,0.20835839999998892,411.95750732421874,0.00021897316199999997,181.30271911621094,0.8955743312835693,-36.882637405395506,0.22939453125,0.9999451637268066,0.2,-0.03218340303283185,195307,0.028264755
0.4165631999999779,0.2061788279434208,2.3206990375163383,0.6248447999999984,0.6833374720000008,0.5,-0.15945006916391447,0.0,72.16258978019728,-0.03832115426417718,-0.15658131324719535,296.66211195,162090540,0.20828159999998894,0.0,-0.04512698993465223,-0.23728682951661714,0.6077520967057504,0.0,0.0,0.0,3301,-0.3067146449668786,0.0,27,-0.2915368454865772,0.4165631999999779,0.014391741736719097,-0.0008940819402302477,-0.00467831895951944,0.03124223999999992,-0.1876119050787129,-0.03989639137568821,-0.008670163165286605,-0.01095628249030138,0.0,7.4396193411192835,0.0,-0.025061015088603186,5,0.0037921492,0.6248447999999984,2.4993791999999937,9.277317440137267e-05,0.0,-0.11711848709815241,-0.30431862120163816,0.3137359164962177,1015.63,0.26597601279967537,0.0,-0.28024108076748955,0.07289855999999613,0.0,0.20828159999998894,347.1046478271484,0.00021896394599999998,130.21377563476562,0.923942506313324,-36.881422233581546,0.23038330078125,0.9997534155845642,0.2,-0.03156545269303024,195311,0.028699094
0.4164095999999779,0.18098302230643432,2.238154751719134,0.6246143999999985,0.6833436160000008,0.5,-0.1837612807176096,0.0,63.344057807252014,-0.03863605649239664,-0.16024449741065477,277.02139604,162108972,0.20820479999998895,0.0,-0.06140439070936526,-0.23992390278837172,0.5799604424252491,0.0,0.0,0.0,3387,-0.30117003496547123,0.0,32,-0.12050578157668038,0.4164095999999779,0.03982075143133062,-0.0009069323559577503,-0.004725958842265341,0.031230719999999924,-0.19959351871622583,-0.04060527097481889,-0.024520850531668737,-0.011283682398883863,0.0,6.062429492411663,0.0,-0.03089595582689182,6,0.0037903060000000002,0.6246143999999985,2.498457599999994,0.00020561997856323919,0.0,-0.11677278942939605,-0.3251289438386106,0.20005730374942793,975.97,0.22949410511450175,0.0,-0.2877787256077555,0.07287167999999612,0.0,0.20820479999998895,302.3027931213379,0.00021895473,110.2719497680664,0.910021185874939,-36.88192710876465,0.2547607421875,0.9998496770858765,0.2,-0.029274958232417703,195315,0.029568385
0.4162559999999779,0.20511110074970035,2.2987430721872872,0.6243839999999985,0.6833497600000008,0.5,-0.14938398403889658,0.0,71.78888526239513,-0.037525921484693074,-0.15561835383268618,309.10465461,162127404,0.20812799999998896,0.0,-0.042783369600044946,-0.23311411140407248,0.663247957048943,0.0,0.0,0.0,3455,-0.2954880314419585,0.0,37,-0.257298681902427,0.4162559999999779,0.01910599343275154,-0.0009139685971998353,-0.004736996103862662,0.031219199999999926,-0.21581570067010256,-0.04013835654353256,-0.012009788943772873,-0.008905446029019257,0.0,7.609159234440637,0.0,-0.02127898776572644,7,0.0037884627999999997,0.6243839999999985,2.497535999999994,0.00010959165714060266,0.0,-0.11713923497045714,-0.31598685111986613,0.2063650799638999,1038.29,0.2088843262138439,0.0,-0.27472717715649014,0.07284479999999613,0.0,0.20812799999998896,320.7748748779297,0.000218945514,130.97654724121094,0.9174028635025024,-36.88307514190674,0.2416748046875,0.9998793005943298,0.2,-0.029373921290971338,195319,0.029770792
0.41610239999997795,0.21579043299229245,2.2091004243580867,0.6241535999999985,0.6833559040000008,0.5,-0.14263406005181825,0.0,75.52665154730235,-0.039192963549151145,-0.1583048056856436,407.5779503899999,162145836,0.20805119999998897,0.0,-0.053869457629273115,-0.2423460194291522,0.6144943041613965,0.0,0.0,0.0,3507,-0.31075109215470165,0.0,42,-0.24095311439980632,0.41610239999997795,0.019541527559403013,-0.0009062957571413931,-0.004727997729503239,0.03120767999999993,-0.21235083159406395,-0.040858162707669794,-0.008801296272942826,-0.010328980362501856,0.0,8.78356329555161,0.0,-0.025384148885564208,8,0.0037866196,0.6241535999999985,2.496614399999994,9.440070910689731e-05,0.0,-0.11683527402869531,-0.31711073239124565,0.2118756148338219,1243.11,0.22471039731762504,0.0,-0.28113063834331425,0.07281791999999614,0.0,0.20805119999998897,269.45236282348634,0.00021893629799999998,115.7191390991211,0.9124222993850708,-36.88648948669434,0.23465576171875,1.0002100467681885,0.2,-0.030225254129618406,195323,0.02837212
0.41610239999997795,0.2224599598593796,2.166732438800727,0.6241535999999985,0.6833559040000008,0.5,-0.18459768068614918,0.0,77.86098595078286,-0.038291037214022536,-0.15998096896896116,488.09861927,162164268,0.20805119999998897,0.0,-0.0532239133563293,-0.24912160871616873,0.626057487772236,0.0,0.0,0.0,3545,-0.30970393496999676,0.0,46,-0.21188314816226575,0.41610239999997795,0.04440011138678824,-0.0009213642862880309,-0.004744371739762307,0.03120767999999993,-0.23393817090024432,-0.04003343647510206,-0.027969551489875257,-0.009917913125964148,0.0,8.66048590354262,0.0,-0.025774325785296832,9,0.0037847764000000002,0.6241535999999985,2.496614399999994,0.00022623620073621473,0.0,-0.11690445893617991,-0.3265268086162089,0.25334580622659475,1398.96,0.17943393513994327,0.0,-0.26309298674748205,0.07281791999999614,0.0,0.20805119999998897,349.50957641601565,0.000218927082,130.1817169189453,0.8823902606964111,-36.890176391601564,0.234423828125,1.0002317428588867,0.2,-0.02770920725306496,195327,0.027853359
0.41610239999997795,0.21615956502826622,1.974320530525491,0.6241535999999985,0.6833559040000008,0.5,-0.22242270233627767,0.0,75.65584775989318,-0.03924029863284098,-0.15344305360256333,515.95339704,162182700,0.20805119999998897,0.0,-0.058571270341826555,-0.24514478257232655,0.6109597835009848,0.0,0.0,0.0,3578,-0.30349606123218664,0.0,51,-0.191487485306235,0.41610239999997795,0.04703051571072708,-0.0009288544877046943,-0.0047693808668428225,0.03120767999999993,-0.20584742582806184,-0.040499105815549497,-0.030433206727934106,-0.009581323681258582,0.0,10.929280590265154,0.0,-0.027603911153556884,10,0.0037829332000000005,0.6241535999999985,2.496614399999994,0.0002435973631994178,0.0,-0.11682168239036936,-0.33866180001723767,0.2894032072936794,1474.45,0.08433876590978394,0.0,-0.28245109460407625,0.07281791999999614,0.0,0.20805119999998897,357.64417572021483,0.00021891786600000001,161.67625427246094,0.8967119455337524,-36.88640956878662,0.25218505859375,1.0000139474868774,0.2,-0.03148922373075038,195331,0.031375356
