time/time_elapsed,reward_terms/fwd_speed,reward_terms/motor_vel,rollout/ep_len_mean,reward_terms/vz,reward_terms/hip_roll,curriculum/ent_coef,reward_terms/phase_contact,reward_terms/torque,time/fps,reward_terms/stance_time,time/iterations,reward_terms/height,reward_terms/foot_slip,reward_terms/coef_rate,curriculum/eff_scale,reward_terms/air_time,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/action_rate,reward_terms/residual,reward_terms/clearance,reward_terms/assist_pen,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/alive,time/total_timesteps,reward_terms/overrun,curriculum/ctrl_jitter_ms,reward_terms/ang_xy,reward_terms/stop,curriculum/sprint_dist_m,reward_terms/lat_vel,reward_terms/stance,reward_terms/energy,reward_terms/foot_ahead,reward_terms/upright,reward_terms/time,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,train/std,train/loss,train/explained_variance,train/value_loss
49,-0.8043245737961453,-3.913347488187162e-06,280.2,-0.16459974878068273,-0.18470803332458854,0.01,-0.5214540056153292,-0.00027843458137232207,4072,-0.0551709089260031,11,-0.02436785295566078,-0.5870339245012981,-1.3727597700245062,0.000768,0.0003548171856285383,0.6498233600000001,0.0,-0.1288991359640493,-0.10252299743686596,0.032239595278126275,0.0,-0.1463034492480276,-169.6100272,0.0,202752,0.0,0.0,-0.3032833967957561,0.0,25.1152,-1.7568152446166437e-08,-0.010053644015084044,-2.838420327127698e-05,0.0,-0.3667416070496636,-0.5,-0.011411697615403681,0.0002995392,-34.06724300384521,7412,0.2,0.1523681640625,0.012661656,1.0011876821517944,9.542839050292969,0.9223028421401978,32.89167156219482
53,-0.5504972711264994,-4.13357433991179e-06,277.76,-0.13918631941466073,-0.19006065145507633,0.01,-0.5333769878312122,-0.0003032128554353727,4103,-0.060968702241855986,12,-0.023534824689333312,-0.616925062256308,-1.3491538703155366,0.0008448,0.0003472217035272883,0.649805696,0.0,-0.12843969174290626,-0.10219719669130355,0.027933222973633327,0.0,-0.14355808546179583,-168.78906418000003,0.0,221184,0.0,0.0,-0.28809113162183175,0.0,25.12672,-1.7399578537362067e-08,-0.016837618594320106,-3.056381427290277e-05,0.0,-0.38506174832499174,-0.5,-0.013833486079238354,0.00029949311999999997,-34.06878318786621,7416,0.2,0.1353515625,0.011840507,1.0013742446899414,8.111428260803223,0.9156997799873352,27.557022094726562
58,-0.6718679858601662,-4.279562152799704e-06,284.83,-0.12791286377161962,-0.19436859889179856,0.01,-0.5345193523096041,-0.00031391094533562535,4128,-0.05311660153286842,13,-0.021452535357733712,-0.5917475707572727,-1.337497470757652,0.0009216,0.00040581548172566626,0.649788032,0.0,-0.12823872220111693,-0.10237088251665326,0.03009049193800598,0.0,-0.13733783450560047,-170.73180088,0.0,239616,0.0,0.0,-0.2722602249318067,0.0,25.13824,-1.712260105005742e-08,-0.013095394555812056,-3.1892636291160784e-05,0.0,-0.4132833701324439,-0.5,-0.0157342343358323,0.00029944704,-34.072569847106934,7420,0.2,0.1845458984375,0.01836754,1.0015896558761597,7.877047061920166,0.9019100666046143,24.77160406112671
62,-0.7247639100747365,-4.62260586142943e-06,285.36,-0.1401978371631853,-0.18085001242310791,0.01,-0.5317513032724828,-0.00034415962305245655,4149,-0.06171522562443796,14,-0.022461212769515803,-0.5585986956378625,-1.347105528262633,0.0009984,0.0005013015632155455,0.649770368,0.0,-0.12860142236190758,-0.10260475071962448,0.03042420524208013,0.0,-0.13774496088357088,-170.84351138999997,0.0,258048,0.0,0.0,-0.27371001189107463,0.0,25.14976,-1.67968651636329e-08,-0.01242471801608246,-3.466283804354552e-05,0.0,-0.36543214709985683,-0.5,-0.017265583761036395,0.00029940095999999997,-34.074085807800294,7424,0.2,0.19517822265625,0.019349452,1.0020337104797363,5.573774337768555,0.9176698327064514,17.034492921829223
66,-0.9190453774981151,-5.101717290206019e-06,289.89,-0.1419072920036807,-0.17910511785241284,0.01,-0.5572816585952325,-0.0003625957662362345,4168,-0.06507975044466245,15,-0.021294112395992625,-0.6164599784046186,-1.3895224099389922,0.0010752,0.00045193082122649584,0.6497527040000001,0.0,-0.12877589434106917,-0.10318027935740193,0.023681077207693593,0.0,-0.14562882283561407,-172.23343514000004,0.0,276480,0.0,0.0,-0.2816084531248117,0.0,25.16128,-1.6073216360844993e-08,-0.026930899440351805,-3.751929970452827e-05,0.0,-0.34802392700784357,-0.5,-0.018148369144182653,0.00029935488,-34.079107475280765,7428,0.2,0.22330322265625,0.01890682,1.00217604637146,5.183313369750977,0.898751974105835,15.669809722900391
70,-0.9356228458977678,-5.223408467135198e-06,284.05,-0.15101206132856815,-0.20183374005608465,0.01,-0.5530051031528013,-0.0003785302139522171,4185,-0.05246054217665611,16,-0.0222474865232641,-0.6119673995952569,-1.3861913980756229,0.001152,0.0002799474879995816,0.64973504,0.0,-0.12968281452611496,-0.10310060959276716,0.0261127920208596,0.0,-0.16360920123573333,-170.84834620000004,0.0,294912,0.0,0.0,-0.2792254815904661,0.0,25.1728,-1.6361064562073823e-08,-0.04413467851374385,-3.922603350641433e-05,0.0,-0.35713082353432524,-0.5,-0.01940586557611823,0.0002993088,-34.0788818359375,7432,0.2,0.2247314453125,0.023384485,1.002244234085083,3.3093671798706055,0.9136751890182495,11.25334827899933
74,-0.9626999143136962,-5.874076600494025e-06,281.65,-0.13416584659038736,-0.18293708760447386,0.01,-0.5411189423952675,-0.0004182117801725565,4200,-0.059021132495318956,17,-0.01992910556582751,-0.6200529149619503,-1.375750052542825,0.0012288,0.000304361595125455,0.649717376,0.0,-0.1304703362741962,-0.10307339022051433,0.021322290027284984,0.0,-0.15713572034009526,-170.34138551999996,0.0,313344,0.0,0.0,-0.2865484317946929,0.0,25.18432,-1.6957462057209342e-08,-0.0261206550166912,-4.3516524654978514e-05,0.0,-0.3313218259709743,-0.5,-0.009140394511632621,0.00029926272,-34.08026695251465,7436,0.2,0.32763671875,0.033944327,1.0025384426116943,2.8441720008850098,0.9021913409233093,9.972812676429749
78,-1.1376531025556873,-6.060912578895711e-06,292.76,-0.14933208590000743,-0.21381225289225972,0.01,-0.49755399915150034,-0.000428133784061876,4212,-0.06239258489383954,18,-0.02514081262147086,-0.578847615632038,-1.3562139049948259,0.0013056,0.0003385412597304417,0.649699712,0.0,-0.12780011192993887,-0.1036660879849295,0.027585199016033773,0.0,-0.169499115834804,-173.04815530000005,0.0,331776,0.0,0.0,-0.27010451417302317,0.0,25.19584,-1.7111877100600345e-08,-0.08547337836363256,-4.5242995600208746e-05,0.0,-0.2965855882411938,-0.5,-0.010262177570257335,0.00029921664,-34.08966064453125,7440,0.2,0.351806640625,0.03542412,1.0031870603561401,2.4774813652038574,0.9106032252311707,8.202210831642152
82,-1.0255524280147785,-6.414467415306249e-06,285.94,-0.14438640149872103,-0.19651105331535013,0.01,-0.5435769232349936,-0.0004567824106095555,4225,-0.06520819827306291,19,-0.02119077823569755,-0.6072016218629154,-1.370289074947815,0.0013824,0.0002859155065380037,0.6496820480000001,0.0,-0.12878762393561038,-0.10292989210769578,0.022063492818877376,0.0,-0.1652733239890095,-171.45353581,0.0,350208,0.0,0.0,-0.28524693658162165,0.0,25.20736,-1.5939267929004038e-08,-0.09200936324892717,-4.79501371093728e-05,0.0,-0.3399762409127635,-0.5,-0.007191980094648898,0.00029917056,-34.09454193115234,7444,0.2,0.37210693359375,0.037948593,1.003359317779541,1.9017821550369263,0.9174746870994568,6.212532496452331
86,-0.9060643454929471,-7.084432153246164e-06,279.3,-0.13550122003078618,-0.21267298129369847,0.01,-0.5395856473124634,-0.0004962062217613179,4238,-0.05669245327104969,20,-0.02167768954082819,-0.5812962639261571,-1.3307050434309946,0.0014592,0.00035318958301407594,0.649664384,0.0,-0.1272934487674048,-0.10260017297436089,0.027222363863788308,0.0,-0.1560361227580534,-169.69032668999998,0.0,368640,0.0,0.0,-0.2793973374549175,0.0,25.21888,-1.9013784904878956e-08,-0.06375647424840616,-5.173185403028938e-05,0.0,-0.35340100465180446,-0.5,0.0016825075532930593,0.00029912448,-34.07109514872233,7447,0.2,0.2902628580729167,0.04938636,1.0015455484390259,2.429647445678711,0.9033257961273193,6.593621214230855
91,-0.8314094863062566,-7.669626848359541e-06,290.09,-0.12846650406135118,-0.21101026814665855,0.01,-0.5197251843203246,-0.0005376811491223041,4248,-0.06079806546525409,21,-0.02282927148787644,-0.5662363830902548,-1.317523360285789,0.001536,0.00042371907491340407,0.64964672,0.0,-0.12914075960093518,-0.10254138552631857,0.026597587253031404,0.0,-0.15329902869905726,-172.37319536000004,0.0,387072,0.0,0.0,-0.29203894967397465,0.0,25.2304,-1.8673876531048162e-08,-0.09609938154341956,-5.611292353403259e-05,0.0,-0.34699194476917367,-0.5,-0.024928035319317133,0.0002990784,-34.09712657928467,7451,0.2,0.28212890625,0.03473348,1.0041542053222656,1.7121342420578003,0.8603609800338745,6.116350102424621
95,-0.9443063290285265,-7.5896889428916736e-06,301.6,-0.12201498518018442,-0.21555266744344145,0.01,-0.5532139427302291,-0.0005647860409589635,4257,-0.07738075560094633,22,-0.021066427187609083,-0.5999966932317263,-1.353326670273784,0.0016128,0.0003249778237659484,0.649629056,0.0,-0.12885420128431838,-0.10277918296072892,0.023349147804890828,0.0,-0.14961725620424876,-175.2756051,0.0,405504,0.0,0.0,-0.2781813344040024,0.0,25.24192,-1.8610565197389664e-08,-0.09750272101467147,-5.682253932799587e-05,0.0,-0.33097410407940797,-0.5,-0.02095388286979869,0.00029903232,-34.10324840545654,7455,0.2,0.35609130859375,0.040724285,1.0043236017227173,1.4360054731369019,0.8265718221664429,4.969280362129211
99,-0.9598093173124034,-8.371718554554486e-06,296.61,-0.1327347829170862,-0.19145352195153978,0.01,-0.5219023595365073,-0.000593250281602593,4267,-0.06715182129280745,23,-0.023170665249224537,-0.5916123000583705,-1.3201774896559588,0.0016896,0.0002593312108527041,0.6496113920000001,0.0,-0.13063961480676503,-0.10182554079957674,0.0276507872897798,0.0,-0.16501302991574535,-174.09560769,0.0,423936,0.0,0.0,-0.29351467557965394,0.0,25.25344,-1.8209172051020033e-08,-0.05020508350874714,-6.139362311031673e-05,0.0,-0.33079753586891103,-0.5,0.016036227345466614,0.00029898624,-34.06849125453404,7457,0.2,0.37193080357142855,0.04629664,1.0012340545654297,1.1279597282409668,0.8674508333206177,3.6300571986607144
103,-0.8191789278417754,-8.349776382040457e-06,287.7,-0.11898360818371123,-0.19015524088225738,0.01,-0.5691615085009238,-0.0006176541318372397,4273,-0.05828858642942376,24,-0.018482637044967252,-0.6049769820928971,-1.366830329224358,0.0017664,0.0002463104934172912,0.649593728,0.0,-0.13092626171407698,-0.10267591801481987,0.021062912895743028,0.0,-0.14990133503227618,-171.82781048,0.0,442368,0.0,0.0,-0.2713011250839996,0.0,25.26496,-1.744333798581126e-08,-0.11071613135156004,-6.238920105889549e-05,0.0,-0.36965379572104073,-0.5,-0.017964871367439628,0.00029894016,-34.100992918014526,7461,0.2,0.3417205810546875,0.050817847,1.0040512084960938,0.8218110799789429,0.8048176765441895,3.1406731456518173
107,-0.9000808184789878,-8.216925755349162e-06,287.87,-0.1375126533621326,-0.20501152934447903,0.01,-0.5564154438597146,-0.0006236385442159213,4281,-0.0766819887260984,25,-0.021378848578112633,-0.6172891034950013,-1.4091991017588026,0.0018432,6.130628753453493e-05,0.649576064,0.0,-0.13046242035475142,-0.102884714200003,0.021370755501962733,0.0,-0.14994807738299024,-171.90529705,0.0,460800,0.0,0.0,-0.27710694301573663,0.0,25.27648,-1.725201796745212e-08,-0.15327851752874566,-6.256200769199594e-05,0.0,-0.3774982826680706,-0.5,-0.008231901133862825,0.00029889407999999997,-34.09804300161508,7464,0.2,0.34142127403846156,0.04062551,1.0036704540252686,0.6574859619140625,0.7537840008735657,2.6241743014408994
111,-1.0123488680842965,-9.397952637732942e-06,299.02,-0.15960129713872023,-0.19033523061289936,0.01,-0.5442629378502695,-0.0006944226929159229,4288,-0.056465129427831724,26,-0.025093812398023628,-0.6289663011077962,-1.3526673326123817,0.00192,6.618912448175251e-05,0.6495584,0.0,-0.13303516283634517,-0.10215028868846365,0.026119856942505598,0.0,-0.16972025297347088,-174.65493180000004,0.0,479232,0.0,0.0,-0.30270523677253375,0.0,25.288,-1.886813596579451e-08,-0.09085322307429869,-7.019080476601585e-05,0.0,-0.3461181277971406,-0.5,-0.003040596313605254,0.000298848,-34.08934020996094,7467,0.2,0.3362704190340909,0.059393734,1.0028133392333984,0.3808188736438751,0.7696428894996643,1.8894225575707175
115,-0.9279268543863972,-1.0195951468165431e-05,287.77,-0.13832728188675747,-0.18266581041140906,0.01,-0.5340672936082627,-0.0007281874575254112,4297,-0.053807113492641494,27,-0.021598004368456516,-0.6041019804556906,-1.3204197994411837,0.0019968,0.00023003433792230984,0.6495407360000001,0.0,-0.13373409563574568,-0.1017962484286409,0.025591715132119955,0.0,-0.1515805714726117,-171.74899981000002,0.0,497664,0.0,0.0,-0.29641374764856554,0.0,25.29952,-1.9163867884155737e-08,-0.07462948038373432,-7.503024368088351e-05,0.0,-0.33440201426124105,-0.5,0.020089590281713754,0.00029880191999999997,-34.06145191192627,7468,0.2,0.3223876953125,0.028930426,1.0007381439208984,0.6285557746887207,0.6386338472366333,1.9335502088069916
119,-0.8884209626034876,-9.888939499479006e-06,289.35,-0.13831810583004453,-0.17842670324696935,0.01,-0.565301369029992,-0.0007409043672165724,4303,-0.0749980878366235,28,-0.017986078826514998,-0.6939973998497585,-1.3660738142178885,0.0020736,7.215696192967395e-05,0.649523072,0.0,-0.13615591010072492,-0.10196086445002087,0.017190908760543275,0.0,-0.1499032377848095,-172.31056996000004,0.0,516096,0.0,0.0,-0.2860302955821277,0.0,25.31104,-1.8067386524722564e-08,-0.13791396533401598,-7.386582066484234e-05,0.0,-0.37170366087916534,-0.5,0.015538483470057448,0.00029875584,-34.05898412068685,7469,0.2,0.3047688802083333,0.031351306,1.000532627105713,0.7039339542388916,0.5397876501083374,2.2878855069478354
