reward_terms/stop,est/vel_rmse,reward_terms/step_rate,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/overrun,reward_terms/angmom,reward_terms/action_rate,reward_terms/stand_drift,reward_terms/torque,reward_terms/residual,reward_terms/clearance,reward_terms/hip_roll,curriculum/eff_scale,reward_terms/motor_vel,time/time_elapsed,reward_terms/duty_sym,curriculum/ent_coef,time/total_timesteps,reward_terms/fwd_speed,reward_terms/ang_xy,reward_terms/track_yaw,reward_terms/coef_rate,reward_terms/residual_rate,reward_terms/upright,ankle/ankle_spring_energy_peak,reward_terms/stance_time,rollout/ep_rew_mean,reward_terms/assist_pen,reward_terms/alive,curriculum/cmd_scale,reward_terms/lat_vel,ankle/ankle_spring_trq_peak,curriculum/swing_frac_mean,rollout/ep_len_mean,reward_terms/time,time/fps,reward_terms/stand,curriculum/ctrl_drop_prob,curriculum/cmd_track_err,reward_terms/foot_slip,reward_terms/energy,reward_terms/foot_ahead,ankle/ankle_defl_peak,time/iterations,reward_terms/stance,reward_terms/phase_contact,curriculum/dr_scale,reward_terms/vz,reward_terms/height,reward_terms/air_time,curriculum/swing_frac_min,reward_terms/track_lin,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/std,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/approx_kl,curriculum/ctrl_drop_prob_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/dr_scale_progress
0.0,0.7371010606516172,-0.004633246527777813,0.7,0.0,0.0,-0.1995613084536264,-0.1911765088959992,-0.0013241483643584183,0.0,-0.08427917678216834,0.025086695385719452,-0.03661928549649346,0.0,0.0,2,-0.0017319552581775048,0.01,18432,0.0,-0.10011915173313166,1.999925399035005,-0.9934652709225826,0.0,-0.3464381351785324,0.0,0.0,-69.09520194,0.0,0.0,0.0,-4.8359914910167235e-09,0.0,0.40323893229166663,114.38,0.0,8711,0.6606514522069422,0.0,0.8848020362953738,-0.3124274010756365,0.0,0.0,0.5052023803488553,1,-0.19613479517730323,-0.03447227075878813,0.0,-0.0679981064592642,-0.011985371984566506,3.255197467903296e-05,0.0627170138888889,0.9172613550851655,,,,,,,,,,,,,,,,
0.0,0.6093120786998206,-0.003862847222222247,0.7,0.0,0.0,-0.19170064529997427,-0.20153008492845903,-0.002131549899079299,0.0,-0.08448197981109445,0.0,-0.03946859169965264,0.0,0.0,3,-0.0007973326329372159,0.01,36864,0.0,-0.11369116980314506,1.9999196812401547,-1.0056527484241942,0.0,-0.4848167036802582,0.0,0.0,-70.03999175000001,0.0,0.0,0.0,-3.972136302846742e-09,0.0,0.3976779513888889,119.91,0.0,9429,0.5782420112857917,0.0,0.8478024056872326,-0.2500725858162849,0.0,0.0,0.5051216353849832,2,-0.2511467248911174,0.0,0.0,-0.07317071914587,-0.014761023524602826,0.0,0.06298828125,0.7880382449590325,-36.85909652709961,3945.900390625,0.00029995392,0.2,0.6186956167221069,0.9987210631370544,0.18717274069786072,7892.16357421875,21705,0.759765625,0.3443716,,,,,
0.0,0.4582189792969908,-0.003493923611111129,0.7,0.0,0.0,-0.1985884734270987,-0.20313331073618934,-0.0031074110106050832,0.0,-0.08459901056752268,0.0,-0.04192929570119385,0.0,0.0,6,-0.0016587445955727118,0.01,55296,0.0,-0.12275185375476864,1.999949468286406,-1.008746144966186,0.0,-0.5092791393512083,0.0,0.0,-75.32740421,0.0,0.0,0.0,-3.7216444680683946e-09,0.0,0.3987358940972222,110.51,0.0,9110,0.5505959165923966,0.0,0.7621731386298509,-0.25038382950797167,0.0,0.0,0.5047864949552384,3,-0.2741998352408987,0.0,0.0,-0.07981635795678978,-0.014494725016359098,0.0,0.05029296875,0.7564630394491677,-36.863464164733884,1047.62548828125,0.00029990784,0.2,0.6303418874740601,0.9990111589431763,0.01772035888861865,4468.687243652344,21709,0.37774658203125,0.035897076,,,,,
0.0,0.41501541967930133,-0.0036241319444444667,0.7,0.0,0.0,-0.20053709695122046,-0.2023521675216046,-0.004256958303702127,0.0,-0.08496448680729228,0.0,-0.04276819665135258,0.0,0.0,8,-0.006928072383046326,0.01,73728,0.0,-0.11850034733731454,1.9999355135681758,-1.009597997911702,0.0,-0.5383538978316464,0.0,0.0,-77.96029165,0.0,0.0,0.0,-4.239078426361951e-09,0.0,0.39021809895833337,117.27,0.0,8812,0.48975338957613546,0.0,0.8153556919694808,-0.262442282343726,0.0,0.0,0.505122628519812,4,-0.28183089214061485,0.0,0.0,-0.08456771647987116,-0.016475653403351054,0.0,0.05018446180555555,0.6813254621469078,-36.86378860473633,543.2166748046875,0.00029986176,0.2,0.8552812933921814,0.9989665746688843,0.0032374292612075807,2112.7591796875,21713,0.15321044921875,0.009747248,,,,,
0.0,0.4121782145925677,-0.0038194444444444686,0.7,0.0,0.0,-0.20219414130211683,-0.19784732512833958,-0.007070259456984939,0.0,-0.08497860604803636,0.0,-0.047796625384083025,0.0,0.0,10,-0.005775532759111854,0.01,92160,0.0,-0.126265362007605,1.9999295104047239,-0.9862498761304814,0.0,-0.5484269246608788,0.0,0.0,-73.64440800999999,0.0,0.0,0.0,-4.688977529020737e-09,0.0,0.4081759982638889,112.13,0.0,8430,0.5759612186779487,0.0,0.7841800201035234,-0.23242460260395356,0.0,0.0,0.5052178674767003,5,-0.3260859843763133,0.0,0.0,-0.09746993620008963,-0.017332642537115108,0.0,0.046332465277777776,0.7842520554531043,-36.86569175720215,417.9923095703125,0.00029981568,0.2,0.8911159634590149,0.9990769624710083,-0.00048418291844427587,1748.4330596923828,21717,0.06131591796875,0.0075041144,,,,,
0.0,0.3152031808613984,-0.0036566840277777995,0.7,0.0,0.0,-0.18549506943928876,-0.19548217406417567,-0.0076328954569064005,0.0,-0.08494653570325607,0.0,-0.04866245773722355,0.0,0.0,13,-0.0029677922621610072,0.01,110592,0.0,-0.11656268960357534,1.9999618687646057,-0.9883172401901289,0.0,-0.52667791757918,0.0,0.0,-74.20663105,0.0,0.0,0.0,-3.670862961030424e-09,0.0,0.3914116753472222,113.27,0.0,8053,0.5699095734124948,0.0,0.6962913091012786,-0.2346032601817405,0.0,0.0,0.5050583578114696,6,-0.34151360636994876,0.0,0.0,-0.0753421505807499,-0.014920525881556826,0.0,0.0263671875,0.7757810508995409,-36.86918201446533,402.8521728515625,0.00029976959999999996,0.2,0.8936944603919983,0.9992148280143738,-0.002850315987598151,1862.4580627441405,21721,0.058642578125,0.0070044645,,,,,
0.0,0.31934194530003623,-0.0038411458333333587,0.7,0.0,0.0,-0.208429940956051,-0.19532237005887323,-0.003957394510044226,0.0,-0.08543746119643711,0.0,-0.04545861867751009,0.0,0.0,16,-0.0016086422549734785,0.01,129024,0.0,-0.12965277356359325,1.9999176495191253,-0.9982069279443989,0.0,-0.5292969555007301,0.0,0.0,-80.75336672999998,0.0,0.0,0.0,-4.601542575287401e-09,0.0,0.3886990017361111,113.64,0.0,7760,0.4887365924111561,0.0,0.8130420541201975,-0.27057386521859805,0.0,0.0,0.5052192589237037,7,-0.28407860050038614,0.0,0.0,-0.09701134493414111,-0.01626576488998262,0.0,0.049750434027777776,0.6773253532849747,-36.87252674102783,327.2677001953125,0.00029972352,0.2,0.9035874605178833,0.9993839263916016,-0.0074687446583993735,1359.193411254883,21725,0.045849609375,0.0077238483,,,,,
0.0,0.3227725117409412,-0.0038953993055555816,0.7,0.0,0.0,-0.2001447687598391,-0.19344292027614066,-0.005068729832920954,0.0,-0.08565277046371161,0.0,-0.0474830323934525,0.0,0.0,19,-0.002758841067764096,0.01,147456,0.0,-0.12597145947355967,1.9999445779833078,-0.9796305409096484,0.0,-0.516522784362607,0.0,0.0,-76.03839330999999,0.0,0.0,0.0,-4.482800009392942e-09,0.0,0.38764105902777773,113.69,0.0,7552,0.5447550299243047,0.0,0.7366440710214354,-0.26339675653663563,0.0,0.0,0.5051158120392965,8,-0.31151605193571696,0.0,0.0,-0.09457437312682869,-0.015756583382297202,0.0,0.032877604166666664,0.7459865245677152,-36.87733879089355,279.0354919433594,0.00029967744,0.2,0.8658513426780701,0.9996260404586792,-0.010492687625810505,1129.9715667724608,21729,0.04913330078125,0.009116424,,,,,
0.0,0.2573997343321706,-0.003808593750000024,0.7,0.0,0.0,-0.1787457466853903,-0.19340339508593718,-0.007227195431885929,0.0,-0.08577713485757002,0.0,-0.04786750079448241,0.0,0.0,22,-0.00262220822392224,0.01,165888,0.0,-0.11380641914799978,1.9999614749852117,-0.9878586030018036,0.0,-0.5118876121231775,0.0,0.0,-73.01452659,0.0,0.0,0.0,-3.445032554331882e-09,0.0,0.3822699652777778,112.4,0.0,7375,0.5520198261008036,0.0,0.6056176410547586,-0.25374161620368,0.0,0.0,0.5052178318906397,9,-0.34832253936914775,0.0,0.0,-0.07251184524689089,-0.013461127310597855,0.0,0.023871527777777776,0.7546773454385992,-36.88174037933349,235.40826416015625,0.00029963136,0.2,0.843612551689148,0.9997978806495667,-0.012029666814487427,834.5348846435547,21733,0.0624755859375,0.010003691,,,,,
0.0,0.29156093582682313,-0.004036458333333361,0.7,0.0,0.0,-0.20218079371389028,-0.1882001156506793,-0.012188184422995687,0.0,-0.08620920891674468,0.0,-0.04336598592326411,0.0,0.0,25,-0.005686960863658454,0.01,184320,0.0,-0.11970355372361352,1.9999497442792729,-0.976722005742761,0.0,-0.5401481535849838,0.0,0.0,-76.19397478,0.0,0.0,0.0,-4.360663051278347e-09,0.0,0.3885633680555555,122.85,0.0,7265,0.520601092698855,0.0,0.6966017050881809,-0.2671681957767095,0.0,0.0,0.5047628547876073,10,-0.29367713944729446,0.0,0.0,-0.09169474971600292,-0.016436574690123242,0.0,0.028862847222222224,0.7095348923780728,-36.885181999206544,219.70773315429688,0.00029958527999999996,0.2,0.8314612507820129,1.0000838041305542,-0.01489578900509514,739.1704513549805,21737,0.09686279296875,0.011329223,,,,,
