curriculum/eff_scale,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/energy,reward_terms/angmom,reward_terms/overrun,curriculum/ctrl_drop_prob,reward_terms/coef_rate,reward_terms/ang_xy,curriculum/stance_ratio,reward_terms/alive,reward_terms/residual_rate,reward_terms/step_rate,reward_terms/action_rate,reward_terms/residual,reward_terms/clearance,reward_terms/phase_contact,reward_terms/upright,time/fps,reward_terms/time,reward_terms/foot_ahead,reward_terms/assist_pen,curriculum/ent_coef,reward_terms/vz,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/stop,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/height,reward_terms/air_time,reward_terms/stance_time,time/iterations,reward_terms/stance,time/total_timesteps,curriculum/sprint_dist_m,reward_terms/torque,reward_terms/motor_vel,curriculum/ctrl_jitter_ms,time/time_elapsed,train/std,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/n_updates
0.0,-140.45659194,-5.6934933131500557e-08,0.0,-0.08759001506510734,0.0,0.0,-1.2960120541523,-0.30404811221405514,0.65,0.0,0.0,0.0,-0.1310135370145067,-0.060391945175015845,0.06704950632127672,-0.32868034597089335,-0.20714532649020256,4094,-0.5,0.0,0.0,0.01,-0.16709035341169656,-0.009103455802482972,163.03,0.0,-1.0757522673165971,-0.4145561660346322,-0.0351155923653307,6.184879263552527e-05,-0.00020141512504778802,1,-0.00015659461737447126,18432,25.0,0.0,0.0,0.0,4,,,,,,,,,,,
7.68e-05,-140.91278758,-5.934637730209746e-08,-3.0133917759732393e-06,-0.07222355468114577,0.0,0.0,-1.3017505813680041,-0.3364137771575591,0.649982336,0.0,0.0,0.0,-0.13231526064696986,-0.060426843831069096,0.06512764387474831,-0.3268283884039198,-0.2026377558374946,3954,-0.5,0.0,0.0,0.01,-0.16735187665984586,-0.009244170366898959,164.79,0.0,-1.0481391003825333,-0.40845333690306257,-0.038290216035462676,9.331576681385438e-05,-2.0751713438787396e-05,2,-0.00014504669134221166,36864,25.01152,-2.412534170406295e-05,-4.612657600869467e-07,0.0,9,1.001157522201538,-0.012474895070772618,281.5560607910156,615.1863800048828,-19.871195983886718,0.2,0.000299990784,0.05313720703125,0.008282483,0.003453373908996582,4
0.0001536,-143.91186843,-6.100371312238967e-08,-5.653257653176708e-06,-0.08044908977518743,0.0,0.0,-1.2931672050642558,-0.31033752145174376,0.6499646720000001,0.0,0.0,0.0,-0.13185053233795713,-0.0606225524902673,0.07421578126484572,-0.3033133214038519,-0.243459072654835,4043,-0.5,0.0,0.0,0.01,-0.1939356801706299,-0.010833229934088272,176.91,0.0,-1.2004743844361188,-0.3816066227095543,-0.048251507019637895,0.00015245206304825842,-7.3240177395443124e-06,3,-0.0005530908486362872,55296,25.02304,-4.6869640028615645e-05,-8.639899071384495e-07,0.0,13,1.001795768737793,-0.0071634162741247565,266.8778381347656,598.3459564208985,-19.87267141342163,0.2,0.000299981568,0.01588134765625,0.005140958,0.11035680770874023,8
0.0002304,-144.79071448000002,-5.560513046965318e-08,-8.679732482940087e-06,-0.08816384541491802,0.0,0.0,-1.2934031000786,-0.35858917947557223,0.649947008,0.0,0.0,0.0,-0.13133190793217317,-0.06051219729601741,0.07453922663593544,-0.3092953733681627,-0.2536384244468229,4087,-0.5,0.0,0.0,0.01,-0.19375976371108655,-0.009302670529462835,180.4,0.0,-1.0969763887558375,-0.37958696025642163,-0.04299797000064786,6.456151216601332e-05,-8.110821686892046e-05,4,-0.0005005696131241027,73728,25.03456,-7.161653349011886e-05,-1.3083406550235363e-06,0.0,18,1.002138614654541,-0.00679635216947645,250.54824829101562,537.8800506591797,-19.877703762054445,0.2,0.00029997235199999997,0.01239013671875,0.0043488583,0.22282671928405762,12
0.0003072,-141.4413127,-5.927014386609864e-08,-1.1461122194731317e-05,-0.08016764580275433,0.0,0.0,-1.288919182423801,-0.3275882842659683,0.649929344,0.0,0.0,0.0,-0.13254611544712303,-0.06057081738054589,0.07018097748514335,-0.3202826139904798,-0.22782252163605574,4116,-0.5,0.0,0.0,0.01,-0.17741603360561634,-0.00957991112222616,166.88,0.0,-1.0904653551953378,-0.4152116077851054,-0.0373529288946587,7.595473046724995e-05,-2.0751713438787396e-05,5,-0.00046490212497858727,92160,25.04608,-9.781367852783115e-05,-1.6910265742365497e-06,0.0,22,1.0022813081741333,-0.005483492987696082,247.0164794921875,525.6965911865234,-19.879865646362305,0.2,0.000299963136,0.005859375,0.0031329156,0.35528475046157837,16
0.000384,-141.80765375,-5.6898476525146574e-08,-1.4170629175470626e-05,-0.09437446857312294,0.0,0.0,-1.2945078764429288,-0.3439109647466729,0.64991168,0.0,0.0,0.0,-0.13169701140136328,-0.06029642776427229,0.07381276770172313,-0.30425153978576425,-0.26451994628703557,4133,-0.5,0.0,0.0,0.01,-0.19455099537954534,-0.0089893871476103,168.33,0.0,-1.1264740870128385,-0.4100803851452546,-0.04490051568554582,3.689227742142975e-05,-7.161410111520026e-05,6,-0.00029437047804724455,110592,25.0576,-0.0001181173804691609,-2.1359356301225496e-06,0.0,26,1.0023249387741089,-0.0062509537325240675,229.7638397216797,539.783219909668,-19.880337238311768,0.2,0.00029995392,0.010546875,0.004134112,0.4092344045639038,20
0.0004608,-145.78554004999998,-5.556977877694568e-08,-1.7046489062019146e-05,-0.07742295356776267,0.0,0.0,-1.290778259356374,-0.3152467700687674,0.6498940160000001,0.0,0.0,0.0,-0.13212021576424704,-0.06057351854781837,0.07059370839153861,-0.31126274048926894,-0.21769183658518607,4149,-0.5,0.0,0.0,0.01,-0.1983167951772491,-0.009238778516866476,184.34,0.0,-1.2656552401831198,-0.40533209040146817,-0.04812413286790769,0.00016818547091032896,-3.133097521236373e-05,7,-1.3672660369198634e-05,129024,25.06912,-0.00013905712053409404,-2.5704433694077113e-06,0.0,31,1.0021693706512451,-0.00530116013251245,258.98907470703125,520.2111068725586,-19.87972183227539,0.2,0.00029994470399999997,0.0041015625,0.0028286788,0.467059850692749,24
0.0005376,-144.56250115000003,-5.614409479055782e-08,-1.9588981840743443e-05,-0.10098732587600297,0.0,0.0,-1.277854060226714,-0.3257592228129095,0.649876352,0.0,0.0,0.0,-0.13184830231274383,-0.0604576755611354,0.07520738065290004,-0.3117747563719184,-0.2706371048621496,4157,-0.5,0.0,0.0,0.01,-0.20342441438062844,-0.0097451711845365,179.43,0.0,-1.1767642942552845,-0.41034032063947423,-0.04778241973288392,2.5499049418916304e-05,0.0,8,-0.00038562406091714616,147456,25.08064,-0.00016313889004443004,-2.903039746576974e-06,0.0,35,1.0026028156280518,-0.005651547375600785,230.8644561767578,475.95274505615237,-19.881713771820067,0.2,0.000299935488,0.00587158203125,0.0030740933,0.4733484983444214,28
0.0006144,-141.54258526,-5.903307546316636e-08,-2.3165385818532602e-05,-0.08479020529211052,0.0,0.0,-1.2849380727861395,-0.3172566172886598,0.649858688,0.0,0.0,0.0,-0.13107677865872122,-0.06061528761755164,0.07084028423492346,-0.32192918934800663,-0.2120676953534614,4163,-0.5,0.0,0.0,0.01,-0.1873220378603611,-0.009212677163022796,167.33,0.0,-1.1093583276679675,-0.42690616596634307,-0.039848393546413396,0.00011610222281888127,-0.00022908422720825506,9,-0.0005555577216614972,165888,25.09216,-0.00018528897750174077,-3.4824465413145402e-06,0.0,39,1.0021270513534546,-0.00681680187699385,206.98818969726562,459.1128448486328,-19.880379962921143,0.2,0.000299926272,0.01160888671875,0.004192932,0.5230696201324463,32
0.0006912,-144.10827885999998,-5.567683760102695e-08,-2.6042944627447992e-05,-0.06936789133401351,0.0,0.0,-1.2681504691294778,-0.3241140931539441,0.649841024,0.0,0.0,0.0,-0.1307912516054028,-0.060749192580341935,0.06807239710891771,-0.3278924808593703,-0.22040342940377874,4171,-0.5,0.0,0.0,0.01,-0.1773859014290346,-0.008994547846758167,177.63,0.0,-1.221529223376534,-0.4305409537374364,-0.04144701550225918,3.5807189609234534e-05,-4.882704363101058e-06,10,-0.0004330792343942818,184320,25.10368,-0.00022605452673042146,-3.7729855987771965e-06,0.0,44,1.00177001953125,-0.006707191641908139,239.7854766845703,501.89213104248046,-19.87723503112793,0.2,0.000299917056,0.01226806640625,0.004496973,0.5033507347106934,36
0.000768,-144.18732383999998,-5.3767016693972485e-08,-2.791550776016115e-05,-0.08257856252128681,0.0,0.0,-1.287801512401745,-0.3256193946655026,0.6498233600000001,0.0,0.0,0.0,-0.1331956909419535,-0.06108116037686711,0.07605450397448701,-0.3028533734120946,-0.24867050314137198,4176,-0.5,0.0,0.0,0.01,-0.19423534224173,-0.009049479130469986,177.99,0.0,-1.2284080068588064,-0.39506941839248305,-0.048106416718264856,8.843295897046725e-05,0.0,11,-0.00040974678599748347,202752,25.1152,-0.00023681710871967926,-4.066498829331232e-06,0.0,48,1.00148344039917,-0.00649002353893593,226.81056213378906,475.21215362548827,-19.875036907196044,0.2,0.00029990784,0.011376953125,0.0042766193,0.4753970503807068,40
0.0008448,-144.94423497000002,-5.495248617663802e-08,-3.07912222021136e-05,-0.07506649368106492,0.0,0.0,-1.2871262439920468,-0.31625446062390994,0.649805696,0.0,0.0,0.0,-0.13170725423546237,-0.060977993412846376,0.07424646443731617,-0.31476429397570455,-0.24333968870883968,4182,-0.5,0.0,0.0,0.01,-0.2039647626288906,-0.009555285560124476,180.95,0.0,-1.1117548155997021,-0.40218297670902003,-0.04822214361341379,9.114564939712484e-05,-0.00026272108920642897,12,-0.0008165888074839187,221184,25.12672,-0.000252945594168385,-4.573933907325343e-06,0.0,52,1.00108003616333,-0.006034884240943938,209.45135498046875,442.68842163085935,-19.871762180328368,0.2,0.000299898624,0.006884765625,0.003451765,0.5037803649902344,44
0.0009216,-145.06072217,-5.837423664103454e-08,-3.3707569781484866e-05,-0.07513800476882522,0.0,0.0,-1.2656604989458566,-0.3267440703892148,0.649788032,0.0,0.0,0.0,-0.1312822109367773,-0.06109309970636726,0.07047916071886012,-0.3258634177276883,-0.2359932087143524,4186,-0.5,0.0,0.0,0.01,-0.1769880162562065,-0.009632405818141022,181.42,0.0,-1.1705723227472447,-0.41585227133888136,-0.04283707385877436,0.00011176192007648449,-0.00021945427094275752,13,-0.00010594448004071515,239616,25.13824,-0.000290093843272405,-4.887182588239525e-06,0.0,57,1.0010786056518555,-0.006378047907492146,189.9213409423828,446.22085723876955,-19.87018938064575,0.2,0.00029988940799999996,0.00791015625,0.003741306,0.4535266160964966,48
