reward_terms/residual,reward_terms/fwd_speed,time/iterations,reward_terms/coef_rate,reward_terms/lat_vel,rollout/ep_rew_mean,reward_terms/stop,reward_terms/vz,reward_terms/upright,time/total_timesteps,reward_terms/alive,reward_terms/overrun,reward_terms/energy,reward_terms/stance,curriculum/stance_ratio,reward_terms/time,reward_terms/hip_roll,reward_terms/phase_contact,reward_terms/torque,reward_terms/motor_vel,reward_terms/air_time,reward_terms/clearance,time/fps,reward_terms/ang_xy,curriculum/eff_scale,reward_terms/stance_time,reward_terms/angmom,rollout/ep_len_mean,reward_terms/height,reward_terms/foot_slip,reward_terms/action_rate,curriculum/ent_coef,time/time_elapsed,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates
-0.5334332442231022,-0.8320716970453187,1,-0.6118267135154744,-3.827067177298171e-09,-156.76815475,0.0,-0.3489976483582179,-1.0767177205826322,18432,0.5,0.0,0.0,-0.05327749744832521,0.65,0.0,-0.02992935775103784,-0.531333872061317,0.0,0.0,0.0001605902378085173,0.017549477492153208,2444,-0.45925991802129357,0.0,-0.039204592032345116,-0.15859186942434186,58.25,-0.0596525606325092,-0.5689365510065629,-0.06758758852596389,0.01,7,,,,,,,,,,,
-0.527540037339065,-0.6164101623499174,2,-0.7600494002629345,-4.378038551298198e-09,-147.81223602,0.0,-0.28449720497133224,-0.8236666767658504,36864,0.5,0.0,-9.627710785617007e-06,-0.04490425957288824,0.64996928,0.0,-0.032828304867380476,-0.4912078536322278,-0.00010269887965557676,-2.4951591213271945e-06,8.246522500283188e-05,0.025505118988564508,2405,-0.5935328417595794,0.0003072,-0.05335009120689291,-0.22393528404420604,49.13,-0.05958023053884317,-0.7073437246933676,-0.0840723141958001,0.01,15,1.000693440437317,0.0014415627345442771,-34.06503047943115,528.8501586914062,3530.193084716797,-2.9415459632873535,0.10574951171875,0.009577664,0.2,0.0003,33433
-0.5241402728350733,-0.39714800797773947,3,-0.8543563869032119,-4.594957322275777e-09,-143.20474204,0.0,-0.2504505334598792,-0.667161937622232,55296,0.5,0.0,-2.0031983601644356e-05,-0.04187258607082449,0.64993856,0.0,-0.03472899081886123,-0.4631711497289534,-0.00020714114459903984,-4.88045873621018e-06,0.00015299466516201696,0.03836381748803615,2560,-0.5755569486316672,0.0006144,-0.05189447139047035,-0.23278714334477893,44.54,-0.05813145428452474,-0.6835351796800614,-0.09371839387619914,0.01,21,1.000152826309204,-0.004726599203422666,-34.05636825561523,299.796142578125,1545.7931701660157,-1.1091291904449463,0.02647705078125,0.005720846,0.2,0.0003,33437
-0.5201679520174074,-0.314863787776718,4,-0.9069373053743163,-4.718592080726042e-09,-135.89928555,0.0,-0.24650197740548466,-0.6222328325267777,73728,0.5,0.0,-2.9434736096531317e-05,-0.02671783919470597,0.64990784,0.0,-0.03257908339083106,-0.4576543730239553,-0.0003088073983854323,-7.063255130284101e-06,0.00010525163250147468,0.041759913901975206,2645,-0.5850894205092091,0.0009216,-0.03700462202767893,-0.24006585378442077,37.04,-0.0576298052926799,-0.6591743736019605,-0.0966029442393962,0.01,27,1.0002042055130005,-0.006799440074246377,-34.05637836456299,148.75445556640625,775.0155776977539,-1.0234065055847168,0.03448486328125,0.007266274,0.2,0.0003,33441
-0.5173587626461679,-0.2579265241798573,5,-0.9262285655134271,-4.1512900250930765e-09,-135.37575971,0.0,-0.23631585107120698,-0.5818801459205969,92160,0.5,0.0,-3.889160429723665e-05,-0.024766960222749015,0.64987712,0.0,-0.03102956197365801,-0.4558957591772854,-0.0004143898943001973,-9.170765819742489e-06,0.00011067703599110246,0.04082178104068185,2697,-0.602606974759825,0.0012288,-0.035959160725016974,-0.24394614280888213,36.45,-0.0526927054760843,-0.6709500081572979,-0.09887841889410759,0.01,34,1.0004009008407593,-0.010071336780674756,-34.058302879333496,69.26551818847656,332.15969161987306,-1.3705737590789795,0.07430419921875,0.009015736,0.2,0.0003,33445
-0.5148383742715785,-0.2491443025620178,6,-0.9292906949497467,-4.157721673374146e-09,-136.01890849000003,0.0,-0.22732695395706135,-0.56917847346633,110592,0.5,0.0,-4.8472352006480204e-05,-0.02276577427129587,0.6498464,0.0,-0.03152796594500113,-0.4591787012180331,-0.0005250924433424504,-1.1417569216557069e-05,8.572043023175663e-05,0.04003631292812734,2736,-0.5979930569171301,0.001536,-0.02797848063023088,-0.238882546831587,37.02,-0.04763434114768579,-0.6728293196699209,-0.10057395553967677,0.01,40,1.0006319284439087,-0.012905007635708898,-34.0604793548584,25.60276222229004,108.66279697418213,-2.026991844177246,0.15306396484375,0.019758135,0.2,0.0003,33449
-0.5142786105470614,-0.27179730038862654,7,-0.9288730986939497,-4.172483479490249e-09,-132.28558765,0.0,-0.21877643679958347,-0.5616615629862683,129024,0.5,0.0,-5.9060199522542734e-05,-0.018968285705234653,0.64981568,0.0,-0.026518356729916377,-0.4562965644245279,-0.0006448522058404104,-1.3761391417344748e-05,0.00010091141060305138,0.03972632128152016,2766,-0.5788033215653882,0.0018432,-0.029166629795023862,-0.22665235576865037,33.19,-0.05160071965250698,-0.6609542771497745,-0.10080092538499605,0.01,46,1.0013208389282227,-0.016054637369234116,-34.06543865203857,9.448511123657227,40.440869140625,-2.7242934703826904,0.22808837890625,0.027087342,0.2,0.0003,33453
-0.5120253855114721,-0.21198088304843463,8,-0.9304383991028479,-4.181701936052818e-09,-130.77185249,0.0,-0.2089017353474573,-0.4670150662400157,147456,0.5,0.0,-7.250989280137025e-05,-0.012374413388402672,0.64978496,0.0,-0.021246168400978715,-0.44999376013784786,-0.0007788698245842803,-1.7410274952149293e-05,6.618920532572601e-05,0.035839552460465905,2786,-0.5835178525197714,0.0021504,-0.025953203001538187,-0.22140623092357237,31.64,-0.04040064866146695,-0.668298222611405,-0.10608145970574229,0.01,52,1.0018305778503418,-0.014276669383980334,-34.07584648132324,5.052988052368164,21.11913752555847,-3.516115188598633,0.347900390625,0.042774428,0.2,0.0003,33457
-0.5115438119303016,-0.1726030416108853,9,-0.9242495184711869,-4.271830028450399e-09,-132.92033791,0.0,-0.22150442981597093,-0.4768164260597374,165888,0.5,0.0,-8.514537252594644e-05,-0.007214494437190633,0.64975424,0.0,-0.019516983095851773,-0.4403572014462702,-0.0009056781573556038,-2.0611623375292076e-05,9.765619567284982e-05,0.03937290455542439,2804,-0.5885329980976421,0.0024576,-0.02247284381236467,-0.22573618280492683,33.94,-0.04193932449540926,-0.6763032588997588,-0.10581906547021808,0.01,59,1.0012612342834473,0.006835451264950362,-34.0682126825506,3.025404453277588,10.196751681241123,-4.190158843994141,0.3811700994318182,0.08609123,0.2,0.0003,33460
-0.5093066567556263,-0.12263510682346193,10,-0.9281144646779794,-3.441492193274705e-09,-130.34044569,0.0,-0.22494333781429665,-0.46103850690362513,184320,0.5,0.0,-9.800724265088776e-05,-0.008327755776910261,0.64972352,0.0,-0.018920445677940427,-0.44201613274610435,-0.0010302125576891292,-2.3856032054794647e-05,5.3168339137401846e-05,0.04172396218252791,2820,-0.5948085557010987,0.0027648,-0.017385502890748385,-0.22915844285783882,31.3,-0.038898838710536315,-0.6919822565855291,-0.10898280114480513,0.01,65,1.0000593662261963,0.02428055414929986,-34.05385398864746,8.264547348022461,13.138641357421875,-5.744023323059082,0.2808837890625,0.044069666,0.2,0.0003,33461
