reward_terms/stance,reward_terms/step_rate,time/fps,rollout/ep_len_mean,reward_terms/fwd_speed,curriculum/ent_coef,reward_terms/assist_pen,curriculum/eff_scale,reward_terms/stance_time,reward_terms/air_time,reward_terms/height,time/time_elapsed,time/total_timesteps,reward_terms/foot_ahead,rollout/ep_rew_mean,reward_terms/action_rate,reward_terms/time,reward_terms/clearance,curriculum/sprint_dist_m,reward_terms/angmom,reward_terms/coef_rate,reward_terms/energy,reward_terms/vz,reward_terms/ang_xy,reward_terms/stop,reward_terms/lat_vel,reward_terms/residual,reward_terms/phase_contact,reward_terms/torque,reward_terms/overrun,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,reward_terms/alive,reward_terms/hip_roll,time/iterations,reward_terms/upright,curriculum/ctrl_drop_prob,curriculum/stance_ratio,reward_terms/foot_slip,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/std,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss
-0.31181439228123015,0.0,3138,77.16,-0.017102116395755637,0.01,0.0,0.0,0.0,0.00024793773708451126,-0.021980651866813628,5,18432,0.0,-119.26486499999999,-0.14579485198291825,-0.5,0.13743389584313456,25.0,-0.2244029411138528,-1.1129538719586822,0.0,-0.3449626318400554,-0.6940375607404206,0.0,-1.2656625712155034e-07,-0.08530722292944842,-0.31084838668259973,0.0,0.0,0.0,0.0,0.0,-0.3411486155833014,1,-0.8630303297926218,0.0,0.65,-0.3834243170123057,,,,,,,,,,,
-0.32476573192239344,0.0,3029,69.1,0.009829366040528066,0.01,0.0,7.68e-05,0.0,0.00020779025443415676,-0.013156699922726358,12,36864,0.0,-117.24958280999999,-0.1477773003893587,-0.5,0.13528353250789846,25.01152,-0.22617368721673284,-1.0731521111693154,-5.16307934174736e-06,-0.30149690592396333,-0.7012820383960645,0.0,-7.856507429313128e-08,-0.08477416160795646,-0.30629308119160126,-5.242579679503183e-05,0.0,0.0,-8.557304903032823e-07,0.0,-0.2741904131827223,2,-0.9098095406369987,0.0,0.649982336,-0.3612680813671047,-0.00795871305745095,0.00029995392,0.0715576171875,-34.07468891143799,1.0014965534210205,17758,191.8512725830078,0.009389592,-0.05602836608886719,0.2,786.273794555664
-0.37207038897866307,0.0,3403,75.46,-0.0016238584614540743,0.01,0.0,0.0001536,0.0,0.00018012096794943014,-0.017109299256999576,16,55296,0.0,-118.84251152000003,-0.1466947131542889,-0.5,0.14157676644387276,25.02304,-0.25520746082130813,-1.0446278492198562,-1.1396249064684577e-05,-0.331959502436453,-0.7044607069332846,0.0,-1.1976967488687553e-07,-0.08634273754590091,-0.2944124035310368,-0.00010994600321916786,0.0,0.0,-1.9869124638250368e-06,0.0,-0.3293856893890127,3,-0.9463210577944297,0.0,0.6499646720000001,-0.3447894328423132,-0.012902504083467648,0.00029990784,0.19222412109375,-34.07166385650635,1.0018466711044312,17762,23.819164276123047,0.025543746,-0.9093208312988281,0.2,97.22063255310059
-0.42067490098571375,0.0,3638,79.07,-0.0659203923517241,0.01,0.0,0.0002304,0.0,0.00021484320879810385,-0.014483457169899319,20,73728,0.0,-119.72851689000001,-0.14505081755007818,-0.5,0.1365868919386818,25.03456,-0.2588302984474886,-1.0242011683323284,-1.732101381361518e-05,-0.2973925756513386,-0.6624969047269267,0.0,-8.369376790004438e-08,-0.08738368759889231,-0.29074551681845545,-0.0001635559780522449,0.0,0.0,-3.0207748079404405e-06,0.0,-0.3315059244416759,4,-0.9453231630120627,0.0,0.649947008,-0.3483709497224445,0.001991709228605032,0.00029986176,0.376708984375,-34.06780381636186,1.001124620437622,17765,17.373275756835938,0.061687037,-0.5716902017593384,0.2,50.561671863902696
-0.393440139711398,0.0,3802,76.49,0.010374360539251455,0.01,0.0,0.0003072,0.0,0.0001920567883644253,-0.01327542092681556,24,92160,0.0,-119.09444394,-0.1438701906521993,-0.5,0.13826627573669997,25.04608,-0.2597121671058933,-1.0110652839690015,-2.3156687818352384e-05,-0.29011711677133756,-0.679448336145566,0.0,-9.52830436688131e-08,-0.08787719055754967,-0.2868794063750408,-0.00021151600737364802,0.0,0.0,-4.139277154430454e-06,0.0,-0.33062819082516404,5,-0.952949109609381,0.0,0.649929344,-0.34121568277283143,0.014282020274549723,0.00029981568,0.2540283203125,-34.05359649658203,1.000037431716919,17766,18.631052017211914,0.02575041,-1.0565321445465088,0.2,39.44195365905762
-0.350653015852192,0.0,3922,74.89,-0.07099488223884258,0.01,0.0,0.000384,0.0,0.00019476949819363654,-0.015373122263696137,28,110592,0.0,-118.70396339999999,-0.1409797310239977,-0.5,0.13689466853311538,25.0576,-0.2667146255644863,-0.9821438207468387,-2.9639385107402807e-05,-0.2889229934390973,-0.6718630772088262,0.0,-8.544057992502921e-08,-0.08925115869136852,-0.2771090331731428,-0.0002680884815575125,0.0,0.0,-5.451180486881167e-06,0.0,-0.31664373050864575,6,-0.940504511818738,0.0,0.64991168,-0.3163434517445422,0.0236333425467213,0.00029976959999999996,0.3396809895833333,-34.055224100748696,1.0001825094223022,17767,22.778345108032227,0.036414202,-1.854140043258667,0.2,45.67065175374349
-0.3659535900062686,0.0,4004,79.05,0.004627570277681914,0.01,0.0,0.0004608,0.0,0.00024685268484366435,-0.01259709454879294,32,129024,0.0,-119.73351295000002,-0.14313031940782917,-0.5,0.14214114483638854,25.06912,-0.26038767281708725,-0.9531316203953963,-3.607708533000625e-05,-0.29717205773199523,-0.6341174374234669,0.0,-8.658446158972383e-08,-0.08927244590768706,-0.2620712706857648,-0.000312888323430343,0.0,0.0,-6.836766199480407e-06,0.0,-0.3104530832247687,7,-0.9170138513962505,0.0,0.6498940160000001,-0.30697806639381153,0.0008467497924963633,0.00029972352,0.3043891059027778,-34.07157940334744,1.001766562461853,17769,12.66418743133545,0.03929971,-2.066091299057007,0.2,36.688375049167206
-0.3590090287349529,0.0,4073,81.82,-0.06078944514612047,0.01,0.0,0.0005376,0.0,0.0002870002580392692,-0.014687367384225535,36,147456,0.0,-120.42447882,-0.14207776417401405,-0.5,0.14038187907506167,25.08064,-0.2865413782188005,-0.9575899280442235,-4.320517178666919e-05,-0.3009596237918043,-0.6448060456503572,0.0,-8.588669612377208e-08,-0.08982277902584489,-0.2591183688065042,-0.00038470076047579624,0.0,0.0,-8.365908714359421e-06,0.0,-0.3167875790872796,8,-0.8831428060747561,0.0,0.649876352,-0.30467683540639096,0.007803370477631688,0.00029967744,0.296875,-34.07351048787435,1.0016992092132568,17771,10.963977813720703,0.048262626,-2.439286231994629,0.2,26.1095069249471
-0.41372163105938425,0.0,4124,79.44,-0.010606469530361925,0.01,0.0,0.0006144,0.0,0.0002528205804992467,-0.012679615086514032,40,165888,0.0,-119.83326796,-0.14218327998087577,-0.5,0.1374811161217565,25.09216,-0.27646376613481105,-0.9540806075739214,-5.150466698737336e-05,-0.28874628853171375,-0.6354230968268593,0.0,-9.023598639110035e-08,-0.0904919194383038,-0.2522900645436408,-0.0004657344468372304,0.0,0.0,-9.915753387510754e-06,0.0,-0.32129370295470494,9,-0.8726907856385224,0.0,0.649858688,-0.32060616664027014,0.007059391898413499,0.00029963136,0.3055013020833333,-34.074029286702476,1.0017567873001099,17773,11.7608060836792,0.05656243,-2.405120372772217,0.2,27.54234790802002
-0.405641460288917,0.0,4169,84.32,-0.04536814867985431,0.01,0.0,0.0006912,0.0,0.0003049039773436056,-0.01666321801587866,44,184320,0.0,-121.04623810999999,-0.1411944780019233,-0.5,0.13757197165302945,25.10368,-0.2718215458531794,-0.9302968462562089,-6.0557207542008776e-05,-0.3048944305419406,-0.6291020250634982,0.0,-9.12071469967982e-08,-0.09068621035360269,-0.2544700514320273,-0.0005627709528189988,0.0,0.0,-1.1415140300588631e-05,0.0,-0.3205308485623144,10,-0.8555978829981229,0.0,0.649841024,-0.315905674705331,0.008872204770644506,0.00029958527999999996,0.3214111328125,-34.079636891682945,1.0022776126861572,17775,8.649369239807129,0.0700406,-2.551654577255249,0.2,21.5532382329305
-0.4005384934526518,0.0,4209,81.1,-0.04523810030728488,0.01,0.0,0.000768,0.0,0.0003450513532799151,-0.01775237047459706,48,202752,0.0,-120.24059990000002,-0.14388755193498992,-0.5,0.1399705350250444,25.1152,-0.2903462351416743,-0.9229389088926165,-6.906645851393753e-05,-0.326598246421196,-0.6310744205599408,0.0,-1.17621537404088e-07,-0.09088243384786501,-0.24644423581290853,-0.0006103400397758168,0.0,0.0,-1.3464397765079373e-05,0.0,-0.33123856992350875,11,-0.8428174578650434,0.0,0.6498233600000001,-0.3014832445283411,0.017662715787688892,0.0002995392,0.2919108072916667,-34.06549072265625,1.000946283340454,17776,11.135089874267578,0.027098939,-2.5340287685394287,0.2,23.748302459716797
-0.42417760780560426,0.0,4239,83.06,-0.0809410472218171,0.01,0.0,0.0008448,0.0,0.00026529885104133026,-0.016485056224043844,52,221184,0.0,-120.73498663999999,-0.14174758092884443,-0.5,0.14000675384656353,25.12672,-0.2522596052475209,-0.9058506058201939,-7.869678902203378e-05,-0.32478740884728663,-0.5953633110042451,0.0,-1.0706328532768768e-07,-0.09139221576580828,-0.24645974240948465,-0.0006987333853889174,0.0,0.0,-1.5966692025269733e-05,0.0,-0.3569008429806011,12,-0.827554053112324,0.0,0.649805696,-0.31492333829152397,0.010682342341169715,0.00029949311999999997,0.3129069010416667,-34.08130900065104,1.0021822452545166,17778,12.84582805633545,0.049354658,-2.489788770675659,0.2,30.119911511739094
-0.40593419270799536,0.0,4266,85.48,-0.04580974404024667,0.01,0.0,0.0009216,0.0,0.0003634974483348843,-0.015352446227484653,56,239616,0.0,-121.32902825,-0.14016924275369919,-0.5,0.1370073198319997,25.13824,-0.25984554004928795,-0.9019992521364366,-8.220963953330146e-05,-0.313213116045387,-0.6005725616939079,0.0,-1.0095523836091232e-07,-0.09108160309744978,-0.24180426176630243,-0.0007056871962811874,0.0,0.0,-1.6907324151848286e-05,0.0,-0.3168735161849131,13,-0.791041479166248,0.0,0.649788032,-0.3023353248045053,0.0036947873886674643,0.00029944704,0.23347981770833334,-34.078927993774414,1.0020759105682373,17780,18.561412811279297,0.048195206,-2.0659830570220947,0.2,33.56200853983561
-0.41587070352566136,0.0,4288,82.32,0.020884522896544695,0.01,0.0,0.0009984,0.0,0.0003347431484144181,-0.017415840266369317,60,258048,0.0,-120.55439595000001,-0.14129225868934012,-0.5,0.1406480017505637,25.14976,-0.23454414845209973,-0.919026703357363,-9.267032524452019e-05,-0.3274602967721798,-0.5931027912024242,0.0,-1.0820860051450354e-07,-0.09155338888293603,-0.24612459137473236,-0.0007969094837557028,0.0,0.0,-1.896793690444325e-05,0.0,-0.3447843482289718,14,-0.8125249181521794,0.0,0.649770368,-0.32135742127397826,0.004582192283123732,0.00029940095999999997,0.3099888392857143,-34.08318982805525,1.002389907836914,17782,9.243199348449707,0.049500633,-1.4376661777496338,0.2,23.245190484183176
-0.4372767865739749,0.0,4310,82.38,-0.03457624805898223,0.01,0.0,0.0010752,0.0,0.0002929680437470476,-0.013821873646987556,64,276480,0.0,-120.57412641,-0.1420260012846971,-0.5,0.1376840273551716,25.16128,-0.26295781284059133,-0.9169183801035862,-0.00010487810925155013,-0.3036178315951494,-0.5855296626939182,0.0,-8.892084122957204e-08,-0.09145107061771247,-0.2409144960395121,-0.0008976328118017995,0.0,0.0,-2.174382749659349e-05,0.0,-0.33524233143662363,15,-0.7890071956213653,0.0,0.6497527040000001,-0.3120380345922112,0.010980046587064862,0.00029935488,0.251220703125,-34.06790065765381,1.0010991096496582,17783,17.37778663635254,0.022778181,-1.3765008449554443,0.2,39.83038330078125
-0.4021264758678738,0.0,4327,86.34,-0.056813055096481394,0.01,0.0,0.001152,0.0,0.0003450514373576476,-0.01466359105420375,68,294912,0.0,-121.55407508,-0.14270821210372056,-0.5,0.13851717441646613,25.1728,-0.2570276983794685,-0.9258048313803524,-0.00010956170967088678,-0.32018304817062715,-0.6143364520993049,0.0,-9.325829204289638e-08,-0.09189495162040412,-0.24161484495301336,-0.0009513695573100038,0.0,0.0,-2.298790605994383e-05,0.0,-0.3068073067992439,16,-0.7425954780860882,0.0,0.64973504,-0.31634155282073323,0.001537952306015151,0.0002993088,0.26792689732142855,-34.08057730538504,1.0021679401397705,17785,8.31688404083252,0.040929213,-3.4577674865722656,0.2,25.589738028390066
-0.4217671106495573,0.0,4341,87.62,-0.0713814498250947,0.01,0.0,0.0012288,0.0,0.00030110608268943097,-0.017604786496441913,72,313344,0.0,-121.86988267000002,-0.1390364094159153,-0.5,0.13614812525798056,25.18432,-0.26434033222143666,-0.8904301878121229,-0.00012586159099611222,-0.32911407671706955,-0.6126322332659243,0.0,-9.299517738206976e-08,-0.09214590261914943,-0.23641285515245902,-0.0010782752515773467,0.0,0.0,-2.6219772772240862e-05,0.0,-0.3299928831105074,17,-0.6872126795559791,0.0,0.649717376,-0.3304047014579729,0.0007278637494891882,0.00029926272,0.37269176136363635,-34.09035977450284,1.0029206275939941,17788,9.847253799438477,0.04856846,-2.259676218032837,0.2,29.046400937167082
-0.4356615247172231,0.0,4357,79.57,-0.04174238491179788,0.01,0.0,0.0013056,0.0,0.000330945438084503,-0.01639377962856613,76,331776,0.0,-119.86638024000001,-0.1396728223667415,-0.5,0.14002737392513598,25.19584,-0.2553295564744876,-0.8952792882704179,-0.00012993447987927855,-0.3266205916139757,-0.5959622971636926,0.0,-1.0778540883724768e-07,-0.09190240287911342,-0.2339736375381858,-0.0010967027980206066,0.0,0.0,-2.7692757205984592e-05,0.0,-0.35227245569411375,18,-0.7340170853595488,0.0,0.649699712,-0.3077064468684119,0.007250939994784338,0.00029921664,0.31797572544642855,-34.070762634277344,1.0014216899871826,17790,12.514604568481445,0.04330559,-1.034116268157959,0.2,33.32152884347098
-0.41151505992079707,0.0,4370,85.48,-0.05528914102346822,0.01,0.0,0.0013824,0.0,0.00027886217705801956,-0.015806586471422652,80,350208,0.0,-121.34075585000002,-0.14051819795595052,-0.5,0.1379545452747481,25.20736,-0.2623328383913306,-0.8904214462829132,-0.00014959276523925286,-0.30982712377980137,-0.6088500611706362,0.0,-1.0174206401392445e-07,-0.09194046508844991,-0.2324995019604422,-0.0013257671684233955,0.0,0.0,-3.128585754103291e-05,0.0,-0.3452887009580479,19,-0.6874842738820568,0.0,0.6496820480000001,-0.31407658142703615,0.00922049613048633,0.00029917056,0.2986246744791667,-34.0657901763916,1.0010228157043457,17792,9.112665176391602,0.046028506,-3.0514111518859863,0.2,25.898051897684734
