reward_terms/action_rate,reward_terms/energy,reward_terms/alive,reward_terms/clearance,reward_terms/lat_vel,reward_terms/stop,reward_terms/foot_slip,time/iterations,reward_terms/height,reward_terms/coef_rate,reward_terms/air_time,reward_terms/residual,reward_terms/stance_time,time/total_timesteps,reward_terms/time,reward_terms/phase_contact,reward_terms/motor_vel,reward_terms/stance,time/fps,reward_terms/vz,curriculum/eff_scale,reward_terms/hip_roll,reward_terms/torque,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,reward_terms/ang_xy,curriculum/ent_coef,reward_terms/overrun,curriculum/stance_ratio,reward_terms/upright,reward_terms/angmom,reward_terms/fwd_speed,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/value_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss
-0.11440907751387878,0.0,0.5,0.020569373674165465,-5.01282881863828e-09,0.0,-0.6541584919118244,1,-0.021490769770919526,-0.6533255351244952,5.533851799555123e-05,-0.2658638872148529,-0.028000722864008922,18432,0.0,-0.5194456143699102,0.0,-0.06835060505983057,2493,-0.10234242811570712,0.0,-0.0248096917419106,0.0,7,34.15,-132.69269764,-0.6602913337689424,0.01,0.0,0.65,-0.681574189154706,-0.17143078421286775,-0.5987992121451678,,,,,,,,,,,
-0.1445536802661155,-7.328322132763163e-06,0.5,0.039685763990014424,-5.989154613259958e-09,0.0,-0.8222910186843738,2,-0.024583144346449586,-0.8208244880887547,0.0002398002478811476,-0.2602425109064045,-0.011665565784723084,36864,0.0,-0.4703219338672231,-1.8801029208257817e-06,-0.028996398486041963,2432,-0.09894916602249802,0.00012288,-0.022429533956954326,-6.908894345659377e-05,15,32.11,-130.42808503,-0.7366269243883515,0.01,0.0,0.6499539200000001,-0.46988936566768963,-0.22326327201441712,-0.19499548221361768,-34.065061378479,33433,1.000700831413269,0.0003,794.1069946289062,-3.4816646575927734,0.10933837890625,4756.456506347657,0.00993111,0.2,0.0020481655723415316
-0.1539693602265425,-1.560937614378242e-05,0.5,0.049797140771483644,-6.364876879770914e-09,0.0,-0.8589327687943229,3,-0.024111361213348146,-0.9516326878954136,0.00042751720239822235,-0.25897071289105184,-0.011968842004231798,55296,0.0,-0.45460828090178373,-3.665151490280192e-06,-0.024590566622122452,2590,-0.09774342257067901,0.00024576,-0.02739623188758082,-0.00015245675734234265,21,30.64,-128.81656234000002,-0.6580761079580599,0.01,0.0,0.64990784,-0.39191678512657435,-0.23146847162732342,-0.04747110798221683,-34.05658588409424,33437,1.0001729726791382,0.0003,491.2882080078125,-2.8380703926086426,0.02459716796875,2309.0724548339845,0.0051493007,0.2,-0.00479036143515259
-0.16712142581617648,-2.365694276976754e-05,0.5,0.05149178343029008,-7.3286832824231504e-09,0.0,-0.8650167782002145,4,-0.023003408020763613,-1.056023461043029,0.0004210067951741318,-0.257648095663791,-0.01058592402033456,73728,0.0,-0.45644200674050617,-5.605452817425593e-06,-0.021706761958196884,2678,-0.09697134133600942,0.00036864,-0.02713198266903518,-0.000229867664835772,27,26.93,-125.38722281,-0.6421094171988121,0.01,0.0,0.6498617600000001,-0.3437790822228868,-0.2373687506968314,0.0036218833431436665,-34.0565486907959,33441,1.000211477279663,0.0003,235.2422332763672,-2.9708707332611084,0.0424560546875,1043.759568786621,0.007573889,0.2,-0.01031068474985659
-0.1641173932957914,-2.9064967859280756e-05,0.5,0.04753778299795967,-7.618972447986502e-09,0.0,-0.8048052174708554,5,-0.019532130544727043,-1.0771292202796074,0.00022786446303750077,-0.2568831305165198,-0.007791872016645761,92160,0.0,-0.4647726051368914,-7.023372808013909e-06,-0.017992462280058016,2732,-0.08592838474500893,0.00049152,-0.025733026099131303,-0.00028492163106490513,33,27.68,-125.90524065,-0.6280551860713004,0.01,0.0,0.64981568,-0.33059977798168716,-0.22744966840128975,-0.06014541669656423,-34.05807056427002,33445,1.0003905296325684,0.0003,104.46053314208984,-1.9089176654815674,0.09776611328125,373.16869201660154,0.011196569,0.2,-0.014383066626032814
-0.16526290344479552,-3.4771468840923844e-05,0.5,0.04715681673122296,-6.5708495554594555e-09,0.0,-0.7975124564927978,6,-0.019044729594668058,-1.0612430679725695,0.00034071167788675264,-0.2570963393676992,-0.00644258963843135,110592,0.0,-0.4607097296273868,-8.447284346744598e-06,-0.017392290635244174,2770,-0.08364729887604612,0.0006144,-0.025225267705367524,-0.0003424827808612001,39,26.48,-125.09528231,-0.6390417850636062,0.01,0.0,0.6497696000000001,-0.32657999561622825,-0.2222098169752036,-0.061903111449611165,-34.06323585510254,33449,1.0009233951568604,0.0003,25.071651458740234,-2.5314528942108154,0.13447265625,104.15421352386474,0.018977892,0.2,-0.018704945675563068
-0.16528661038196144,-4.1455363447697165e-05,0.5,0.04675063589860927,-6.897669564109607e-09,0.0,-0.791712800841153,7,-0.01747233111329628,-1.0517886020275342,0.0003906248829379264,-0.2562601598615345,-0.00824380423162236,129024,0.0,-0.45380977228661645,-9.95919826784692e-06,-0.017308665708142504,2799,-0.08165514349852604,0.00073728,-0.026503090471403357,-0.0004210132993866327,46,26.27,-124.98439881000002,-0.644945424333792,0.01,0.0,0.64972352,-0.31405318998791115,-0.23246959769074393,-0.06717699239508695,-34.0702787399292,33453,1.0015044212341309,0.0003,18.162538528442383,-3.625936985015869,0.2694091796875,45.95673828125,0.029670898,0.2,-0.016104569029994308
-0.16238831984091162,-4.6629719095728286e-05,0.5,0.046547208511268374,-6.604162283145682e-09,0.0,-0.7840666832426761,8,-0.01713820349249842,-1.049115032192932,0.000241970426739297,-0.25632315193926336,-0.005392786846237464,147456,0.0,-0.4555266947663623,-1.1389908634845923e-05,-0.019960861945541943,2819,-0.08504673912490095,0.00086016,-0.024205659167921157,-0.00045295881352103536,52,25.97,-124.79840382999998,-0.6497077588708948,0.01,0.0,0.64967744,-0.32627715901577065,-0.23311394479830572,-0.06193416434326193,-34.07792603342157,33457,1.0022623538970947,0.0003,6.289340972900391,-4.42885684967041,0.3197085731907895,28.54819147210372,0.04513798,0.2,-0.01517795942919819
-0.16420426416844588,-5.415433992827441e-05,0.5,0.046676411250927884,-6.492393985339266e-09,0.0,-0.7641702770233929,9,-0.016868970430234314,-1.0457105580536874,0.00030056411439242464,-0.25601033231853404,-0.005837664743820723,165888,0.0,-0.4526655745779474,-1.2980554203665321e-05,-0.011424022133438624,2841,-0.08248148590364208,0.00098304,-0.02364160706423266,-0.0005423432342142026,58,23.19,-121.81082059,-0.6632972406024709,0.01,0.0,0.64963136,-0.3193415525947136,-0.2282745246483329,-0.06077973793627816,-34.06477165222168,33459,1.0008717775344849,0.0003,3.68808650970459,-4.16710901260376,0.29638671875,10.668836752573648,0.049804162,0.2,0.00571980777507027
-0.16260216261840388,-5.996624230319837e-05,0.5,0.044936155583962044,-6.04066644160353e-09,0.0,-0.7514532960631644,10,-0.015606894841155603,-1.0371912553484157,0.00024414052151971392,-0.2557493681889142,-0.004973408407143627,184320,0.0,-0.4480107229651787,-1.4606753209595369e-05,-0.01280143704495959,2858,-0.08140060372629693,0.00110592,-0.02138472694126226,-0.0005771232157181306,64,24.61,-123.23553143999999,-0.659621733916722,0.01,0.0,0.64958528,-0.30131635827175723,-0.22385739678699387,-0.07353333559354655,-34.06621996561686,33461,1.001009225845337,0.0003,4.240298748016357,-5.007078170776367,0.2694905598958333,10.15214490890503,0.04837557,0.2,0.004386593510086338
-0.16614776627974032,-6.88098114203075e-05,0.5,0.04710649746893563,-6.3887486335773566e-09,0.0,-0.7591768630877457,11,-0.015229205482076187,-1.0446219285247076,0.00019748251846370599,-0.25478418078369053,-0.00314723858577458,202752,0.0,-0.44592193881594167,-1.690669020753671e-05,-0.012146968516001208,2874,-0.08732512040323101,0.0012288,-0.023394996350944358,-0.0006502387823797389,70,23.78,-122.41459053,-0.6602080553308228,0.01,0.0,0.6495392,-0.292606661527117,-0.22737527388691697,-0.05430489438243302,-34.060342152913414,33462,1.0004832744598389,0.0003,6.2620744705200195,-5.700181484222412,0.3248697916666667,11.162960052490234,0.037344474,0.2,0.014249880332499743
-0.16632757908618923,-7.575860134903059e-05,0.5,0.04861665676222922,-7.03928786707304e-09,0.0,-0.744185970985819,12,-0.015788518178008335,-1.0146277365185543,0.00022894956055097282,-0.2551132465716808,-0.0033984317188797933,221184,0.0,-0.4355815885681172,-1.8754340965339517e-05,-0.01458027188599108,2887,-0.08837637267678994,0.00135168,-0.023257795059006117,-0.0007241563673707214,76,23.99,-122.62703889000001,-0.666574997044539,0.01,0.0,0.64949312,-0.2918591842505298,-0.23185443611184894,-0.031749786226538616,-34.06368827819824,33463,1.0007612705230713,0.0003,4.308992862701416,-6.104730606079102,0.32672119140625,10.25742769241333,0.030825423,0.2,0.015888989786617458
-0.16870377465413938,-8.518652220324115e-05,0.5,0.04849114370993885,-6.000500846172982e-09,0.0,-0.7688602591114247,13,-0.01522774720247498,-1.0041380433520437,0.00018446169431424804,-0.2548567186474078,-0.0034798122198683107,239616,0.0,-0.430794659047762,-2.143238005157556e-05,-0.014886184926075336,2897,-0.09144271025391332,0.00147456,-0.02232608892333609,-0.0007878822103480715,82,22.97,-121.54543725999999,-0.6586077278266215,0.01,0.0,0.64944704,-0.2822175962591932,-0.22602932119307356,-0.04237203092490063,-34.063462257385254,33464,1.000746250152588,0.0003,6.768736362457275,-0.8789815902709961,0.28863525390625,17.3374342918396,0.025781823,0.2,0.012387177208438516
-0.17050169984696428,-9.347210664594063e-05,0.5,0.04595301083285896,-5.571117218426706e-09,0.0,-0.7622389276932794,14,-0.013828341180747113,-0.9810824424070906,0.0002094182871385581,-0.25555290099491834,-0.003383241155663402,258048,0.0,-0.421511889225494,-2.367480398152399e-05,-0.01385443286993348,2907,-0.08750764681731253,0.00159744,-0.020104102017790566,-0.0008732685914759691,88,21.93,-120.49098543999999,-0.6560525274448207,0.01,0.0,0.64940096,-0.2630667765804793,-0.23699259987960422,-0.05880415431320926,-34.06753794352213,33466,1.0010433197021484,0.0003,12.000085830688477,-8.913858413696289,0.27294921875,33.00179354349772,0.04729713,0.2,0.0056870554108172655
-0.16902411855979738,-0.00010045598952639102,0.5,0.047961432332408044,-6.268308080562304e-09,0.0,-0.7531704540360564,15,-0.01469097547005123,-0.967420822019368,0.00024414052475347288,-0.255769466285717,-0.0044721069280058146,276480,0.0,-0.4213233493018584,-2.531727850055699e-05,-0.009340742208273679,2915,-0.08936797937441095,0.00172032,-0.019406526276256313,-0.000930933299275827,94,24.43,-122.98122461999999,-0.6550396761395807,0.01,0.0,0.64935488,-0.27872743626777313,-0.23334806664440488,-0.05853064373727035,-34.05853780110677,33467,1.0003396272659302,0.0003,2.149244546890259,-6.855544567108154,0.3052571614583333,5.9480617841084795,0.03087154,0.2,0.01923919632099569
