reward_terms/stop,curriculum/sprint_dist_m,curriculum/stance_ratio,reward_terms/residual,reward_terms/foot_ahead,reward_terms/foot_slip,reward_terms/duty_sym,reward_terms/torque,time/iterations,time/fps,reward_terms/stance_time,time/total_timesteps,reward_terms/overrun,reward_terms/upright,reward_terms/ang_xy,time/time_elapsed,rollout/ep_len_mean,reward_terms/vz,reward_terms/hip_roll,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,reward_terms/time,reward_terms/step_rate,reward_terms/height,reward_terms/angmom,reward_terms/stance,reward_terms/lat_vel,reward_terms/alive,ankle/ankle_spring_trq_peak,reward_terms/clearance,reward_terms/motor_vel,curriculum/eff_scale,reward_terms/action_rate,curriculum/ent_coef,reward_terms/air_time,reward_terms/fwd_speed,reward_terms/coef_rate,ankle/ankle_spring_energy_peak,reward_terms/assist_pen,reward_terms/residual_rate,ankle/ankle_defl_peak,reward_terms/energy,reward_terms/phase_contact,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/std,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_fraction
0.0,61.2496375,0.5944172225000001,-0.10466942480289937,0.0,-0.2088839676218168,-0.019193043688039,-0.1312539392303054,1,2705,-0.009536762739622241,58017852,0.0,-0.19520574205666177,-0.1986869834238745,6,193.58,-0.09317574446441919,-0.006069953899348043,0.0,0.0,-0.5,-0.01041666666666656,-0.03247360746271764,-0.1215344424260752,-0.025416519545392695,-2.0098965510687115e-08,0.0,0.0,0.08406580962890621,-0.0015768946452333027,0.24166425,-0.0505050542506106,0.01,0.0030967852799221873,1.1494015437502103,-0.3560372039859216,0.0,0.0,0.0,0.5235446010710822,-0.00980487554403378,-0.11883194906648963,-98.34897195000003,,,,,,,,,,,
0.0,61.2611575,0.5943995585,-0.10581582575786606,0.0,-0.12919021299716102,-0.030018052566987054,-0.12507309728602747,2,2749,-0.01316562740410316,58036284,0.0,-0.20223230702806932,-0.16472746091330526,13,213.65,-0.0955686661555046,-0.0038536742611954902,0.0,0.0,-0.5,-0.008615451388888869,-0.03869849909363923,-0.12286186831318749,-0.0016464554118871336,-1.768938595708499e-08,0.0,0.0,0.09275120175275742,-0.0014331019230688009,0.24174105,-0.045233147746771486,0.01,0.003727752679777849,1.3782202605322882,-0.2789829871285754,0.0,0.0,0.0,0.5236442505105225,-0.008782162657739978,-0.07924403569832078,-92.35548447000001,0.026129331,5.193977236747742,-0.010531105112750083,0.2,-34.0767183303833,1.0016531944274902,0.00027099107399999997,1.5042914152145386,12544,0.9642705917358398,0.27850341796875
0.0,61.2726775,0.5943818945,-0.10591378026418863,0.0,-0.14107049056092658,-0.026873348225555052,-0.12774430411314433,3,2824,-0.012170486677657917,58054716,0.0,-0.200084423758372,-0.17316691763651806,19,210.57,-0.09476180700589237,-0.0040391434882756615,0.0,0.0,-0.5,-0.009082031249999966,-0.03801571397830119,-0.12495800983082088,-0.0022371484167655574,-1.8289649691424674e-08,0.0,0.0,0.09387206047434458,-0.0015075940458694522,0.24181785,-0.046293409766936765,0.01,0.0035725878971991027,1.3683707462351284,-0.2968020637040248,0.0,0.0,0.0,0.5190621727828277,-0.009238478610364122,-0.08589119186498981,-92.5726842,0.01825082,1.1339004904031753,-0.011853567487560213,0.2,-34.07274055480957,1.0017714500427246,0.000270981858,0.010482549667358398,12548,0.992081344127655,0.18231201171875
0.0,61.2841975,0.5943642305,-0.10587092113537651,0.0,-0.14430064717897503,-0.022658386241489595,-0.12846216939839,4,2853,-0.010761527309013117,58073148,0.0,-0.2047546045231103,-0.17694844504575674,25,206.52,-0.09686483680629217,-0.003827599737508718,0.0,0.0,-0.5,-0.009233940972222169,-0.038179132907856926,-0.12853768967198112,-0.0019490098437724796,-1.8445474172349886e-08,0.0,0.0,0.09458890195916832,-0.0015240062320909294,0.24189465,-0.04674624286363419,0.01,0.003622500678627855,1.3829736839026072,-0.30069639663462155,0.0,0.0,0.0,0.5192483687113176,-0.009327926168030014,-0.08372610784640068,-92.36839959999999,0.02287299,1.8462100446224212,-0.010870588943362236,0.2,-34.07911643981934,1.0021138191223145,0.000270972642,0.5938224792480469,12552,0.9876140356063843,0.21630859375
0.0,61.2957175,0.5943465665000001,-0.10590423592391555,0.0,-0.14382262405562496,-0.023684693446025154,-0.12775354413963574,5,2908,-0.0116086920429047,58091580,0.0,-0.2018830616816391,-0.16954834914886588,31,211.34,-0.09605378846523842,-0.003852696290694122,0.0,0.0,-0.5,-0.009006076388888848,-0.03847947255815273,-0.12780828909463554,-0.0018235738979646293,-1.8700949270374313e-08,0.0,0.0,0.09068818963152142,-0.001487543637982795,0.24197145,-0.04608359821131891,0.01,0.0036659036349091264,1.3821563007186493,-0.2915495014418485,0.0,0.0,0.0,0.518497306288391,-0.009121594231888928,-0.0851665699808266,-91.84836784999999,0.018174186,2.9172159373760223,-0.010498825536342338,0.2,-34.07101402282715,1.0013827085494995,0.000270963426,0.8408016562461853,12556,0.9790977239608765,0.1724853515625
0.0,61.3072375,0.5943289025,-0.1055743998374936,0.0,-0.1308409179997827,-0.032204259602924494,-0.12514281731176455,6,2949,-0.014155478536849841,58110012,0.0,-0.19779312738029586,-0.16438168402584255,37,214.93,-0.09285878110332266,-0.003814370706115157,0.0,0.0,-0.5,-0.008582899305555537,-0.03896486508054354,-0.12287640983029087,-0.0015232093560526752,-1.835113589140657e-08,0.0,0.0,0.08928606027541885,-0.00144315793909003,0.24204825,-0.04530242399054579,0.01,0.0037711560014738804,1.3797594277206526,-0.2768307572977627,0.0,0.0,0.0,0.5194597083068441,-0.008841072517034369,-0.08219176615006593,-92.58005799,0.01627841,0.8807250618934631,-0.01237028706818819,0.2,-34.06930866241455,1.0013504028320312,0.00027095421,-0.010210514068603516,12560,0.9923847913742065,0.13292236328125
0.0,61.318757500000004,0.5943112385,-0.1058769144807879,0.0,-0.14294431203285776,-0.02567656755088424,-0.12886776998999266,7,2971,-0.012214973649760295,58128444,0.0,-0.19997897837150624,-0.1734266494336473,43,212.89,-0.09601541530041816,-0.0036923479858761454,0.0,0.0,-0.5,-0.008973524305555527,-0.038963726206905726,-0.12575531861600311,-0.0018574946515710399,-1.8629838092150968e-08,0.0,0.0,0.08913921542738293,-0.0014939107578362037,0.24212505,-0.046089465107326914,0.01,0.003701168455235246,1.3752804415100741,-0.2925535576942556,0.0,0.0,0.0,0.5202267757445478,-0.009141747963333256,-0.08604164641060472,-92.37083155,0.023309201,0.13752808421850204,-0.017303478647954763,0.2,-34.07131996154785,1.0014982223510742,0.000270944994,-0.3132686913013458,12564,0.9987397193908691,0.2052978515625
0.0,61.3302775,0.5942935745,-0.10580182033753735,0.0,-0.12815679072794706,-0.02923849391227469,-0.1247033195979608,8,2981,-0.01319899297474573,58146876,0.0,-0.19692140548198736,-0.16678521438455537,49,215.71,-0.09319589288057822,-0.0036715750452015103,0.0,0.0,-0.5,-0.008626302083333317,-0.0382912300051054,-0.12184995077244906,-0.0007047338451380278,-1.8478281084482042e-08,0.0,0.0,0.09051897116813544,-0.0014627687650121918,0.24220185,-0.04519915499509241,0.01,0.00372015753075377,1.3667496057532644,-0.2799949003608446,0.0,0.0,0.0,0.519300032613771,-0.008871742051941089,-0.08173145967693898,-92.48165402000001,0.022754865,0.8556668296456337,-0.005625748704187572,0.2,-34.0742151260376,1.0019618272781372,0.00027093577799999996,-0.0818571150302887,12568,0.9928379058837891,0.25367431640625
0.0,61.3417975,0.5942759105000001,-0.10576536706615887,0.0,-0.14302445937278807,-0.025690663711414652,-0.12737069747411378,9,2991,-0.012839971541931542,58165308,0.0,-0.1997406673994898,-0.17153347791130208,55,212.84,-0.09417915768164925,-0.0038389144888521017,0.0,0.0,-0.5,-0.008995225694444412,-0.03846719839628794,-0.12433923937384006,-0.0009225175592318713,-1.8288146292264217e-08,0.0,0.0,0.09032892128220399,-0.0015095244821773579,0.24227865,-0.04624074828936649,0.01,0.00364908529445529,1.3580786226067179,-0.29708013329668326,0.0,0.0,0.0,0.5187064262499322,-0.009194153940148424,-0.08693916830858278,-92.334544,0.021673393,0.3722063109278679,-0.015107661380898207,0.2,-34.07978534698486,1.0023987293243408,0.000270926562,-0.24550649523735046,12572,0.9971197843551636,0.19447021484375
0.0,61.3533175,0.5942582465,-0.10554105763591663,0.0,-0.14042919446994961,-0.03599862282938141,-0.1258323744083702,10,3013,-0.015603093056900738,58183740,0.0,-0.19771493499461626,-0.1672856361895039,61,217.77,-0.09173201468674773,-0.0037407169795651376,0.0,0.0,-0.5,-0.00893012152777774,-0.03819290504910961,-0.12388273001312156,-0.0011676474825050717,-1.8767023018409992e-08,0.0,0.0,0.08774674948704095,-0.001480536882352206,0.24235545,-0.04674045695671953,0.01,0.0038058782940626973,1.3646459611320934,-0.28450417166486985,0.0,0.0,0.0,0.5193220887162946,-0.00902753408635774,-0.08526433150820896,-93.51128868999999,0.025347963,1.4448108196258544,-0.009248651191592216,0.2,-34.08268566131592,1.0025064945220947,0.000270917346,0.73026043176651,12576,0.99057936668396,0.2695556640625
