reward_terms/hip_roll,time/fps,curriculum/ctrl_drop_prob,reward_terms/ang_xy,reward_terms/lat_vel,curriculum/stance_ratio,reward_terms/assist_pen,reward_terms/action_rate,time/iterations,reward_terms/stance_time,reward_terms/stance,time/time_elapsed,reward_terms/stop,curriculum/ctrl_jitter_ms,reward_terms/energy,reward_terms/upright,reward_terms/foot_ahead,reward_terms/fwd_speed,reward_terms/height,rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/clearance,reward_terms/time,reward_terms/alive,reward_terms/phase_contact,time/total_timesteps,reward_terms/residual,reward_terms/step_rate,reward_terms/vz,reward_terms/air_time,curriculum/sprint_dist_m,reward_terms/foot_slip,reward_terms/angmom,reward_terms/torque,rollout/ep_len_mean,reward_terms/coef_rate,reward_terms/motor_vel,curriculum/ent_coef,reward_terms/overrun,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std
-0.3411486155833014,4429,0.0,-0.6940375607404206,-1.2656625712155034e-07,0.65,0.0,-0.14579485198291825,1,0.0,-0.31181439228123015,4,0.0,0.0,0.0,-0.8630303297926218,0.0,-0.017102116395755637,-0.021980651866813628,-119.26486531999998,0.0,0.13743389584313456,-0.5,0.0,-0.31084838668259973,18432,-0.08530722292944842,-0.008007812500000147,-0.3449626318400554,0.00024793773708451126,25.0,-0.3834243170123057,-0.2244029411138528,0.0,77.16,-1.1129538719586822,0.0,0.01,0.0,,,,,,,,,,,
-0.3088034411982826,4247,0.0,-0.7071181000286652,-9.088469101148462e-08,0.649982336,0.0,-0.14714977040117613,2,0.0,-0.37232782081579835,8,0.0,0.0,-5.596816296177069e-06,-0.8786574421246507,0.0,-0.060216860328964485,-0.02018365942084907,-118.16716339,7.68e-05,0.1347502292463371,-0.5,0.0,-0.2913790888639818,36864,-0.08544683914721643,-0.007430013020833453,-0.321897487955852,0.00030598883555891615,25.01152,-0.35631958367733946,-0.2415928973967959,-5.685155926357856e-05,72.79,-1.0502638445883665,-9.179596797321769e-07,0.01,0.0,0.00029995392,191.8509063720703,0.07156982421875,0.2,0.009390805,-0.05603504180908203,17758,-0.007958503277041017,786.2743362426758,-34.074689102172854,1.0014965534210205
-0.3202731862422255,4326,0.0,-0.72956994449233,-8.997924595293454e-08,0.6499646720000001,0.0,-0.14471847892484982,3,0.0,-0.37978562217857953,12,0.0,0.0,-1.1381527304556971e-05,-0.9333950033695062,0.0,-0.16033428839093064,-0.017697047216883217,-118.96355214,0.0001536,0.13776966253763534,-0.5,0.0,-0.29083924842952835,55296,-0.08668454383814876,-0.007389322916666782,-0.3203075657982517,0.000144856335181329,25.02304,-0.35592784064719596,-0.28799774827418534,-0.00011346987648646521,75.94,-1.0255840728785826,-1.9034418999018312e-06,0.01,0.0,0.00029990784,41.50376510620117,0.16767578125,0.2,0.021345373,-0.25082969665527344,17762,-0.01546232916880399,141.23262481689454,-34.068204689025876,1.0013662576675415
-0.35448150475583984,4381,0.0,-0.6647394076829296,-1.0332943350183736e-07,0.649947008,0.0,-0.14315328815306766,4,0.0,-0.41628086189754065,16,0.0,0.0,-1.7853870432215895e-05,-0.964026019315427,0.0,-0.10688755150537824,-0.02004301841360878,-119.70659060000001,0.0002304,0.14001258647343687,-0.5,0.0,-0.2711992432410619,73728,-0.08780896238828689,-0.00725911458333344,-0.33957904087740143,0.0003103290542235805,25.03456,-0.3447299423059784,-0.2688319039423563,-0.00017141922655294653,78.9,-1.0100234124801222,-3.1057208109294824e-06,0.01,0.0,0.00029986176,19.409358978271484,0.3233235677083333,0.2,0.04243219,-0.044801950454711914,17766,-0.015157063633927869,63.79635111490885,-34.08593198988173,1.0031557083129883
-0.2894564410069484,4419,0.0,-0.644275196551384,-8.444612250250866e-08,0.649929344,0.0,-0.14288000091579214,5,0.0,-0.3715068673797994,20,0.0,0.0,-2.30273105941009e-05,-0.9179354293794783,0.0,-0.00811003917115484,-0.013552192343881712,-119.61274107000001,0.0003072,0.1290159783303891,-0.5,0.0,-0.2790507631247279,92160,-0.08808237888633012,-0.007682291666666789,-0.29842792109950184,0.00019476940118086836,25.04608,-0.3672036569283663,-0.24750343017446738,-0.00021731056982635916,78.56,-0.9494918654658524,-4.11720939360176e-06,0.01,0.0,0.00029981568,16.335250854492188,0.37811279296875,0.2,0.04170445,-0.14758872985839844,17768,0.009469280135817826,42.464513301849365,-34.07548236846924,1.0017023086547852
-0.296362152888633,4450,0.0,-0.6489608762465175,-8.163120728469662e-08,0.64991168,0.0,-0.14477272278635323,6,0.0,-0.401847125777844,24,0.0,0.0,-3.0412077100894306e-05,-0.8924573365146772,0.0,-0.021577695561727013,-0.012836043880437723,-120.71815378000001,0.000384,0.13403872405017467,-0.5,0.0,-0.26306829211394456,110592,-0.08898346830567516,-0.007666015625000124,-0.2988895271551007,0.00022894911429223916,25.0576,-0.3444013791689537,-0.2747663852133664,-0.0002811607066377933,82.95,-0.9547995001539634,-5.7036800446315e-06,0.01,0.0,0.00029976959999999996,11.16254997253418,0.346954345703125,0.2,0.047475975,-1.5103533267974854,17770,0.004266098389052786,28.99651789665222,-34.07530498504639,1.0018805265426636
-0.29304276185610495,4471,0.0,-0.6116279773839863,-8.898444534255185e-08,0.6498940160000001,0.0,-0.14287465872379154,7,0.0,-0.40092917000328554,28,0.0,0.0,-3.694037895599636e-05,-0.8535363098553392,0.0,-0.08463231018029466,-0.011965405306599711,-120.39788375000002,0.0004608,0.12536962927121606,-0.5,0.0,-0.26641484273965377,129024,-0.08918151869447073,-0.007421875000000116,-0.2770305262477119,0.00026638391621721286,25.06912,-0.3568248760840793,-0.2762771291821158,-0.00034487325594147037,81.72,-0.9186980630749709,-6.851655464941404e-06,0.01,0.0,0.00029972352,11.92848014831543,0.3299560546875,0.2,0.055156488,-1.2965316772460938,17772,0.008716994586090246,27.933276812235516,-34.07296816507975,1.0016558170318604
-0.3104243956763057,4491,0.0,-0.5841855995259971,-8.535144327095139e-08,0.649876352,0.0,-0.14454433593550153,8,0.0,-0.42051854940286326,32,0.0,0.0,-4.458247903234771e-05,-0.8456296195888472,0.0,0.008352467497628984,-0.011969429518594192,-121.40885221,0.0005376,0.1326700253930243,-0.5,0.0,-0.2605773647872846,147456,-0.08965887929849042,-0.007910156250000135,-0.27913676859693104,0.00032769018434919417,25.08064,-0.32951561317017886,-0.23502787748526957,-0.00038184274087498904,85.74,-0.9328055233117288,-8.855416449225086e-06,0.01,0.0,0.00029967744,12.844893455505371,0.3269449869791667,0.2,0.050250396,-1.663818120956421,17774,0.008448785520158708,34.20216369628906,-34.07231012980143,1.0016696453094482
-0.3427790511536799,4501,0.0,-0.6186134687098115,-9.838885468974319e-08,0.649858688,0.0,-0.14175806218510645,9,0.0,-0.43071708051546453,36,0.0,0.0,-5.563089914786289e-05,-0.8068568602197606,0.0,-0.06647465914370447,-0.014790994250154047,-121.28232651,0.0006144,0.1314977577525006,-0.5,0.0,-0.24898663767758406,165888,-0.09024313634562652,-0.0077392578125001265,-0.3022992267426862,0.000273979446824847,25.09216,-0.34165275917707144,-0.2983332909398608,-0.0004903909164209528,85.24,-0.904332260262247,-1.0796627214454949e-05,0.01,0.0,0.00029963136,9.288729667663574,0.3142903645833333,0.2,0.058626443,-1.8754148483276367,17776,0.006520878213147323,23.901419003804524,-34.073081970214844,1.0017330646514893
-0.3232908343310404,4512,0.0,-0.6271552328812869,-9.754446897497855e-08,0.649841024,0.0,-0.14304956843124994,10,0.0,-0.39610806277670035,40,0.0,0.0,-6.099378490843194e-05,-0.8025344958877004,0.0,-0.1407469049180857,-0.019101815595782393,-120.84466346,0.0006912,0.13684885246952988,-0.5,0.0,-0.24315601593744646,184320,-0.09070677414326679,-0.00712890625000011,-0.3085079592122144,0.00023708706915689012,25.10368,-0.31211845857545817,-0.2933501946900232,-0.0005390519517235106,83.5,-0.9026495440081498,-1.2075730019498496e-05,0.01,0.0,0.00029958527999999996,9.24833869934082,0.2984212239583333,0.2,0.05474583,-2.592374801635742,17778,0.011653330797950426,21.79183228810628,-34.07332865397135,1.0017656087875366
