time/iterations,reward_terms/vz,reward_terms/assist_pen,curriculum/ctrl_jitter_ms,reward_terms/action_rate,time/time_elapsed,reward_terms/foot_slip,time/total_timesteps,reward_terms/fwd_speed,reward_terms/upright,reward_terms/step_rate,reward_terms/time,reward_terms/angmom,reward_terms/stop,reward_terms/alive,reward_terms/energy,reward_terms/ang_xy,curriculum/eff_scale,curriculum/ctrl_drop_prob,reward_terms/height,rollout/ep_len_mean,reward_terms/clearance,reward_terms/air_time,reward_terms/hip_roll,reward_terms/stance_time,reward_terms/foot_ahead,reward_terms/overrun,curriculum/sprint_dist_m,reward_terms/stance,reward_terms/residual,reward_terms/coef_rate,curriculum/ent_coef,reward_terms/torque,reward_terms/lat_vel,reward_terms/phase_contact,time/fps,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/motor_vel,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates
15,-0.3196408790229076,0.0,0.0,-0.17513447583083785,62,-0.6807040408653533,276480,-0.23403292008870494,-0.7097759588018226,0.0,-0.5,-0.05438622906917301,0.0,0.0,-6.921165387066318e-05,-0.3285816391406509,0.0010752,0.0,-0.0522670788880789,207.17,0.04208750004126368,0.0001470266045847287,-0.14866430452625395,-4.3401442882087495e-06,0.0,0.0,25.16128,-0.3612029881320378,-0.09895890390195974,-1.0900113046001814,0.01,-0.00047848664170737395,-0.6722325945807225,-0.3144760511511497,4406,-151.74794309,0.6497527040000001,-1.2287924723714475e-05,0.2,0.050254483,-0.002906495832245458,0.000299913984,14.910066604614258,0.7658302783966064,1.003089427947998,-34.08897469260476,37.61222596602006,0.3251731178977273,24527
16,-0.32762582106873284,0.0,0.0,-0.1737275552780557,66,-0.7032778961407036,294912,-0.28697021750199636,-0.699004583014039,0.0,-0.5,-0.05176281186245072,0.0,0.0,-7.511691812947999e-05,-0.3357678145806269,0.001152,0.0,-0.05539757514272491,207.27,0.03852726909284026,3.4722062991932034e-05,-0.15340836553858778,-0.00016479401448224153,0.0,0.0,25.1728,-0.32259856928801184,-0.0992566351655504,-1.1085132364656805,0.01,-0.0005158359054767645,-0.6961249573334374,-0.3344933667962363,4405,-151.79775311,0.64973504,-1.3391684134330625e-05,0.2,0.039228182,0.006410720059648156,0.00029990784,11.426779747009277,0.7200251817703247,1.002703070640564,-34.087677001953125,30.97470893859863,0.3463623046875,24529
17,-0.32292597385497973,0.0,0.0,-0.1771314542124353,71,-0.7248165804205596,313344,-0.2792494737545588,-0.6724900774380239,0.0,-0.5,-0.05231547107976568,0.0,0.0,-8.367476964808089e-05,-0.33694783914023196,0.0012288,0.0,-0.05600527749425169,206.01,0.03862568008476123,0.00016330265013190606,-0.14984819999802346,-5.872866798502704e-05,0.0,0.0,25.18432,-0.3187780032488558,-0.0995600520897427,-1.1071883917993004,0.01,-0.0005667679760693108,-0.709347841907631,-0.33320346915671023,4405,-151.29758425,0.649717376,-1.5135131063522704e-05,0.2,0.042746644,0.0067779284727294,0.00029990169599999997,11.26170825958252,0.6194833517074585,1.001814842224121,-34.07398176193237,26.873282194137573,0.320526123046875,24531
18,-0.3216520257682239,0.0,0.0,-0.17747359478687744,75,-0.7408338404132816,331776,-0.2623206175826527,-0.6629534728732751,0.0,-0.5,-0.05565934246994518,0.0,0.0,-9.233180373304824e-05,-0.3477993866724296,0.0013056,0.0,-0.055301000509992634,213.41,0.0398596062545522,0.0001567922105702261,-0.1404702066055628,-4.299531833061742e-05,0.0,0.0,25.19584,-0.29748000245599626,-0.09897548101227777,-1.085164699748113,0.01,-0.0006180742577496336,-0.6652112881645206,-0.3194370441401324,4406,-153.27779979000002,0.649699712,-1.687500444217392e-05,0.2,0.028178947,0.009147145960014313,0.00029989555199999996,55.35371398925781,0.3552316427230835,1.0007810592651367,-34.06169891357422,101.59749221801758,0.29498291015625,24532
19,-0.326376931490517,0.0,0.0,-0.17899982359263497,79,-0.7337667296664859,350208,-0.29020349977711546,-0.6440335667007234,0.0,-0.5,-0.0547881993170204,0.0,0.0,-0.00010208341277575937,-0.37391233926870293,0.0013824,0.0,-0.055315528796653184,211.8,0.03915186167810145,7.812484788397948e-05,-0.14469788559159233,-0.00013441198259695538,0.0,0.0,25.20736,-0.29952880488186134,-0.09911006152442223,-1.067354752519239,0.01,-0.0006757104170357713,-0.688476253249729,-0.318889245835956,4409,-152.79258934,0.6496820480000001,-1.9172419146417585e-05,0.2,0.044815633,-0.010353568995681902,0.00029988940799999996,22.784027099609375,0.42579764127731323,1.0037801265716553,-34.097948455810545,47.34417508443197,0.3548177083333333,24535
20,-0.33316183677164163,0.0,0.0,-0.1782346679270792,83,-0.7221747666279987,368640,-0.2894668768444642,-0.6669447613626649,0.0,-0.5,-0.057178637797190866,0.0,0.0,-0.00010658166789214306,-0.3776273364836324,0.0014592,0.0,-0.05764177129758626,203.15,0.04118641925607828,0.00010199634642857645,-0.14025737651620546,-1.4241341786045166e-05,0.0,0.0,25.21888,-0.2953760460175834,-0.09907891138684974,-1.0626921161113576,0.01,-0.0007068742166608362,-0.6816958819165599,-0.30765261544523126,4410,-150.74429038,0.649664384,-2.01840793328796e-05,0.2,0.03050102,-0.014104575186502188,0.000299883264,19.26763916015625,0.6402084827423096,1.0043424367904663,-34.10495376586914,58.96495771408081,0.33287353515625,24539
21,-0.30675625995631894,0.0,0.0,-0.18144336110919326,87,-0.7524565202122685,387072,-0.2552880340238526,-0.6283372554058677,0.0,-0.5,-0.05567236138528889,0.0,0.0,-0.00011974499252009046,-0.38603336247750475,0.001536,0.0,-0.05170072162156913,210.43,0.040485016276076306,0.00011338947741832171,-0.1334354991143122,-7.4597159659283025e-06,0.0,0.0,25.2304,-0.2755309325077471,-0.09908725892269227,-1.0505319748503592,0.01,-0.0007778077680420205,-0.646654856405178,-0.3047946810839082,4412,-152.51808943,0.64964672,-2.3140534436062437e-05,0.2,0.054876346,-0.013077874117615547,0.00029987712,7.0375075340271,0.3800286054611206,1.0030261278152466,-34.0879038030451,18.049503153020684,0.2656471946022727,24542
22,-0.2902795734553941,0.0,0.0,-0.18234364043247725,91,-0.7684589845543817,405504,-0.3141226032964678,-0.6162516130523651,0.0,-0.5,-0.05678065666027415,0.0,0.0,-0.00012435035109599393,-0.3784133694164838,0.0016128,0.0,-0.05114458384497607,215.93,0.03550722057648189,5.696602359724542e-05,-0.126339714550493,0.0,0.0,0.0,25.24192,-0.2307813939853219,-0.09927044256252004,-1.0577883835517337,0.01,-0.0008183609022827877,-0.6387083706748324,-0.3151493526926296,4417,-153.8953125,0.649629056,-2.370675612038569e-05,0.2,0.025435794,0.013003080431371928,0.000299870976,20.298927307128906,0.5992483496665955,1.001304268836975,-34.070125579833984,50.127427673339845,0.283935546875,24543
23,-0.32647758139990063,0.0,0.0,-0.18102290489747253,95,-0.7500117195018167,423936,-0.3551658890946163,-0.6203064435305108,0.0,-0.5,-0.05628715297136709,0.0,0.0,-0.00013225975637055296,-0.37696740130607254,0.0016896,0.0,-0.05760520706316122,216.06,0.041863446286305,7.486959414867063e-05,-0.1317068182082964,-2.6583891465432113e-05,0.0,0.0,25.25344,-0.2566969575138371,-0.099335871511714,-1.0486384198427292,0.01,-0.0008694215501888322,-0.6787181047328248,-0.30198392095041604,4419,-153.95344872,0.6496113920000001,-2.5168629110579143e-05,0.2,0.04740921,-0.008943844755942171,0.000299864832,8.628731727600098,0.28560906648635864,1.0031628608703613,-34.09183190085671,25.7719199440696,0.28593306107954547,24546
24,-0.3255435000297919,0.0,0.0,-0.18460656383540053,100,-0.7428661789785366,442368,-0.30101078837165635,-0.5950802786502987,0.0,-0.5,-0.063722180167973,0.0,0.0,-0.00015097638856195582,-0.4278452843388634,0.0017664,0.0,-0.054790929621269,204.68,0.04545663483158327,0.00011610218401377399,-0.12493951564960357,0.0,0.0,0.0,25.26496,-0.21669283411149376,-0.09904222776301591,-1.019667451752385,0.01,-0.0009742500355034134,-0.6277106998789734,-0.2813138727219225,4422,-151.07211292,0.649593728,-3.00048500143976e-05,0.2,0.041068166,0.005195142002776265,0.000299858688,7.3301262855529785,0.12921929359436035,1.0023046731948853,-34.08223581314087,21.59576416015625,0.326263427734375,24548
25,-0.31836004545450997,0.0,0.0,-0.18587298286294685,104,-0.7460332043216993,460800,-0.3911858182363261,-0.5786923583971998,0.0,-0.5,-0.05895215406361411,0.0,0.0,-0.00015162029710072351,-0.40916479033465225,0.0018432,0.0,-0.05639809404245195,211.16,0.04147152182009475,0.0001361759819297327,-0.12353458450940474,-0.0003078870940953493,0.0,0.0,25.27648,-0.2111248732754787,-0.09894440837749137,-1.0369568804328062,0.01,-0.0009919681521446905,-0.6707588918713816,-0.2921145521948933,4425,-152.75152819000002,0.649576064,-2.9476486637390927e-05,0.2,0.046949655,0.006183424898024116,0.000299852544,18.148235321044922,0.24289977550506592,1.0016107559204102,-34.07446616036551,43.28154918125698,0.33523995535714285,24550
