reward_terms/air_time,reward_terms/stance_time,curriculum/stance_ratio,reward_terms/assist_pen,reward_terms/time,reward_terms/hip_roll,reward_terms/step_rate,reward_terms/upright,reward_terms/coef_rate,curriculum/swing_frac_min,reward_terms/action_rate,curriculum/cmd_track_err,ankle/ankle_spring_energy_peak,rollout/ep_rew_mean,reward_terms/track_yaw,reward_terms/clearance,reward_terms/angmom,reward_terms/stance,ankle/ankle_defl_peak,time/iterations,reward_terms/motor_vel,curriculum/cmd_scale,reward_terms/height,time/fps,curriculum/dr_scale,reward_terms/stand,reward_terms/vz,reward_terms/residual,reward_terms/alive,reward_terms/overrun,est/vel_rmse,reward_terms/phase_contact,curriculum/ent_coef,curriculum/ctrl_jitter_ms,rollout/ep_len_mean,reward_terms/foot_slip,curriculum/swing_frac_mean,reward_terms/stand_drift,time/total_timesteps,reward_terms/ang_xy,reward_terms/torque,ankle/ankle_spring_trq_peak,reward_terms/lat_vel,reward_terms/track_lin,reward_terms/foot_ahead,reward_terms/imp_rate,reward_terms/energy,reward_terms/residual_rate,reward_terms/fwd_speed,reward_terms/stop,curriculum/ctrl_drop_prob,reward_terms/duty_sym,curriculum/eff_scale,time/time_elapsed,train/loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/approx_kl,train/value_loss,curriculum/ctrl_jitter_ms_progress,curriculum/dr_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/eff_scale_progress
7.649721616568665e-05,-1.437692359710733e-05,0.7,0.0,0.0,-0.05906931577087979,-0.015624999999999592,-1.671013409853305e-07,-1.584865867842633,0.2750651041666667,-0.2416784786765078,0.9186065139128432,0.0,-87.93145352500001,1.9998116606794365,0.018145500807121077,-0.07555576896617883,-0.018828900506902047,0.5052012598050253,1,0.0,0.0,-0.002413127596927954,9087,0.0,0.4864584624881511,-0.025756858122999878,-0.060555984150511666,0.0,0.0,1.026212410186121,-0.13378505457932147,0.01,0.0,163.725,-0.9085640540623012,0.3102213541666667,-0.01576850106268713,18432,-1.50064277217456e-05,0.0,0.0,-4.3754974977972404e-08,0.7434988654925614,0.0,-0.04030616844160939,0.0,0.0,0.0,0.0,0.0,-3.902793893486396e-06,0.0,2,,,,,,,,,,,,,,,,
3.255201348414024e-05,-0.0032485549001851017,0.7,0.0,0.0,-0.05772237258862409,-0.015549045138888483,-1.641709936602326e-07,-1.6148506313343884,0.2517903645833333,-0.24689323701333846,0.8168678586633712,0.0,-93.45764008333333,1.9998145885582987,0.008949183478628497,-0.0767942415340917,-0.01672872823429243,0.5051681139157052,2,0.0,0.0,-0.004043674370256289,8831,0.0,0.30684671258781976,-0.028514011416810765,-0.061957011381501476,0.0,0.0,0.8171605180476229,-0.10588177018686117,0.01,0.0,223.64583333333334,-0.9276689079229808,0.2798936631944444,-0.15480662427589617,36864,-1.4723855574014792e-05,0.0,0.0,-3.8841445444689184e-08,0.46648115643038474,0.0,-0.041259649094628946,0.0,0.0,0.0,0.0,0.0,-0.00024140345339099565,0.0,4,126.93169403076172,-42.60426425933838,-0.027372667065355925,4,0.000299963136,0.2,0.05975341796875,-0.005158424377441406,1.0024433135986328,0.0098338155,247.78154602050782,,,,,
1.085058708364765e-06,-0.0023868775816582558,0.7,0.0,0.0,-0.056739234148670534,-0.01603732638888846,-1.5494453087115293e-07,-1.6107585262641422,0.25732421875,-0.248941999874862,0.7418804256063499,0.0,-90.86399583999999,1.9998205833570992,0.004943852982867189,-0.07294493617437155,-0.013007282090075336,0.5051227970823025,3,0.0,0.0,-0.004415319910844774,8672,0.0,0.3979593704619429,-0.029026250852841946,-0.06187786074247384,0.0,0.0,0.7503725159905971,-0.09150182069699865,0.01,0.0,276.69,-0.8818264083416408,0.2781846788194444,-0.19970004412563977,55296,-1.3980743501236967e-05,0.0,0.0,-3.894501209894746e-08,0.6511477496914885,0.0,-0.04065583806618792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,104.61511993408203,-42.594093322753906,-0.012917378183919937,8,0.000299926272,0.2,0.00965576171875,0.19559305906295776,1.0018020868301392,0.00395804,274.34291076660156,,,,,
6.18488443756683e-05,-0.008275000339684388,0.7,0.0,0.0,-0.051443872924406844,-0.01731770833333283,-1.598014753603249e-07,-1.6052766106130458,0.28466796875,-0.24774186658590447,0.7816668245645407,0.0,-78.5767631,1.9998105146530751,0.00977309990897795,-0.07953179691868821,-0.014111445398390494,0.504929686718985,4,0.0,0.0,-0.0046597770020946495,8365,0.0,0.24998867441884276,-0.03313942726123735,-0.061944591259687605,0.0,0.0,0.7429230107328779,-0.11346602970464607,0.01,0.0,294.53,-0.8624398790157592,0.302734375,-0.1917144555444107,73728,-1.3857658747929733e-05,0.0,0.0,-3.780349024973875e-08,0.4340899252134941,0.0,-0.04115800689943377,0.0,0.0,0.0,0.0,0.0,-0.0001380810409838877,0.0,8,159.00608825683594,-42.587037086486816,-0.009235664689913391,12,0.00029988940799999996,0.2,0.00355224609375,0.40318214893341064,1.0013771057128906,0.0025913038,278.7788452148437,,,,,
2.0616260978082817e-05,-0.0027281334672200805,0.7,0.0,0.0,-0.05592885494723922,-0.016514756944443983,-1.5668632117446873e-07,-1.5865669069280137,0.2725151909722222,-0.2473529899752775,0.8731542204190318,0.0,-91.09704383999998,1.9998220786253829,0.008536828819410766,-0.07513242125113935,-0.015564181873721038,0.5051414797210553,5,0.0,0.0,-0.004827102442607832,7966,0.0,0.34607763614643827,-0.03083416661882125,-0.061993575394140556,0.0,0.0,0.7179930889333637,-0.11350972813513167,0.01,0.0,292.7,-0.8846591136313964,0.2880588107638889,-0.1174858082386908,92160,-1.3627671204023793e-05,0.0,0.0,-3.748865583276115e-08,0.5892151380204171,0.0,-0.04088796482797699,0.0,0.0,0.0,0.0,0.0,-0.00032983338357461903,0.0,11,134.83074951171875,-42.583944129943845,-0.010534999473020435,16,0.000299852544,0.2,0.00347900390625,0.502375066280365,1.0011323690414429,0.0026240826,283.70249252319337,,,,,
1.0850674395139018e-05,-0.0007404215106766464,0.7,0.0,0.0,-0.05465999826115524,-0.016124131944444006,-1.529653427573452e-07,-1.6018415976381066,0.2739800347222222,-0.24916439628429254,0.7837965354104605,0.0,-86.72542304999999,1.9998191033422676,0.0061641398286786855,-0.07696374025753382,-0.014451187550572255,0.5052089674572177,6,0.0,0.0,-0.004943994486412782,7632,0.0,0.40326811157941655,-0.029550698244642057,-0.06200833139342316,0.0,0.0,0.6799360018304365,-0.09805403995479045,0.00999705088,0.0,260.61,-0.8871933181775995,0.2763129340277778,-0.12812109085307669,110592,-1.3625579700236328e-05,0.0,0.0,-3.55320569598198e-08,0.6499807677297466,0.0,-0.041289700692819196,0.0,0.0,0.0,0.0,0.0,-1.1627074244171353e-05,0.0,14,129.10092163085938,-42.581844902038576,-0.009403060027398168,20,0.00029981568,0.2,0.0021728515625,0.5933326482772827,1.0010682344436646,0.0022615057,258.3901336669922,,,,,
1.7361055749158066e-05,-0.0003683797371599616,0.7,0.0,0.0,-0.05300713799771806,-0.016221788194444007,-1.5632684572605246e-07,-1.6054661270710398,0.2726779513888889,-0.24673697136034464,0.7598007918622218,0.0,-83.91059879999999,1.9998174280280605,0.00718974597829279,-0.07776836748885448,-0.014253236643017194,0.5050678439757149,7,0.0,0.0,-0.004147960719955813,7368,0.0,0.44638748973632136,-0.0287098358553078,-0.06179684661776438,0.0,0.0,0.7108708025488263,-0.09751285479040528,0.00999410176,0.0,253.13,-0.8759489722410903,0.28621419270833337,-0.16178518723494342,129024,-1.3876446992860076e-05,0.0,0.0,-3.688212165477279e-08,0.6814089547554945,0.0,-0.041195384994219895,0.0,0.0,0.0,0.0,0.0,-2.27923425027405e-06,0.0,17,121.61125946044922,-42.582382392883304,-0.009561089461203664,24,0.000299778816,0.2,0.0018798828125,0.6349270343780518,1.0011550188064575,0.002152279,280.7412055969238,,,,,
4.340244534735878e-06,-0.00115518787869304,0.7,0.0,0.0,-0.04943506231976264,-0.016113281249999566,-1.5403039957873058e-07,-1.6051286247770158,0.2515190972222222,-0.24712852613435432,0.7385577907568293,0.0,-78.23807326000001,1.999811531515216,0.00919060534397134,-0.07784337968606435,-0.010430584522605134,0.5052099060385031,8,0.0,0.0,-0.005213765811615872,7181,0.0,0.3766513529665885,-0.032116130223014044,-0.06168785689852458,0.0,0.0,0.7154732938989996,-0.10959752837137504,0.00999115264,0.0,280.79,-0.8873408140049897,0.2811957465277778,-0.17832086232479205,147456,-1.3520159364735734e-05,0.0,0.0,-3.668801720993248e-08,0.5984766431658712,0.0,-0.04090113573267556,0.0,0.0,0.0,0.0,0.0,-0.0004899585171861911,0.0,20,120.60092163085938,-42.5830135345459,-0.01150181480916217,28,0.000299741952,0.2,0.00306396484375,0.665751576423645,1.001120924949646,0.0026416737,265.0496231079102,,,,,
7.107192585762177e-05,-0.00546806404438232,0.7,0.0,0.0,-0.05032876463676158,-0.016210937499999564,-1.6098648670290608e-07,-1.5969111849330457,0.2808702256944444,-0.2478343559257252,0.8210011962844216,0.0,-82.84631139000001,1.999817937786656,0.01223516340100539,-0.08015642385738357,-0.008117575452085996,0.5052077903044663,9,0.0,0.0,-0.004747975334282936,7053,0.0,0.2729572414876558,-0.03134215519135418,-0.061910292640837944,0.0,0.0,0.6872001340779361,-0.156832069511312,0.00998820352,0.0,273.6,-0.8803807831321224,0.2930772569444444,-0.11701729471641266,165888,-1.3947239090197387e-05,0.0,0.0,-3.5676638652336005e-08,0.5064448360144611,0.0,-0.041135445221204395,0.0,0.0,0.0,0.0,0.0,-6.485105330886182e-05,0.0,23,129.01675415039062,-42.57988986968994,-0.012010467553045601,32,0.00029970508799999996,0.2,0.00511474609375,0.7096952795982361,1.0008829832077026,0.0030805776,264.9272766113281,,,,,
3.255204582172963e-05,-0.00030598891963664856,0.7,0.0,0.0,-0.05459096108783874,-0.016807725694443974,-1.5564787212558873e-07,-1.610578741659724,0.2882486979166667,-0.2499383612973664,0.913299597431296,0.0,-90.70569386000003,1.999818316119902,0.012306123971300974,-0.08067330539599572,-0.012262259496325121,0.5051059764154082,10,0.0,0.0,-0.004935287539420562,6965,0.0,0.40849280180990893,-0.03042435665117162,-0.06178569257157615,0.0,0.0,0.6826070585577197,-0.13444437279524923,0.0099852544,0.0,275.92,-0.8692644523310545,0.28957790798611116,-0.07607564072726476,184320,-1.4166241000105932e-05,0.0,0.0,-3.696110350759454e-08,0.679563976353966,0.0,-0.04118817651554083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,108.3916015625,-42.57837562561035,-0.01263194553903304,36,0.000299668224,0.2,0.006103515625,0.727293848991394,1.0009856224060059,0.0032616265,226.05920944213867,,,,,
