reward_terms/step_rate,rollout/ep_len_mean,reward_terms/energy,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/upright,curriculum/ent_coef,reward_terms/foot_slip,reward_terms/clearance,reward_terms/motor_vel,curriculum/ctrl_jitter_ms,reward_terms/torque,reward_terms/angmom,reward_terms/assist_pen,reward_terms/foot_ahead,curriculum/sprint_dist_m,curriculum/eff_scale,reward_terms/stance,time/fps,time/total_timesteps,reward_terms/alive,reward_terms/residual_rate,reward_terms/vz,reward_terms/overrun,time/iterations,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/stop,reward_terms/time,reward_terms/phase_contact,reward_terms/height,time/time_elapsed,reward_terms/lat_vel,rollout/ep_rew_mean,reward_terms/coef_rate,reward_terms/ang_xy,reward_terms/action_rate,reward_terms/residual,reward_terms/fwd_speed,reward_terms/stance_time,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss
0.0,148.38,0.0,0.0,0.001061739691067487,-0.4519509673313345,0.01,-0.27735829627379155,0.08854358319387406,0.0,0.0,0.0,-0.2601798230139876,0.0,0.0,25.0,0.0,-0.0003310021102482078,2986,18432,0.0,0.0,-0.22269235696852618,0.0,1,0.65,-0.15288591274258764,0.0,-0.5,-0.16586161571707705,-0.03870679334541686,6,-9.815764052946536e-08,-136.54607858,-0.1873750897165026,-0.3701179489600808,-0.036410130860487826,-0.0999454911735526,-0.747102957453047,-0.00016642098327995173,,,,,,,,,,,
0.0,161.17,-3.2040834956535117e-06,0.0,0.0021988930659265155,-0.38435573022619446,0.01,-0.2274552826024322,0.08283532129682641,-5.295390089706308e-07,0.0,-3.526928102381898e-05,-0.21695089865340955,0.0,0.0,25.01152,7.68e-05,-0.0008372262577014672,2809,36864,0.0,0.0,-0.20951101683887632,0.0,2,0.649982336,-0.17273364577867126,0.0,-0.5,-0.15808083667895045,-0.026042552387695924,13,-1.1173644601201718e-07,-139.6936048,-0.18814160930918816,-0.3913838052535135,-0.03598561815567228,-0.10274065609179214,-0.7692062886842534,-0.0008475698414258659,0.2,0.006211935,-19.862150478363038,0.000299990784,0.40592730045318604,0.999984085559845,0.0318115234375,15225,46.05100631713867,241.16791915893555,-0.0029541503288783135
0.0,188.81,-5.959475487867536e-06,0.0,0.0033002384168665027,-0.5575237166951007,0.01,-0.17170751799736705,0.07864526493870966,-9.462914833072304e-07,0.0,-7.936671181431216e-05,-0.20063343654568475,0.0,0.0,25.02304,0.0001536,-0.0006272594210357305,3162,55296,0.0,0.0,-0.2205561910873235,0.0,3,0.6499646720000001,-0.14380685786222494,0.0,-0.5,-0.12944105358049118,-0.02991090426078645,17,-7.852544785550628e-08,-146.58529316000002,-0.1855590682080806,-0.3650495967350884,-0.03352795604006339,-0.1038988333470682,-0.8618444712247321,-0.000796706383375244,0.2,0.0063095638,-19.860585403442382,0.000299981568,-0.05682682991027832,0.9998348355293274,0.02950439453125,15229,16.08553123474121,93.86194343566895,-0.0042242039577104155
0.0,185.86,-9.241385128664459e-06,0.0,0.003010524708467225,-0.6177560209929669,0.01,-0.15962102663383906,0.08146308722067742,-1.4439399320294205e-06,0.0,-0.00013029534535151892,-0.22236300716596347,0.0,0.0,25.03456,0.0002304,-0.0009797215952013687,3385,73728,0.0,0.0,-0.2556921742394566,0.0,4,0.649947008,-0.16438386491062598,0.0,-0.5,-0.11113195702696475,-0.029065257324164467,21,-1.1123989895699677e-07,-145.89089235,-0.19444659846094467,-0.39629112008096556,-0.03439472483158312,-0.10373928770913515,-0.8474973751521292,-0.000656868670679008,0.2,0.009167088,-19.863409423828124,0.00029997235199999997,0.5375925898551941,1.0002925395965576,0.0629638671875,15233,8.576837539672852,37.20507555007934,-0.00844542783452198
0.0,198.83,-1.1735781589266468e-05,0.0,0.0033485237897063294,-0.6968968134056153,0.01,-0.1598840213795708,0.0802704867459973,-1.794382210997597e-06,0.0,-0.00017549064603726946,-0.2364995158621562,0.0,0.0,25.04608,0.0003072,-0.0007386740009025642,3528,92160,0.0,0.0,-0.24542592800525107,0.0,5,0.649929344,-0.16217512053691518,0.0,-0.5,-0.12189011413103563,-0.02762592115928706,26,-8.096589059667662e-08,-149.13583290999998,-0.19399107414261602,-0.38873575669461036,-0.03361066975908031,-0.10340126874909444,-0.8791054663843291,-0.0004744419970342682,0.2,0.0110366,-19.868645191192627,0.000299963136,0.6469821929931641,1.0009219646453857,0.1065673828125,15237,5.168546676635742,21.937185192108153,-0.010812348453328013
0.0,204.16,-1.5230973578429628e-05,0.0,0.0033203122697563637,-0.6891073185671253,0.01,-0.16187369339788313,0.07710628713165985,-2.2668576949777906e-06,0.0,-0.00023569104543114995,-0.23970303501684154,0.0,0.0,25.0576,0.000384,-0.0016484587145172945,3633,110592,0.0,0.0,-0.24079376596634253,0.0,6,0.64991168,-0.15078391202940145,0.0,-0.5,-0.1375401715544663,-0.029356086505450074,30,-7.761055026022336e-08,-150.50216638999999,-0.1978461497496007,-0.39323179293300353,-0.03505733882585883,-0.10335691895129567,-0.8375471529177161,-0.0018777048826450482,0.2,0.0143393455,-19.87140026092529,0.00029995392,0.6657982468605042,1.0010793209075928,0.15045166015625,15241,4.944493293762207,16.75648112297058,-0.00982846929691732
0.0,211.53,-1.759056075450676e-05,0.0,0.003185763518558815,-0.7075531607906798,0.01,-0.1929699616750117,0.07877114838642345,-2.639557233627498e-06,0.0,-0.00027074745566558887,-0.24337031271738022,0.0,0.0,25.06912,0.0004608,-0.0007899590834847498,3711,129024,0.0,0.0,-0.2317171688517327,0.0,7,0.6498940160000001,-0.16106654081010224,0.0,-0.5,-0.13738516401713913,-0.028694888393049425,34,-7.843920200899842e-08,-152.27174808,-0.20641157905086924,-0.3976515925938161,-0.034090941510634715,-0.10376555752285081,-0.8983545753788074,-0.0009067065451138964,0.2,0.017073756,-19.871357345581053,0.00029994470399999997,0.6671962738037109,1.000956416130066,0.17232666015625,15245,3.987591028213501,13.249660682678222,-0.012256609194446355
0.0,209.93,-2.0098140335658404e-05,0.0,0.003055012804300835,-0.7437375727670859,0.01,-0.17597628216226371,0.07241045293792252,-3.00931042140027e-06,0.0,-0.00033086948464334273,-0.24896060549448762,0.0,0.0,25.08064,0.0005376,-0.003775047118565321,3772,147456,0.0,0.0,-0.22495904276529466,0.0,8,0.649876352,-0.16536578608066735,0.0,-0.5,-0.14234128845355518,-0.03011193819088938,39,-6.988669429960302e-08,-151.9362578,-0.19441464719602963,-0.3792727485085897,-0.03340762508071976,-0.10395294833381746,-0.8867733459812055,-0.0014065159468575278,0.2,0.020431945,-19.8727068901062,0.000299935488,0.6827026605606079,1.0014855861663818,0.204736328125,15249,2.84348464012146,10.342459201812744,-0.013720878632739186
0.0,226.38,-2.121124173468593e-05,0.0,0.0028152121619010964,-0.7395770338595289,0.01,-0.2088419071023217,0.07100312171424207,-3.1942602150158957e-06,0.0,-0.0003553681906855386,-0.259007646608282,0.0,0.0,25.09216,0.0006144,-0.00022922906052879656,3822,165888,0.0,0.0,-0.19508767039971298,0.0,9,0.649858688,-0.16921997760255078,0.0,-0.5,-0.17271272607900068,-0.03539734464753478,43,-7.649666868812904e-08,-156.06863679,-0.21927812524374465,-0.37228273010861895,-0.03306679995317888,-0.10419439761465767,-0.9091749963038898,-0.003783081891015172,0.2,0.022694107,-19.87563304901123,0.000299926272,0.6229350566864014,1.001893401145935,0.226025390625,15253,2.4780893325805664,8.738083505630494,-0.01272114454768598
0.0,228.62,-2.1963411748597152e-05,0.0,0.002712673029034502,-0.7634459089614152,0.01,-0.1885152688267172,0.06760356901227982,-3.2852463875843677e-06,0.0,-0.0003933847373539786,-0.24340620247410458,0.0,0.0,25.10368,0.0006912,-0.0005415096571246561,3861,184320,0.0,0.0,-0.17990645931046056,0.0,10,0.649841024,-0.1434842592299016,0.0,-0.5,-0.15801128134706102,-0.03555314052213524,47,-6.871499745316232e-08,-156.57250832,-0.2103556285608047,-0.31860859526315294,-0.0306111063559177,-0.10517534027132311,-0.8997144817212352,-0.012928435577325419,0.2,0.027028244,-19.878656101226806,0.000299917056,0.5747936367988586,1.0020666122436523,0.25069580078125,15257,2.462677001953125,7.816246676445007,-0.015655343735124914
