reward_terms/phase_contact,reward_terms/stop,reward_terms/time,reward_terms/air_time,reward_terms/stance_time,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/foot_ahead,reward_terms/step_rate,reward_terms/alive,reward_terms/action_rate,curriculum/sprint_dist_m,reward_terms/angmom,reward_terms/ang_xy,reward_terms/residual_rate,curriculum/ent_coef,reward_terms/height,reward_terms/assist_pen,reward_terms/torque,reward_terms/motor_vel,reward_terms/energy,reward_terms/overrun,reward_terms/fwd_speed,reward_terms/residual,reward_terms/stance,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/coef_rate,reward_terms/clearance,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,reward_terms/vz,reward_terms/lat_vel,time/fps,reward_terms/upright,time/total_timesteps,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_range,train/learning_rate,train/loss
-0.4758387207055057,0.0,-0.5,3.689225801887611e-05,-0.024152765828249458,0.0,-0.8514432157951549,0.0,0.0,0.0,-0.025382082585750813,25.0,0.0,-1.4492923483086626e-05,0.0,0.01,-0.04790429755835819,0.0,0.0,0.0,0.0,0.0,0.8906468288456006,-0.10410489412383607,-8.615512831356269e-09,0.65,-0.006265709668523114,-0.1421692217814648,0.015177177703495756,380.42857142857144,-151.39981679999997,4,1,-0.16296547260457162,-2.770793708599639e-08,4135,-2.673452447409506e-07,18432,,,,,,,,,,,
-0.49595903138101793,0.0,-0.5,1.4105869922786951e-05,-0.028491421613984533,0.0006144,-0.6476523675396284,0.0,0.0,0.0,-0.026590657384774872,25.06912,0.0,-1.0134776381858828e-05,0.0,0.01,-0.04011171562066487,0.0,-0.0001300654571973528,-1.9196445933085894e-06,-1.1537748534177458e-05,0.0,-0.10530110051001013,-0.10470032814932873,0.0,0.649858688,-0.00601382935623338,-0.07626012987123139,0.019169280314439003,405.0945945945946,-166.6669582297297,9,2,-0.1392104404521202,-2.9598606144869275e-08,3997,-1.893011397797224e-07,36864,12691,-18.96682424545288,0.0020781085,0.00509033203125,2794.387976074219,-0.0003598530311137438,0.8507079482078552,0.9394189119338989,0.2,0.00029993856,677.375
-0.554224496186824,0.0,-0.5,1.2478277009601394e-05,-0.05847811120070724,0.0012288,-0.5871055704999685,0.0,0.0,0.0,-0.023546918877432696,25.13824,0.0,-8.807218188983307e-06,0.0,0.01,-0.032818583725108284,0.0,-0.00021851131867426968,-3.5503687318518882e-06,-2.0628676438255188e-05,0.0,-0.27266840949977955,-0.10616851651289469,0.0,0.649717376,-0.004236921606532061,-0.04918322335171004,0.018303727712815968,477.41,-189.42814168,13,3,-0.12774694023995148,-2.8349267093600006e-08,4077,-1.6570437789503812e-07,55296,12695,-18.966884040832518,3.4908902e-05,0.0,1022.0423614501954,-0.00016827223589643836,0.881925106048584,0.9394246339797974,0.2,0.00029987712,238.6269989013672
-0.5330292632562568,0.0,-0.5,1.08506646938622e-05,-0.0749115968824804,0.0018432,-0.6446066575635225,0.0,0.0,0.0,-0.022987103113675363,25.20736,0.0,-9.180320875839945e-06,0.0,0.01,-0.02882373408028495,0.0,-0.000309099234239758,-5.473153973273093e-06,-3.108770832375514e-05,0.0,-0.4268765031703332,-0.10598970574602978,-3.6332994424790445e-06,0.649576064,-0.003104368935885788,-0.05984128612633217,0.0185962395177888,533.38,-212.92695837,17,4,-0.11442938396024178,-2.5381267963388976e-08,4114,-1.5930927835435837e-07,73728,12699,-18.967009353637696,0.000177858,0.0,649.410546875,-0.00048793728929013013,0.9154093861579895,0.9394369125366211,0.2,0.00029981568,193.9081573486328
-0.5277141439974771,0.0,-0.5,4.340263937289516e-06,-0.07271337466793032,0.0024576,-0.6490325891368691,0.0,0.0,0.0,-0.022807151373683013,25.27648,0.0,-9.74314453932669e-06,0.0,0.01,-0.034090577280785656,0.0,-0.00040384790027880657,-7.218705988817085e-06,-4.057137974897561e-05,0.0,-0.316658836452847,-0.10662328284665169,0.0,0.649434752,-0.0023377100594371676,-0.058296465751296496,0.016743387986575608,590.41,-232.14734578,22,5,-0.14118452179683608,-2.5317947397639003e-08,4138,-1.7045567957382316e-07,92160,12703,-18.967235469818114,0.00019064495,0.0,1054.0764099121093,-0.0005319391377270222,0.9284784197807312,0.9394527673721313,0.2,0.00029975423999999997,363.5050048828125
-0.5737511585648709,0.0,-0.5,6.510381354019046e-06,-0.09619020380584213,0.003072,-0.6473871073205406,0.0,0.0,0.0,-0.02118328165318911,25.3456,0.0,-9.040511412908063e-06,0.0,0.01,-0.027183371296725496,0.0,-0.00046359774471316093,-8.2155396322219e-06,-4.647690933489281e-05,0.0,-0.2823143940838282,-0.10717912921427096,0.0,0.64929344,-0.0023739404971149266,-0.0525414765281736,0.012481295037760392,600.28,-234.77755994,26,6,-0.11638679264856851,-2.395997997943982e-08,4156,-1.5782159602896835e-07,110592,12707,-18.96748466491699,0.00026677357,0.0,1065.6375457763672,-0.0008403563813772052,0.933879017829895,0.9394695162773132,0.2,0.0002996928,432.1868896484375
-0.5537154599109297,0.0,-0.5,9.765586582943797e-06,-0.1394445883359165,0.0036864,-0.622401423184233,0.0,0.0,0.0,-0.019638181638605784,25.41472,0.0,-7.980200693589758e-06,0.0,0.01,-0.024453122918101023,0.0,-0.00047549861505081527,-9.103198356188578e-06,-5.078657327634872e-05,0.0,-0.19665095734530078,-0.10809389000946144,0.0,0.649152128,-0.0025882204160149864,-0.05662675313719512,0.01333137590626001,626.27,-240.92863173,30,7,-0.10593610984258772,-2.0715967279796494e-08,4167,-1.5141253345581334e-07,129024,12711,-18.967740631103517,0.0003277588,0.0,1031.8733917236327,-0.001094433880643919,0.9277233481407166,0.9394875168800354,0.2,0.00029963136,378.1899719238281
-0.5832058832897324,0.0,-0.5,5.31683682412323e-05,-0.1581731589912023,0.0043008,-0.6392078854534329,0.0,0.0,0.0,-0.020008974075653524,25.48384,0.0,-9.25762945553273e-06,0.0,0.01,-0.03549370051895186,0.0,-0.0006735442973490253,-1.1432520081128545e-05,-6.318348437152602e-05,0.0,-0.0038139019549712177,-0.10748852904581169,0.0,0.649010816,-0.002088357151479308,-0.05666002656921213,0.012207063277511487,656.14,-248.42812616000003,35,8,-0.13827807410370568,-2.1079057748889084e-08,4175,-1.7619657642288956e-07,147456,12715,-18.96801128387451,0.00039604455,0.00030517578125,875.6098907470703,-0.0011478181928396224,0.948681652545929,0.9395053386688232,0.2,0.00029956992,359.76556396484375
-0.571902510599195,0.0,-0.5,6.18489349209186e-05,-0.17063542531266446,0.0049152,-0.6557992556872976,0.0,0.0,0.0,-0.019729405735266874,25.55296,0.0,-8.460430752952135e-06,0.0,0.01,-0.031012544023404847,0.0,-0.0008313186493219904,-1.3142108377791486e-05,-7.659757197782537e-05,0.0,-0.20142006215030558,-0.10801080236790384,0.0,0.648869504,-0.002307658248380546,-0.05402555906300472,0.01432034214596785,663.81,-250.61601293,39,9,-0.11183203850549273,-2.295229348651112e-08,4185,-1.7375153753662589e-07,165888,12719,-18.96829309463501,0.000226975,4.8828125e-05,924.6209838867187,-0.0009727544034831226,0.9237285256385803,0.9395265579223633,0.2,0.00029950848,365.2904052734375
-0.5837251794097217,0.0,-0.5,4.882788440833489e-06,-0.12946655879204627,0.0055296,-0.6632819875397558,0.0,0.0,0.0,-0.019550017674785324,25.62208,0.0,-9.923226769545805e-06,0.0,0.01,-0.03390323928591509,0.0,-0.0008685152466906184,-1.5060628363992195e-05,-8.381420578269302e-05,0.0,0.02597466801645557,-0.10804298297410425,0.0,0.648728192,-0.0024617300518933734,-0.05226775691444262,0.01161206770751145,675.8,-251.79082634000002,43,10,-0.14573720845461205,-2.282713359891978e-08,4190,-1.8056990812278247e-07,184320,12723,-18.96861171722412,0.00037682016,0.0001953125,706.5173065185547,-0.0012492437672335654,0.9345008134841919,0.9395459294319153,0.2,0.00029944704,278.4463806152344
