reward_terms/ang_xy,reward_terms/air_time,reward_terms/angmom,curriculum/stance_ratio,reward_terms/assist_pen,reward_terms/energy,reward_terms/residual,reward_terms/stance,rollout/ep_rew_mean,reward_terms/height,reward_terms/fwd_speed,reward_terms/coef_rate,reward_terms/time,curriculum/ctrl_jitter_ms,rollout/ep_len_mean,time/iterations,reward_terms/phase_contact,reward_terms/hip_roll,reward_terms/overrun,reward_terms/alive,reward_terms/action_rate,reward_terms/lat_vel,time/fps,reward_terms/stance_time,reward_terms/clearance,reward_terms/motor_vel,reward_terms/foot_ahead,time/total_timesteps,curriculum/ctrl_drop_prob,reward_terms/stop,reward_terms/upright,reward_terms/foot_slip,curriculum/sprint_dist_m,curriculum/ent_coef,reward_terms/torque,time/time_elapsed,curriculum/eff_scale,reward_terms/vz,train/entropy_loss,train/learning_rate,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates
-0.2837731105041524,3.5264703910797834e-05,-0.13497742873611052,0.65,0.0,0.0,-0.10275085838245823,-0.0007499552576240563,-160.2447182463768,-0.01990803176145982,-0.36924745125671765,-1.5201358489202912,-0.5,0.0,241.2463768115942,1,-0.6429017836704266,-0.07560514125040291,0.0,0.0,-0.12903667632086824,-1.3790044401350588e-08,4340,-0.07488603247717644,0.017147985138297513,0.0,0.0008404211980622961,18432,0.0,0.0,-0.37040972277970174,-0.7585978681910268,25.0,0.01,0.0,4,0.0,-0.12095007987165834,,,,,,,,,,,
-0.28574371313998115,3.689229682398339e-05,-0.13697643349051516,0.649982336,0.0,-3.2331662648653143e-06,-0.10018758046659458,-8.669603947017e-05,-150.4075906,-0.025392888167355503,0.23382645126159834,-1.4873988291248375,-0.5,0.0,202.54,2,-0.6341333708256678,-0.09786067854964275,0.0,0.0,-0.13218972252487787,-2.064469681192164e-08,4157,-0.026712838854614854,0.028730678060817867,-4.20174227572977e-07,0.00020761931683750247,36864,0.0,0.0,-0.4082316891207245,-0.8789764363477793,25.01152,0.01,-3.55887748173153e-05,8,7.68e-05,-0.13756276131960896,-34.066094970703126,0.00029995392,0.7010219097137451,191.49084968566893,-0.004542324366047979,1.0009381771087646,0.2,0.11094970703125,34.596038818359375,0.011065682,7376
-0.30167036384119433,1.8446143561353285e-05,-0.15326262813618063,0.6499646720000001,0.0,-6.35135619411501e-06,-0.10059467339781593,-0.0005303153938296747,-150.53971407999998,-0.039946707056252806,0.33149969954057457,-1.4128824911405709,-0.5,0.0,204.36,3,-0.5816193699626832,-0.10441077105285329,0.0,0.0,-0.1317087667375181,-1.9093161406615955e-08,4249,-0.029515433896449395,0.04130485836105171,-8.328368547120925e-07,0.00022903788321849576,55296,0.0,0.0,-0.40900564807048184,-0.8463230460078626,25.02304,0.01,-7.004002494169918e-05,13,0.0001536,-0.17389340682633744,-34.05675716400147,0.00029990784,0.8778111934661865,131.45761795043944,-0.009576809598365798,1.000380516052246,0.2,0.04656982421875,36.57969665527344,0.008555556,7380
-0.30355975598733087,1.3563345419242978e-05,-0.13390080453170525,0.649947008,0.0,-9.333556932716467e-06,-0.10143337087812374,-0.0004767738655173946,-152.60491552000002,-0.02824454630071859,0.11825291958066869,-1.4513697015937164,-0.5,0.0,211.86,4,-0.6345179690237711,-0.08736695245548914,0.0,0.0,-0.13110849243141132,-1.739834124250578e-08,4298,-0.04449981950488614,0.027025478416110686,-1.2009141948953048e-06,0.00037073235200022603,73728,0.0,0.0,-0.36777668844219435,-0.8554620507069839,25.03456,0.01,-0.0001072216543038441,17,0.0002304,-0.13154064908361096,-34.060035133361815,0.00029986176,0.9186698794364929,89.0007884979248,-0.01204698213841766,1.000699758529663,0.2,0.08328857421875,25.470033645629883,0.009801684,7384
-0.2901723272080897,5.425322645654281e-06,-0.1385164123466319,0.649929344,0.0,-1.1997232600092487e-05,-0.10192562117504131,-0.001450933860448301,-156.84604511,-0.0277227756337522,0.177949637225433,-1.443534201508256,-0.5,0.0,228.96,5,-0.6196186720574656,-0.09830620233488181,0.0,0.0,-0.1300548680156537,-1.7020847654703457e-08,4331,-0.05335153108818405,0.03006468005878215,-1.5364292539733113e-06,0.00037587166762458805,92160,0.0,0.0,-0.37906436788442543,-0.8347524872430098,25.04608,0.01,-0.00013705072860541707,21,0.0003072,-0.14576336024708403,-34.06363658905029,0.00029981568,0.9139437079429626,94.36401557922363,-0.011271751974709332,1.0008914470672607,0.2,0.09498291015625,28.29059600830078,0.010199612,7388
-0.3014485301479449,5.6966052701075874e-05,-0.13288137945099454,0.64991168,0.0,-1.4877611932402946e-05,-0.10174868811323644,-0.0031579440809399112,-156.57429752000002,-0.03441848217622237,0.11091283701991074,-1.40612594336025,-0.5,0.0,228.51,6,-0.6000914464982933,-0.10531452698402778,0.0,0.0,-0.13102343697257612,-1.7169120789789473e-08,4353,-0.05601616856034121,0.033257544324421295,-1.932909435593147e-06,0.00036043075370241836,110592,0.0,0.0,-0.37247477989236377,-0.7904694379485158,25.0576,0.01,-0.0001693066431658523,25,0.000384,-0.1493644163102904,-34.062900352478025,0.00029976959999999996,0.9202150702476501,68.18601131439209,-0.012032294680830091,1.0007281303405762,0.2,0.09981689453125,21.149280548095703,0.010775583,7392
-0.29036527797473133,3.7977297324687243e-06,-0.1343766370377117,0.6498940160000001,0.0,-1.7646606638672727e-05,-0.10196068709900345,-0.0040524909778187545,-157.55601791,-0.03609087431427654,0.22880072931802437,-1.3845266641572198,-0.5,0.0,233.05,7,-0.5947693004551797,-0.10560489546230824,0.0,0.0,-0.1300391914187151,-1.6456941162649974e-08,4371,-0.05655138517936899,0.03452651946872212,-2.321319176005057e-06,0.000301150299491424,129024,0.0,0.0,-0.36210465446746265,-0.7730687784824187,25.06912,0.01,-0.00019903287934121074,29,0.0004608,-0.1411646839752743,-34.06204452514648,0.00029972352,0.9089802503585815,57.386270904541014,-0.014073698874562978,1.0008677244186401,0.2,0.10911865234375,17.134553909301758,0.01023511,7396
-0.30172795165006283,1.5190948033705354e-05,-0.13812013610122698,0.649876352,0.0,-2.0560481250996732e-05,-0.10157913407957445,-0.005555715371418633,-159.90529733,-0.03365618992868771,0.18116280895854378,-1.3618783457756627,-0.5,0.0,243.03,8,-0.5879970684583553,-0.09960126890724887,0.0,0.0,-0.13272266898110172,-1.587823546454511e-08,4380,-0.06616561282781833,0.030823345515974234,-2.6741220006757744e-06,0.0002922790074490048,147456,0.0,0.0,-0.4065992166386728,-0.782342581122689,25.08064,0.01,-0.00023423722513172691,33,0.0005376,-0.12845276114838575,-34.06514911651611,0.00029967744,0.9068601727485657,42.91225795745849,-0.015105328627396376,1.0011236667633057,0.2,0.132275390625,13.766881942749023,0.012340302,7400
-0.2994394707273661,0.0,-0.1387255254411979,0.649858688,0.0,-2.3274191215227155e-05,-0.10134618284003305,-0.00248760744352203,-162.37132761000004,-0.03708748576400619,0.03457982375081003,-1.3403352034634497,-0.5,0.0,252.36,9,-0.5678892099529661,-0.10072713592757689,0.0,0.0,-0.13494465823341842,-1.6715533776624252e-08,4392,-0.07886498684658566,0.0345083127568654,-3.047913450182564e-06,0.0004115663656071994,165888,0.0,0.0,-0.4326244680341949,-0.7517781505331729,25.09216,0.01,-0.0002597124234412926,37,0.0006144,-0.1411104862218393,-34.0682897567749,0.00029963136,0.8819272518157959,41.160085391998294,-0.010679900698596612,1.0013569593429565,0.2,0.18116455078125,11.54544734954834,0.013072813,7404
-0.2886903395430581,3.038187666485707e-05,-0.13694302952768564,0.649841024,0.0,-2.6046630459296417e-05,-0.10214302437085475,-0.012979071238070123,-164.01541386999997,-0.02953700186909536,0.06543024322315555,-1.3910702633103702,-0.5,0.0,258.02,10,-0.592430287101369,-0.08582484259745454,0.0,0.0,-0.13241754380337492,-1.4935206748787373e-08,4398,-0.08059837853620087,0.030948251006906315,-3.4639146901043415e-06,0.00026915223738618307,184320,0.0,0.0,-0.3988261521773316,-0.7394950713195175,25.10368,0.01,-0.0002918096194431753,41,0.0006912,-0.13843564819089954,-34.071194076538085,0.00029958527999999996,0.8771539330482483,31.994007396698,-0.011560806364286691,1.0014657974243164,0.2,0.22724609375,9.736770629882812,0.018112823,7408
