reward_terms/air_time,reward_terms/overrun,reward_terms/coef_rate,reward_terms/time,reward_terms/vz,reward_terms/upright,curriculum/ent_coef,curriculum/sprint_dist_m,reward_terms/clearance,reward_terms/angmom,reward_terms/stance_time,reward_terms/lat_vel,reward_terms/foot_ahead,reward_terms/stop,reward_terms/height,reward_terms/residual,reward_terms/ang_xy,reward_terms/fwd_speed,reward_terms/torque,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/stance,reward_terms/phase_contact,time/fps,time/total_timesteps,curriculum/ctrl_jitter_ms,reward_terms/action_rate,curriculum/eff_scale,rollout/ep_len_mean,curriculum/ctrl_drop_prob,reward_terms/hip_roll,reward_terms/alive,time/iterations,reward_terms/energy,reward_terms/foot_slip,time/time_elapsed,reward_terms/assist_pen,reward_terms/motor_vel,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/std,train/n_updates,train/learning_rate
0.0007655157015607175,0.0,-1.525046055477166,-0.5,-0.18896325111512213,-0.3287155513141865,0.01,25.0,0.04058597908194232,-0.1511396443498537,-0.013040730352966219,-1.8772530331979302e-08,0.0,0.0,-0.025781097169802914,-0.10411680937980718,-0.3213101870292498,-1.0121770943677157,0.0,-164.3920138095238,0.65,-0.00016710760248106612,-0.43375085377399875,4312,18432,0.0,-0.12402296089270742,0.0,257.8095238095238,0.0,-0.18727268337781802,0.0,1,0.0,-0.4996294806460704,4,0.0,0.0,,,,,,,,,,,
0.0004964187683071941,0.0,-1.512024029370134,-0.5,-0.19935426588414987,-0.41922952645696143,0.01,25.01152,0.04063886026426109,-0.15485013396799135,-0.010185649494006712,-2.208121814131158e-08,0.0,0.0,-0.024921392286008218,-0.10236043994084582,-0.3463512924529349,-0.9446209570491094,-3.3474785682384764e-05,-159.55052176,0.649982336,-0.0007842299886036416,-0.4226341387837047,4148,36864,0.0,-0.12636573512383836,7.68e-05,238.33,0.0,-0.20494224231429714,0.0,2,-3.1031724171414803e-06,-0.554081092539029,8,0.0,-4.2060240061591976e-07,38.04596710205078,-34.06613693237305,0.44388699531555176,-0.001697283156681806,208.98636169433593,0.010484859,0.2,0.13089599609375,1.000932216644287,7376,0.00029995392
0.0006065529984577248,0.0,-1.4913938213825244,-0.5,-0.1976750801175876,-0.45815236975170176,0.01,25.02304,0.037534519956279204,-0.14761377186009275,-0.007643473117948613,-2.239452645862934e-08,0.0,0.0,-0.028015916162063545,-0.1022155552678613,-0.33471566663098307,-1.0387830167708467,-6.48541485309541e-05,-155.14854804,0.6499646720000001,-0.004768522133095921,-0.4462843362020385,4222,55296,0.0,-0.1274850808188037,0.0001536,220.84,0.0,-0.1913180059569678,0.0,3,-5.922206486246524e-06,-0.5840041965085928,13,0.0,-7.845704894834062e-07,27.441991806030273,-34.056993865966795,0.8177939057350159,-0.0051418911782093344,142.9304925918579,0.006970743,0.2,0.04718017578125,1.0003597736358643,7380,0.00029990784
0.0008577462124069118,0.0,-1.4521456057320146,-0.5,-0.20074059797857638,-0.4707150944668938,0.01,25.03456,0.04159203310380966,-0.15910290690853007,-0.009358415148906514,-2.2088921738164208e-08,0.0,0.0,-0.027075611744518713,-0.10134070096345241,-0.32732412212604856,-1.0667127774361964,-8.857785799421835e-05,-155.03380749,0.649947008,-0.0010715991008847427,-0.4343311431255478,4260,73728,0.0,-0.12711849501990524,0.0002304,220.23,0.0,-0.20572147281185427,0.0,4,-8.466969840078962e-06,-0.4846371007908135,17,0.0,-1.1559063546412838e-06,25.066036224365234,-34.058478927612306,0.8908217549324036,-0.00791491613490507,111.09835758209229,0.0069020046,0.2,0.04515380859375,1.0005342960357666,7384,0.00029986176
0.0007275381131977257,0.0,-1.4094420743140725,-0.5,-0.19352637156815122,-0.41955403515140127,0.01,25.04608,0.04487760956433004,-0.16533922407164534,-0.00839528450807039,-2.1658004422791568e-08,0.0,0.0,-0.025792096860522643,-0.10148092915832346,-0.3262317988069667,-1.00506544728293,-0.00011630953494467839,-155.87453551000002,0.649929344,-0.0029882095404755683,-0.4280776642750643,4291,92160,0.0,-0.12965686505948407,0.0003072,224.15,0.0,-0.21091408106025197,0.0,5,-1.1644812288981226e-05,-0.4796170797790724,21,0.0,-1.6078003210294432e-06,27.259159088134766,-34.0614839553833,0.9074814915657043,-0.008560337376547978,105.621462059021,0.008609206,0.2,0.08380126953125,1.0006389617919922,7388,0.00029981568
0.0011615657034174849,0.0,-1.3793819435334518,-0.5,-0.19848007278258625,-0.4356973797917789,0.01,25.0576,0.045105496881940106,-0.15934088369219052,-0.017669350456950877,-2.137883110881689e-08,0.0,0.0,-0.029015509602793928,-0.10128475072948483,-0.307527288673033,-1.188057497990635,-0.00013633865168001218,-155.81392652,0.64991168,-0.00044185903882349955,-0.42237861294397244,4305,110592,0.0,-0.12726511369958426,0.000384,223.49,0.0,-0.23190216751441714,0.0,6,-1.4077226640475905e-05,-0.4166364409655089,25,0.0,-1.9554079709384027e-06,29.245237350463867,-34.05950374603272,0.9043048620223999,-0.009589461353607475,111.60537052154541,0.009870522,0.2,0.08809814453125,1.0006623268127441,7392,0.00029976959999999996
0.001285806320892233,0.0,-1.3735511107279241,-0.5,-0.19079291086720546,-0.4224596301129993,0.01,25.06912,0.0471529168390623,-0.16446448412432815,-0.014224396632117633,-2.0922713613212168e-08,0.0,0.0,-0.026665168490205633,-0.1018480060491141,-0.30975643486709303,-1.1459275999783776,-0.00015881227537423924,-157.36638773,0.6498940160000001,-0.005131929354946893,-0.430631468200978,4322,129024,0.0,-0.12636806911795917,0.0004608,229.54,0.0,-0.22774674491925184,0.0,7,-1.6779871223525956e-05,-0.42638631329754195,29,0.0,-2.318606528565222e-06,16.983795166015625,-34.06432914733887,0.9296391010284424,-0.008648678101599217,79.82728080749511,0.011514992,0.2,0.12435302734375,1.0009281635284424,7396,0.00029972352
0.0007828768575564027,0.0,-1.3869125754921807,-0.5,-0.21092038649358102,-0.3912109556168953,0.01,25.08064,0.047139008085316667,-0.17698390629760138,-0.015272847245796584,-2.0663375343161427e-08,0.0,0.0,-0.02874524868167988,-0.10183248951533913,-0.318158430146872,-1.2271897853698432,-0.00018544089849679765,-156.49048342,0.649876352,-0.0005546559467420443,-0.4167148724016649,4328,147456,0.0,-0.1291315655295326,0.0005376,226.03,0.0,-0.2157225564018378,0.0,8,-1.946192575488386e-05,-0.4228984497938084,34,0.0,-2.6527473756078326e-06,17.79891586303711,-34.063704109191896,0.9319149851799011,-0.0014159410027787089,72.57911491394043,0.013690412,0.2,0.2201171875,1.0008939504623413,7400,0.00029967744
0.0009271912697133505,0.0,-1.345804354006227,-0.5,-0.19752388551235633,-0.4005617449830298,0.01,25.09216,0.04508161001100915,-0.17351473061620937,-0.020066264960203424,-2.3304939172653392e-08,0.0,0.0,-0.027363129559694683,-0.1016943737098388,-0.3054897074432389,-1.186335988724338,-0.00021825455494695422,-158.6060857,0.649858688,-0.005441714364260054,-0.4459297476928893,4337,165888,0.0,-0.1279559686121503,0.0006144,234.52,0.0,-0.22598975026840126,0.0,9,-2.245819324168308e-05,-0.4127069164787911,38,0.0,-3.0569721042938973e-06,16.221092224121094,-34.06468753814697,0.9266149997711182,-0.005851087043993175,63.68049564361572,0.012197819,0.2,0.1530029296875,1.0010465383529663,7404,0.00029963136
0.0005967876996793267,0.0,-1.3830913763115624,-0.5,-0.19982361564489656,-0.3432611069194562,0.01,25.10368,0.04474189260551798,-0.18602000719937575,-0.01821256996966743,-2.1592705321317808e-08,0.0,0.0,-0.026919719747007333,-0.10260194612274118,-0.3107895534730964,-1.233268187110609,-0.00024027938333591545,-161.06918707,0.649841024,-0.004295773718041699,-0.4461002153617022,4345,184320,0.0,-0.12809095072688098,0.0006912,244.42,0.0,-0.22237475558776984,0.0,10,-2.565778823516351e-05,-0.453288321194558,42,0.0,-3.4864000681564966e-06,11.131857872009277,-34.06513004302978,0.9225497841835022,-0.014480348222423344,42.75218782424927,0.012203829,0.2,0.10220947265625,1.00100839138031,7408,0.00029958527999999996
