reward_terms/time,reward_terms/angmom,reward_terms/upright,reward_terms/foot_slip,reward_terms/height,reward_terms/hip_roll,reward_terms/clearance,curriculum/ent_coef,reward_terms/overrun,reward_terms/ang_xy,curriculum/stance_ratio,reward_terms/air_time,reward_terms/motor_vel,reward_terms/stance,reward_terms/alive,reward_terms/action_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,curriculum/pitch_assist,time/iterations,reward_terms/stop,reward_terms/energy,curriculum/eff_scale,reward_terms/coef_rate,reward_terms/vz,reward_terms/phase_contact,rollout/ep_rew_mean,reward_terms/fwd_speed,time/total_timesteps,reward_terms/lat_vel,reward_terms/stance_time,reward_terms/residual,reward_terms/torque,train/loss,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl
0.0,-0.13641017875047254,-0.07075171057997454,-0.532472855273095,-0.027189415570448714,-0.013987255740240142,0.06600376567958885,0.01,0.0,-0.22005583678861573,0.65,9.223075337811477e-05,0.0,-0.0050427881516336235,0.5,-0.10308917656284354,2370,34.66,7,1.0,1,0.0,0.0,0.0,-0.6041080692495481,-0.09128198383460556,-0.452172459873865,-114.76248233000003,1.2425262527196541,18432,-4.623873551421124e-09,-0.00014973922710244855,-0.5270801966935899,0.0,,,,,,,,,,,
0.0,-0.14222737997483223,-0.05927251839638495,-0.5804822153235469,-0.016364691515003006,-0.012758931234286688,0.06529215020687842,0.01,0.0,-0.23838247994836148,0.64996928,2.1701352024036976e-05,-1.2886051911412573e-06,-0.00037238697938917425,0.5,-0.1092143198557365,2323,32.43,15,0.9995392,2,0.0,-5.84528180621729e-06,0.00012288,-0.573192174197664,-0.08647466121715493,-0.46178720477731655,-117.71595832999999,1.0581445795433977,36864,-5.98316617321597e-09,0.0,-0.5238162879344119,-5.5716295539662004e-05,1089.8955078125,-34.065042686462405,33433,1.0006966590881348,0.0003,0.13299560546875,0.2,0.00273702290141955,5157.215014648437,-0.4194505214691162,0.01554665
0.0,-0.14121393847991218,-0.06961050753928116,-0.675098672750308,-0.022442611192341963,-0.018662947202854968,0.06626806861855757,0.01,0.0,-0.24005093193673485,0.64993856,3.472215353718234e-05,-2.4443577883662024e-06,-0.0007907151837948102,0.5,-0.11353082487585493,2514,37.56,21,0.9990784,3,0.0,-1.087064623153843e-05,0.00024576,-0.6631402476669858,-0.09323452285703551,-0.4800093420683592,-123.58229988,1.0127922020592197,55296,-5.574775039015218e-09,-0.0004307718756738015,-0.5222348994449216,-0.00010578307120001137,325.1698303222656,-34.05633182525635,33437,1.0001376867294312,0.0003,0.00802001953125,0.2,-0.003550911578349769,1639.3990936279297,-1.0968990325927734,0.003745037
0.0,-0.14333870274311739,-0.08148368063860961,-0.7354181578742182,-0.027483263095356352,-0.022084797957500655,0.0649327622750587,0.01,0.0,-0.25088304368552605,0.64990784,6.184883144063254e-05,-3.480825965512672e-06,-0.0009499557630980684,0.5,-0.1165192077459874,2628,38.1,28,0.9986176,4,0.0,-1.586477702192717e-05,0.00036864,-0.725537478857186,-0.09604348131091936,-0.4926769177337109,-125.74406461000001,1.0123439637356546,73728,-4.443898520674396e-09,-0.0009119994582660082,-0.5207164998979591,-0.00015681267359129907,267.76904296875,-34.05615997314453,33441,1.000187635421753,0.0003,0.0274169921875,0.2,-0.008719190361443908,1005.4851348876953,-0.9580979347229004,0.0062457514
0.0,-0.14381683157757955,-0.08127455349533565,-0.7437244000454842,-0.02692262070585648,-0.026336442540959286,0.06786310567644788,0.01,0.0,-0.2562577797879759,0.64987712,9.11456785009553e-05,-4.495081681301436e-06,-0.0035369038004256356,0.5,-0.11739933956812254,2703,40.1,34,0.9981568,5,0.0,-2.079844523520542e-05,0.00049152,-0.771968035633612,-0.09779800507743558,-0.4971131300098943,-127.66851588999998,0.9688552925633586,92160,-3.871976086170921e-09,-0.002135413381943686,-0.5212859621126841,-0.0002071006335902929,110.47667694091797,-34.05870361328125,33445,1.0004353523254395,0.0003,0.07486572265625,0.2,-0.011814581794897094,374.2046272277832,-0.9348353147506714,0.0106923
0.0,-0.14783357070151837,-0.08628654830138952,-0.7502695445263554,-0.028834393714510947,-0.02680958988268446,0.06554207056717533,0.01,0.0,-0.2641486724477784,0.6498464,0.00015407971093534597,-5.578113342975084e-06,-0.0029558251329842816,0.5,-0.11860691487451414,2754,39.67,40,0.997696,6,0.0,-2.637148998343721e-05,0.0006144,-0.7856981766979212,-0.09922231925965846,-0.49416811336134825,-128.16771228,0.9490960874806631,110592,-4.1958552290545504e-09,-0.0023453739947096133,-0.5203601277730008,-0.00026098350886632636,41.44400405883789,-34.0621301651001,33449,1.000913381576538,0.0003,0.159912109375,0.2,-0.012912168458569795,144.5211696624756,-0.630109429359436,0.019510234
0.0,-0.14608201939716287,-0.09229765336457647,-0.7406818368669403,-0.02988684290285,-0.027226658844399974,0.06275522243537202,0.01,0.0,-0.2672509630332634,0.64981568,0.0001182723564044055,-6.618570450117228e-06,-0.0025167936850004203,0.5,-0.11937684451872577,2791,39.86,46,0.9972352,7,0.0,-3.1484701387274864e-05,0.00073728,-0.7972583069006164,-0.0977152769690174,-0.4946031219267413,-129.76564657999998,0.911850978137382,129024,-3.850410879908196e-09,-0.003868266644227939,-0.5203532809584881,-0.0003104527910112227,13.845044136047363,-34.07114925384521,33453,1.0017457008361816,0.0003,0.2371826171875,0.2,-0.013591692224144936,51.713976287841795,-0.11113524436950684,0.030515963
0.0,-0.14689670974440244,-0.0870296523551189,-0.7499156343753575,-0.02731749612852007,-0.027997818750488512,0.06369638626185975,0.01,0.0,-0.2766429802395812,0.64978496,0.0001475691743608978,-7.632557524061068e-06,-0.0039471189206326624,0.5,-0.12096061817770039,2823,41.62,52,0.9967744,8,0.0,-3.674659510266998e-05,0.00086016,-0.8130111472584381,-0.09490816699804534,-0.49419300644032904,-130.76301636999997,0.8895376245775609,147456,-3.927103025277116e-09,-0.00528970584693727,-0.5192358570117388,-0.0003623603707893785,19.09271240234375,-34.05991744995117,33454,1.0004346370697021,0.0003,0.291845703125,0.2,0.018810468912124633,41.99617080688476,-0.06924629211425781,0.027308796
0.0,-0.14991389257962395,-0.08295303952199329,-0.7447246410800744,-0.025276976206082005,-0.029745595812521713,0.06554498698476967,0.01,0.0,-0.28044089635253683,0.64975424,0.00015516465969590677,-8.726406553819936e-06,-0.0029023773441375824,0.5,-0.12104149831678895,2846,42.9,58,0.9963136,9,0.0,-4.2486149490559715e-05,0.00098304,-0.8175168140470177,-0.09442247193294961,-0.48922370289766043,-131.6653206,0.883220503634975,165888,-4.104856221958817e-09,-0.004141160891675908,-0.5192607715812937,-0.0004184588453626858,11.298147201538086,-34.07601988942999,33458,1.0020453929901123,0.0003,0.2731676603618421,0.2,-0.018046142950065826,30.803252069573652,-0.18380367755889893,0.042752653
0.0,-0.15349754154464715,-0.08660529055123484,-0.7387168736151001,-0.026662494912852528,-0.03081862175507854,0.06534845230961857,0.01,0.0,-0.28779420689700297,0.64972352,0.00016927051668365797,-9.844703816632566e-06,-0.005498511757510895,0.5,-0.12259954538431878,2865,42.76,64,0.9958528,10,0.0,-4.842462452475497e-05,0.00110592,-0.8215302515888192,-0.09304855372302595,-0.48821449312140364,-131.20686289,0.8790220570456465,184320,-4.004387206420641e-09,-0.006922190761542879,-0.5190287387999468,-0.0004731933333093672,8.3255615234375,-34.07177526300604,33461,1.001531958580017,0.0003,0.34898792613636365,0.2,0.0067891587333923035,22.23836170543324,-0.1173851490020752,0.047660522
