reward_terms/alive,time/iterations,reward_terms/phase_contact,reward_terms/ang_xy,time/time_elapsed,reward_terms/foot_ahead,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/air_time,reward_terms/energy,reward_terms/foot_slip,curriculum/ctrl_drop_prob,reward_terms/hip_roll,reward_terms/residual_rate,reward_terms/torque,reward_terms/residual,reward_terms/stance_time,reward_terms/coef_rate,reward_terms/step_rate,reward_terms/height,time/fps,curriculum/sprint_dist_m,reward_terms/motor_vel,reward_terms/overrun,reward_terms/stance,reward_terms/duty_sym,reward_terms/fwd_speed,reward_terms/time,reward_terms/vz,time/total_timesteps,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/assist_pen,ankle/ankle_defl_peak,reward_terms/lat_vel,curriculum/eff_scale,reward_terms/stop,reward_terms/upright,ankle/ankle_spring_trq_peak,reward_terms/clearance,curriculum/stance_ratio,rollout/ep_len_mean,ankle/ankle_spring_energy_peak,reward_terms/action_rate,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/std,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/loss
0.0,1,-0.6335663665350864,-0.056651981248324,4,0.0,0.01,0.0,0.0,0.0,-0.031153853062050423,0.0,-0.0018619947152143453,0.0,0.0,-0.05965241108602612,-0.0033105183522113496,-1.5785184656588291,-0.001996527777777777,-0.022047396550559314,4068,25.0,0.0,0.0,0.0,0.0,-1.4315110997781115,-0.5,-0.09427694533648522,18432,-0.11894852457174156,-139.24935384,0.0,0.6735378658894694,-1.5119262537470825e-09,0.0,0.0,-0.1079633682282045,19.2968598577333,0.005905814571861806,0.65,157.86,12.019194562415478,-0.21277575057124126,,,,,,,,,,,
0.0,2,-0.6264267404693498,-0.045267118329636494,9,0.0,0.01,0.0,0.0,-8.809868641051477e-08,-0.028271521318864994,0.0,-0.0020404317254555954,0.0,-4.1241015860244094e-06,-0.05990571395574949,-0.0030081907785238903,-1.5877427012402963,-0.0022243923611111136,-0.021058150392773492,3864,25.01152,-7.740286797239803e-09,0.0,0.0,0.0,-1.4517744632809264,-0.5,-0.08835382696737508,36864,-0.10604617505068696,-138.66789973000002,0.0,0.6698930871239342,-1.5661071499751041e-09,7.68e-05,0.0,-0.09303239671630589,19.192436946100717,0.006496669916717618,0.649982336,155.58,12.042566989961129,-0.21101183857667313,-0.017619685479439796,-34.08421592712402,-0.013335227966308594,4,1.002524733543396,0.000299990784,0.06165771484375,0.0075517865,597.7391815185547,0.2,262.3403015136719
0.0,3,-0.6306728789383517,-0.048079466653017364,13,0.0,0.01,0.0,0.0,-1.8372020190959318e-07,-0.027723425221657973,0.0,-0.002302962456805005,0.0,-8.709855403028096e-06,-0.060021769561083245,-0.00311886806674819,-1.5808166964303016,-0.0023111979166666693,-0.0218076070904821,3981,25.02304,-1.5191888625068118e-08,0.0,0.0,0.0,-1.464812239587455,-0.5,-0.09129706697733947,55296,-0.11133501933457168,-138.33333339,0.0,0.6919262664851108,-1.5317848613454055e-09,0.0001536,0.0,-0.09803176970437227,19.823687534798424,0.00626660804837927,0.6499646720000001,154.21,12.012710071914043,-0.21313082520500792,-0.011101906967815012,-34.07770118713379,0.216993510723114,8,1.002180576324463,0.000299981568,0.0282470703125,0.006387645,621.6771789550781,0.2,293.8578796386719
0.0,4,-0.6348874157885647,-0.04932327006394371,18,0.0,0.01,0.0,0.0,-2.7106146984709883e-07,-0.029705591882086838,0.0,-0.002011458781575698,0.0,-1.2596539166206045e-05,-0.06015658134336558,-0.003551130616364794,-1.5856300553277185,-0.002246093750000002,-0.019531289019502854,4041,25.03456,-2.3651717968810353e-08,0.0,0.0,0.0,-1.4429565162004387,-0.5,-0.08531198629756617,73728,-0.10528606566701831,-138.57778962,0.0,0.6636933236670769,-1.7774889406907728e-09,0.0002304,0.0,-0.0952848030821559,19.014813723061753,0.004869538456872132,0.649947008,155.18,12.102075512296123,-0.20982311927145927,-0.009384091082029044,-34.073066329956056,0.4112415909767151,12,1.0016883611679077,0.00029997235199999997,0.022216796875,0.005773939,587.6521270751953,0.2,283.3197021484375
0.0,5,-0.623855201990852,-0.05209228168414973,22,0.0,0.01,0.0,0.0,-3.494156113474458e-07,-0.035031471578176585,0.0,-0.0017772356370487049,0.0,-1.5167934554355688e-05,-0.05965552451689436,-0.0034791066395377535,-1.584939761075445,-0.002452256944444449,-0.021647439051652777,4072,25.04608,-3.129021749572165e-08,0.0,0.0,0.0,-1.4673400554039686,-0.5,-0.0930500039681984,92160,-0.1125511861683039,-139.39043484,0.0,0.7059839108755077,-1.5498649472788707e-09,0.0003072,0.0,-0.1012257600606015,20.226439046583295,0.006435697283278679,0.649929344,158.41,11.917534823409362,-0.21237202097241548,-0.00889292147476226,-34.071665573120114,0.5391197800636292,16,1.0016809701919556,0.000299963136,0.0220458984375,0.0054814112,566.8200134277344,0.2,265.9164733886719
0.0,6,-0.6287928025473432,-0.04850191422249126,27,0.0,0.01,0.0,0.0,-4.237855255041398e-07,-0.032233981988541834,0.0,-0.0019182996072713823,0.0,-2.0389838035592727e-05,-0.060037465606059964,-0.0035204761661589146,-1.5815331112814037,-0.0021809895833333343,-0.021859932951609724,4091,25.0576,-3.823649638063217e-08,0.0,0.0,0.0,-1.4740913340215607,-0.5,-0.09250080788067358,110592,-0.11235577199120574,-138.81532664,0.0,0.6772073287574971,-1.4859440789309136e-09,0.000384,0.0,-0.0964674273531709,19.401989968902292,0.00640632423364498,0.64991168,156.15,11.964426887596355,-0.21287594069249435,-0.009215247072279453,-34.07400627136231,0.6191320419311523,20,1.0017038583755493,0.00029995392,0.0283935546875,0.0063731065,549.7762466430664,0.2,270.95404052734375
0.0,7,-0.6244288081424003,-0.048820994388354765,31,0.0,0.01,0.0,0.0,-5.303450029112546e-07,-0.03256853925665067,0.0,-0.002034645653107975,0.0,-2.4619453081782903e-05,-0.05992643715138901,-0.003195637031846369,-1.5850173316627987,-0.002473958333333339,-0.02215238971803318,4108,25.06912,-4.6716482874152984e-08,0.0,0.0,0.0,-1.4642614257379618,-0.5,-0.09304160346470271,129024,-0.10797892213190448,-138.39054788,0.0,0.6836753481017894,-1.5939308220805059e-09,0.0004608,0.0,-0.09845152793043531,19.587298723116266,0.0070467995321041605,0.6498940160000001,154.43,12.054268441591745,-0.21102699680073034,-0.00944696196820587,-34.073351287841795,0.6520193815231323,24,1.0017805099487305,0.00029994470399999997,0.0240966796875,0.005888326,527.3463348388672,0.2,247.13504028320312
0.0,8,-0.6360217647922854,-0.044115817885409414,35,0.0,0.01,0.0,0.0,-6.056418696000978e-07,-0.030247399956642624,0.0,-0.0019942732743088946,0.0,-2.759567963781308e-05,-0.060171881316792394,-0.0032669777703833664,-1.5903979849800542,-0.002137586805555557,-0.02060820938207625,4120,25.08064,-5.533534384402903e-08,0.0,0.0,0.0,-1.452698202160287,-0.5,-0.08673051101420863,147456,-0.10525045724670717,-139.30101931,0.0,0.6693701090305163,-1.5124115551789572e-09,0.0005376,0.0,-0.08794474360861572,19.17745362372429,0.006156953892981578,0.649876352,158.09,12.134113890150587,-0.21147203051794164,-0.009874124603811651,-34.0777530670166,0.6746680736541748,28,1.0022385120391846,0.000299935488,0.019580078125,0.0054405658,543.2892272949218,0.2,268.66162109375
0.0,9,-0.6274728064736491,-0.0409635472910777,40,0.0,0.01,0.0,0.0,-7.066609539725175e-07,-0.036703589132056215,0.0,-0.0019687558710973605,0.0,-3.062758183095216e-05,-0.06001087082727947,-0.0027226837054412398,-1.595925594806264,-0.0025173611111111178,-0.01978926826659291,4132,25.09216,-6.44646365617551e-08,0.0,0.0,0.0,-1.4484547692357739,-0.5,-0.08414124015631025,165888,-0.0959621016872382,-138.55979474999998,0.0,0.6628955173558387,-1.728950602615087e-09,0.0006144,0.0,-0.07717268377770255,18.991956572244778,0.006518061391753385,0.649858688,155.12,12.223653064308618,-0.20999166220261914,-0.010341671900823713,-34.0786678314209,0.6845376491546631,32,1.0020307302474976,0.000299926272,0.0229736328125,0.005922088,521.2587234497071,0.2,252.4381866455078
0.0,10,-0.6323057573228746,-0.03776593058755621,44,0.0,0.01,0.0,0.0,-7.658827782787082e-07,-0.03721735195632617,0.0,-0.0019873539772117445,0.0,-3.549058610983723e-05,-0.06015177559670379,-0.0023650201393239615,-1.5900628101982393,-0.0022786458333333365,-0.019109509036594044,4142,25.10368,-7.125895862314824e-08,0.0,0.0,0.0,-1.4293293128083435,-0.5,-0.08121119912523127,184320,-0.09173642231002273,-138.37872327000002,0.0,0.6722164664015275,-1.3956518803916972e-09,0.0006912,0.0,-0.07188364073095127,19.259001762403763,0.00585973897297753,0.649841024,154.41,12.014848667963346,-0.21211808991904196,-0.011232002443284728,-34.072983741760254,0.6804094314575195,36,1.001589298248291,0.000299917056,0.0349609375,0.0071709007,531.8306518554688,0.2,247.40345764160156
