time/iterations,curriculum/ent_coef,reward_terms/lat_vel,reward_terms/vz,curriculum/ctrl_jitter_ms,time/fps,rollout/ep_len_mean,reward_terms/motor_vel,reward_terms/residual,reward_terms/action_rate,reward_terms/energy,reward_terms/angmom,reward_terms/residual_rate,reward_terms/duty_sym,reward_terms/stop,time/time_elapsed,reward_terms/hip_roll,reward_terms/fwd_speed,ankle/ankle_defl_peak,reward_terms/ang_xy,reward_terms/upright,reward_terms/stance,curriculum/ctrl_drop_prob,reward_terms/torque,reward_terms/assist_pen,reward_terms/alive,reward_terms/foot_slip,reward_terms/coef_rate,reward_terms/height,reward_terms/foot_ahead,reward_terms/air_time,reward_terms/overrun,reward_terms/clearance,curriculum/eff_scale,curriculum/sprint_dist_m,reward_terms/phase_contact,reward_terms/stance_time,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/time,time/total_timesteps,ankle/ankle_spring_trq_peak,reward_terms/step_rate,ankle/ankle_spring_energy_peak,train/approx_kl,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range,train/value_loss
11,0.01,-8.57211016319817e-09,-0.12719939866984042,0.0,2754,49.09,-5.907633494351129e-07,-0.06090133234519203,-0.2161349140133083,-5.0503631227966334e-06,-0.23154027152222387,0.0,0.0,0.0,73,-0.0028089929141937933,-1.5123378934345935,0.10884347221606902,-0.13802023416973297,-0.2880120386549716,-0.00016983188645272465,0.0,-0.00015328645983450352,0.0,0.0,-0.03534202723960539,-1.569244983087917,-0.03579042800936201,0.0,0.0,0.0,0.029779021762242078,0.003072,25.4608,-0.5434310264854777,-0.00858667697725145,-148.9927718,0.64929344,-0.5,202752,38.095215275624156,-0.010503472222222173,2.073283251556601,0.0015665342,40,0.00029963136,-34.06302909851074,0.3564945459365845,1.0008490085601807,-0.005148286611074582,0.0010498046875,814.5188598632812,0.2,1730.4690368652343
12,0.01,-9.35730177366937e-09,-0.1329914062013888,0.0,2756,49.25,-6.538592191633183e-07,-0.061192557190118735,-0.21664905172076315,-5.6502605228025515e-06,-0.24273449309465908,0.0,0.0,0.0,80,-0.0029926518638135322,-1.539844118844777,0.10499673769837298,-0.14281338596460014,-0.3081591655042777,-1.610555066742415e-05,0.0,-0.00017197539320449318,0.0,0.0,-0.03510673203412561,-1.5726139962435017,-0.03763419494743312,0.0,9.765625388051072e-06,0.0,0.029616620093427953,0.0033792,25.50688,-0.5457040744436639,-0.009677169901098952,-149.14901738999998,0.649222784,-0.5,221184,36.74885819443054,-0.010807291666666597,1.977271021908047,0.0013587053,44,0.000299594496,-34.06342735290527,0.2746706008911133,1.0009183883666992,-0.0047150396800134334,0.00081787109375,700.8716430664062,0.2,1551.3913635253907
13,0.01,-8.71014801338042e-09,-0.1331465778586703,0.0,2759,49.7,-7.217765627229732e-07,-0.0609683828026302,-0.2138393569952325,-6.401544154202417e-06,-0.23420091084090724,0.0,0.0,0.0,86,-0.0027961597377981675,-1.5215359420918237,0.11287804750167887,-0.14168009370276305,-0.29864782121832606,-7.984892746658964e-06,0.0,-0.00019646178173969727,0.0,0.0,-0.03738002951279611,-1.566833342270287,-0.03787702660595938,0.0,0.0,0.0,0.02897983125738326,0.0036864,25.55296,-0.544800837706863,-0.009157422829755686,-149.60307394,0.649152128,-0.5,239616,39.507316625587606,-0.01081814236111104,2.2486819115963645,0.0010558882,48,0.000299557632,-34.06374816894531,0.21712255477905273,1.0008187294006348,-0.0043538434314541515,0.0002197265625,681.1906127929688,0.2,1420.929754638672
14,0.01,-8.755479758874107e-09,-0.13068167119105398,0.0,2760,50.15,-7.615613246172783e-07,-0.061158650251064456,-0.21781344675620185,-6.690247127273335e-06,-0.2408937721477337,0.0,0.0,0.0,93,-0.0028592329190617934,-1.5331062868781442,0.11793299938854676,-0.14157590847554738,-0.3026121967174685,-2.555268502634732e-05,0.0,-0.00020159261043009414,0.0,0.0,-0.031999716342238,-1.5633716911045088,-0.037103486582344275,0.0,0.0,0.0,0.029010730457979677,0.0039936,25.59904,-0.5438742836366285,-0.009770485551497485,-150.03423378999997,0.649081472,-0.5,258048,41.276549785991364,-0.010633680555555478,2.433934318022316,0.0015324618,52,0.00029952076799999997,-34.06265106201172,0.17025494575500488,1.0007776021957397,-0.005294518382288516,0.00113525390625,597.4071655273438,0.2,1300.4465881347655
15,0.01,-8.80296176720262e-09,-0.13435725476284308,0.0,2762,49.94,-8.221151168490132e-07,-0.060947095863043727,-0.21475374348596657,-7.119581007573432e-06,-0.24954664053883624,0.0,0.0,0.0,100,-0.0026662855868046587,-1.5581749383286005,0.1061169949430891,-0.14740645429958787,-0.3140512468567924,-5.7233634927617985e-08,0.0,-0.00021662672508658708,0.0,0.0,-0.03488934784925259,-1.5662832474297819,-0.038023436162472994,0.0,0.0,0.0,0.02951148710708131,0.0043008,25.64512,-0.5366457917642143,-0.008825391867301531,-149.8299827,0.649010816,-0.5,276480,37.140948230081186,-0.01099175347222215,1.9707275078504294,0.0013733923,56,0.000299483904,-34.06409339904785,0.10504555702209473,1.0008971691131592,-0.004717716749291867,0.0010009765625,555.4650268554688,0.2,1198.429443359375
16,0.01,-8.483771182882177e-09,-0.12797849689115814,0.0,2763,50.6,-8.70059983861489e-07,-0.06081745272762082,-0.21727950503639762,-7.413005229294299e-06,-0.23306106854348632,0.0,0.0,0.0,106,-0.0027251404410958933,-1.5143332805916199,0.10426624340861734,-0.1394115087842027,-0.29159328176647037,-3.45724410937708e-05,0.0,-0.00022896076482742576,0.0,0.0,-0.03390629024226885,-1.567007606974637,-0.035996692577750664,0.0,0.0,0.0,0.028103446324058576,0.004608,25.6912,-0.5471396127447401,-0.008991407152886191,-150.49755431999998,0.64894016,-0.5,294912,36.49318519301607,-0.011197916666666592,2.030059267531924,0.0012463505,60,0.00029944704,-34.06455326080322,0.07248246669769287,1.0009102821350098,-0.004467778687831015,0.0004638671875,514.42822265625,0.2,1113.3991455078126
17,0.01,-9.237716134958057e-09,-0.13312495411141123,0.0,2765,50.27,-9.409109117419687e-07,-0.06089374310320858,-0.21617027656310614,-8.204408048220453e-06,-0.24319527881590114,0.0,0.0,0.0,113,-0.0029546399324103284,-1.5410737453635577,0.11407392612020575,-0.14781490511030682,-0.3102731125330248,-0.00014458353957543397,0.0,-0.0002535487450273979,0.0,0.0,-0.039800152646793076,-1.5668002389408227,-0.037429645698989565,0.0,0.0,0.0,0.02859983458604949,0.0049152,25.73728,-0.5448240584869857,-0.009765060697746877,-150.17519325,0.648869504,-0.5,313344,39.92587414207201,-0.011067708333333252,2.277468102977155,0.0015751667,64,0.00029941017599999996,-34.06246337890625,0.05848413705825806,1.0007894039154053,-0.005228094791527837,0.00115966796875,468.12481689453125,0.2,1025.7945251464844
18,0.01,-8.358204632261152e-09,-0.13176651468873804,0.0,2765,49.64,-1.012900986616219e-06,-0.060886677839946536,-0.21572114106116333,-8.911399101055172e-06,-0.2406511156635079,0.0,0.0,0.0,119,-0.0027669476522874533,-1.5321736697537347,0.10530820421280032,-0.1426450706721982,-0.3013346860296704,-0.00023302478634702354,0.0,-0.0002690560068505782,0.0,0.0,-0.03519662705172911,-1.5609901620689433,-0.03681716940664598,0.0,0.0,0.0,0.02855609474143454,0.0052224,25.783360000000002,-0.5437841093722687,-0.00901636368911972,-149.54111475,0.648798848,-0.5,331776,36.85787147448011,-0.010839843749999932,1.984391727178276,0.0020596045,68,0.00029937331199999997,-34.061452293395995,0.006749212741851807,1.0006464719772339,-0.0058441282715648414,0.003466796875,449.7527160644531,0.2,967.276577758789
19,0.01,-9.034966752670135e-09,-0.135174548927855,0.0,2766,50.45,-1.0648058262126094e-06,-0.06085125317914703,-0.2161341335349175,-9.56912224500932e-06,-0.24865924361875136,0.0,0.0,0.0,126,-0.0027724834200632442,-1.5315988493810595,0.10621298855619415,-0.14890989202776306,-0.306574354682377,-3.2063819009751466e-06,0.0,-0.00029837890734453763,0.0,0.0,-0.0345593452492287,-1.566588217307086,-0.03750395879978127,0.0,0.0,0.0,0.027252228881842,0.0055296,25.829439999999998,-0.5465219700350518,-0.010390601827465516,-150.34269154,0.648728192,-0.5,350208,37.17454599466795,-0.011143663194444372,2.0685261567119526,0.0016957058,72,0.000299336448,-34.06203327178955,0.009092867374420166,1.0009033679962158,-0.005429160594940185,0.001513671875,407.8808898925781,0.2,892.1667602539062
20,0.01,-9.026190086588974e-09,-0.13528863866001895,0.0,2766,49.93,-1.1170121819651992e-06,-0.06101689249741133,-0.21608241174571954,-1.0009158752175422e-05,-0.24346685630925538,0.0,0.0,0.0,133,-0.0028586534676958396,-1.544100092229294,0.11006251875071879,-0.14492442177363193,-0.3091128537185573,-0.00024791203413105853,0.0,-0.0003098190371391131,0.0,0.0,-0.03599648346292863,-1.5588175120645298,-0.038253824639577674,0.0,0.0,0.0,0.0277449255075039,0.0058368,25.87552,-0.5470637740438064,-0.010690623045472117,-149.83332903000002,0.648657536,-0.5,368640,38.521881562751574,-0.011187065972222122,2.174588405408376,0.001990728,76,0.000299299584,-34.064737701416014,0.014621317386627197,1.0010191202163696,-0.005878533574286848,0.00264892578125,383.3319396972656,0.2,832.5484924316406
