curriculum/ctrl_jitter_ms,rollout/ep_rew_mean,time/fps,reward_terms/energy,reward_terms/motor_vel,reward_terms/duty_sym,reward_terms/phase_contact,time/time_elapsed,reward_terms/clearance,reward_terms/foot_slip,reward_terms/foot_ahead,reward_terms/overrun,curriculum/ent_coef,curriculum/stance_ratio,reward_terms/coef_rate,reward_terms/stance,reward_terms/air_time,time/total_timesteps,reward_terms/residual_rate,reward_terms/lat_vel,ankle/ankle_spring_trq_peak,reward_terms/action_rate,reward_terms/height,reward_terms/stop,reward_terms/step_rate,reward_terms/time,rollout/ep_len_mean,curriculum/eff_scale,reward_terms/residual,reward_terms/fwd_speed,curriculum/sprint_dist_m,ankle/ankle_defl_peak,reward_terms/stance_time,curriculum/ctrl_drop_prob,reward_terms/upright,reward_terms/angmom,reward_terms/ang_xy,reward_terms/hip_roll,reward_terms/vz,time/iterations,reward_terms/assist_pen,reward_terms/torque,ankle/ankle_spring_energy_peak,reward_terms/alive,train/explained_variance,train/std,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates
0.0,-37.91646256,2226,-0.023134375184431382,-0.004086200059733292,0.0,-0.33850956785985997,8,0.18629188025747145,-0.6099048796108835,0.0,0.0,0.01,0.59345889875,-0.44398373140700476,0.0,0.0005099816674677035,59017842,0.0,-5.850089433173261e-08,27.80847972958931,-0.05116288443116404,-0.024773653003004305,0.0,-0.013812934027777474,-0.5,250.94,0.245830875,-0.10492087125103067,2.3316431137773197,61.87463125,0.9706275647326111,-8.951738062832091e-05,0.0,-0.2210636011647647,-0.08580363987906534,-0.30208597565211565,-0.05575302453644383,-0.18249634462063494,1,0.0,-0.2513737989924536,13.535723730273489,0.0,,,,,,,,,,,
0.0,-22.30646729,2508,-0.025125265640965528,-0.004398579657845037,0.0,-0.27928209090002604,14,0.21572414503023069,-0.5861816968396418,0.0,0.0,0.01,0.59344123475,-0.38957204411253427,0.0,0.0006483277635804067,59036274,0.0,-5.208969477526294e-08,26.48386358918919,-0.04778131273646701,-0.027909042106746076,0.0,-0.01446397569444411,-0.5,267.68,0.245907675,-0.10608220157671827,2.9540695136198236,61.88615125,0.9243931444743174,0.0,0.0,-0.2468246971728603,-0.07272966620798256,-0.2967726128973088,-0.04029371149784207,-0.18890755854180485,2,0.0,-0.27374068293877335,12.241682374995218,0.0,0.9315894842147827,1.0022947788238525,0.2,0.019680168,-34.080467987060544,0.000270491079,17.129924774169922,-0.014134943956742063,51.773803520202634,0.22744140625,12695
0.0,-17.933178579999996,2892,-0.024828449988170208,-0.004354798489058886,0.0,-0.2740764747143231,19,0.2286342973145812,-0.5589247660181962,0.0,0.0,0.01,0.59342357075,-0.3794071434411592,0.0,0.0006092653299371401,59054706,0.0,-5.1756053734584404e-08,26.087052380174647,-0.04715663658895795,-0.028402257428609856,0.0,-0.014040798611110794,-0.5,273.01,0.245984475,-0.1061570026968206,3.0085344471918702,61.89767125,0.9105428404947521,0.0,0.0,-0.2532275664338204,-0.07302305023281556,-0.29267030909951847,-0.03973112048973194,-0.21064002942764737,3,0.0,-0.2715528814175121,11.878692777866851,0.0,0.9644970893859863,1.0016510486602783,0.2,0.019606236,-34.07509937286377,0.000270481863,13.015419006347656,-0.013726558117195965,32.96307077407837,0.1774658203125,12699
0.0,-16.87067806,3129,-0.024663054380101634,-0.0043275512599227454,0.0,-0.27270091573142646,23,0.22209298536413194,-0.5585883690601604,0.0,0.0,0.01,0.59340590675,-0.38000562397677307,0.0,0.0006412748189177364,59073138,0.0,-5.112129176507868e-08,26.301146373544785,-0.047189156997428414,-0.028964337992426276,0.0,-0.014605034722221882,-0.5,275.83,0.246061275,-0.10635899968617331,3.009094496080297,61.90919125,0.9180155802284393,0.0,0.0,-0.25367830120251184,-0.06992079040223072,-0.2928120372777399,-0.03952954187183578,-0.20107406483804813,4,0.0,-0.2687368793898576,12.216472956445998,0.0,0.9895429611206055,1.0021600723266602,0.2,0.033864535,-34.07385311126709,0.00027047264699999997,2.895900011062622,-0.015453354769852013,8.882767868041991,0.2257568359375,12703
0.0,-16.950895479999996,3295,-0.024625710308862545,-0.004278074725783549,0.0,-0.26868111491424307,27,0.2252718682590148,-0.5545365218522496,0.0,0.0,0.01,0.59338824275,-0.3787302605179448,0.0,0.0006027549097780138,59091570,0.0,-5.146115246990902e-08,26.497196015551626,-0.046166481320188274,-0.028442351363377416,0.0,-0.014073350694444119,-0.5,277.35,0.246138075,-0.10655743323298628,3.0475469330872382,61.920711250000004,0.9248584996702139,0.0,0.0,-0.25107313254477925,-0.0700455835115894,-0.2833438425717,-0.04044666010248615,-0.20513992736744122,5,0.0,-0.27114483446532633,12.253287511266635,0.0,0.9825947880744934,1.001878023147583,0.2,0.04578329,-34.07726287841797,0.000270463431,7.200741291046143,-0.006463226833147928,17.006808519363403,0.2952728271484375,12707
0.0,-17.93252997,3413,-0.02499218151480456,-0.004351125824002483,0.0,-0.2778694814337867,32,0.2147199324159581,-0.5756596340814267,0.0,0.0,0.01,0.59337057875,-0.3885672091531977,0.0,0.0005609798051106433,59110002,0.0,-5.064988775134776e-08,26.25422972717868,-0.047582223818226625,-0.02965947928398797,0.0,-0.01423611111111079,-0.5,275.26,0.246214875,-0.10639438075289442,2.9827722339961236,61.93223125,0.9163780009486451,0.0,0.0,-0.2512863246573901,-0.07174513788268773,-0.290774485053664,-0.03975144754656884,-0.1986252426081266,6,0.0,-0.27472909399788054,12.034082176012344,0.0,0.9881002306938171,1.0028784275054932,0.2,0.028266216,-34.08745555877685,0.000270454215,6.055362224578857,-0.011618737876415253,12.137764501571656,0.268212890625,12711
0.0,-17.56299659,3505,-0.024843618492320908,-0.004348324504310313,0.0,-0.26948947998035244,36,0.2221313329149161,-0.5666142009460415,0.0,0.0,0.01,0.5933529147500001,-0.37805849479985515,0.0,0.0006515829494067779,59128434,0.0,-4.8737051067045855e-08,26.21360578290362,-0.04675005265434322,-0.028593199665190718,0.0,-0.013812934027777475,-0.5,275.96,0.246291675,-0.1063862791894923,3.0268936706184113,61.94375125,0.9149600622304929,0.0,0.0,-0.2529902461353269,-0.06771483714170887,-0.2887184561587987,-0.04122255213034855,-0.20185111851871232,7,0.0,-0.27244001124721445,12.011900327702001,0.0,0.9820494651794434,1.0026190280914307,0.2,0.030714128,-34.08375930786133,0.000270444999,7.015783309936523,-0.011131787032354623,17.02124090194702,0.27486572265625,12715
0.0,-18.575155820000003,3575,-0.024912716946051724,-0.004363144935567271,0.0,-0.2778599345873255,41,0.21708093231154796,-0.5821315292629923,0.0,0.0,0.01,0.59333525075,-0.38758061906552577,0.0,0.000556097006968533,59146866,0.0,-5.164397404294343e-08,26.229163388785068,-0.04693154704680684,-0.028731573103223457,0.0,-0.014496527777777442,-0.5,275.41,0.246368475,-0.1065130118628157,2.9731828608711677,61.95527125,0.9155030851233881,0.0,0.0,-0.25048385502225745,-0.070529048307903,-0.29605138365253947,-0.03946147978278578,-0.19898767752812213,8,0.0,-0.27381379094013586,12.025076617835063,0.0,0.9840547442436218,1.0028657913208008,0.2,0.030064816,-34.08584709167481,0.000270435783,4.688237190246582,-0.01257796010468155,15.493767929077148,0.28182373046875,12719
0.0,-15.094008469999999,3632,-0.0247222154260935,-0.00435789687705202,0.0,-0.26932236499306805,45,0.23375354272020393,-0.5581505862612608,0.0,0.0,0.01,0.59331758675,-0.3786491381221746,0.0,0.0005994996948478123,59165298,0.0,-5.002286247565295e-08,26.33937865662695,-0.0467270127438731,-0.027214722207142463,0.0,-0.013671874999999707,-0.5,277.13,0.246445275,-0.10667005082728066,3.056770609900197,61.96679125,0.9193500403709232,0.0,0.0,-0.24773937515080696,-0.06963143180388214,-0.28939735999569116,-0.04054668649123152,-0.20611543146482814,9,0.0,-0.2690722557793512,12.111685655559208,0.0,0.9858670830726624,1.0023820400238037,0.2,0.0268824,-34.081691360473634,0.000270426567,8.016456604003906,-0.01341067828470841,13.369472742080688,0.26644287109375,12723
0.0,-13.355004339999999,3680,-0.02489896416694115,-0.004345041339935843,0.0,-0.26472791033923027,50,0.23473306521950146,-0.5403281987197521,0.0,0.0,0.01,0.59329992275,-0.3748656597199637,0.0,0.000649412793184941,59183730,0.0,-5.028766840113858e-08,26.657665791247577,-0.046766353893407414,-0.025082251238567346,0.0,-0.014019097222221907,-0.5,276.62,0.246522075,-0.10672602504474749,3.0483875232623396,61.978311250000004,0.9304595389615211,0.0,0.0,-0.23332002627926685,-0.06786577555985812,-0.2802219326065756,-0.04138825456451465,-0.20112788484288674,10,0.0,-0.2726413407652767,12.401958410869428,0.0,0.9879953265190125,1.002889633178711,0.2,0.04275494,-34.08626251220703,0.00027041735099999996,6.237267971038818,-0.010967152286320924,11.89675705432892,0.3348388671875,12727
0.0,-15.842196990000005,3720,-0.024918191224531993,-0.004415828668014267,0.0,-0.27151170427737287,54,0.2295517896396566,-0.5618972894021758,0.0,0.0,0.01,0.59328225875,-0.3886030885697902,0.0,0.0005783408705610782,59202162,0.0,-4.9247617684043095e-08,26.229327527264708,-0.04687123096412468,-0.02407914166140714,0.0,-0.013639322916666372,-0.5,273.08,0.246598875,-0.10666941635120751,2.950829055781414,61.98983125,0.915508814215173,0.0,0.0,-0.23143122175868155,-0.07262930004086954,-0.30118496698657865,-0.04047172715397365,-0.19159385789862984,11,0.0,-0.2720361174168708,12.006846378970819,0.0,0.9875372052192688,1.0025397539138794,0.2,0.03488648,-34.083743476867674,0.000270408135,4.46721076965332,-0.010101089300587774,12.094098758697509,0.27523193359375,12731
