reward_terms/energy,ankle/ankle_spring_energy_peak,reward_terms/foot_ahead,time/fps,reward_terms/stand,ankle/ankle_spring_trq_peak,reward_terms/fwd_speed,reward_terms/upright,est/vel_rmse,reward_terms/stop,curriculum/ent_coef,reward_terms/duty_sym,reward_terms/overrun,reward_terms/motor_vel,reward_terms/foot_slip,reward_terms/coef_rate,reward_terms/clearance,reward_terms/step_rate,reward_terms/torque,reward_terms/residual_rate,curriculum/swing_frac_min,reward_terms/hip_roll,time/iterations,reward_terms/phase_contact,reward_terms/height,time/time_elapsed,curriculum/ctrl_jitter_ms,reward_terms/action_rate,reward_terms/time,curriculum/swing_frac_mean,time/total_timesteps,reward_terms/angmom,curriculum/stance_ratio,rollout/ep_rew_mean,curriculum/dr_scale,reward_terms/ang_xy,curriculum/cmd_scale,curriculum/cmd_track_err,reward_terms/vz,reward_terms/stance,reward_terms/track_yaw,ankle/ankle_defl_peak,reward_terms/stance_time,curriculum/ctrl_drop_prob,reward_terms/stand_drift,reward_terms/lat_vel,reward_terms/alive,reward_terms/air_time,reward_terms/residual,rollout/ep_len_mean,curriculum/eff_scale,reward_terms/assist_pen,reward_terms/track_lin,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/std,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/dr_scale_progress
0.0,0.0,0.0,8338,0.7122646065766776,0.0,0.0,-7.118147282860598e-08,1.0467755284664209,0.0,0.01,-0.002930095270038088,0.0,0.0,-0.5530368085416181,-1.5780110553663822,0.006327952018208785,-0.004264322916666697,0.0,0.0,0.11046006944444445,-0.02815992623776246,1,-0.12687475044434018,-0.0031522777318268684,2,0.0,-0.23914390488682333,0.0,0.17097981770833331,18432,-0.03495904136328055,0.7,-74.15429061538461,0.0,-1.420167209057552e-06,0.0,0.7390758378067106,-0.013496987628070424,-0.01623061667320104,1.9999855117765897,0.5052012598050253,-0.010870467926401438,0.0,-0.008755438202128938,-3.991933391186614e-09,0.0,9.928370450830294e-05,-0.06011900078437179,191.35897435897436,0.0,0.0,1.0835577322796266,,,,,,,,,,,,,,,,
0.0,0.0,0.0,8931,0.6529715849015493,0.0,0.0,-6.485566536487274e-08,0.6645611181303087,0.0,0.01,-0.010008490595050821,0.0,0.0,-0.4565092210675796,-1.6153711554827512,0.0009869670186970847,-0.003645833333333353,0.0,0.0,0.07942708333333333,-0.022509020013413775,2,-0.056316557484041074,-0.0045295915323012885,4,0.0,-0.2441905761384996,0.0,0.1279839409722222,36864,-0.03272215500500019,0.7,-59.17483422222224,0.0,-1.3172810376085205e-06,0.0,0.6103971335134619,-0.018339574261604603,-0.01238724007065552,1.9999908616555833,0.5052271481613799,-0.04453475204516306,0.0,-0.023519252049299263,-3.0764897313029474e-09,0.0,1.8988677766174078e-05,-0.060882785567231354,214.1,0.0,0.0,0.9631759580421099,0.0038776397705078125,0.007816121,0.2,4,1.0020694732666016,0.05206298828125,0.000299963136,-0.022249125031521544,302.68861236572263,143.27503967285156,-36.917350387573244,,,,,
0.0,0.0,0.0,8802,0.5223981306633481,0.0,0.0,-6.065154855359868e-08,0.6362272132210574,0.0,0.01,-0.00022608424802176584,0.0,0.0,-0.45179629294178436,-1.6044511889774877,0.000635001168917752,-0.0038302951388889126,0.0,0.0,0.0849609375,-0.022147980337727927,3,-0.013222555386128732,-0.0054546526250164274,6,0.0,-0.24223014517214114,0.0,0.1137966579861111,55296,-0.03450122401303286,0.7,-33.028267039999996,0.0,-1.366921080673003e-06,0.0,0.5400387383224035,-0.02044808284878165,-0.007760483923740652,1.9999909834571692,0.5052160110980397,-0.012685679668922804,0.0,-0.03256546485724939,-3.302895346203625e-09,0.0,0.0,-0.060933480625436895,250.58,0.0,0.0,0.8260770349889303,0.2487906813621521,0.004050893,0.2,8,1.0015536546707153,0.01265869140625,0.000299926272,-0.009152982814703137,300.574201965332,131.19984436035156,-36.9068696975708,,,,,
0.0,0.0,0.0,8418,0.5469078849135555,0.0,0.0,-6.218050221272065e-08,0.6040083222779022,0.0,0.01,0.0,0.0,0.0,-0.44765887143406935,-1.5962489264329323,6.158923602842913e-06,-0.003917100694444469,0.0,0.0,0.09434678819444445,-0.022632111100948326,4,-0.003375822201182989,-0.005651354263674797,8,0.0,-0.24448799451511377,0.0,0.12955729166666669,73728,-0.036512849726109325,0.7,-52.177554220000005,0.0,-1.3944717213480723e-06,0.0,0.5018178208998169,-0.022048688082659366,-0.010810445158337506,1.999990912409391,0.5048610358354753,-0.0033365885416666665,0.0,-0.037416074961979656,-3.157290593948815e-09,0.0,6.510400756572683e-06,-0.06089292707309683,243.4,0.0,0.0,0.9154629719678401,0.473777174949646,0.002699926,0.2,12,1.001905918121338,0.00482177734375,0.00029988940799999996,-0.007334595872089266,311.8548950195312,131.56895446777344,-36.91479320526123,,,,,
0.0,0.0,0.0,8001,0.6885698052596685,0.0,0.0,-5.855206109667745e-08,0.5686141291963088,0.0,0.01,0.0,0.0,0.0,-0.4551461998601035,-1.5880832687583613,0.0,-0.0038736979166666915,0.0,0.0,0.10015190972222222,-0.018953231922188927,5,0.0,-0.005686271030244166,11,0.0,-0.24417855273571998,0.0,0.1269802517361111,92160,-0.035826432090016264,0.7,-47.11884465999999,0.0,-1.3816095681329365e-06,0.0,0.5038870418403455,-0.020995447873304342,-0.005947283721404812,1.9999909487830136,0.5051918555792176,0.0,0.0,-0.04661835721556066,-2.9322229634583305e-09,0.0,0.0,-0.061000852940137414,245.88,0.0,0.0,1.0683899807494812,0.5629629492759705,0.0026302051,0.2,16,1.0015610456466675,0.00523681640625,0.000299852544,-0.007171504700090736,316.1747741699219,135.53553771972656,-36.91268615722656,,,,,
0.0,0.0,0.0,7722,0.6179852225521174,0.0,0.0,-5.926795008954698e-08,0.5642698841909738,0.0,0.01,0.0,0.0,0.0,-0.45857106781879925,-1.5891370049010476,0.0,-0.0038085937500000225,0.0,0.0,0.09038628472222222,-0.019475734188302715,6,0.0,-0.005441949675148499,14,0.0,-0.24348712504256717,0.0,0.1244845920138889,110592,-0.03705932305679252,0.7,-16.474764079999996,0.0,-1.3786761749357776e-06,0.0,0.5250807118165498,-0.0224411820845649,-0.008547686977137073,1.9999909152733366,0.5051300602692463,0.0,0.0,-0.06352509097167762,-2.883479205203274e-09,0.0,0.0,-0.060762388177070026,278.43,0.0,0.0,0.8971319322715758,0.5983612537384033,0.0026084513,0.2,20,1.001247525215149,0.004833984375,0.00029981568,-0.007638119702460244,333.18108825683595,158.10145568847656,-36.90809497833252,,,,,
0.0,0.0,0.0,7502,0.5917851549372471,0.0,0.0,-5.610933411745084e-08,0.5401567051592899,0.0,0.01,0.0,0.0,0.0,-0.46348913017695254,-1.6019932948772844,0.0,-0.004166666666666695,0.0,0.0,0.1027560763888889,-0.022571184957325883,7,0.0,-0.005543106747811197,17,0.0,-0.24402319537565503,0.0,0.1330295138888889,129024,-0.03828138201310893,0.7,-14.51740234999999,0.0,-1.3561984133636186e-06,0.0,0.581208252665377,-0.0227291072086788,-0.009258782394314423,1.9999904364607377,0.5048019881019299,0.0,0.0,-0.05825721135039671,-3.4409814188530644e-09,0.0,0.0,-0.060658422455707656,277.17,0.0,0.0,0.8726469268608084,0.6503039598464966,0.0024918795,0.2,24,1.0016142129898071,0.00372314453125,0.000299778816,-0.00794389566872269,317.1480712890625,150.32774353027344,-36.91090564727783,,,,,
0.0,0.0,0.0,7342,0.7094803286474378,0.0,0.0,-5.562183893026636e-08,0.5437503924313587,0.0,0.01,0.0,0.0,0.0,-0.44489068163979145,-1.591211223092221,0.0,-0.0038302951388889126,0.0,0.0,0.1213107638888889,-0.022012628766218935,8,0.0,-0.005907964508919913,20,0.0,-0.24425008987026553,0.0,0.12415907118055555,147456,-0.039411950977805914,0.7,-34.728097469999994,0.0,-1.3970073274233796e-06,0.0,0.6377356329157043,-0.023156937537046576,-0.006198275094636126,1.9999909699804388,0.5052238245635284,0.0,0.0,-0.06369672220188717,-3.0200887280829824e-09,0.0,0.0,-0.06064644873843705,244.38,0.0,0.0,1.037254158941145,0.6872084140777588,0.0025560209,0.2,28,1.0017197132110596,0.00364990234375,0.000299741952,-0.00863254587748088,299.15460510253905,145.87130737304688,-36.913758277893066,,,,,
0.0,0.0,0.0,7212,0.6924308745977352,0.0,0.0,-5.360340575287289e-08,0.5113710284902935,0.0,0.01,0.0,0.0,0.0,-0.46488093582669854,-1.5964869154107895,0.0,-0.004242621527777807,0.0,0.0,0.09315321180555555,-0.01779964121385543,9,0.0,-0.005349865124442463,23,0.0,-0.2433565748953389,0.0,0.12662760416666669,165888,-0.03727694594720647,0.7,-36.82062728,0.0,-1.3677304212178073e-06,0.0,0.5490735178974646,-0.02248646392977019,-0.005169589182948468,1.999990943205807,0.5049694404505292,0.0,0.0,-0.035720093466644176,-2.785700212330136e-09,0.0,0.0,-0.060972217000406476,227.14,0.0,0.0,1.0225322307783276,0.7090703248977661,0.003111997,0.2,32,1.0016738176345825,0.006298828125,0.00029970508799999996,-0.008665603992994875,328.9818817138672,162.2278289794922,-36.912597274780275,,,,,
0.0,0.0,0.0,7122,0.6305372127378521,0.0,0.0,-5.825643960968661e-08,0.5243572012480197,0.0,0.01,0.0,0.0,0.0,-0.4746581699968055,-1.5881509125058548,0.0,-0.0038411458333333557,0.0,0.0,0.1017795138888889,-0.019760971826687814,10,0.0,-0.0052543501019652085,25,0.0,-0.242778967247767,0.0,0.12239583333333334,184320,-0.03764430226368694,0.7,-37.84576318,0.0,-1.3962580581798401e-06,0.0,0.5375252424562424,-0.02189394873111693,-0.004323250484222484,1.9999911341346097,0.5051045016214766,0.0,0.0,-0.03520826993242635,-3.24146865326011e-09,0.0,0.0,-0.06084973928178536,227.81,0.0,0.0,0.9523752689717553,0.7385201454162598,0.00347284,0.2,36,1.0015430450439453,0.00867919921875,0.000299668224,-0.009608667017892003,301.5175445556641,128.92823791503906,-36.91141567230225,,,,,
