curriculum/eff_scale,reward_terms/action_rate,reward_terms/duty_sym,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/residual_rate,reward_terms/step_rate,reward_terms/alive,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/stop,reward_terms/torque,reward_terms/coef_rate,rollout/ep_len_mean,reward_terms/height,curriculum/stance_ratio,reward_terms/foot_ahead,reward_terms/angmom,reward_terms/hip_roll,reward_terms/energy,reward_terms/overrun,reward_terms/upright,reward_terms/clearance,reward_terms/phase_contact,reward_terms/assist_pen,reward_terms/stance_time,reward_terms/foot_slip,reward_terms/vz,rollout/ep_rew_mean,reward_terms/residual,reward_terms/time,reward_terms/ang_xy,ankle/ankle_spring_trq_peak,reward_terms/stance,ankle/ankle_defl_peak,curriculum/sprint_dist_m,time/time_elapsed,reward_terms/lat_vel,time/fps,reward_terms/motor_vel,time/total_timesteps,ankle/ankle_spring_energy_peak,curriculum/ent_coef,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction
0.24166425,-0.045643119740612415,-0.03793501546688912,0.0,0.0034581132996309963,0.0,-0.007367621527777823,0.0,0.0,1.1058641940922334,0.0,-0.06922235246078007,-0.26002436856229105,179.41,-0.031114000095677122,0.5944172225000001,0.0,-0.10899911771019394,-0.024000340755072427,-0.007088395274267413,0.0,-0.15294012994633854,0.09720666205722145,-0.10232385378190359,0.0,-0.008503642689902335,-0.15926002691763302,-0.10877108349888537,-97.32425007999998,-0.10474599642836237,-0.5,-0.14837616583039337,0.0,-8.518251826488747e-05,0.5190735324526882,61.2496375,6,-2.2401133527035767e-08,2901,-0.0010780646284436705,58017852,0.0,0.01,1,,,,,,,,,,,
0.24174105,-0.042528945625370324,-0.04832312421300013,0.0,0.004285478201280866,0.0,-0.007573784722222256,0.0,0.0,1.350524467076043,0.0,-0.06833808336727713,-0.20411800264711696,198.75,-0.037999814074466245,0.5943995585,0.0,-0.11624814764026187,-0.023233339038305496,-0.00696049618940305,0.0,-0.15373837376583033,0.09792185158742002,-0.09724288312761979,0.0,-0.010586015068434386,-0.12739468553959915,-0.12885334576315005,-92.05365931,-0.10518211770406018,-0.5,-0.14036092327706837,0.0,-7.22345834810309e-05,0.5193458410965265,61.2611575,11,-2.260758892119688e-08,3272,-0.0010641269380915767,58036284,0.0,0.01,2,3.0333604753017425,12477,0.2,0.00027099107399999997,0.33100956678390503,0.9577900767326355,0.9890522956848145,-0.009177156840451062,-33.724113655090335,0.011304512,0.0967041015625
0.24181785,-0.0426810442023832,-0.051540489150323415,0.0,0.004166663288035327,0.0,-0.007573784722222256,0.0,0.0,1.34699274358984,0.0,-0.06873869703049892,-0.20689246822211763,198.67,-0.0384643054394081,0.5943818945,0.0,-0.11585829274713391,-0.02376341676267478,-0.007129988730427254,0.0,-0.15466347092842223,0.09918826845315534,-0.09716063238514333,0.0,-0.010975960941222083,-0.12558969687139965,-0.13021230538480502,-92.03518357000003,-0.10541952012454231,-0.5,-0.14208873630033725,0.0,-6.688930454716357e-05,0.5192483687113176,61.2726775,15,-2.2858905380314312e-08,3508,-0.001083496758793484,58054716,0.0,0.01,3,0.165884268656373,12481,0.2,0.000270981858,-0.2879031002521515,0.9988456964492798,0.9897785186767578,-0.013157803250942379,-33.73002967834473,0.020048771,0.17978515625
0.24189465,-0.04270095317146859,-0.04495133188810992,0.0,0.004189449349521763,0.0,-0.0077799479166666885,0.0,0.0,1.3365387850105996,0.0,-0.06946360471884887,-0.21198142140664666,196.93,-0.037581794634546556,0.5943642305,0.0,-0.11503816243921558,-0.02418889502396675,-0.007127485815775996,0.0,-0.15177020137303943,0.09934471867574485,-0.09761428455508663,0.0,-0.009684868239370795,-0.1279631320416838,-0.1279577236433594,-91.41831296999999,-0.10570208151470212,-0.5,-0.14487979925419828,0.0,-3.713776479409475e-05,0.5199822136803304,61.2841975,20,-2.286928155438783e-08,3640,-0.0010872372974677351,58073148,0.0,0.01,4,0.04913976769894361,12485,0.2,0.000270972642,-0.3439769446849823,0.9996734857559204,0.98973149061203,-0.014417006983421743,-33.734647560119626,0.018881297,0.2092529296875
0.24197145,-0.04200365984369747,-0.0460741544522427,0.0,0.0041563545625346405,0.0,-0.007530381944444479,0.0,0.0,1.3389482128540184,0.0,-0.06967508074497947,-0.20890019115891212,196.93,-0.03762916790420527,0.5943465665000001,0.0,-0.1147512306126765,-0.02427566136003109,-0.007129444761445554,0.0,-0.15126714364318042,0.09953906136892181,-0.09574445587668917,0.0,-0.00951085092997851,-0.12471333193823256,-0.12739044628535476,-91.47530063000004,-0.10555109768361184,-0.5,-0.14480923501987528,0.0,-4.1065312146019855e-05,0.5201929053984278,61.2957175,24,-2.271502984657291e-08,3721,-0.0010877074212703513,58091580,0.0,0.01,5,0.035028208140283824,12489,0.2,0.000270963426,-0.3533118963241577,0.9997572898864746,0.9897364974021912,-0.016992807073984297,-33.73462085723877,0.021840949,0.21021728515625
0.24204825,-0.04187519876804684,-0.046486102464197716,0.0,0.004155269759293232,0.0,-0.007335069444444491,0.0,0.0,1.3394263911549353,0.0,-0.0681737553978091,-0.2039365843988796,197.83,-0.03734547486311048,0.5943289025,0.0,-0.11367718794194176,-0.0231955888679419,-0.006925906395694198,0.0,-0.14912550533087815,0.09864604770036252,-0.09528634988462246,0.0,-0.00997810734811032,-0.1247235854550665,-0.1264623592858494,-91.66123108000004,-0.10541878570229214,-0.5,-0.14235788487430678,0.0,-4.385985425016693e-05,0.5194989053159567,61.3072375,29,-2.2658041875556044e-08,3783,-0.0010574950126005477,58110012,0.0,0.01,6,0.05301065687090158,12493,0.2,0.00027095421,-0.34020254015922546,0.9995966553688049,0.989989161491394,-0.013398691837210208,-33.73803653717041,0.020239653,0.20980224609375
0.24212505,-0.041874515985848376,-0.04404289755844761,0.0,0.0041867365135759525,0.0,-0.007508680555555593,0.0,0.0,1.3609260532506366,0.0,-0.06905526376099662,-0.2031235832547199,197.18,-0.038638526560956094,0.5943112385,0.0,-0.1174077670128954,-0.023066550681250554,-0.00702281219869091,0.0,-0.15468260587044386,0.10012945228476683,-0.09701699124811378,0.0,-0.009823349582600512,-0.12822305686083724,-0.1309567157799132,-91.71705058000002,-0.10550105885704443,-0.5,-0.14338180445008236,0.0,-5.14431613539556e-05,0.5206294726847724,61.318757500000004,33,-2.313026213487992e-08,3824,-0.0010677801784524095,58128444,0.0,0.01,7,0.031115743983536958,12497,0.2,0.000270944994,-0.3590140640735626,0.9998073577880859,0.9898473620414734,-0.016436909209005535,-33.738190269470216,0.021710042,0.21220703125
0.24220185,-0.04237376262083209,-0.03804653899675707,0.0,0.004078771957817177,0.0,-0.0076497395833333625,0.0,0.0,1.3435677189962658,0.0,-0.0705930185443734,-0.21418137546874483,193.88,-0.03855383077651556,0.5942935745,0.0,-0.1182447080923412,-0.024418225318590843,-0.007210551973794752,0.0,-0.15321681791680458,0.10118341876375612,-0.09812423410348468,0.0,-0.00826424593752664,-0.12961063292509473,-0.13109804268917283,-90.96378133,-0.10578097348682251,-0.5,-0.15047035717777557,0.0,-7.423262139953504e-05,0.5216827019729029,61.3302775,38,-2.3248169408446025e-08,3857,-0.0011013147568422557,58146876,0.0,0.01,8,0.0500052297487855,12501,0.2,0.00027093577799999996,-0.3412073254585266,0.9996644854545593,0.9896240234375,-0.014638678985647857,-33.73148746490479,0.027234104,0.22510986328125
0.24227865,-0.04230104906435261,-0.041333754987035454,0.0,0.004095048394649186,0.0,-0.007628038194444474,0.0,0.0,1.3549323479272717,0.0,-0.07000055713519232,-0.20548517878212486,195.96,-0.03854021985193071,0.5942759105000001,0.0,-0.11712476784300573,-0.02326858169626399,-0.007102468360277134,0.0,-0.15221252492471582,0.09952184908772466,-0.09831186112623982,0.0,-0.009704942207059098,-0.13297051075653354,-0.12909362883020525,-91.53222161,-0.10571737185396536,-0.5,-0.14367943253380336,0.0,-8.639525773914738e-05,0.5193220887162946,61.3417975,42,-2.314177283979417e-08,3881,-0.0010852512777381812,58165308,0.0,0.01,9,0.042658415250480176,12505,0.2,0.000270926562,-0.34138643741607666,0.9997385740280151,0.9897696375846863,-0.014811391336843371,-33.73497009277344,0.024402555,0.22581787109375
0.24235545,-0.04249789545406675,-0.039441471142018694,0.0,0.004075516956315066,0.0,-0.007617187500000031,0.0,0.0,1.3364732867465556,0.0,-0.0699358319064192,-0.20679796179450055,193.7,-0.03756485053233445,0.5942582465,0.0,-0.11626236490748752,-0.024155936116034355,-0.0071872365707008785,0.0,-0.14994428190715703,0.0999663524758006,-0.09698715717065588,0.0,-0.008590715387577398,-0.12923603207678475,-0.1270942645936704,-91.33216829000001,-0.10585963296339757,-0.5,-0.1471965070922846,0.0,-3.498202642088126e-05,0.5191098951986678,61.3533175,47,-2.4267611658802445e-08,3903,-0.0010935649185408673,58183740,0.0,0.01,10,0.12174892704933882,12509,0.2,0.000270917346,-0.32557085156440735,0.9988293647766113,0.990128755569458,-0.010339198290603235,-33.736252784729004,0.025084278,0.222998046875
