reward_terms/residual_rate,curriculum/ctrl_jitter_ms,reward_terms/stand,reward_terms/torque,curriculum/ctrl_drop_prob,time/iterations,curriculum/eff_scale,reward_terms/clearance,reward_terms/track_lin,ankle/ankle_spring_energy_peak,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/angmom,curriculum/cmd_scale,reward_terms/stand_drift,reward_terms/fwd_speed,reward_terms/alive,reward_terms/step_rate,reward_terms/lat_vel,time/time_elapsed,reward_terms/foot_ahead,reward_terms/hip_roll,reward_terms/stance,reward_terms/motor_vel,reward_terms/residual,est/vel_rmse,curriculum/dr_scale,rollout/ep_len_mean,reward_terms/assist_pen,reward_terms/stance_time,curriculum/swing_frac_min,reward_terms/height,time/total_timesteps,ankle/ankle_defl_peak,reward_terms/time,ankle/ankle_spring_trq_peak,curriculum/swing_frac_mean,curriculum/stance_ratio,reward_terms/phase_contact,reward_terms/vz,reward_terms/stop,reward_terms/energy,rollout/ep_rew_mean,reward_terms/ang_xy,reward_terms/overrun,reward_terms/duty_sym,curriculum/cmd_track_err,reward_terms/action_rate,time/fps,reward_terms/air_time,reward_terms/coef_rate,reward_terms/upright,reward_terms/track_yaw,train/clip_range,train/n_updates,train/explained_variance,train/std,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,curriculum/stance_ratio_progress,curriculum/dr_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress
0.0,0.0,0.3324393536910999,0.0,0.0,1,0.0,0.024662386243697237,0.4739618696333696,0.0,-0.3985787735440288,0.01,-0.2846949667756344,0.0,-0.023634620649298024,0.0,0.0,-0.005305989583333379,-1.0305390606473369e-08,2,0.0,-0.027586207836793282,-0.005198294830270373,0.0,-0.09220327715453401,1.0850983265741614,0.0,143.7865168539326,0.0,-0.00024020603612168797,0.22867838541666666,-0.023262821103626163,18432,0.5052001403247325,0.0,0.0,0.40478515625,0.7,-0.04401013915178627,-0.12935527744618608,0.0,0.0,-83.45743260674158,-0.1290489904889193,0.0,-0.0027302278582617663,0.9292626537221601,-0.12100307729506274,8618,0.0001378036265830613,-0.9126705321649676,-0.45242482906921844,1.9997943898195858,,,,,,,,,,,,,,,,
0.0,0.0,0.29860357790969844,0.0,0.0,2,0.0,0.0,0.41464096662859135,0.0,-0.29167851059170813,0.01,-0.28669382574349767,0.0,-0.05104716298653054,0.0,0.0,-0.004687500000000037,-6.8574063782929215e-09,3,0.0,-0.01616489291013594,-0.002604726036323059,0.0,-0.09123415320866644,0.7657693610039983,0.0,160.47,0.0,0.0,0.20350477430555555,-0.03288644424282056,36864,0.5052288589819042,0.0,0.0,0.4259982638888889,0.7,0.0,-0.149348109695765,0.0,0.0,-79.3413834,-0.13150163980200957,0.0,-0.008830377570078523,0.7327940893294086,-0.12593044197525238,9406,0.0,-0.9279899426290987,-0.6490087925985216,1.9998726386954928,0.2,21705,0.8552262187004089,0.9986590147018433,0.28361306,-36.857486724853516,1692.326171875,3385.10400390625,0.14269663393497467,0.00029995392,0.748291015625,,,,,
0.0,0.0,0.29195144145634844,0.0,0.0,3,0.0,0.0,0.40332695850570777,0.0,-0.27073289285631763,0.01,-0.2920036314366359,0.0,-0.06291295382188491,0.0,0.0,-0.005110677083333377,-8.929162161974946e-09,6,0.0,-0.017747670685994348,-0.0021014790313894347,0.0,-0.09102052072725407,0.5911804866856702,0.0,161.79,0.0,0.0,0.2316623263888889,-0.03683889119426195,55296,0.5052404559592868,0.0,0.0,0.44344075520833337,0.7,0.0,-0.16526753808731975,0.0,0.0,-78.71969566,-0.13516671235432165,0.0,-0.012230964246625096,0.7447732274571709,-0.12843787936411405,9052,0.0,-0.9167893606914203,-0.6966315314151358,1.9998076288833124,0.2,21709,0.865170955657959,0.998637855052948,0.024323726,-36.856044960021975,498.1462097167969,2002.4388763427735,0.017272324697114528,0.00029990784,0.32777099609375,,,,,
0.0,0.0,0.29844945875249507,0.0,0.0,4,0.0,0.0,0.4186996000915343,0.0,-0.28934025505791,0.01,-0.2841696298826916,0.0,-0.057396659917888275,0.0,0.0,-0.004763454861111149,-8.027600055700877e-09,8,0.0,-0.01596222044600844,-0.0013993773654405028,0.0,-0.09047092031242987,0.48866487310502377,0.0,157.13,0.0,0.0,0.2589518229166667,-0.03512333816823869,73728,0.5051828550835614,0.0,0.0,0.43294270833333337,0.7,0.0,-0.1643619528968738,0.0,0.0,-78.89917443,-0.13403188760561924,0.0,-0.009461366102762906,0.6238927349563683,-0.13208259673010653,8646,0.0,-0.9139019226922053,-0.6651263498276471,1.9998338541295138,0.2,21713,0.9336495399475098,0.9987806677818298,0.009234251,-36.85763053894043,232.87081909179688,1276.8368789672852,0.0036571106931660323,0.00029986176,0.18782958984375,,,,,
0.0,0.0,0.3068553997379171,0.0,0.0,5,0.0,0.0,0.4285230163030892,0.0,-0.26662278228589353,0.01,-0.2774618656904464,0.0,-0.058087675478531095,0.0,0.0,-0.0045247395833333676,-8.519633145632366e-09,11,0.0,-0.015324655098684171,-0.002331088876379141,0.0,-0.09051676437204921,0.42766481643922216,0.0,153.39,0.0,0.0,0.2584635416666667,-0.033904540326404775,92160,0.5050933645282145,0.0,0.0,0.44124348958333337,0.7,0.0,-0.1545582042377495,0.0,0.0,-77.60757806000001,-0.1315624192090733,0.0,-0.010044334655319086,0.620589403131956,-0.1301336942905008,8180,0.0,-0.897426310477431,-0.6572728783354553,1.999862187990364,0.2,21717,0.942737877368927,0.9990031123161316,0.006807202,-36.862195777893064,341.1080627441406,1451.7026458740233,-0.002178082778118551,0.00029981568,0.10504150390625,,,,,
0.0,0.0,0.3128120664691965,0.0,0.0,6,0.0,0.0,0.432812121355919,0.0,-0.2625802538499302,0.0099963136,-0.2601737272551866,0.0,-0.06003693634349751,0.0,0.0,-0.004144965277777805,-7.826762785126406e-09,14,0.0,-0.018122569665807102,-0.004551103355733649,0.0,-0.09094509763430612,0.35814412420449093,0.0,160.03,0.0,0.0,0.23258463541666666,-0.03165753241627128,110592,0.5052286994263654,0.0,0.0,0.4360080295138889,0.7,0.0,-0.14890889000318097,0.0,0.0,-75.76751073999999,-0.12445940472602425,0.0,-0.01585837251299323,0.6434408638524629,-0.13068841889908595,7839,0.0,-0.8902464536085337,-0.6326620836416708,1.9998900358544813,0.2,21721,0.9397934675216675,0.9991114735603333,0.007427778,-36.86612033843994,241.9491729736328,1108.3208267211915,-0.0059061941632535305,0.00029976959999999996,0.04879150390625,,,,,
0.0,0.0,0.3068351390615034,0.0,0.0,7,0.0,0.0,0.4235431142732502,0.0,-0.2553742156416312,0.0099926272,-0.2749597967112822,0.0,-0.060838862131002175,0.0,0.0,-0.004416232638888923,-8.29791346601732e-09,16,0.0,-0.01870899787608318,-0.003156140454397689,0.0,-0.09123078582540534,0.37168343522572334,0.0,160.75,0.0,0.0,0.23985460069444445,-0.034153309915038677,129024,0.5051075565964362,0.0,0.0,0.4518771701388889,0.7,0.0,-0.1577801604229037,0.0,0.0,-76.70859606,-0.12524722167085964,0.0,-0.013254539565099099,0.7006274652098203,-0.12917932813455058,7638,0.0,-0.9281921980992264,-0.6620452252870879,1.9998700215985674,0.2,21725,0.9326431155204773,0.9992431998252869,0.008099131,-36.86868762969971,182.5838623046875,917.8258666992188,-0.006698962557129562,0.00029972352,0.0576171875,,,,,
0.0,0.0,0.29503883515428997,0.0,0.0,8,0.0,0.0,0.41198685463020923,0.0,-0.26298659692577186,0.0099889408,-0.291294193194903,0.0,-0.06643670229664385,0.0,0.0,-0.004676649305555591,-1.02546861118356e-08,19,0.0,-0.02071396706072121,-0.003567946189051723,0.0,-0.09095212246295933,0.34608705397903106,0.0,159.59,0.0,0.0,0.2322048611111111,-0.03869857208817246,147456,0.505080873220441,0.0,0.0,0.4589301215277778,0.7,0.0,-0.1735609381458328,0.0,0.0,-78.72494406999999,-0.13791830627511836,0.0,-0.021574687449732663,0.6171226258762703,-0.13222888804516206,7422,0.0,-0.9003425629566666,-0.6778381624474239,1.999822974586453,0.2,21729,0.9185762405395508,0.9994274973869324,0.009496105,-36.871829986572266,178.3219757080078,771.1851699829101,-0.00970284575014375,0.00029967744,0.05509033203125,,,,,
0.0,0.0,0.28048014001823723,0.0,0.0,9,0.0,0.0,0.39404115155046937,0.0,-0.2563201589957884,0.0099852544,-0.28157527696513635,0.0,-0.060652256799184096,0.0,0.0,-0.003993055555555583,-8.52820165744384e-09,22,0.0,-0.019996240784294697,-0.004955217203559476,0.0,-0.09098665541473798,0.3392911452113286,0.0,156.74,0.0,0.0,0.2507595486111111,-0.03390052502603324,165888,0.5049552755202111,0.0,0.0,0.4430609809027778,0.7,0.0,-0.16216331952309812,0.0,0.0,-76.19277237,-0.12742875814656088,0.0,-0.015640767821878822,0.6448262692916092,-0.13084378494760515,7263,0.0,-0.8946845834618499,-0.6315862369070534,1.9998644926280724,0.2,21733,0.9054412245750427,0.9998228549957275,0.008031165,-36.87785968780518,157.8902587890625,619.5821197509765,-0.011062938161194325,0.00029963136,0.05614013671875,,,,,
0.0,0.0,0.3123001845335842,0.0,0.0,10,0.0,0.0,0.4388948049023618,0.0,-0.26956316785568746,0.009981568,-0.27172593539995527,0.0,-0.05895508310421755,0.0,0.0,-0.004687500000000037,-9.121158611845442e-09,25,0.0,-0.019387077154404988,-0.008582196167709107,0.0,-0.09052491868216017,0.32377422836770814,0.0,159.43,0.0,0.0,0.2645399305555556,-0.033375303220198466,184320,0.5051836719925459,0.0,0.0,0.4346245659722222,0.7,0.0,-0.1578416968021201,0.0,0.0,-76.17989213000001,-0.13088205329993197,0.0,-0.014276338394282455,0.7360944047115042,-0.13174972237022942,7134,0.0,-0.8954750490284744,-0.6095416352163165,1.9998640921064583,0.2,21737,0.8889405131340027,1.0000903606414795,0.011191122,-36.88450889587402,97.99197387695312,433.5143157958984,-0.013105477509088814,0.00029958527999999996,0.08040771484375,,,,,
