reward_terms/overrun,reward_terms/clearance,ankle/ankle_spring_energy_peak,curriculum/sprint_dist_m,reward_terms/air_time,reward_terms/coef_rate,reward_terms/phase_contact,ankle/ankle_defl_peak,rollout/ep_len_mean,reward_terms/stance_time,ankle/ankle_spring_trq_peak,reward_terms/stop,reward_terms/step_rate,curriculum/eff_scale,reward_terms/duty_sym,rollout/ep_rew_mean,reward_terms/energy,time/total_timesteps,curriculum/stance_ratio,reward_terms/motor_vel,reward_terms/vz,curriculum/ctrl_jitter_ms,time/fps,reward_terms/alive,reward_terms/height,reward_terms/lat_vel,reward_terms/assist_pen,reward_terms/residual,reward_terms/upright,reward_terms/torque,reward_terms/stance,reward_terms/foot_ahead,reward_terms/action_rate,time/iterations,curriculum/ctrl_drop_prob,reward_terms/foot_slip,reward_terms/residual_rate,reward_terms/ang_xy,time/time_elapsed,reward_terms/time,reward_terms/angmom,curriculum/ent_coef,reward_terms/hip_roll,reward_terms/fwd_speed,train/loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate,train/clip_range,train/std,train/n_updates,train/value_loss,train/entropy_loss,train/policy_gradient_loss
0.0,0.09927691267175708,0.0,59.99965,0.0029698319138131207,-0.3845347381446087,-0.20728671117703412,0.5245342810486282,196.24,-0.01235644259819916,0.0,0.0,-0.009678819444444358,0.233331,-0.025222692105320688,-94.59935248000002,-0.011188129735833075,56017872,0.59633387,-0.001992373257848133,-0.1312612541357678,0.0,2368,0.0,-0.025602871389190048,-2.729525041340245e-08,0.0,-0.10539913152195025,-0.15657088928848378,-0.11602949758874487,-0.039038185899453584,0.0,-0.04874108664894314,1,0.0,-0.2738804908806355,0.0,-0.27184959162376354,7,-0.5,-0.11742478954637305,0.01,-0.009014021493408927,1.1587906799113057,,,,,,,,,,,
0.0,0.11132014181645983,0.0,60.01117,0.0036219578727872837,-0.31718719289911734,-0.1575147945445646,0.5222243858843482,211.82,-0.012173740615253337,0.0,0.0,-0.00795355902777779,0.2334078,-0.02499422401935654,-86.8473424,-0.010579053147571186,56036304,0.596316206,-0.0018692450103808451,-0.14538083227791432,0.0,2677,0.0,-0.03084693319024275,-2.45353246982892e-08,0.0,-0.10606238943630611,-0.16729810123561153,-0.11258756389114495,-0.037854846251962074,0.0,-0.045073251265081146,2,0.0,-0.2153276576247558,0.0,-0.2529538943414132,13,-0.5,-0.11193487260512029,0.01,-0.0085243646689982,1.4753879074152811,0.7846444845199585,0.9580090641975403,0.20546875,0.01966818,0.000271991064,0.2,1.0011634826660156,12092,5.8158877968788145,-34.07039470672608,-0.005472062760964036
0.0,0.11100685183341417,0.0,60.02269,0.003400061363613026,-0.32612500655493226,-0.15993773922586188,0.5243358859180334,210.62,-0.012225552295502793,0.0,0.0,-0.00826822916666666,0.2334846,-0.02402812139710396,-86.25010004999999,-0.010879621975923095,56054736,0.596298542,-0.0019212822303366053,-0.1476694683126189,0.0,3027,0.0,-0.031354598340617,-2.499885232601402e-08,0.0,-0.10629013007752725,-0.16920768774186212,-0.11551879890053857,-0.04210982023021363,0.0,-0.045877739359182705,3,0.0,-0.2195778809191543,0.0,-0.2618674509116092,18,-0.5,-0.11303875240480399,0.01,-0.009287835763095685,1.4700876601705406,-0.2164703756570816,0.9983120560646057,0.1746337890625,0.017834434,0.000271981848,0.2,1.0011732578277588,12096,0.36125506162643434,-34.06615772247314,-0.01704189241863787
0.0,0.1102469089127945,0.0,60.03421,0.0034109121576572457,-0.34104521321636677,-0.1666438143601807,0.5240984491442864,211.16,-0.012430902020747049,0.0,0.0,-0.008626302083333308,0.2335614,-0.02661915093800202,-87.64596093,-0.011168366692899577,56073168,0.596280878,-0.0019887087658437465,-0.14273133235216726,0.0,3237,0.0,-0.029977892952271736,-2.54886764504401e-08,0.0,-0.1062378121533139,-0.16312005727512596,-0.11791707052342762,-0.041712289486199636,0.0,-0.04724905861374286,4,0.0,-0.23109159064113782,0.0,-0.27061762150518426,22,-0.5,-0.1159728496814904,0.01,-0.00943205263799355,1.423887633505961,-0.18072402477264404,0.9985279440879822,0.2518310546875,0.02438266,0.00027197263199999996,0.2,1.0020736455917358,12100,0.3291315771639347,-34.07602100372314,-0.013169191480847076
0.0,0.11113128667545978,0.0,60.04573,0.0035139936953783035,-0.3282422213628265,-0.16227615370567183,0.5237980198419738,209.39,-0.013161286260583438,0.0,0.0,-0.008279079861111104,0.2336382,-0.0284237160758447,-87.65951281000001,-0.01089381974209886,56091600,0.596263214,-0.0019331694405519942,-0.14592300132193312,0.0,3380,0.0,-0.0313540226085808,-2.4973862912063407e-08,0.0,-0.10618938230441563,-0.1690297104094333,-0.1146911842192771,-0.042919614133420055,0.0,-0.04586672567350439,5,0.0,-0.22262826595396593,0.0,-0.2589430512057596,27,-0.5,-0.11386424669339716,0.01,-0.009647614625552088,1.4637805447578536,0.7651750445365906,0.9922439455986023,0.21358642578125,0.019687323,0.000271963416,0.2,1.0020229816436768,12104,1.730488270521164,-34.0769926071167,-0.009372707211878151
0.0,0.1079406936021102,0.0,60.05725,0.0035763850707250335,-0.331158052879448,-0.16566232640170664,0.5238713945232505,212.23,-0.013099302245084092,0.0,0.0,-0.008474392361111091,0.233715,-0.02706318607357396,-87.70501653000001,-0.010969026661219084,56110032,0.59624555,-0.0019438999583827185,-0.14882894725347384,0.0,3487,0.0,-0.031419013215283884,-2.4365610587987478e-08,0.0,-0.10639567866479777,-0.1691816744593192,-0.11547595487506047,-0.04056926258277848,0.0,-0.046318807333844914,6,0.0,-0.21871563580548598,0.0,-0.2616396212710344,31,-0.5,-0.11150991312049101,0.01,-0.009494779820411227,1.4566677853598415,0.9338556528091431,0.9885545969009399,0.13507080078125,0.017415758,0.0002719542,0.2,1.0014111995697021,12108,2.22005589902401,-34.07250213623047,-0.008344385051168501
0.0,0.10940470649443226,0.0,60.06877,0.0035633642983157188,-0.3245976216625314,-0.15938041234136924,0.5249497739259352,214.31,-0.012069573923428025,0.0,0.0,-0.00846354166666665,0.2337918,-0.027309088144421876,-87.63000874,-0.010752224178221411,56128464,0.596227886,-0.0019038269356270489,-0.14473966878473135,0.0,3561,0.0,-0.030480430848414675,-2.40646136449677e-08,0.0,-0.10635104094138584,-0.1685116313736824,-0.11278955775394446,-0.04191855301235782,0.0,-0.04593433592678669,7,0.0,-0.21724975511519004,0.0,-0.2562817524477456,36,-0.5,-0.11043529330229408,0.01,-0.009911521785209779,1.4544041047283847,-0.2159067690372467,0.997887372970581,0.16077880859375,0.01964667,0.000271944984,0.2,1.0012644529342651,12112,0.3472328677773476,-34.06796855926514,-0.01621410852530971
0.0,0.10847897306153047,0.0,60.08029,0.003491207271710866,-0.33273588022863215,-0.16351884439390274,0.524673707042624,213.91,-0.0121277620443531,0.0,0.0,-0.008539496527777756,0.2338686,-0.027511757432118197,-88.15626296000002,-0.01085466601891192,56146896,0.5962102220000001,-0.0019189498178048122,-0.14257745268979927,0.0,3624,0.0,-0.029759538790655467,-2.3987582422138297e-08,0.0,-0.10649272368437444,-0.1661782787124641,-0.11423615888556392,-0.04986160846695093,0.0,-0.04579671109645249,8,0.0,-0.2216570401353374,0.0,-0.25888519355474393,40,-0.5,-0.10895906401560289,0.01,-0.010543305397366233,1.4332964682160287,-0.27648961544036865,0.998589277267456,0.2343994140625,0.02992791,0.00027193576799999997,0.2,1.0021469593048096,12116,0.24369122982025146,-34.07647075653076,-0.015539559652097523
0.0,0.1088142755312841,0.0,60.09181,0.003425560584421166,-0.33809786247748463,-0.16487887755760774,0.525648557087855,210.91,-0.011895014522855895,0.0,0.0,-0.00857204861111109,0.2339454,-0.028426914428421896,-87.80745498999998,-0.011063214612348405,56165328,0.596192558,-0.001962218486190105,-0.14893138651823745,0.0,3671,0.0,-0.031195479187059887,-2.4420632136862048e-08,0.0,-0.10647817372332033,-0.17185411919159077,-0.1164748765032168,-0.04360381418759873,0.0,-0.04547070289538661,9,0.0,-0.23253336915045214,0.0,-0.2624749271579599,45,-0.5,-0.11444088756242568,0.01,-0.00990276014546448,1.4420649133554826,0.213753342628479,0.9928560256958008,0.2687255859375,0.033128068,0.000271926552,0.2,1.002041220664978,12120,1.3512163639068604,-34.078986930847165,-0.0055824342998676
0.0,0.10795473298382695,0.0,60.10333,0.0036903173960227934,-0.32101932790586507,-0.16339619704903996,0.5235795332888522,216.11,-0.01378709776165326,0.0,0.0,-0.008648003472222193,0.2340222,-0.029444676266653425,-87.86071184000002,-0.01086312263804358,56183760,0.596174894,-0.0019193972171461997,-0.14746891573253465,0.0,3712,0.0,-0.031457999965179714,-2.4171183569088023e-08,0.0,-0.10641104630195192,-0.16976921965692607,-0.11417782987260024,-0.042478497429228816,0.0,-0.04581512751309038,10,0.0,-0.22323348805463716,0.0,-0.2544859666493537,49,-0.5,-0.10873184738348157,0.01,-0.009747056172856525,1.4541757565393125,0.4665040671825409,0.9891533255577087,0.1548583984375,0.02101046,0.000271917336,0.2,1.0014746189117432,12124,2.2077757716178894,-34.0712345123291,-0.009758979629259557
