reward_terms/progress,reward_terms/track_yaw,time/iterations,reward_terms/alive,reward_terms/fwd_speed,reward_terms/yaw_rate,reward_terms/lat_vel,reward_terms/height,reward_terms/stance,reward_terms/upright,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/track_vx,reward_terms/torque,curriculum/ent_coef,reward_terms/pos_pen,reward_terms/ang_xy,rollout/ep_len_mean,reward_terms/track_pos,reward_terms/heading_pen,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,reward_terms/vz,reward_terms/track_heading,reward_terms/hip_roll,reward_terms/air_time,time/fps,reward_terms/clearance,reward_terms/action_rate,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/std,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/value_loss,train/n_updates
0.0,0.0,1,0.5,0.014001651782463377,0.0,-2.2790422511499433e-08,-0.12065017517372491,-0.0005808743427518276,-0.7104808918604179,-0.3157059476246801,-0.05089853396169281,0.0,-0.22268746080598176,0.01,0.0,-0.24631080023895438,4.25,0.0,0.0,-107.32626691,6144,19,-0.48312008034855053,0.0,-0.11114245545964739,4.621393872175668e-06,316,0.053288659137680806,-0.01195469342131144,,,,,,,,,,,
0.0,0.0,2,0.5,0.014767617927617676,0.0,-2.1437209509737442e-08,-0.12199548459646135,-0.0004956172593865645,-0.7167186992499541,-0.3102180229086798,-0.05325045231019038,0.0,-0.21954091306774348,0.01,0.0,-0.24286108822450556,4.29,0.0,0.0,-107.18979456000001,12288,38,-0.48848481208464345,0.0,-0.10830802440442865,1.0772498784496911e-05,322,0.053006426032225946,-0.011764740885103186,-19.739439010620117,0.22514163050800562,0.0002998976,16.33708381652832,0.8566794395446777,0.4599609375,0.3849828243255615,0.2,2.7898126,34.636451721191406,6219
0.0,0.0,3,0.5,0.016340033860957528,0.0,-2.1752902279918976e-08,-0.11637767211348234,-0.0002521770689979591,-0.7688684324232086,-0.30213054658155286,-0.05337231268341002,0.0,-0.2105017441644131,0.01,0.0,-0.24252194111346895,4.3,0.0,0.0,-107.49263038999999,18432,56,-0.48263886114286064,0.0,-0.10508234575441101,8.275534449618606e-06,325,0.05083639202831681,-0.01137338917025931,-19.73995018005371,0.23316822154447436,0.00029979519999999996,17.37491798400879,0.8567001223564148,0.4755859375,0.38096195459365845,0.2,2.9539058,34.31545639038086,6220
0.0,0.0,4,0.5,0.008839160657097339,0.0,-1.89854535511715e-08,-0.11888920628672543,-0.00022200763047871587,-0.7996674413562125,-0.2990396583490165,-0.05387039257416503,0.0,-0.20849522419564592,0.01,0.0,-0.23818008142092037,4.4,0.0,0.0,-107.49918133,24576,75,-0.4754167416582209,0.0,-0.09861462459024889,6.030269665574402e-06,325,0.04959218397606872,-0.011000809412063377,-19.74038600921631,0.22357159946113825,0.0002996928,17.503299713134766,0.8567201495170593,0.4619140625,0.3854663372039795,0.2,2.7080488,35.53301239013672,6221
0.0,0.0,5,0.5,0.013826486365505104,0.0,-1.6297671479467936e-08,-0.11727273194981071,-0.00040812998600937665,-0.8284747676496192,-0.30291568776162175,-0.05843751725249449,0.0,-0.20198029910786666,0.01,0.0,-0.23590034348215738,4.32,0.0,0.0,-107.79222974999999,30720,94,-0.47012797593183236,0.0,-0.09425147226792684,1.3017610434768908e-05,325,0.047083695247808637,-0.011089094901206147,-19.74077796936035,0.24861027661245316,0.0002995904,17.20683479309082,0.8567338585853577,0.4697265625,0.3803796172142029,0.2,3.3757226,35.09875297546387,6222
0.0,0.0,6,0.5,0.008356723144131621,0.0,-1.4221925608714278e-08,-0.11622615055717049,-0.00021646817254264626,-0.8517966066915025,-0.30179150754563316,-0.05920901497560102,0.0,-0.1972614026463484,0.01,0.0,-0.23129676833851862,4.14,0.0,0.0,-107.34875559999999,36864,112,-0.4657673890823735,0.0,-0.0880093379184055,1.2312092654215795e-05,326,0.045525974859570134,-0.0107438589296711,-19.741178512573242,0.31326344097033143,0.000299488,18.80040168762207,0.8567522168159485,0.4140625,0.3798949718475342,0.2,2.922587,36.2459602355957,6223
0.0,0.0,7,0.5,0.012471001916618749,0.0,-1.2847341174590951e-08,-0.11295936586660293,-0.0005026885151081143,-0.838181588096186,-0.3048338471338152,-0.06728283635586263,0.0,-0.19317185741664167,0.01,0.0,-0.24155873482236864,4.19,0.0,0.0,-107.37223676999999,43008,131,-0.46021885995178796,0.0,-0.08112941135186083,2.075478102511617e-05,326,0.0425390290490307,-0.010778581760497232,-19.74163818359375,0.17338765878230333,0.0002993856,18.09876251220703,0.856781542301178,0.4140625,0.3822559714317322,0.2,1.7807044,34.53900718688965,6224
0.0,0.0,8,0.5,0.015585279605954292,0.0,-1.2892080117529287e-08,-0.10766776377240479,-0.0002719786604414704,-0.8492231805914293,-0.31034535839946215,-0.06766594798139104,0.0,-0.1869255830202076,0.01,0.0,-0.24785805322137003,4.25,0.0,0.0,-107.2160348,49152,150,-0.4478614392905143,0.0,-0.07428075203791092,1.4716718698563757e-05,327,0.04034855118724375,-0.010779325887415475,-19.74209213256836,0.08084443397819996,0.0002992832,18.705158233642578,0.8568015098571777,0.326171875,0.3800992965698242,0.2,0.69169664,35.332550048828125,6225
0.0,0.0,9,0.5,0.02167394261948458,0.0,-1.3864567600838438e-08,-0.10180273111753073,-7.800998007727939e-05,-0.8457893425610387,-0.3173258215658422,-0.07293318992976246,0.0,-0.18144071803429526,0.01,0.0,-0.2510861570819658,4.25,0.0,0.0,-107.38198057000001,55296,168,-0.4386332366943558,0.0,-0.06518527981194047,3.8719339329430494e-05,327,0.037219867440802634,-0.01067422856470295,-19.742475509643555,0.08483717869967222,0.00029918079999999997,18.520042419433594,0.8568150401115417,0.3515625,0.3820791244506836,0.2,0.66129285,36.51840591430664,6226
0.0,0.0,10,0.5,0.034923326082601354,0.0,-9.107261832394127e-09,-0.09447084319548006,-4.741175334064573e-05,-0.8567102283841193,-0.31388857849859814,-0.06932340871080427,0.0,-0.17475709559385258,0.01,0.0,-0.2619637244265636,4.0,0.0,0.0,-106.76534251000001,61440,187,-0.42685829361035044,0.0,-0.058207162311360916,5.0429957043894954e-05,328,0.034565431767878824,-0.010561752643350889,-19.74273681640625,0.07631177455186844,0.0002990784,17.629270553588867,0.8568227291107178,0.376953125,0.3853526711463928,0.2,0.49620834,36.30767631530762,6227
