curriculum/dr_scale,ankle/ankle_defl_peak,time/iterations,curriculum/eff_scale,reward_terms/step_rate,reward_terms/stance,reward_terms/upright,reward_terms/clearance,reward_terms/angmom,reward_terms/energy,reward_terms/time,reward_terms/fwd_speed,reward_terms/stop,reward_terms/stance_time,reward_terms/hip_roll,reward_terms/torque,reward_terms/ang_xy,est/vel_rmse,time/time_elapsed,reward_terms/assist_pen,reward_terms/lat_vel,curriculum/ent_coef,reward_terms/residual,curriculum/ctrl_drop_prob,curriculum/cmd_track_err,ankle/ankle_spring_energy_peak,rollout/ep_rew_mean,time/fps,reward_terms/overrun,reward_terms/phase_contact,reward_terms/coef_rate,reward_terms/track_yaw,curriculum/cmd_scale,reward_terms/foot_ahead,reward_terms/vz,reward_terms/residual_rate,time/total_timesteps,curriculum/stance_ratio,reward_terms/action_rate,curriculum/swing_frac_mean,reward_terms/stand,reward_terms/height,curriculum/ctrl_jitter_ms,reward_terms/duty_sym,rollout/ep_len_mean,ankle/ankle_spring_trq_peak,reward_terms/track_lin,curriculum/swing_frac_min,reward_terms/alive,reward_terms/foot_slip,reward_terms/stand_drift,reward_terms/air_time,reward_terms/motor_vel,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/dr_scale_progress
0.0,0.5052024701592669,1,0.0,-0.008626302083333313,-0.08556411639525646,-0.1373537993251655,0.013298348404708183,-0.0774459857255489,0.0,0.0,0.0,0.0,-0.003781320150463014,-0.11058817072395198,0.0,-0.11409622115593734,0.3199510628563524,2,0.0,-0.12290565634364617,0.01,-0.10166052271920434,0.0,0.49559136917198854,0.0,-77.46228187719299,8235,0.0,-0.07966424737659253,-0.4846738356487784,0.49044556773120757,0.0,0.0,-0.09340220148529974,0.0,18432,0.7,-0.0749133973666083,0.21934678819444442,0.7273849774110133,-0.012197650314442619,0.0,-0.00013066570801418628,164.75438596491227,0.0,1.772070131500412,0.16004774305555555,0.0,-0.6519255549268946,-0.008877136387548477,1.356332601668934e-05,0.0,,,,,,,,,,,,,,,,
0.0,0.5046759258568391,2,0.0,-0.004893663194444483,-0.1986872377757269,-0.1226148119361356,0.0029081043892452605,-0.09835375186317534,0.0,0.0,0.0,0.0,-0.0014009584976722384,-0.19117823062232334,0.0,-0.10018252334836272,0.23617053491816029,4,0.0,-0.36013410482825226,0.01,-0.1053256568670162,0.0,0.4363464677723068,0.0,-19.722244610000004,8490,0.0,-0.0025574691477941087,-0.3854196851152235,0.42158503546989956,0.0,0.0,-0.090679165130275,0.0,36864,0.7,-0.05876150951653235,0.1317816840277778,0.7037396129994602,-0.020247119310357803,0.0,0.0,253.34,0.0,1.967821954833334,0.1294487847222222,0.0,-0.4456015929331826,-0.06187165626628445,0.0,0.0,0.2,0.00029995392,73569,-0.0015765840071253479,512.3958877563476,0.914700448513031,156.15240478515625,-36.83783016204834,0.19639892578125,0.9981380701065063,0.013861191,,,,,
0.0,0.5048180783392093,3,0.0,-0.005273437500000044,-0.24894584572724948,-0.13363209984746108,0.0,-0.09628171120824197,0.0,0.0,0.0,0.0,0.0,-0.18190153997485092,0.0,-0.09331476867723393,0.1852181182382003,6,0.0,-0.33865079093779377,0.01,-0.1054841083023406,0.0,0.3207821943269502,0.0,53.27873014000001,8427,0.0,0.0,-0.37548056401963864,0.41841657218897277,0.0,0.0,-0.1012831710427,0.0,55296,0.7,-0.05672556804224595,0.1397026909722222,0.8158884098510552,-0.024034243496987354,0.0,0.0,329.79,0.0,2.174083180308334,0.1325412326388889,0.0,-0.44184214510556596,-0.07657853638537132,0.0,0.0,0.2,0.00029990784,73573,-0.00919843789888546,207.18842086791992,0.9600315093994141,55.349082946777344,-36.84748840332031,0.10537109375,0.9986714720726013,0.0094040325,,,,,
0.0,0.505049008025826,4,0.0,-0.005067274305555596,-0.18597094823952812,-0.13469772080419332,0.0,-0.10140280787558084,0.0,0.0,0.0,0.0,0.0,-0.19640656289228203,0.0,-0.10430225118680662,0.17237311489161586,9,0.0,-0.36897568356169985,0.01,-0.10550365100954409,0.0,0.3612620484888024,0.0,63.38345565999999,8123,0.0,0.0,-0.3636152605756098,0.4133146247125136,0.0,0.0,-0.10058721784335117,0.0,73728,0.7,-0.057637260477239605,0.13926866319444445,0.7130745782630256,-0.022626302101848877,0.0,0.0,331.54,0.0,2.031893623366739,0.13709852430555555,0.0,-0.45530633953965005,-0.07432025149839812,0.0,0.0,0.2,0.00029986176,73577,-0.008481070015113801,208.27535743713378,0.9479363560676575,55.88113784790039,-36.8596134185791,0.12325439453125,0.9993309378623962,0.013269422,,,,,
0.0,0.5043731307097433,5,0.0,-0.0052625868055555984,-0.2329975584016078,-0.14291128045175516,0.0,-0.10877792321183426,0.0,0.0,0.0,0.0,0.0,-0.1877269965971166,0.0,-0.10555792294794962,0.16616570476954562,11,0.0,-0.38203728903723627,0.01,-0.1055215927167273,0.0,0.345816130955432,0.0,55.41454744,7819,0.0,0.0,-0.36615933358077424,0.41027998892753786,0.0,0.0,-0.1140799943385449,0.0,92160,0.7,-0.054997684199523014,0.1472439236111111,0.7359526230015736,-0.026092763986918333,0.0,0.0,335.62,0.0,1.9561329279089135,0.14539930555555555,0.0,-0.4024186487162169,-0.07584775550811584,0.0,0.0,0.2,0.00029981568,73581,-0.013414377812296152,147.55168342590332,0.9593982100486755,39.47553253173828,-36.873554420471194,0.14090576171875,1.0000253915786743,0.014342469,,,,,
0.0,0.5050957467225133,6,0.0,-0.005230034722222265,-0.21139147760259322,-0.1371728693586666,0.0,-0.10595728206231014,0.0,0.0,0.0,0.0,0.0,-0.17799301430622408,0.0,-0.09670750524728496,0.1503452133380257,14,0.0,-0.37773927573893545,0.01,-0.10547214738137663,0.0,0.31194991014302637,0.0,55.31548544999999,7460,0.0,0.0,-0.36450627656724655,0.4149337921133927,0.0,0.0,-0.1037783208083761,0.0,110592,0.7,-0.05501040160310533,0.1401095920138889,0.7298165748674514,-0.023854780142677015,0.0,0.0,320.25,0.0,2.0316756638091884,0.1382378472222222,0.0,-0.42345417607128727,-0.06852179799777652,0.0,0.0,0.2,0.00029976959999999996,73585,-0.015627030888572334,115.96444835662842,0.9652793407440186,25.891376495361328,-36.884933662414554,0.1532958984375,1.0004006624221802,0.017665625,,,,,
0.0,0.5048312628880997,7,0.0,-0.004828559027777814,-0.2678884099080594,-0.1390943688799936,0.0,-0.0981886379590607,0.0,0.0,0.0,0.0,0.0,-0.17428950374421992,0.0,-0.09569755194746725,0.14334098323749064,17,0.0,-0.3572874745681168,0.01,-0.10576362093472287,0.0,0.30145597409159386,0.0,59.43938657,7228,0.0,0.0,-0.3720374333193017,0.42698066604251905,0.0,0.0,-0.09718638690788811,0.0,129024,0.7,-0.05479798701939912,0.1316460503472222,0.7069490016279791,-0.023881053099345274,0.0,0.0,324.92,0.0,1.957976451548613,0.1296657986111111,0.0,-0.4063726068164357,-0.06342735258911023,0.0,0.0,0.2,0.00029972352,73589,-0.015523307747207582,100.8605360031128,0.9685930013656616,25.653093338012695,-36.893337631225585,0.185400390625,1.0009766817092896,0.019652473,,,,,
0.0,0.5049878663067431,8,0.0,-0.004926215277777816,-0.23135432233203895,-0.1435670519314497,0.0,-0.10978714317774022,0.0,0.0,0.0,0.0,0.0,-0.17787998383586803,0.0,-0.09509230802923624,0.1403352945435458,20,0.0,-0.3697652889040389,0.01,-0.10587534205101544,0.0,0.4322212128136327,0.0,44.53531785999999,7086,0.0,0.0,-0.36404175563874575,0.42203421534223223,0.0,0.0,-0.1090433778632137,0.0,147456,0.7,-0.05672878888916628,0.1348198784722222,0.843208809302905,-0.025559783903059477,0.0,0.0,323.94,0.0,2.0893287204854563,0.13248697916666666,0.0,-0.40586648492763916,-0.059731131880035565,0.0,0.0,0.2,0.00029967744,73593,-0.014063029503449797,78.67933444976806,0.9743270874023438,24.55401039123535,-36.91030502319336,0.260400390625,1.0019055604934692,0.026829053,,,,,
0.0,0.5046504606039,9,0.0,-0.005664062500000048,-0.23669249922575408,-0.16103648205505558,0.0,-0.1170339467574533,0.0,0.0,0.0,0.0,0.0,-0.17499517980363147,0.0,-0.09858338800124103,0.14908815506020162,23,0.0,-0.3851719063812395,0.01,-0.1047677769873379,0.0,0.3127595142642086,0.0,52.8149176,6980,0.0,0.0,-0.3675946632236934,0.4401029777342517,0.0,0.0,-0.11738744381593125,0.0,165888,0.7,-0.05768757788052216,0.1519097222222222,0.7037605795645945,-0.026935421261424272,0.0,0.0,322.25,0.0,1.9625834824225545,0.15049913194444445,0.0,-0.42333083377628167,-0.06968929317042355,0.0,0.0,0.2,0.00029963136,73597,-0.017982762688188814,82.92635459899903,0.9766577482223511,21.2308406829834,-36.91213092803955,0.241748046875,1.0017424821853638,0.0268076,,,,,
0.0,0.5050263163804922,10,0.0,-0.0047743055555555915,-0.2659862737547785,-0.14419186797225308,0.0,-0.1050122282828458,0.0,0.0,0.0,0.0,0.0,-0.1805318252492484,0.0,-0.10179818290103167,0.1375810338329644,26,0.0,-0.36887177541103855,0.01,-0.10558049409413785,0.0,0.37477975469531355,0.0,45.70768153,6898,0.0,0.0,-0.3626831807761528,0.4244556446391559,0.0,0.0,-0.10085601238399482,0.0,184320,0.7,-0.05651095163915798,0.1298556857638889,0.7179673956310416,-0.02288253342005876,0.0,0.0,309.64,0.0,1.9714473387192166,0.11881510416666667,0.0,-0.4328085845088687,-0.06671263052677928,0.0,0.0,0.2,0.00029958527999999996,73601,-0.00941725512384437,71.48305034637451,0.980426549911499,23.569107055664062,-36.91856021881104,0.33858642578125,1.002560019493103,0.03246566,,,,,
