reward_terms/upright,reward_terms/stop,reward_terms/energy,curriculum/eff_scale,reward_terms/air_time,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/angmom,curriculum/ent_coef,reward_terms/lat_vel,curriculum/ctrl_jitter_ms,curriculum/stance_ratio,reward_terms/time,reward_terms/clearance,reward_terms/height,reward_terms/stance,reward_terms/alive,rollout/ep_len_mean,reward_terms/step_rate,reward_terms/ang_xy,time/iterations,reward_terms/vz,time/time_elapsed,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/action_rate,ankle/ankle_spring_energy_peak,time/fps,reward_terms/overrun,curriculum/sprint_dist_m,ankle/ankle_spring_trq_peak,reward_terms/motor_vel,time/total_timesteps,reward_terms/torque,reward_terms/assist_pen,reward_terms/duty_sym,reward_terms/residual,reward_terms/residual_rate,rollout/ep_rew_mean,curriculum/ctrl_drop_prob,reward_terms/foot_ahead,ankle/ankle_defl_peak,reward_terms/coef_rate,reward_terms/hip_roll,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/value_loss,train/std,train/entropy_loss,train/clip_fraction,train/n_updates
-0.10373073588931728,0.0,0.0,0.0,0.00013617591402079497,-0.9041482148782336,-0.7754383683706292,-0.10734064660386809,0.01,-3.8624860047048616e-08,0.0,0.65,-0.5,0.03274733379565938,-0.013771237366600846,-0.002118527739928086,0.0,124.83,-0.020941840277777075,-0.3337687628526287,1,-0.1217685750430586,4,0.0,-0.34678908067476905,-0.2149238543065383,0.0,3957,0.0,25.0,0.0,0.0,18432,0.0,0.0,0.0,-0.059718056272689016,0.0,-131.10579171,0.0,0.0,0.5193477759366162,-1.5742651465740671,-0.03992706665881902,,,,,,,,,,,
-0.08396354981002019,0.0,-3.5076929770166626e-06,7.68e-05,0.0001627600286155939,-0.9663141801306057,-0.7441698711256077,-0.10336909427739764,0.01,-4.068871012134206e-08,0.0,0.649982336,-0.5,0.04084613252478611,-0.013006200395826974,-0.002151620358810172,0.0,125.86,-0.020345052083332676,-0.3341684217369681,2,-0.13590680714582812,9,0.0,-0.3273299451691091,-0.21444511496251126,0.0,3825,0.0,25.01152,0.0,-4.5537031658633676e-07,36864,-3.297987855278647e-05,0.0,0.0,-0.06000180611522368,0.0,-131.34803322000002,0.0,0.0,0.5243588253703336,-1.5673821893506192,-0.042522760585836296,0.000299990784,0.008825267,-0.020939234644174576,332.62689208984375,0.2,-0.0056536197662353516,746.9372802734375,1.0027425289154053,-34.087171363830564,0.06181640625,4
-0.10181667695116628,0.0,-7.012366414711445e-06,0.0001536,0.00015787725957731405,-1.0455819614558404,-0.7309218104763225,-0.11857401544641472,0.01,-4.3234139573397746e-08,0.0,0.6499646720000001,-0.5,0.038884652071002744,-0.016761125189241038,-0.002345139054725766,0.0,136.52,-0.020410156249999322,-0.3345918051888,3,-0.13514438872596413,14,0.0,-0.34918740737634585,-0.21564578301228013,0.0,3886,0.0,25.02304,0.0,-8.949483045919672e-07,55296,-6.70025992645603e-05,0.0,0.0,-0.06027232978313349,0.0,-134.0273613,0.0,0.0,0.5254438380112711,-1.5707354145195034,-0.04355622346389494,0.000299981568,0.006272481,-0.012619582354091108,352.8349914550781,0.2,0.1580074429512024,773.9623962402344,1.0025007724761963,-34.08307285308838,0.02528076171875,8
-0.10486395967350959,0.0,-1.0666268160216794e-05,0.0002304,6.0221170618509255e-05,-1.015472337754559,-0.7674034464624335,-0.1190221988798167,0.01,-4.146444868543927e-08,0.0,0.649947008,-0.5,0.036786897042692814,-0.01689884632898036,-0.0018111951711025334,0.0,130.39,-0.02014973958333269,-0.34232069318539077,4,-0.1378170709356451,18,0.0,-0.3513496897884112,-0.21450145385515507,0.0,3915,0.0,25.03456,0.0,-1.3752072215524972e-06,73728,-0.0001012235883212942,0.0,0.0,-0.06023022238015187,0.0,-132.4853618,0.0,0.0,0.5208502727797535,-1.572005258536274,-0.04438243323434711,0.00029997235199999997,0.0050788363,-0.010699070966802537,342.2033386230469,0.2,0.3170274496078491,692.4412322998047,1.0022966861724854,-34.0798734664917,0.01619873046875,12
-0.09136506545795076,0.0,-1.4219952923839084e-05,0.0003072,0.0001508242858108133,-1.0066379102399394,-0.7485608742891773,-0.11406534158946319,0.01,-4.080129665382797e-08,0.0,0.649929344,-0.5,0.03779791196359538,-0.013618210563964082,-0.0020054849326999833,0.0,132.18,-0.01998697916666604,-0.3270703203684671,5,-0.13374005084421117,23,0.0,-0.34892658284067257,-0.2144356132918831,0.0,3940,0.0,25.04608,0.0,-1.8418871833894265e-06,92160,-0.00013563050844309408,0.0,0.0,-0.05967381049639504,0.0,-132.93671454,0.0,0.0,0.5217223932132623,-1.5719717950173193,-0.04338018865808344,0.000299963136,0.004323868,-0.009914974635466933,314.71954345703125,0.2,0.4615001678466797,689.2340026855469,1.0020359754562378,-34.07648124694824,0.0111328125,16
-0.10399412021851036,0.0,-1.7838030256479574e-05,0.000384,0.00012206998265658815,-1.0413149482816584,-0.7512966516866424,-0.11731129105534774,0.01,-4.282659164928767e-08,0.0,0.64991168,-0.5,0.03974991521527789,-0.015490972685792375,-0.0030574942879099272,0.0,135.95,-0.020128038194443806,-0.3379186399668327,6,-0.12892585566825088,27,0.0,-0.32540608517576247,-0.2142982198746404,0.0,3958,0.0,25.0576,0.0,-2.326499887263593e-06,110592,-0.00016706531185700473,0.0,0.0,-0.06012494881127758,0.0,-133.88397432000002,0.0,0.0,0.5202809278343238,-1.5648057102641144,-0.041229391537626885,0.00029995392,0.004981001,-0.01042944126529619,325.7262878417969,0.2,0.5317196846008301,672.543701171875,1.0016207695007324,-34.073641777038574,0.01456298828125,20
-0.10314977806569742,0.0,-2.1384239722867988e-05,0.0004608,9.331566009980936e-05,-0.9379844314328802,-0.7350821429182136,-0.11873738103540148,0.01,-4.6448674932231806e-08,0.0,0.6498940160000001,-0.5,0.042751914469712195,-0.015117278320768396,-0.0024997134625965364,0.0,131.78,-0.020811631944443767,-0.32294210381179456,7,-0.14792496223308912,32,0.0,-0.3140712052257671,-0.2141458827557635,0.0,3968,0.0,25.06912,0.0,-2.808702141155298e-06,129024,-0.00019411792040973874,0.0,0.0,-0.06000313050994252,0.0,-132.8269921,0.0,0.0,0.5194161013514392,-1.5664783234331194,-0.04532786373010842,0.00029994470399999997,0.005719251,-0.011924155056476593,302.25689697265625,0.2,0.5704327821731567,640.6881317138672,1.0014971494674683,-34.07022914886475,0.01925048828125,24
-0.10448338751715677,0.0,-2.4432880893497475e-05,0.0005376,8.572022973870237e-05,-1.075508577696167,-0.7282853529328829,-0.12568244167729575,0.01,-4.061096618764019e-08,0.0,0.649876352,-0.5,0.03837487686770308,-0.018100324416532743,-0.001593243535208074,0.0,132.79,-0.020703124999999302,-0.3216789479156022,8,-0.1367140770589809,37,0.0,-0.33275247618647236,-0.21525379666813535,0.0,3972,0.0,25.08064,0.0,-3.1305809235398112e-06,147456,-0.00023624589491496085,0.0,0.0,-0.060203923030011014,0.0,-133.07967829,0.0,0.0,0.523591893879044,-1.5562573783153324,-0.04155240129656206,0.000299935488,0.0060751536,-0.011642854753881693,329.4751281738281,0.2,0.6216052174568176,672.4079650878906,1.0016487836837769,-34.06941108703613,0.02119140625,28
-0.10305133096548304,0.0,-2.8318599931645837e-05,0.0006144,0.0001003686726714174,-1.0668241516069068,-0.7644782453827701,-0.12213615577461805,0.01,-4.2571045973393305e-08,0.0,0.649858688,-0.5,0.03580128816450692,-0.017611247823840895,-0.0037772701331472485,0.0,134.08,-0.02100694444444375,-0.32426626676004244,9,-0.13518270345851865,41,0.0,-0.3401305179410514,-0.21451391308711917,0.0,3972,0.0,25.09216,0.0,-3.7026077769442407e-06,165888,-0.00026737854549511466,0.0,0.0,-0.06013272333429324,0.0,-133.41667881000004,0.0,0.0,0.523903917550394,-1.5597510999999766,-0.04444037543264387,0.000299926272,0.0053980253,-0.010927209677174688,298.57220458984375,0.2,0.6321783065795898,647.7802215576172,1.001725435256958,-34.07223987579346,0.01766357421875,32
-0.12628959373531037,0.0,-3.201697310064333e-05,0.0006912,0.00015082425670698285,-1.0994675089097043,-0.7284714653289694,-0.13804519609680263,0.01,-4.274210204158741e-08,0.0,0.649841024,-0.5,0.04068587119595442,-0.0200569715953306,-0.001342353362193743,0.0,142.36,-0.020128038194443795,-0.3294777498647595,10,-0.14085992340756148,46,0.0,-0.327502580399599,-0.21535756312835785,0.0,3977,0.0,25.10368,0.0,-4.173998227216272e-06,184320,-0.00029755912358797186,0.0,-7.282010126255709e-06,-0.06043979842621584,0.0,-135.48968142,0.0,0.0,0.5200918719447853,-1.5720903405583337,-0.04146771073946943,0.000299917056,0.005679056,-0.011880041926633566,279.0376892089844,0.2,0.6445341110229492,631.4983612060547,1.0018432140350342,-34.07511882781982,0.0190673828125,36
