reward_terms/overrun,rollout/ep_rew_mean,reward_terms/stance_time,reward_terms/angmom,reward_terms/air_time,time/total_timesteps,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/motor_vel,reward_terms/lat_vel,reward_terms/ang_xy,time/fps,curriculum/sprint_dist_m,reward_terms/vz,reward_terms/height,reward_terms/stance,reward_terms/time,reward_terms/upright,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,reward_terms/foot_slip,reward_terms/phase_contact,reward_terms/coef_rate,reward_terms/energy,reward_terms/action_rate,curriculum/eff_scale,reward_terms/clearance,reward_terms/stop,curriculum/ent_coef,curriculum/stance_ratio,time/time_elapsed,reward_terms/residual,reward_terms/torque,reward_terms/fwd_speed,reward_terms/alive,reward_terms/assist_pen,time/iterations,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/std,train/n_updates,train/value_loss,train/loss
0.0,-167.00330468333334,-0.09032330741885947,-0.1837154932412437,1.6275929131855567e-06,18432,-0.08194760564313902,0.0,0.0,-1.8992348154189425e-08,-0.28505819927613624,4482,25.0,-0.11848623281934675,-0.014722238279695963,-0.0010888721382439509,-0.5,-0.3729151109647343,268.3666666666667,0.0,-0.661972266600906,-0.6886926734011338,-1.5583118499661834,0.0,-0.12742503260451504,0.0,0.013563984515956376,0.0,0.01,0.65,4,-0.10395962240638594,0.0,-0.1987364510508242,0.0,0.0,1,,,,,,,,,,,
0.0,-157.20245451,-0.023731753639165416,-0.20059891968349142,0.0,36864,-0.11719260525859736,0.0,-3.7516359501406307e-07,-2.8589306540033062e-08,-0.2938896400395026,4295,25.01152,-0.14471039703432492,-0.023991544672681556,-0.0012149351396991866,-0.5,-0.4009053141320708,230.22,0.0,-0.7189862611593916,-0.6373589612074748,-1.509759475093554,-3.153904838571026e-06,-0.13282439656781933,7.68e-05,0.02619852336125208,0.0,0.01,0.649982336,8,-0.10099992383504014,-3.6729068103420615e-05,0.3207721544949662,0.0,0.0,2,-34.065445518493654,0.0071880952,0.7262289524078369,-0.005830207047984004,0.04874267578125,0.2,0.000299995392,1.0008010864257812,6296,170.43122329711915,33.37654495239258
0.0,-155.98361974000002,-0.03510814766438367,-0.21979640142112483,1.356333571796616e-05,55296,-0.09450791781455514,0.0,-7.787542792695755e-07,-2.8294109877681385e-08,-0.33333816697647484,4351,25.02304,-0.16074084600916383,-0.03341548883738806,-0.0017347008542964312,-0.5,-0.36769113743346216,226.57,0.0,-0.7652944474214686,-0.6259920368878819,-1.4810686734575707,-6.510637029628098e-06,-0.13416089442942578,0.0001536,0.026904742762563792,0.0,0.01,0.6499646720000001,12,-0.1006112766572945,-7.485524581524257e-05,0.3684685278352344,0.0,0.0,3,-34.060115051269534,0.008925548,0.8451356887817383,-0.01210205778479576,0.05570068359375,0.2,0.000299990784,1.0006393194198608,6300,97.50932960510254,26.216617584228516
0.0,-158.50320178,-0.04280357676099003,-0.21174182316997261,0.0,73728,-0.09272686721650758,0.0,-1.051225952614941e-06,-2.6612928566225887e-08,-0.312645881186678,4380,25.03456,-0.16791034426933457,-0.03542077736603745,-0.000192324448619315,-0.5,-0.42138009886115757,236.97,0.0,-0.744193066422124,-0.6435614620396444,-1.4764152927994618,-8.90173582214471e-06,-0.13337386810550156,0.0002304,0.024174098048395754,0.0,0.01,0.649947008,16,-0.10072357405549916,-0.0001062436329553105,0.29125668843640384,0.0,0.0,4,-34.06570453643799,0.010912001,0.8876248002052307,-0.010834980034269392,0.1113525390625,0.2,0.00029998617599999997,1.001014232635498,6304,76.12014598846436,19.912330627441406
0.0,-162.83817549000003,-0.05123049666548872,-0.22871874336781936,2.7126613228271403e-06,92160,-0.09397891382691023,0.0,-1.4895365226587365e-06,-2.768576842019511e-08,-0.3343028195788657,4405,25.04608,-0.19082978891903568,-0.038950467987149434,-0.001991144964036455,-0.5,-0.37264346423912986,254.74,0.0,-0.7697578675714847,-0.6330733210835058,-1.4457010886810893,-1.2309715505875818e-05,-0.13502681862483149,0.0003072,0.025422378291522524,0.0,0.01,0.649929344,20,-0.10040251889346197,-0.0001416608976197955,0.3414921348917667,0.0,0.0,5,-34.06554527282715,0.010410058,0.9121231436729431,-0.009881867532385513,0.1382080078125,0.2,0.000299981568,1.0009554624557495,6308,65.74750900268555,18.876405715942383
0.0,-162.48564011,-0.06132663788351541,-0.20615298137386817,3.2551955276479325e-06,110592,-0.07209466640724481,0.0,-1.8776822978428303e-06,-2.7298621467062093e-08,-0.3376027104840029,4423,25.0576,-0.15893968127950073,-0.03576212913973161,-0.00011964769537818768,-0.5,-0.38018147775180866,252.6,0.0,-0.7540749197317762,-0.6435275542561233,-1.4465100628845389,-1.5496553723799328e-05,-0.1349455706203104,0.000384,0.019775267803956616,0.0,0.01,0.64991168,25,-0.10060211158042745,-0.00018047116897921872,0.1607317748532392,0.0,0.0,6,-34.06568622589111,0.013298963,0.9246644377708435,-0.015468302520457656,0.12181396484375,0.2,0.00029997696,1.00114107131958,6312,51.44905128479004,15.08170223236084
0.0,-162.77917556,-0.06540999102031088,-0.198403327666289,0.0,129024,-0.07630949175266427,0.0,-2.1190245513183702e-06,-2.6097104279803526e-08,-0.30892016374333403,4439,25.06912,-0.1502708660257458,-0.028910611483085196,-0.0017056943072656175,-0.5,-0.4214192139857666,253.32,0.0,-0.7101018476636707,-0.652212324348932,-1.4806748604526208,-1.7349566177134147e-05,-0.13127940317868778,0.0004608,0.020786316551955685,0.0,0.01,0.6498940160000001,29,-0.10172843993855908,-0.00020329224141889444,0.03164244408264664,0.0,0.0,7,-34.068516159057616,0.012574102,0.9286211729049683,-0.010334240191150456,0.1651611328125,0.2,0.00029997235199999997,1.001254916191101,6316,48.59673881530762,13.023969650268555
0.0,-165.5498605,-0.0849684888041035,-0.18035332497271267,1.681854094689091e-05,147456,-0.06790222285456451,0.0,-2.3725378417367333e-06,-2.5227806523781312e-08,-0.2897657201014773,4449,25.08064,-0.14302190609559384,-0.02971673827447119,-0.0007103973331739194,-0.5,-0.48894891444492217,264.23,0.0,-0.6917652871111986,-0.6691305991183667,-1.4814249503962216,-1.9645712119629116e-05,-0.13255141503334025,0.0005376,0.01703884251778258,0.0,0.01,0.649876352,33,-0.10178833294531422,-0.00023618253458918166,-0.03921498855746223,0.0,0.0,8,-34.06808319091797,0.014666995,0.9307003617286682,-0.009016850753687322,0.19022216796875,0.2,0.000299967744,1.0013636350631714,6320,44.31875629425049,10.677474975585938
0.0,-168.75702995000003,-0.09628859006301758,-0.17244617852827082,9.223071780676642e-06,165888,-0.05835183917194589,0.0,-2.760717152076398e-06,-2.4215266788229883e-08,-0.28839524196063104,4460,25.09216,-0.12385680169515013,-0.02653098875268407,-0.0008182155364445173,-0.5,-0.45039199613761105,277.05,0.0,-0.6822996181625527,-0.677741333562754,-1.475843511318745,-2.2777382939298105e-05,-0.13281440303245173,0.0006144,0.013359667365108524,0.0,0.01,0.649858688,37,-0.10156539670967973,-0.0002679458219599041,-0.06515230107433516,0.0,0.0,9,-34.06842517852783,0.0163411,0.9239965081214905,-0.010374431335367262,0.20526123046875,0.2,0.000299963136,1.0012946128845215,6324,36.463119983673096,9.300972938537598
0.0,-171.98801431999996,-0.11408287286596736,-0.17045969849359108,1.085058708364765e-06,184320,-0.07027719690337905,0.0,-3.094452967834796e-06,-2.355574267763106e-08,-0.2918365409005915,4470,25.10368,-0.11575818684061503,-0.019723043816245567,-0.0007449044788708737,-0.5,-0.44230262139443105,289.53,0.0,-0.6742914140145584,-0.6980218285670481,-1.5125470647266905,-2.523595486263995e-05,-0.13014250775799904,0.0006912,0.010336653674642362,0.0,0.01,0.649841024,41,-0.10267485467673847,-0.0002898747603825043,-0.35787330724456345,0.0,0.0,10,-34.068427848815915,0.018370396,0.908745527267456,-0.011457057925872505,0.2146484375,0.2,0.00029995852799999997,1.0011677742004395,6328,31.289191055297852,8.393857955932617
