reward_terms/ang_xy,reward_terms/foot_slip,reward_terms/yaw_rate,reward_terms/stance_time,time/total_timesteps,time/time_elapsed,reward_terms/alive,curriculum/ent_coef,rollout/ep_rew_mean,reward_terms/track_vx,reward_terms/upright,reward_terms/pos_pen,reward_terms/fwd_speed,reward_terms/vz,reward_terms/stance,reward_terms/height,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/torque,reward_terms/progress,time/fps,reward_terms/lat_vel,time/iterations,curriculum/cmd_vx_frac,reward_terms/air_time,reward_terms/track_yaw,reward_terms/heading_pen,reward_terms/action_rate,reward_terms/clearance,reward_terms/track_heading,reward_terms/track_pos,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/loss
-0.813475355942479,-1.2320422350533042,0.0,-0.00023559520802033754,24576,19,0.5,0.01,-163.95499712999998,0.0,-0.6525356643319234,0.0,0.4995940515626988,-0.1622836039950472,-0.037085755049331044,-0.010015105405700093,-0.04634554082517273,19.88,-0.6731631346354884,0.0,1250,-2.639064508716456e-08,1,0.0,9.765615686774254e-06,0.0,0.0,-0.6046398763595562,0.04808303710211647,0.0,0.0,,,,,,,,,,,
-0.7968871127645848,-1.2174417906935557,0.0,-0.00011474580242065713,49152,39,0.5,0.01,-167.54306653000003,0.0,-0.6397805701001206,0.0,0.5265956743344641,-0.1813704392202182,-0.046801442967005384,-0.012017663605099987,-0.04754923982808155,21.44,-0.6572168142429927,0.0,1247,-2.6422949579278482e-08,2,0.003072,1.546221513611575e-05,0.0,0.0,-0.6013720688767611,0.055240968424029806,0.0,0.0,0.0002996928,0.9971380829811096,-0.007708072662353516,0.034322102864583336,4,0.0060883556,-0.0066049540910171345,0.2,7517.7493896484375,-8.506334066390991,3749.2802734375
-0.792748566978689,-1.2274881864881115,0.0,-0.0002701817817675571,73728,58,0.5,0.01,-168.72805025000002,0.0,-0.6148357948108413,0.0,0.5154110757528485,-0.16876361113477875,-0.04135972065787867,-0.011740746670054321,-0.05042913248694361,22.44,-0.6541742571314015,0.0,1249,-2.5831920678483837e-08,3,0.006144,2.2786441453111667e-05,0.0,0.0,-0.6007544530150426,0.05339266051531597,0.0,0.0,0.0002993856,0.9934330582618713,-0.17814576625823975,0.010752360026041666,8,0.004214764,-0.004597136273029416,0.2,7283.526346842448,-8.485262115796408,3570.05712890625
-0.7724375714688191,-1.208784981842811,0.0,-7.527646327313657e-05,98304,78,0.5,0.01,-166.1075465,0.0,-0.6031153119144067,0.0,0.5290828053012375,-0.18075237965263305,-0.05000080275512008,-0.01294883051780612,-0.05568999340786795,20.83,-0.650587273713089,0.0,1254,-2.642088826541911e-08,4,0.009216,1.0579414568686238e-05,0.0,0.0,-0.6001485947161503,0.05718894815588562,0.0,0.0,0.0002990784,0.9915504455566406,-0.5319666862487793,0.004130045572916667,12,0.0027909447,-0.0034252612337392443,0.2,7000.805745442708,-8.46754797299703,3386.69384765625
-0.7648551879335733,-1.2088364263820177,0.0,-5.126937564151982e-05,122880,97,0.5,0.01,-163.79741510999997,0.0,-0.5894017608320761,0.0,0.5525697344201619,-0.18956657953995174,-0.049048253023514364,-0.01410935640579621,-0.055268640435751255,21.05,-0.6414862327266909,0.0,1254,-2.6211546322352024e-08,5,0.012288,2.7669263848414023e-05,0.0,0.0,-0.5972723677131171,0.05910570225054876,0.0,0.0,0.0002987712,0.990416944026947,-1.1867473125457764,0.0011800130208333333,16,0.0017482195,-0.002501296257833019,0.2,6667.515848795573,-8.459364573160807,3304.834716796875
-0.7615667843422357,-1.1937186297327649,0.0,-0.00016723588487366214,147456,117,0.5,0.01,-166.05295084000002,0.0,-0.5817113225259062,0.0,0.5533690608985516,-0.19065181648422883,-0.043323825823218094,-0.014597564379128902,-0.057499489903318206,22.17,-0.6374875279476686,0.0,1254,-2.5980684107516712e-08,6,0.01536,1.7089827451854944e-05,0.0,0.0,-0.5973992867631447,0.0610174499811596,0.0,0.0,0.00029846399999999997,0.9899545311927795,-1.8987336158752441,0.00115966796875,20,0.0017256323,-0.0027808672651493302,0.2,6416.193827311198,-8.454107880592346,3123.603271484375
-0.7671742108134422,-1.1924669460163777,0.0,-8.626279304735363e-05,172032,136,0.5,0.01,-164.07582801,0.0,-0.5986085072577894,0.0,0.5445030803282841,-0.1908295879973614,-0.04662522931522876,-0.01381291147920681,-0.05632698423221976,21.19,-0.6402889119747706,0.0,1257,-2.7005135226888624e-08,7,0.018432,7.32421176508069e-06,0.0,0.0,-0.5964409472041629,0.05880939980177613,0.0,0.0,0.0002981568,0.9898656010627747,-2.7192628383636475,0.00079345703125,24,0.0015485426,-0.0024548916165561727,0.2,6179.211995442708,-8.45246164004008,2973.1767578125
-0.7573031364525854,-1.1938793425016805,0.0,-0.00016235320072155446,196608,157,0.5,0.01,-164.51637178999997,0.0,-0.6018811645005099,0.0,0.5463814171647502,-0.18927891647403886,-0.04546804514850846,-0.014604004702654888,-0.052715955185687925,21.65,-0.6464972828619462,0.0,1251,-2.6577167608828344e-08,8,0.021504,1.3834610096334169e-05,0.0,0.0,-0.5981723471000654,0.05756168927480295,0.0,0.0,0.0002978496,0.9900062680244446,-3.4985833168029785,0.0007425944010416666,28,0.0015104759,-0.0025018210241493457,0.2,6151.286234537761,-8.452573855717977,2958.429931640625
-0.7578380669863507,-1.2028347519723506,0.0,-0.0001595048355132652,221184,176,0.5,0.01,-165.62192481,0.0,-0.6091976103961032,0.0,0.5591742246648459,-0.19316771227423982,-0.039156088864813754,-0.01494823440447371,-0.050461517074925404,21.78,-0.648610467158283,0.0,1249,-2.6260656580050527e-08,9,0.024576,2.4414039216935635e-05,0.0,0.0,-0.5998452905816976,0.0585625778670146,0.0,0.0,0.0002975424,0.9896888136863708,-2.6915647983551025,0.0002848307291666667,32,0.0009978942,-0.001938097473612288,0.2,5880.521219889323,-8.452709794044495,2806.75341796875
-0.7604613132539764,-1.1809267096187308,0.0,-0.0002469883681139133,245760,196,0.5,0.01,-168.74159026,0.0,-0.6153887302295602,0.0,0.5792230289833523,-0.2046272215155803,-0.051490443683398925,-0.015752772647203,-0.05467845196354342,22.61,-0.6467242960057215,0.0,1249,-2.7241129263783878e-08,10,0.027648,4.0690067786878593e-05,0.0,0.0,-0.5990895755877546,0.062201325685275345,0.0,0.0,0.0002972352,0.9893031120300293,-3.668226718902588,5.0862630208333336e-05,36,0.0006793065,-0.0017878214760761086,0.2,5738.672953287761,-8.45008154710134,2729.2666015625
