reward_terms/height,reward_terms/stance_time,ankle/ankle_spring_trq_peak,reward_terms/torque,reward_terms/step_rate,reward_terms/action_rate,reward_terms/ang_xy,curriculum/swing_frac_mean,reward_terms/upright,rollout/ep_rew_mean,curriculum/cmd_track_err,reward_terms/foot_slip,reward_terms/time,reward_terms/air_time,reward_terms/coef_rate,reward_terms/duty_sym,reward_terms/lat_vel,time/fps,reward_terms/residual,curriculum/cmd_scale,reward_terms/foot_ahead,reward_terms/residual_rate,reward_terms/stand_drift,ankle/ankle_defl_peak,reward_terms/clearance,time/total_timesteps,reward_terms/hip_roll,reward_terms/fwd_speed,reward_terms/angmom,time/time_elapsed,reward_terms/overrun,est/vel_rmse,reward_terms/track_lin,curriculum/ctrl_jitter_ms,reward_terms/stop,reward_terms/stance,curriculum/ent_coef,reward_terms/phase_contact,reward_terms/track_yaw,curriculum/stance_ratio,reward_terms/assist_pen,curriculum/ctrl_drop_prob,curriculum/eff_scale,curriculum/swing_frac_min,reward_terms/motor_vel,time/iterations,reward_terms/energy,curriculum/dr_scale,reward_terms/alive,rollout/ep_len_mean,reward_terms/stand,reward_terms/vz,ankle/ankle_spring_energy_peak,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/std,train/loss,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,curriculum/ctrl_jitter_ms_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/eff_scale_progress,curriculum/dr_scale_progress
-0.001444599867513325,-0.01424529192445334,0.0,0.0,-0.004036458333333361,-0.2410412128944977,-1.4375080822602217e-06,0.15804036458333334,-6.695145579550093e-08,-85.63139555172413,0.6922968924193784,-0.5768129653555799,0.0,0.00016004756131830314,-1.5724133970551433,-0.008648083252824783,-2.857278142405439e-09,7774,-0.06043837594868663,0.0,0.0,0.0,-0.004413310833329581,0.5051996823105713,0.005307079067095414,18432,-0.019474024250154445,0.0,-0.025046907656932127,2,0.0,1.023685454405384,1.3593510974065668,0.0,0.0,-0.008847294711700069,0.01,-0.1530357811794124,1.9999863168261247,0.7,0.0,0.0,0.0,0.0661349826388889,0.0,1,0.0,0.0,0.0,195.72413793103448,0.8510587790830167,-0.009026265116562,0.0,,,,,,,,,,,,,,,,
-0.0024436788984664682,-0.05802296639821078,0.0,0.0,-0.003417968750000018,-0.24332718832285222,-1.1975889670057345e-06,0.09765625,-6.031182667464289e-08,-28.713660916666665,0.5604358527320583,-0.5145117884559919,0.0,7.921003270894289e-05,-1.6141736827788211,-0.007507282363193934,-1.8523114955553115e-09,8441,-0.061168081251638834,0.0,0.0,0.0,-0.015521229180686392,0.505004489747252,0.00033934776281109135,36864,-0.016636364197892405,0.0,-0.025470297239728094,4,0.0,0.687170144625675,1.259799628265915,0.0,0.0,-0.0022009598524626076,0.01,-0.061425748301918874,1.9999918593686,0.7,0.0,0.0,0.0,0.04454210069444445,0.0,2,0.0,0.0,0.0,259.69444444444446,0.8577003747541596,-0.014161525341259133,0.0,0.0004054903984069824,4,0.009130839,0.000299963136,1.00312340259552,121.54519653320312,0.2,-36.934632301330566,291.73079376220704,0.05899658203125,-0.02408926086500287,,,,,
-0.003106878877202841,-0.024311789731857263,0.0,0.0,-0.0038411458333333557,-0.24584069560183172,-1.2884861526707798e-06,0.10517035590277779,-5.589785007522424e-08,8.940142909999999,0.47324836701157424,-0.5126561611295225,0.0,0.0,-1.6050617095331423,-0.0008255304548746877,-2.219419965762524e-09,8501,-0.061012044486986924,0.0,0.0,0.0,-0.020636447764111877,0.5047411498781114,0.00019430102133200314,55296,-0.015415293527045749,0.0,-0.028257927384467276,6,0.0,0.623743773641452,1.2883359193468598,0.0,0.0,-0.002505838153091627,0.01,-0.019106736727685144,1.999991416032024,0.7,0.0,0.0,0.0,0.048882378472222224,0.0,3,0.0,0.0,0.0,303.87,0.8280528978881521,-0.01809677255232512,0.0,0.21187549829483032,8,0.003872693,0.000299926272,1.0019525289535522,123.72758483886719,0.2,-36.91626796722412,312.1880332946777,0.01102294921875,-0.009603901009541005,,,,,
-0.0033658754687791357,-0.001681857638888889,0.0,0.0,-0.004014756944444472,-0.2428136406092341,-1.3370305141876701e-06,0.1103244357638889,-5.609150165649796e-08,13.636823760000002,0.39339626220392704,-0.49649463078454364,0.0,0.0,-1.5862072117286028,-0.0009076087598754505,-2.0689221827625534e-09,8263,-0.060993453390461756,0.0,0.0,0.0,-0.027914530913832645,0.5047354872557083,0.0,73728,-0.014501214204614069,0.0,-0.028790232194062113,8,0.0,0.5992050796003815,1.3650680152619659,0.0,0.0,-0.004309559141149907,0.01,-0.0020357451825027528,1.999991487665105,0.7,0.0,0.0,0.0,0.046929253472222224,0.0,4,0.0,0.0,0.0,291.79,0.8769509767583397,-0.018904767555972923,0.0,0.44374436140060425,12,0.0020892068,0.00029988940799999996,1.0016106367111206,137.56478881835938,0.2,-36.9134521484375,315.3136505126953,0.00250244140625,-0.005986640020273626,,,,,
-0.0032442511751026343,0.0,0.0,0.0,-0.0041992187500000284,-0.2434359528309102,-1.2922816605546904e-06,0.11357964409722222,-5.7978495287225174e-08,20.332060209999995,0.4391925608619174,-0.4922295675073836,0.0,0.0,-1.599357774804153,-2.4208131602876026e-05,-2.0719435267008993e-09,7904,-0.061056416697122314,0.0,0.0,0.0,-0.036721763013885717,0.504884430677549,0.0,92160,-0.016541399131565503,0.0,-0.027250827945406897,11,0.0,0.5494234108019375,1.2142223529977558,0.0,0.0,-0.006132301227654209,0.01,0.0,1.9999915163052266,0.7,0.0,0.0,0.0,0.0458984375,0.0,5,0.0,0.0,0.0,296.44,0.7526101431109589,-0.01754906234077958,0.0,0.5175238847732544,16,0.0018170895,0.000299852544,1.0011876821517944,150.9822540283203,0.2,-36.9066499710083,346.85225677490234,0.00216064453125,-0.006617620831821114,,,,,
-0.003426558887312062,0.0,0.0,0.0,-0.0037868923611111324,-0.24338783336417424,-1.304003052427637e-06,0.09852430555555557,-5.355747413513456e-08,22.510171090000004,0.40038306812389396,-0.4919783016958878,0.0,0.0,-1.6015252109532516,0.0,-2.2125077409572553e-09,7535,-0.06091415120439266,0.0,0.0,0.0,-0.030774176901884276,0.5046504414518167,0.0,110592,-0.013770659142470235,0.0,-0.03051586366012519,14,0.0,0.5420803238973078,1.1119120751622205,0.0,0.0,-0.001734283486627202,0.01,0.0,1.9999917599809045,0.7,0.0,0.0,0.0,0.043782552083333336,0.0,6,0.0,0.0,0.0,295.1,0.6907932792932773,-0.020202971899122884,0.0,0.5978889465332031,20,0.0020972225,0.00029981568,1.0009512901306152,130.4233856201172,0.2,-36.90310440063477,294.16717224121095,0.00267333984375,-0.007501831208355725,,,,,
-0.0033053863618390227,0.0,0.0,0.0,-0.003721788194444466,-0.24414506923626236,-1.2155336876952419e-06,0.10560438368055555,-5.577766394085955e-08,18.41942772,0.5624780249076147,-0.48960026217737185,0.0,0.0,-1.597899436522078,0.0,-2.1832260916294766e-09,7289,-0.06116202096328738,0.0,0.0,0.0,-0.030160686125448217,0.5047999559840859,0.0,129024,-0.01363847119315869,0.0,-0.027139911528968507,17,0.0,0.5105553425653645,1.4084327554189258,0.0,0.0,-0.0016695535701846986,0.01,0.0,1.9999914930218905,0.7,0.0,0.0,0.0,0.03944227430555555,0.0,7,0.0,0.0,0.0,312.61,0.9461576338915189,-0.01813816589797532,0.0,0.6557357311248779,24,0.0029429323,0.000299778816,1.0011769533157349,132.17840576171875,0.2,-36.90395545959473,298.4814849853516,0.00640869140625,-0.008132656384259463,,,,,
-0.0034818273307790815,0.0,0.0,0.0,-0.0035698784722222408,-0.24479214749483974,-1.2393955482285425e-06,0.10047743055555557,-5.44675679916137e-08,48.749457150000005,0.4870485774515425,-0.5037282074748212,0.0,0.0,-1.6019191074161379,0.0,-2.1048808504068952e-09,7059,-0.06098716234192983,0.0,0.0,0.0,-0.04289117921941337,0.5051660948467669,0.0,147456,-0.013063599386952788,0.0,-0.028818908141293873,20,0.0,0.4995833836789566,1.290286615370222,0.0,0.0,-0.0020714267114357605,0.01,0.0,1.9999914314273564,0.7,0.0,0.0,0.0,0.048177083333333336,0.0,8,0.0,0.0,0.0,343.4,0.9102528201843229,-0.018798103438007915,0.0,0.6855136156082153,28,0.0016521253,0.000299741952,1.0010817050933838,148.1938934326172,0.2,-36.90553722381592,324.27622375488284,0.00089111328125,-0.006839061540085822,,,,,
-0.003485868253823847,0.0,0.0,0.0,-0.004188368055555582,-0.24192866759677026,-1.2698235340307085e-06,0.12415907118055555,-5.3308131953128134e-08,64.95299605999999,0.5076834676449078,-0.5129489429603518,0.0,0.0,-1.6050913730864396,0.0,-2.2761030652160314e-09,6921,-0.061016450273236815,0.0,0.0,0.0,-0.026994514807606635,0.5051591095520753,0.0,165888,-0.012489200156462923,0.0,-0.028064688730231237,23,0.0,0.5090982738591493,1.2727242508381607,0.0,0.0,-0.0010251373743590869,0.01,0.0,1.9999919024244714,0.7,0.0,0.0,0.0,0.040690104166666664,0.0,9,0.0,0.0,0.0,360.96,0.8665521845867384,-0.018351531699203005,0.0,0.7154411673545837,32,0.0022160346,0.00029970508799999996,1.0010089874267578,149.46633911132812,0.2,-36.9035608291626,311.92344665527344,0.00301513671875,-0.00766144561348483,,,,,
-0.0031416274249231936,0.0,0.0,0.0,-0.004123263888888917,-0.24264111628254748,-1.3220350508247277e-06,0.11043294270833334,-5.090399551867754e-08,44.74136866999999,0.5101357254322062,-0.5388937745682227,0.0,0.0,-1.605743729770419,0.0,-2.49038329892837e-09,6838,-0.06113644937065015,0.0,0.0,0.0,-0.02616353287043174,0.5050805878114166,0.0,184320,-0.013177160343599458,0.0,-0.028341436707135056,26,0.0,0.49276700796195794,1.2716926378512605,0.0,0.0,-0.0019446574814717121,0.01,0.0,1.9999909627789978,0.7,0.0,0.0,0.0,0.06732855902777778,0.0,10,0.0,0.0,0.0,334.11,0.8894795680500762,-0.018803991104448192,0.0,0.7346318364143372,36,0.0024237435,0.000299668224,1.0011684894561768,142.72940063476562,0.2,-36.90572814941406,309.37609710693357,0.00328369140625,-0.008535648020915687,,,,,
