reward_terms/hip_roll,reward_terms/motor_vel,reward_terms/ang_xy,time/iterations,rollout/ep_rew_mean,reward_terms/residual,reward_terms/upright,reward_terms/stance,reward_terms/height,reward_terms/coef_rate,curriculum/eff_scale,reward_terms/overrun,reward_terms/stop,reward_terms/phase_contact,reward_terms/action_rate,reward_terms/time,reward_terms/lat_vel,reward_terms/vz,time/total_timesteps,time/fps,reward_terms/angmom,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/torque,curriculum/ent_coef,reward_terms/air_time,reward_terms/alive,curriculum/stance_ratio,reward_terms/energy,time/time_elapsed,rollout/ep_len_mean,reward_terms/clearance,reward_terms/fwd_speed,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/std
-0.02992935775103784,0.0,-0.45925991802129357,1,-156.52192802,-0.5334332442231022,-0.8056076542941194,-0.05327749744832521,-0.024855233596878756,-0.6118267135154744,0.0,0.0,0.0,-0.531333872061317,-0.06758758852596389,0.0,-3.827067177298171e-09,-0.12993688441727413,18432,2957,-0.15859186942434186,-0.5689365510065629,-0.039204592032345116,0.0,0.01,0.0001605902378085173,0.5,0.65,0.0,6,58.25,0.016537684233760022,-0.8757600620655682,,,,,,,,,,,
-0.03415072356151006,0.0,-0.5955479731535671,2,-149.93844305000002,-0.5281058736139488,-0.6476179153649403,-0.05400050653831725,-0.026149676632091074,-0.7484960888862348,0.0,0.0,0.0,-0.4908759281407787,-0.08306742593652583,0.0,-4.762391063196868e-09,-0.11534313833267146,36864,2865,-0.23108497740343825,-0.7076825217902456,-0.04696771616969878,0.0,0.01,8.897564516195821e-05,0.5,0.65,0.0,12,51.64,0.025682794746423918,-0.6741862188266373,0.00957279,528.0708618164062,-34.06503067016602,0.0014413154451176525,0.2,-2.9435336589813232,0.10576171875,3525.3737060546873,0.0003,33433,1.0006935596466064
-0.033723420709477314,0.0,-0.5895325663564397,3,-137.98250307,-0.5230940412396854,-0.4933564248697862,-0.03620284511706228,-0.02242270933199723,-0.8563582400451527,0.0,0.0,0.0,-0.45702057877890795,-0.09458518759047044,0.0,-4.642721177553615e-09,-0.08836085016738872,55296,2886,-0.2335590130188193,-0.6750857501091284,-0.037134827113024786,0.0,0.01,0.00010091135239539047,0.5,0.65,0.0,19,39.55,0.033657170022368434,-0.4251071359428516,0.0059631807,290.52764892578125,-34.05638427734375,-0.0048018024070188405,0.2,-1.0867319107055664,0.02454833984375,1536.5660369873046,0.0003,33437,1.0001554489135742
-0.035598862124346625,0.0,-0.6028753049640514,4,-134.39910208,-0.518276885297317,-0.4440103486341069,-0.032215620352757074,-0.02217927172684351,-0.9136859014746889,0.0,0.0,0.0,-0.4476776383393829,-0.0983533986115351,0.0,-4.649096853588663e-09,-0.08475506767100291,73728,2891,-0.24415173827538408,-0.6792761500548596,-0.03453717734858704,0.0,0.01,0.00013671867782250047,0.5,0.65,0.0,25,35.86,0.0375576973210191,-0.28939709071153163,0.006575782,128.3540496826172,-34.05597496032715,-0.006777984870132059,0.2,-1.0266087055206299,0.04031982421875,732.9252944946289,0.0003,33441,1.0001702308654785
-0.03384837730687972,0.0,-0.5905004209555811,5,-139.40791721,-0.5175453038714459,-0.42865202393077745,-0.02866548844552538,-0.021419716179738674,-0.9324643335836468,0.0,0.0,0.0,-0.4551118000831814,-0.09896335326764645,0.0,-4.517125302802605e-09,-0.07877560793747022,92160,2903,-0.23654270690488163,-0.6626282475715428,-0.03588374688762189,0.0,0.01,0.0001280381628829572,0.5,0.65,0.0,31,40.78,0.03773663413105693,-0.26009078601075575,0.011056183,47.30168914794922,-34.05745220184326,-0.011357872118242084,0.2,-1.3465535640716553,0.07803955078125,272.4956687927246,0.0003,33445,1.000321388244629
-0.03086892967111564,0.0,-0.5909165371922455,6,-137.4599547,-0.5150494821802325,-0.4281182483656139,-0.022899159844433154,-0.02231866231651233,-0.9328731706359252,0.0,0.0,0.0,-0.45667021671022606,-0.1009400736732291,0.0,-4.700978363203634e-09,-0.07837435651980658,110592,2910,-0.23023784717179513,-0.6694135025080644,-0.03488656701908136,0.0,0.01,0.00017144092190493312,0.5,0.65,0.0,37,38.97,0.03578705855533996,-0.312499410047381,0.013884227,40.12898254394531,-34.06038913726807,-0.011447332671377809,0.2,-2.834683418273926,0.14481201171875,161.7910654067993,0.0003,33449,1.0006659030914307
-0.025462945113060444,0.0,-0.5942722718449397,7,-129.98633185,-0.5135516637118539,-0.424639306394037,-0.017928469921551754,-0.02018924590983116,-0.9328473105602063,0.0,0.0,0.0,-0.4535590839593085,-0.10358681076771382,0.0,-4.254240332030174e-09,-0.08130596014017243,129024,2916,-0.24020705726111446,-0.6742549832324284,-0.027659471782196004,0.0,0.01,6.618916975437767e-05,0.5,0.65,0.0,44,31.09,0.03768188641761595,-0.24631908837016406,0.02642725,9.868227005004883,-34.06811351776123,-0.0182743554119952,0.2,-2.8694686889648438,0.19405517578125,55.3939305305481,0.0003,33453,1.0014384984970093
-0.026571216693430207,0.0,-0.5815485320250418,8,-136.13182052,-0.5142133588736618,-0.42087724832658696,-0.013794917258438856,-0.021782375629758603,-0.9341642858612966,0.0,0.0,0.0,-0.4569045945193657,-0.10206103474305386,0.0,-3.947304126240559e-09,-0.07886086020091539,147456,2926,-0.23411374294963272,-0.6883879217524039,-0.03540740130281645,0.0,0.01,0.0001421440457407799,0.5,0.65,0.0,50,37.37,0.03724771969031477,-0.24890754216275082,0.022364762,17.903701782226562,-34.05852222442627,0.010413847048766911,0.2,-3.211249351501465,0.25146484375,37.04799938201904,0.0003,33454,1.0003321170806885
-0.021791454982311265,0.0,-0.5675320722241569,9,-134.05167594,-0.512778485826854,-0.38479602825918025,-0.012309878117628303,-0.018638086079300255,-0.9330446031095698,0.0,0.0,0.0,-0.4579955232632609,-0.10439055489319177,0.0,-3.4059047728035744e-09,-0.07392763643979579,165888,2930,-0.22279621302202213,-0.6768946420863116,-0.03712669181630998,0.0,0.01,6.83593195086966e-05,0.5,0.65,0.0,56,35.48,0.033199118454756434,-0.28310152509780484,0.036781438,6.120016574859619,-34.0784496307373,-0.012036342185456305,0.2,-4.0059003829956055,0.298681640625,33.155058240890504,0.0003,33458,1.0023294687271118
-0.02173261792937314,0.0,-0.5867471479507266,10,-129.60851313999999,-0.5108217080190719,-0.33746598893614743,-0.010086068877987919,-0.017281171456199833,-0.9363808480059076,0.0,0.0,0.0,-0.4393955919676754,-0.10866970428065102,0.0,-3.665560627348142e-09,-0.07725360748733853,184320,2935,-0.23227904885618106,-0.6977487687511152,-0.022618788393123798,0.0,0.01,0.00012369783750424782,0.5,0.65,0.0,62,30.58,0.03689278157908425,-0.18279407399609449,0.021490298,6.487173557281494,-34.0582021077474,0.014523885057618221,0.2,-2.256118059158325,0.229248046875,15.353194236755371,0.0003,33459,1.0003015995025635
