curriculum/sprint_dist_m,reward_terms/residual_rate,time/total_timesteps,reward_terms/overrun,reward_terms/energy,reward_terms/hip_roll,reward_terms/height,curriculum/eff_scale,reward_terms/fwd_speed,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/torque,reward_terms/action_rate,reward_terms/alive,curriculum/ctrl_drop_prob,reward_terms/coef_rate,reward_terms/lat_vel,reward_terms/foot_slip,time/iterations,reward_terms/assist_pen,reward_terms/upright,curriculum/ctrl_jitter_ms,curriculum/ent_coef,reward_terms/residual,reward_terms/stance_time,reward_terms/time,reward_terms/motor_vel,time/fps,reward_terms/clearance,rollout/ep_len_mean,reward_terms/foot_ahead,time/time_elapsed,reward_terms/step_rate,reward_terms/vz,reward_terms/stop,reward_terms/phase_contact,reward_terms/ang_xy,reward_terms/stance,reward_terms/air_time,reward_terms/angmom,train/std,train/value_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction
25.0,0.0,18432,0.0,0.0,-0.04295441550958284,-0.03265677448952991,0.0,-0.772770029633844,-124.46322163999999,0.65,0.0,-0.03127410928429037,0.0,0.0,-0.2721543536271562,-9.164992088779474e-08,-0.25785240722417113,1,0.0,-0.3837837362872235,0.0,0.01,-0.10394706169262945,0.0,-0.5,0.0,2720,0.061514819477995135,98.94,0.0,6,0.0,-0.20793074797549804,0.0,-0.25032199013781287,-0.758676355450889,-0.0009706629045032376,9.331579915144377e-05,-0.2001692474492026,,,,,,,,,,,
25.06912,0.0,36864,0.0,0.0,-0.03050455266381835,-0.024326944701428876,0.0,-1.0527406066757181,-133.94661195999998,0.65,0.0,-0.025569678549318835,0.0,0.0,-0.23087015746172412,-8.573007854991444e-08,-0.2953439155555196,2,0.0,-0.4675041698083283,0.0,0.01,-0.10657613092860163,0.0,-0.5,0.0,2572,0.061702652733391435,136.9,0.0,14,0.0,-0.14458989894967159,0.0,-0.28022838151461305,-0.8424641607196874,-0.0020883025670037436,5.588099722647005e-05,-0.22627468485677393,0.9235561490058899,4514.372583007813,1326.145751953125,0.2,-0.0011281234328635037,25489,0.00029993856,0.2712511420249939,-18.72548637390137,0.0058752103,0.03223876953125
25.13824,0.0,55296,0.0,0.0,-0.03401466244756593,-0.026822649016195167,0.0,-1.1024467053354494,-142.30190801999998,0.65,0.0,-0.02347435946577059,0.0,0.0,-0.22449653911689726,-8.096736343843388e-08,-0.28870950353118463,3,0.0,-0.5238140101123856,0.0,0.01,-0.10794107920411865,-3.919770824722946e-05,-0.5,0.0,2958,0.06267275020095077,170.34,0.0,18,0.0,-0.14195361254943534,0.0,-0.27153692301339505,-0.8276765867183478,-0.001260521485019002,0.0,-0.250940068218721,0.9235703945159912,2584.1978759765625,669.0769653320312,0.2,-0.0012262516480404883,25493,0.00029987712,0.571818470954895,-18.725273895263673,0.0017032862,0.00299072265625
25.20736,0.0,73728,0.0,0.0,-0.03211321453342478,-0.0314259225346409,0.0,-1.140770721303829,-145.09360962,0.65,0.0,-0.022052119843519062,0.0,0.0,-0.2206970623402539,-6.637185131604689e-08,-0.2999230988541979,4,0.0,-0.5386443648549033,0.0,0.01,-0.10873123904658619,-0.00010457267894202637,-0.5,0.0,3197,0.06569606391666347,181.44,0.0,23,0.0,-0.15093768246477646,0.0,-0.2773520388619244,-0.7837445385038678,-0.0011181395073967145,8.897564839571714e-05,-0.25574267698214287,0.9235873222351074,1331.5945922851563,284.6752624511719,0.2,-0.0011237879225518554,25497,0.00029981568,0.7342677116394043,-18.725518798828126,0.0008651186,0.0004638671875
25.27648,0.0,92160,0.0,0.0,-0.029660840511659223,-0.02003351733496089,0.0,-0.9830947567943671,-142.05530683000003,0.65,0.0,-0.022428698977017172,0.0,0.0,-0.22363733208500833,-6.141234136437232e-08,-0.29816760915802126,5,0.0,-0.48637698200281737,0.0,0.01,-0.10848855426712851,-4.760704016209477e-05,-0.5,0.0,3360,0.06437314787517971,169.35,0.0,27,0.0,-0.13659729263978132,0.0,-0.28735027523947365,-0.8250563420880622,-0.0007147197379126399,0.0,-0.2806010927794544,0.9236290454864502,806.535855102539,165.58822631835938,0.2,-0.0013666054583154619,25501,0.00029975423999999997,0.8307756185531616,-18.725857162475585,0.0012931882,0.00145263671875
25.3456,0.0,110592,0.0,0.0,-0.026714556771171682,-0.01903890902904827,0.0,-0.9875536923875016,-144.07055526000002,0.65,0.0,-0.02174454742924696,0.0,0.0,-0.21587449569676118,-5.1191458934601277e-08,-0.3043376219008371,6,0.0,-0.4942454164182019,0.0,0.01,-0.10861595650438122,-1.6546969871140187e-05,-0.5,0.0,3476,0.06555963103869503,177.43,0.0,31,0.0,-0.1388597293177122,0.0,-0.29190200395334737,-0.8015996639376661,-0.0004820814086150872,0.000136718703692572,-0.27581242818621754,0.9236770868301392,705.1622695922852,148.74911499023438,0.2,-0.0015719859045930206,25505,0.0002996928,0.8802229762077332,-18.726624965667725,0.0011912083,0.00050048828125
25.41472,0.0,129024,0.0,0.0,-0.024412819660508615,-0.016511397630459234,0.0,-0.9198262532962406,-142.93885631999999,0.65,0.0,-0.021564524732239597,0.0,0.0,-0.21993616644635575,-4.7248148822293426e-08,-0.309953761884733,7,0.0,-0.4860993006196696,0.0,0.01,-0.1087813814384154,-5.6423143380218084e-05,-0.5,0.0,3565,0.06597794337967831,172.9,0.0,36,0.0,-0.14364711124994262,0.0,-0.29748699612455404,-0.8289454631941223,-0.00042761883314421594,0.0,-0.2654362510494752,0.9237457513809204,589.1653465270996,165.90533447265625,0.2,-0.0017768194200471043,25509,0.00029963136,0.8997023105621338,-18.72737808227539,0.0014436595,0.00057373046875
25.48384,0.0,147456,0.0,0.0,-0.027953774090378334,-0.019660153329761742,0.0,-1.006143861461669,-145.52669378000002,0.65,0.0,-0.021687935031161888,0.0,0.0,-0.21339966826535295,-4.801110594123447e-08,-0.32003438410394947,8,0.0,-0.5119945221191072,0.0,0.01,-0.10898288367995777,-0.0008961287514668786,-0.5,0.0,3635,0.06481098743673176,183.23,0.0,40,0.0,-0.1420865413835389,0.0,-0.2904132219053348,-0.7937078954406991,-0.00040217641209472826,4.882812370649642e-05,-0.28336311130269687,0.9238402247428894,413.3024333953857,65.57762145996094,0.2,-0.0025264578056521715,25513,0.00029956992,0.930345892906189,-18.728636074066163,0.0020978388,0.0023681640625
25.55296,0.0,165888,0.0,0.0,-0.02757690504648049,-0.021978323194199186,0.0,-0.9839442247508366,-145.3355296,0.65,0.0,-0.02201858972401548,0.0,0.0,-0.20836131906587446,-4.229271806477726e-08,-0.3231110102464764,9,0.0,-0.5347138608989841,0.0,0.01,-0.10874124353755747,-0.0002597367630288419,-0.5,0.0,3693,0.06836626429709994,182.45,0.0,44,0.0,-0.1669993442245331,0.0,-0.29502518876995903,-0.7678963307912068,-0.0002715985118532182,5.425322645654281e-06,-0.26437291031058524,0.9239680767059326,305.754674911499,51.390869140625,0.2,-0.0031368992873467504,25517,0.00029950848,0.9162321090698242,-18.73024673461914,0.0035733972,0.007275390625
25.62208,0.0,184320,0.0,0.0,-0.025815959727547695,-0.017811290662956083,0.0,-0.9922215404821286,-143.94501124,0.65,0.0,-0.022101608826576205,0.0,0.0,-0.2081519062534626,-4.16463888007736e-08,-0.3331492928031931,10,0.0,-0.536720105178393,0.0,0.01,-0.10869928522210266,-0.0001224765534667919,-0.5,0.0,3740,0.06441749849838535,177.02,0.0,49,0.0,-0.14521294128575013,0.0,-0.30626930629361443,-0.7980734214431174,-0.0036482451651487415,8.843302364564604e-05,-0.2624751015079483,0.9240992665290833,240.60266189575196,41.51738739013672,0.2,-0.0036928865301888436,25521,0.00029944704,0.8984372019767761,-18.732412338256836,0.0046160906,0.013330078125
25.6912,0.0,202752,0.0,0.0,-0.026127866343590274,-0.02275342023338132,0.0,-1.0254561064262164,-145.06331986,0.65,0.0,-0.022086844359414406,0.0,0.0,-0.1979444969086812,-3.8525399948446264e-08,-0.3442427816434551,11,0.0,-0.5549687303567294,0.0,0.01,-0.10879825590267113,-0.00019259881486909257,-0.5,0.0,3780,0.06375642849612034,181.43,0.0,53,0.0,-0.17051507116030112,0.0,-0.30266262866226784,-0.762047463478107,-0.0008282595525927152,4.340254236012697e-06,-0.23846989976323427,0.9242713451385498,172.19619216918946,31.219383239746094,0.2,-0.004716132982866839,25525,0.0002993856,0.869874119758606,-18.73441638946533,0.0051484755,0.0158203125
25.76032,0.0,221184,0.0,0.0,-0.027703821292556323,-0.02534194661811977,0.0,-1.1404619119740658,-146.57073116,0.65,0.0,-0.022671408918139294,0.0,0.0,-0.20764966056431067,-3.891189839138459e-08,-0.36299389928878,12,0.0,-0.598531235751136,0.0,0.01,-0.10863417403507607,-3.146640180299679e-05,-0.5,0.0,3814,0.06031975845380057,187.43,0.0,57,0.0,-0.16937496295798368,0.0,-0.3112359801682001,-0.7363944306147584,-0.0015604816407815902,9.385844653782745e-05,-0.2094170770847742,0.9244828224182129,110.59077301025391,19.67854881286621,0.2,-0.005544777773320675,25529,0.00029932415999999997,0.8636453151702881,-18.7374005317688,0.0070986627,0.03428955078125
25.829439999999998,0.0,239616,0.0,0.0,-0.027037687747877612,-0.027365707368153535,0.0,-1.1262860229527973,-146.09215993,0.65,0.0,-0.022560991810117604,0.0,0.0,-0.19376947007279105,-3.5809829801662345e-08,-0.3808219352892882,13,0.0,-0.6258509769240378,0.0,0.01,-0.10865814009274273,-4.041808683218228e-05,-0.5,0.0,3843,0.059337719529216945,185.48,0.0,62,0.0,-0.1808079579863841,0.0,-0.3152822906892123,-0.6813958042798012,-0.0008696049804212241,7.052915558839838e-06,-0.2072033806421685,0.9247623085975647,74.41148128509522,15.871338844299316,0.2,-0.006498267780989409,25533,0.00029926272,0.842910647392273,-18.741070365905763,0.00873176,0.0466552734375
25.89856,0.0,258048,0.0,0.0,-0.023826337220905398,-0.02371401172076159,0.0,-1.1130055500725726,-144.73271545999998,0.65,0.0,-0.022384626505997478,0.0,0.0,-0.20021417518504825,-3.6276881471784765e-08,-0.37605211280884493,14,0.0,-0.6448945369806505,0.0,0.01,-0.10843904841573189,-0.0002011434957643764,-0.5,0.0,3869,0.055116527160235365,180.06,0.0,66,0.0,-0.15964758361667195,0.0,-0.3079227870398744,-0.6788543988588494,-0.0007081918112835248,3.2009469578042626e-05,-0.2000769753611071,0.9252106547355652,53.878668212890624,13.34157943725586,0.2,-0.00780616506235674,25537,0.00029920128,0.8362889289855957,-18.746386432647704,0.007930617,0.065771484375
25.96768,0.0,276480,0.0,0.0,-0.02367558841857116,-0.026247967943694966,0.0,-1.1349628328653958,-145.96559162999998,0.65,0.0,-0.02243175293664439,0.0,0.0,-0.18668571597218567,-3.388466379086062e-08,-0.3819082978615276,15,0.0,-0.6741765669353724,0.0,0.01,-0.10854050102739829,-0.0003835703424152194,-0.5,0.0,3890,0.059103525715788585,185.03,0.0,71,0.0,-0.1669654043228087,0.0,-0.3105806637890254,-0.6933606406021433,-0.0018824272659292345,6.347645992516643e-05,-0.19981051789403514,0.9258419275283813,40.94364595413208,10.097829818725586,0.2,-0.007903809542767704,25541,0.00029913984,0.8229268789291382,-18.754462337493898,0.009908004,0.0796875
26.0368,0.0,294912,0.0,0.0,-0.022766996555910978,-0.02738505630623607,0.0,-1.1072743965283047,-146.64973664,0.65,0.0,-0.023136088780477418,0.0,0.0,-0.1953565228016864,-3.719911049275559e-08,-0.400883495228103,16,0.0,-0.6313359337840837,0.0,0.01,-0.10838204649160883,-0.00028767692533114716,-0.5,0.0,3910,0.05684975609824905,187.71,0.0,75,0.0,-0.17567151203533743,0.0,-0.31545365377776696,-0.6812161380376227,-0.0038776270629039527,7.052939488655991e-05,-0.2018180113606679,0.9263675212860107,26.594337892532348,6.201875686645508,0.2,-0.0073577698552981016,25545,0.0002990784,0.8346154689788818,-18.7639461517334,0.0100043295,0.0982177734375
26.10592,0.0,313344,0.0,0.0,-0.02459903144231347,-0.0360941969446085,0.0,-1.2251625226771923,-146.05190205,0.65,0.0,-0.02321682965457733,0.0,0.0,-0.1864641999793979,-3.880343565708924e-08,-0.4004542663696748,17,0.0,-0.65593393496715,0.0,0.01,-0.10834205997933036,-9.426442557014525e-05,-0.5,0.0,3927,0.06189256689557664,185.34,0.0,79,0.0,-0.19988987554237242,0.0,-0.3165493050568268,-0.670027622271189,-0.007017330677245,6.890172112940086e-05,-0.2050473541121455,0.9271372556686401,47.308081436157224,10.529744148254395,0.2,-0.004891468642745167,25549,0.00029901696,0.7113980054855347,-18.7721697807312,0.011181084,0.1494140625
26.17504,0.0,331776,0.0,0.0,-0.0224519620732658,-0.027085298990142333,0.0,-1.134713535385806,-146.60669614,0.65,0.0,-0.0226481903751417,0.0,0.0,-0.18224303617287088,-3.511058543360853e-08,-0.4149027545385897,18,0.0,-0.6505158917394205,0.0,0.01,-0.10840106139301336,-0.00033691177506827645,-0.5,0.0,3942,0.05657627745939812,187.5,0.0,84,0.0,-0.16416558971136824,0.0,-0.32541507745304726,-0.6593794747372196,-0.0024591894662459417,9.331575387881862e-05,-0.20450659103024058,0.9280030727386475,20.821387767791748,5.226468086242676,0.2,-0.011944526829756797,25553,0.00029895552,0.7472671270370483,-18.784301662445067,0.01157582,0.1143310546875
26.24416,0.0,350208,0.0,0.0,-0.01941587560472256,-0.02784114200882342,0.0,-1.1226478871617538,-147.03133324,0.65,0.0,-0.023006983744323105,0.0,0.0,-0.18955791701412278,-3.406869097809424e-08,-0.4116727937730161,19,0.0,-0.6301209623483585,0.0,0.01,-0.108218537193149,-0.0003021897670502464,-0.5,0.0,3956,0.056599328967085825,189.19,0.0,88,0.0,-0.1675533563865656,0.0,-0.330679436860161,-0.6491185481404707,-0.005230840799569596,0.00011121934383279747,-0.1970765213373964,0.9288082122802734,15.57024450302124,4.309011936187744,0.2,-0.01028482175897807,25557,0.00029889407999999997,0.7517164945602417,-18.795716190338133,0.012693549,0.142578125
26.31328,0.0,368640,0.0,0.0,-0.024351523402862323,-0.03025020489978199,0.0,-1.122129623168358,-146.37569882,0.65,0.0,-0.023216498645462852,0.0,0.0,-0.18792357327907516,-3.597327691637295e-08,-0.40917930143205694,20,0.0,-0.6103472990613154,0.0,0.01,-0.10820658808064866,-0.0004874637363375061,-0.5,0.0,3968,0.05789614234641311,186.7,0.0,92,0.0,-0.17265414037122737,0.0,-0.33253407681338737,-0.6459194814251359,-0.004926868894319236,0.00017903618411057524,-0.1764540765590488,0.929642915725708,15.241089057922363,4.13852596282959,0.2,-0.008866448374465107,25561,0.00029883264,0.6471170783042908,-18.809105587005615,0.013609941,0.1591796875
26.3824,0.0,387072,0.0,0.0,-0.022609841061224316,-0.02964132175015059,0.0,-1.1360070857418176,-144.23880548,0.65,0.0,-0.023859692302263966,0.0,0.0,-0.1943581369424124,-4.076819627603128e-08,-0.4261191810239039,21,0.0,-0.5720183197776678,0.0,0.01,-0.1078472379671418,-0.0006388308732615163,-0.5,0.0,3978,0.05607749625395586,178.1,0.0,97,0.0,-0.17162645755867761,0.0,-0.3551827363556714,-0.6336063489895852,-0.0013188237207757939,0.00023328968220286898,-0.1751875399032653,0.9303387403488159,17.475507259368896,4.783979892730713,0.2,-0.010257724358234554,25565,0.0002987712,0.5975522398948669,-18.819936752319336,0.01357636,0.17073974609375
26.45152,0.0,405504,0.0,0.0,-0.024518515929678134,-0.03302310617414574,0.0,-1.146149380174337,-145.46392006,0.65,0.0,-0.02394271528390399,0.0,0.0,-0.1884783187453052,-3.7344317633370255e-08,-0.4241048928125914,22,0.0,-0.6021131841634584,0.0,0.01,-0.10806450965503135,-0.0006285225002405544,-0.5,0.0,3987,0.05866435864301876,182.95,0.0,101,0.0,-0.19620840522185215,0.0,-0.3398885922157187,-0.6362763614455653,-0.006671090538772111,4.4487707782536745e-05,-0.18298721969441478,0.9314709305763245,10.50028223991394,3.3204455375671387,0.2,-0.014152697613462805,25569,0.00029870976,0.5949406623840332,-18.8329776763916,0.016514743,0.1667236328125
26.52064,0.0,423936,0.0,0.0,-0.022027694659784856,-0.03384363539730585,0.0,-1.1210296619430644,-145.6246799,0.65,0.0,-0.023709015709677272,0.0,0.0,-0.1808492900000573,-4.1489750682745464e-08,-0.41076737198705504,23,0.0,-0.5823065208401714,0.0,0.01,-0.10800293573233276,-0.001344531051775751,-0.5,0.0,3993,0.057508584745216806,183.67,0.0,106,0.0,-0.1835369957035037,0.0,-0.34782102721853586,-0.6238054205842061,-0.003379917049839169,0.0002001951118775954,-0.18021783370934466,0.9333038926124573,8.066706562042237,2.438605308532715,0.2,-0.015697305288631468,25573,0.00029864831999999996,0.5383107662200928,-18.85373010635376,0.02074809,0.183154296875
26.58976,0.0,442368,0.0,0.0,-0.023036424672275204,-0.029890193284038215,0.0,-1.0543610873465104,-143.07773334,0.65,0.0,-0.023915430691783684,0.0,0.0,-0.18563452604155967,-3.712348614750872e-08,-0.43137090236364795,24,0.0,-0.5318556526096855,0.0,0.01,-0.107897939698298,-0.0005168975153032483,-0.5,0.0,3996,0.05435705576776494,173.4,0.0,110,0.0,-0.16906720766431169,0.0,-0.3542298738561923,-0.6185446135710966,-0.005086432366752584,6.564655470558339e-05,-0.16904707691911827,0.9348933696746826,7.584741449356079,2.0642805099487305,0.2,-0.010974076041020454,25577,0.00029858688,0.47317224740982056,-18.883160877227784,0.02253668,0.24697265625
26.65888,0.0,460800,0.0,0.0,-0.019449153980670833,-0.028318383971960973,0.0,-1.0249075204812688,-142.32592004999998,0.65,0.0,-0.023393257847604827,0.0,0.0,-0.18259860022746227,-3.4861957545006556e-08,-0.44806292628729555,25,0.0,-0.5257260700634742,0.0,0.01,-0.10788064150795457,-0.0006641939560520566,-0.5,0.0,4004,0.05174314392112632,170.48,0.0,115,0.0,-0.17274649492529698,0.0,-0.3694298745569174,-0.621327431521794,-0.0030749125806673063,6.456150569849544e-05,-0.16676598544509896,0.9362443685531616,5.48632960319519,1.6366151571273804,0.2,-0.010578834032639862,25581,0.00029852544,0.4186117649078369,-18.901398277282716,0.030285921,0.29619140625
26.728,0.0,479232,0.0,0.0,-0.01921667746242893,-0.03107311824084021,0.0,-1.0219113810917928,-140.81485573,0.65,0.0,-0.024038896332295757,0.0,0.0,-0.18405443045585834,-3.8675282380594394e-08,-0.452984607309154,26,0.0,-0.5070480625112652,0.0,0.01,-0.10781334598281661,-0.00017618667657694055,-0.5,0.0,4012,0.05673800265219431,164.4,0.0,119,0.0,-0.17455823369350687,0.0,-0.36328578927466326,-0.621782363454463,-0.0049675361954312275,0.00011664481523136298,-0.17802924933510111,0.9384453892707825,4.691295301914215,1.5090079307556152,0.2,-0.011100331193301827,25585,0.00029846399999999997,0.2761853337287903,-18.928120613098145,0.03480159,0.3314453125
26.79712,0.0,497664,0.0,0.0,-0.021882768412476897,-0.02440999964304139,0.0,-0.9431841873217324,-141.66664296,0.65,0.0,-0.02436091418344546,0.0,0.0,-0.1814990100913062,-3.965783815533534e-08,-0.4409821145702279,27,0.0,-0.49916456144236054,0.0,0.01,-0.10777628440957289,-0.0012025217761725395,-0.5,0.0,4022,0.05268635983352812,167.81,0.0,123,0.0,-0.15642150779997221,0.0,-0.358317791992564,-0.635085972190391,-0.005067082443098667,0.00015679233021930687,-0.1622196612469229,0.9384769201278687,9.168127632141113,3.872016429901123,0.2,0.01149006960913539,25586,0.00029840256,-0.07503461837768555,-18.94556083679199,0.023939615,0.274951171875
26.86624,0.0,516096,0.0,0.0,-0.01709091314764788,-0.02622172959164286,0.0,-0.9262305005915606,-140.793762,0.65,0.0,-0.024064958147529618,0.0,0.0,-0.17489716490757487,-3.905116153971759e-08,-0.4361877751558125,28,0.0,-0.49233133826896963,0.0,0.01,-0.10752150692460727,-0.00016086071910750534,-0.5,0.0,3986,0.055216425292733046,164.38,0.0,129,0.0,-0.15928991212457755,0.0,-0.37250838352196414,-0.6213168186546333,-0.0037683979309603203,0.0003537322530367722,-0.17282669347931823,0.9405640363693237,16.31134696006775,3.1927454471588135,0.2,-0.008176063909195364,25590,0.00029834112,0.39725351333618164,-18.96451234817505,0.020148963,0.2264892578125
26.93536,0.0,534528,0.0,0.0,-0.022495782567302662,-0.02609905754933424,0.0,-0.9539743440558858,-142.27690872,0.65,0.0,-0.023782043453095758,0.0,0.0,-0.17757045495526774,-4.2923681730336704e-08,-0.4387366686604426,29,0.0,-0.5118003742203405,0.0,0.01,-0.10797747953878929,-0.0002620423523088296,-0.5,0.0,3994,0.05462918797931974,170.25,0.0,133,0.0,-0.16385475196089622,0.0,-0.3513752483884667,-0.6109955838365622,-0.002887218446788637,0.00022460919636715617,-0.16953576350532856,0.94222092628479,12.483922052383424,2.9237499237060547,0.2,-0.009324820677284152,25594,0.00029827968,0.05217689275741577,-18.989831066131593,0.017368684,0.15777587890625
