curriculum/cmd_scale,curriculum/dr_scale,curriculum/cmd_track_err,curriculum/stance_ratio,reward_terms/stop,reward_terms/fwd_speed,reward_terms/step_rate,reward_terms/vz,reward_terms/residual_rate,reward_terms/overrun,ankle/ankle_defl_peak,reward_terms/upright,reward_terms/lat_vel,reward_terms/torque,reward_terms/action_rate,reward_terms/angmom,reward_terms/track_yaw,time/total_timesteps,reward_terms/clearance,curriculum/eff_scale,reward_terms/energy,reward_terms/track_lin,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/stand_drift,reward_terms/phase_contact,reward_terms/ang_xy,ankle/ankle_spring_energy_peak,reward_terms/residual,time/time_elapsed,time/iterations,time/fps,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/coef_rate,reward_terms/alive,reward_terms/duty_sym,reward_terms/assist_pen,reward_terms/stand,reward_terms/air_time,curriculum/ent_coef,reward_terms/foot_ahead,curriculum/ctrl_drop_prob,ankle/ankle_spring_trq_peak,reward_terms/height,reward_terms/stance,reward_terms/time,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/entropy_loss,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss
0.0,0.0,0.9966188297642349,0.7,0.0,0.0,0.0,-0.2584706105879026,0.0,0.0,0.5190291043575201,-0.47065627032665525,-0.48736331974270974,0.0,-0.07998438231834426,-0.298587693764466,0.42100285125174924,18432,0.030195058216663333,0.0,0.0,0.7122036717865224,-0.37587820922459614,-0.002233198609448866,-0.04206689153299604,-0.0905723253695177,-0.24025542614316223,0.0,-0.10972428906718192,4,1,3888,0.0,0.0,-0.05488450934209362,-0.46434762959298354,0.5,0.0,0.0,0.17291400996289863,0.0,0.01,0.0,0.0,0.0,-0.05552732114056225,-0.02626744581677483,0.0,-86.61581726136365,190.8068181818182,,,,,,,,,,,
0.0,0.0,0.8998159702950851,0.7,0.0,0.0,0.0,-0.23338084079494148,0.0,0.0,0.5191168746410463,-0.5076049262323571,-0.5223824622662989,0.0,-0.08286652987111764,-0.2810085356194338,0.37646081027584877,36864,0.022491550012183,0.0,0.0,0.7382126624561584,-0.35781730915571186,-0.001197774328627727,-0.037092242260652275,-0.09296958467479233,-0.27047089638432614,0.0,-0.11014541435493877,9,2,3748,0.0,0.0,-0.05897599661976812,-0.49220102492020296,0.5,0.0,0.0,0.12566647328407654,1.7361065450434882e-05,0.01,0.0,0.0,0.0,-0.05054881311991496,-0.0515995753229503,0.0,-86.28935584000001,185.81,229802,-36.873572158813474,0.029002503,74.64126586914062,0.9997799396514893,-0.014858036569785326,0.2,0.00029999385599999997,0.19193115234375,0.528377115726471,326.20980682373045
0.0,0.0,0.9368281496167236,0.7,0.0,0.0,0.0,-0.24309957199508603,0.0,0.0,0.5186008070228725,-0.48970969323039537,-0.5022450700378889,0.0,-0.07894319571126492,-0.2864250234374844,0.39740932055844064,55296,0.02896613862956519,0.0,0.0,0.7105655746816242,-0.36523359235491515,-0.002770849370992639,-0.030141839669379895,-0.10773022423708062,-0.27176617131131225,0.0,-0.11038394667734436,14,3,3810,0.0,0.0,-0.05535736341595987,-0.4968004156990696,0.5,0.0,0.0,0.1286218020389254,1.0850674395139018e-05,0.01,0.0,0.0,0.0,-0.049283497552497633,-0.057034231042967266,0.0,-87.72529737,189.76,229805,-36.88587154041637,0.049496427,55.454254150390625,1.0001829862594604,-0.006728477395054969,0.2,0.000299987712,0.2763449928977273,0.7462120056152344,167.5422134399414
0.0,0.0,0.8223711722756034,0.7,0.0,0.0,0.0,-0.26438559634398423,0.0,0.0,0.5187921638913219,-0.4802936084824595,-0.5167788257595274,0.0,-0.0770055097946715,-0.28502061502304926,0.35096478282352644,73728,0.028717298581128276,0.0,0.0,0.711384061053518,-0.35633207481904855,-0.002038837753288034,-0.02930334061688437,-0.08811463477053193,-0.2513824295086952,0.0,-0.11042274724767315,19,4,3851,0.0,0.0,-0.05470582659439883,-0.4936814440826698,0.5,0.0,0.0,0.1589740864426349,3.092442057095468e-05,0.01,0.0,0.0,0.0,-0.05517688211747819,-0.05227686308860887,0.0,-85.86721508000001,187.38,229807,-36.889892578125,0.04239587,57.103919982910156,1.0002632141113281,0.00622333207866177,0.2,0.000299981568,0.312896728515625,0.7873420119285583,155.81593894958496
0.0,0.0,0.8903996977934111,0.7,0.0,0.0,0.0,-0.27551701702115916,0.0,0.0,0.5216887498598127,-0.5075676992087268,-0.5584897338743315,0.0,-0.07992531525099872,-0.29475066892418256,0.38218227239384417,92160,0.023600724211014737,0.0,0.0,0.8010618848061849,-0.35811069591733413,-0.0007930456259701815,-0.037971063041669216,-0.07515811831550331,-0.28456196669651596,0.0,-0.11028129072282897,23,5,3884,0.0,0.0,-0.0566628414507999,-0.4881917537403307,0.5,0.0,0.0,0.1581495379768338,6.022132260517942e-05,0.01,0.0,0.0,0.0,-0.05651438834727826,-0.06286895553775143,0.0,-81.78453423,183.33,229809,-36.89250564575195,0.058132265,57.35158157348633,1.0002793073654175,0.011036998902757963,0.2,0.000299975424,0.3027750651041667,0.7754894495010376,132.8826904296875
0.0,0.0,0.8459769166185567,0.7,0.0,0.0,0.0,-0.2562611652608138,0.0,0.0,0.5227553658919256,-0.4935423039151178,-0.4960006768822851,0.0,-0.07384426261601276,-0.2701002257349878,0.38398777109585486,110592,0.023688380011897003,0.0,0.0,0.6832344173863781,-0.36429049613091674,-0.001083572779963207,-0.041244991740487486,-0.08796755925130248,-0.26224766382695974,0.0,-0.11083557479590533,28,6,3902,0.0,0.0,-0.059912053286966284,-0.49596043210508917,0.5,0.0,0.0,0.12189547309604391,1.6275929131855567e-06,0.01,0.0,0.0,0.0,-0.057191864399247616,-0.06548807187620073,0.0,-89.57482224000002,189.95,229810,-36.89452972412109,0.02412522,42.1612663269043,1.0004042387008667,0.016537330858409405,0.2,0.00029996928,0.26552734375,0.7841216325759888,99.04771881103515
0.0,0.0,0.8795130439133408,0.7,0.0,0.0,0.0,-0.25680031964418815,0.0,0.0,0.5193968612300175,-0.4934798950379733,-0.5623439863945837,0.0,-0.07963210406601373,-0.30803532963685737,0.36339085162165946,129024,0.028202168827342666,0.0,0.0,0.8269103419219466,-0.365689906436574,-0.0027825128183596665,-0.03282583858241334,-0.08534844009122367,-0.26530576841860326,0.0,-0.11074799566289639,32,7,3918,0.0,0.0,-0.06957735653260674,-0.528572868347013,0.5,0.0,0.0,0.11285241061362077,0.00016113261032539108,0.01,0.0,0.0,0.0,-0.05750557762248265,-0.11634034632989773,0.0,-88.00991138,195.13,229811,-36.897080421447754,0.027826868,49.44225311279297,1.0005309581756592,0.018680796260014176,0.2,0.000299963136,0.29248046875,0.7209311723709106,106.69716835021973
0.0,0.0,0.7744219136360633,0.7,0.0,0.0,0.0,-0.25295382275019784,0.0,0.0,0.5194425355063613,-0.5140311211940956,-0.5132777120768105,0.0,-0.07568827524414007,-0.28592430041541195,0.3605680318048193,147456,0.025395964644830057,0.0,0.0,0.6382165915746048,-0.3499098824218263,-0.0017871005952151285,-0.037051510528459924,-0.09020490135508477,-0.24267417603293215,0.0,-0.11094521849092237,37,8,3930,0.0,0.0,-0.05754624586809084,-0.4971685442218629,0.5,0.0,0.0,0.12019394709071503,1.3020801513145367e-05,0.01,0.0,0.0,0.0,-0.05792499832223254,-0.09805133264873961,0.0,-89.76199718000002,195.04,229812,-36.900156021118164,0.031498514,46.68728256225586,1.0007119178771973,0.025207611499354243,0.2,0.000299956992,0.31597900390625,0.7145290970802307,100.4243335723877
0.0,0.0,0.8175029974610508,0.7,0.0,0.0,0.0,-0.26052428458840377,0.0,0.0,0.5181990617447495,-0.5122695079991199,-0.5173695363593517,0.0,-0.0742098466369629,-0.2906762358364005,0.3616446464340309,165888,0.024464305796816032,0.0,0.0,0.766525598716921,-0.35602570271400635,-0.002476931801841905,-0.042908046168725934,-0.08020806617744117,-0.24234012355916384,0.0,-0.11102219096189324,42,9,3940,0.0,0.0,-0.059607587390745204,-0.5050752600618157,0.5,0.0,0.0,0.1724883608311244,1.953120226971805e-05,0.01,0.0,0.0,0.0,-0.05890692590208366,-0.1123117172299288,0.0,-84.61586242999999,195.95,229813,-36.90273189544678,0.029652962,47.727359771728516,1.0008628368377686,0.022425501432735473,0.2,0.00029995084799999997,0.31805419921875,0.6619536876678467,102.26041030883789
0.0,0.0,0.8618306983976269,0.7,0.0,0.0,0.0,-0.2782969470058446,0.0,0.0,0.519162887933911,-0.48669748601593477,-0.5438022088677815,0.0,-0.07149539695601431,-0.28320438410354476,0.37911065501062713,184320,0.025415039897161266,0.0,0.0,0.7021830430631473,-0.36108619809995945,-0.0016516041311357792,-0.03652298629339153,-0.08452705073439189,-0.26391485020197636,0.0,-0.1110610200262286,46,10,3948,0.0,0.0,-0.06706420876357098,-0.5043833517629346,0.5,0.0,0.0,0.09862928418102287,2.8754264349117875e-05,0.01,0.0,0.0,0.0,-0.060828564049122485,-0.14196963320548328,0.0,-93.01382691,193.44,229814,-36.8997802734375,0.0217918,41.801212310791016,1.0005958080291748,0.01568167128910621,0.2,0.00029994470399999997,0.2513834635416667,0.7201101779937744,92.55798085530598
