time/iterations,reward_terms/hip_roll,reward_terms/pos_pen,reward_terms/ang_xy,reward_terms/foot_slip,time/fps,reward_terms/height,reward_terms/overrun,reward_terms/stop,reward_terms/air_time,reward_terms/time,curriculum/ent_coef,reward_terms/track_vx,reward_terms/track_pos,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/clearance,reward_terms/progress,reward_terms/alive,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/torque,reward_terms/vz,reward_terms/track_heading,reward_terms/action_rate,reward_terms/upright,time/time_elapsed,reward_terms/stance_time,reward_terms/yaw_rate,time/total_timesteps,reward_terms/track_yaw,curriculum/sprint_dist_m,reward_terms/heading_pen,reward_terms/stance,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/std
18,-0.04714995930868483,0.0,-4.365747026442626e-07,-0.31616561181064456,148,-0.08750583148126974,0.0,0.0,0.0003396678067195522,-0.5,0.01,0.0,0.0,-106.77273587999998,-3.5800429485790184e-09,0.019492979277812017,0.0,0.0,4.54,0.4914770153815098,-0.4123454292522713,-0.2306334402260581,0.0,-0.006911916418407041,-2.637926191085612e-07,465,-0.2972574755557307,0.0,69120,0.0,37.24,0.0,-0.035092173712585106,1407.65673828125,-25.430818021297455,0.000298368,2578.6165084838867,-0.028759969063685276,68,0.007906468,-4.160492897033691,0.03802490234375,0.2,0.994563639163971
19,-0.04298133722678108,0.0,-4.2612676113153084e-07,-0.33142717081300077,148,-0.08705244337375735,0.0,0.0,0.00016156244558947604,-0.5,0.01,0.0,0.0,-107.14250514000001,-3.0887091542721392e-09,0.01782084223795273,0.0,0.0,4.95,0.5063068276229677,-0.42325090194868237,-0.21957730172098977,0.0,-0.006764807679044626,-2.7391341252463827e-07,492,-0.30819197230674705,0.0,72960,0.0,37.96,0.0,-0.03265305521264195,1196.6885986328125,-25.425645411014557,0.000298272,2361.646385192871,-0.028747189440764487,72,0.008771506,-3.793093681335449,0.04864501953125,0.2,0.9943883419036865
20,-0.04436010695108443,0.0,-3.43611448364777e-07,-0.3368801133876889,147,-0.08490518565065716,0.0,0.0,6.34711675977067e-05,-0.5,0.01,0.0,0.0,-106.90779710000002,-2.893623982481303e-09,0.017461166605895577,0.0,0.0,4.76,0.5158497915924637,-0.4309555648250446,-0.2151315640091928,0.0,-0.006747183495583427,-2.810151956075175e-07,518,-0.3079676815871452,0.0,76800,0.0,38.68,0.0,-0.037927062714110504,1296.7530517578125,-25.42469298839569,0.000298176,2114.930690765381,-0.027493074660014827,76,0.0074015325,-4.0640082359313965,0.03521728515625,0.2,0.9947420954704285
21,-0.049115136321167846,0.0,-3.7587277877004597e-07,-0.35017247814268443,148,-0.08943115070986356,0.0,0.0,0.00015875683656717368,-0.5,0.01,0.0,0.0,-106.80127307000001,-3.414244616871753e-09,0.017728793762487607,0.0,0.0,4.69,0.5401059151576135,-0.4411771241201847,-0.22036358747058288,0.0,-0.006919254941522818,-2.8880947527323335e-07,544,-0.29849793253466606,0.0,80640,0.0,39.4,0.0,-0.040013245916704424,702.9180297851562,-25.420170724391937,0.00029808,1642.9836883544922,-0.026300741512386594,80,0.008928227,-3.3047728538513184,0.04925537109375,0.2,0.9944044947624207
22,-0.04644805677865033,0.0,-4.2417570477392364e-07,-0.34665514210908766,147,-0.08182063623618911,0.0,0.0,0.00026381015227717054,-0.5,0.01,0.0,0.0,-107.25721458999999,-5.119816593730027e-09,0.017727915982931778,0.0,0.0,5.21,0.5319934930419389,-0.4313235324478631,-0.21412758222665193,0.0,-0.00692274799710075,-2.8478520797338604e-07,570,-0.30023986257529284,0.0,84480,0.0,40.120000000000005,0.0,-0.043801340209565436,422.26123046875,-25.420618414878845,0.000297984,1168.5926895141602,-0.023203027099953033,84,0.0066429605,-2.084228515625,0.0263671875,0.2,0.9943718314170837
23,-0.04464578307852133,0.0,-3.61788578011779e-07,-0.3438004895136743,147,-0.07738760268740766,0.0,0.0,0.0001128679100563381,-0.5,0.01,0.0,0.0,-106.85005539999999,-2.9714991734046148e-09,0.01633973805818879,0.0,0.0,5.14,0.5360815067288915,-0.42132733537284317,-0.2065705882316161,0.0,-0.006909805078169276,-2.7646642830934977e-07,596,-0.3030547983284246,0.0,88320,0.0,40.84,0.0,-0.03893302627710169,419.60247802734375,-25.415707230567932,0.000297888,902.6725997924805,-0.026292156588169746,88,0.010051661,-0.9489370584487915,0.05682373046875,0.2,0.9937785267829895
24,-0.04418591415699859,0.0,-3.3409009636490023e-07,-0.3503691383407391,147,-0.07586459230693433,0.0,0.0,8.646320484111091e-05,-0.5,0.01,0.0,0.0,-107.88948402,-2.719166139294159e-09,0.014996945239700727,0.0,0.0,5.5,0.524995630323967,-0.43281276118654427,-0.19473439473041027,0.0,-0.006894388608083775,-2.8781845530592697e-07,622,-0.3298805532537271,0.0,92160,0.0,41.56,0.0,-0.045563140823203646,266.5736083984375,-25.40863400697708,0.00029779199999999996,683.3931331634521,-0.0293456982326461,92,0.012420474,-0.7146399021148682,0.0743408203125,0.2,0.9931304454803467
25,-0.04568806696864851,0.0,-3.634980132759882e-07,-0.3447783451095778,147,-0.07594218934034876,0.0,0.0,0.00018222528203096496,-0.5,0.01,0.0,0.0,-107.18179478999998,-3.1161496652972638e-09,0.016443547840945826,0.0,0.0,5.23,0.5314032539360605,-0.4195241024440491,-0.20284415735967043,0.0,-0.006985720169633191,-2.764138957975992e-07,648,-0.3074778014748187,0.0,96000,0.0,42.28,0.0,-0.04480271009074487,223.62620544433594,-25.39931470155716,0.000297696,533.7535886764526,-0.030520584143232554,96,0.01278333,-0.4860016107559204,0.08966064453125,0.2,0.9929679036140442
26,-0.04958156198637158,0.0,-4.0264634685037995e-07,-0.3582103536783971,147,-0.07495288664762637,0.0,0.0,0.00021034991457665015,-0.5,0.01,0.0,0.0,-107.97735594,-4.43319838699285e-09,0.01535191310226083,0.0,0.0,5.64,0.5454997918744259,-0.4394066024320589,-0.19285733243110742,0.0,-0.006887173688643115,-2.903162928130528e-07,675,-0.3211729341919172,0.0,99840,0.0,43.0,0.0,-0.04445962038773398,168.7946319580078,-25.39006108045578,0.00029759999999999997,470.40461349487305,-0.033995880687143654,100,0.016190121,-0.5983277559280396,0.09991455078125,0.2,0.9922425746917725
27,-0.04857383156244314,0.0,-3.5559743655824304e-07,-0.36387961560363496,147,-0.07311486333430546,0.0,0.0,0.00023896699860290573,-0.5,0.01,0.0,0.0,-108.17912986000002,-3.5552218503755274e-09,0.014925476118479544,0.0,0.0,5.8,0.5424429914083378,-0.4410914428541027,-0.18494016114101003,0.0,-0.007143679308908703,-2.934203610850667e-07,700,-0.31915733796214424,0.0,103680,0.0,43.72,0.0,-0.04584532228091876,122.17699432373047,-25.376714408397675,0.000297504,334.8407793045044,-0.034981223463546485,104,0.017615546,-0.29267263412475586,0.12420654296875,0.2,0.991705060005188
