reward_terms/fwd_speed,reward_terms/motor_vel,reward_terms/ang_xy,reward_terms/phase_contact,reward_terms/coef_rate,reward_terms/residual,reward_terms/air_time,reward_terms/height,reward_terms/assist_pen,curriculum/ent_coef,time/iterations,reward_terms/alive,curriculum/ctrl_drop_prob,reward_terms/stance_time,reward_terms/angmom,curriculum/ctrl_jitter_ms,time/total_timesteps,reward_terms/step_rate,reward_terms/foot_slip,reward_terms/vz,reward_terms/energy,reward_terms/stance,rollout/ep_len_mean,reward_terms/foot_ahead,time/time_elapsed,reward_terms/clearance,reward_terms/overrun,reward_terms/torque,reward_terms/upright,curriculum/stance_ratio,reward_terms/action_rate,rollout/ep_rew_mean,reward_terms/hip_roll,reward_terms/residual_rate,reward_terms/stop,reward_terms/time,reward_terms/lat_vel,curriculum/sprint_dist_m,time/fps,curriculum/eff_scale,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/std,train/loss
-0.5071395986915909,0.0,-0.25164596458139243,-0.37121812400263987,-0.03413714365309125,-0.11180642200925124,0.0008154295759999917,-0.05566284454160199,0.0,0.01,1,0.0,0.0,-0.00221569903078489,-0.2160695317464814,0.0,18432,0.0,-0.10769291721061663,-0.17059137037121974,0.0,-0.02016362713587159,161.15,0.0,4,0.06563427810382401,0.0,0.0,-0.7505984890629194,0.65,-0.007525381056670151,-135.99171759,-0.026461529048268914,0.0,0.0,-0.5,-0.011032321716578959,25.0,3964,0.0,,,,,,,,,,,
-0.8562638063625054,-3.293093747384039e-06,-0.23500024311896248,-0.42115644835830807,-0.02109840957662279,-0.11233661206118747,0.0,-0.0728728620264581,0.0,0.01,2,0.0,0.0,-0.000575213832133967,-0.22852907595861272,0.0,36864,0.0,-0.04779504775265324,-0.19187404670031924,-1.0058364575273e-05,0.0,143.46,0.0,9,0.06598730026424236,0.0,-0.00024028388557022912,-0.9781702888852197,0.649858688,-0.005376606081376431,-135.53833393,-0.0029471998351590827,0.0,0.0,-0.5,-0.004596430715672961,25.06912,3911,0.0006144,0.19742838541666666,0.2,-0.41673195362091064,-16.629931767781574,0.00029993856,0.011128637318809828,0.019486008,38468,924.3105265299479,0.8473279476165771,315.355712890625
-0.867840622770784,-6.778435537417372e-06,-0.22830115244724963,-0.4124698044178615,-0.02281352433320708,-0.11239409997504501,0.0,-0.07126922445262296,0.0,0.01,3,0.0,0.0,-0.0010039473870872622,-0.20867824013691197,0.0,55296,0.0,-0.10248826988020494,-0.18931541274499722,-2.1673494085043665e-05,-3.433356943293112e-05,148.27,0.0,13,0.0647951369815222,0.0,-0.0004743369367933342,-0.9611865698168983,0.649717376,-0.006542603708633854,-136.79614180999997,-0.0030652681997586275,0.0,0.0,-0.5,-0.006072864170159845,25.13824,4037,0.0012288,0.19720458984375,0.2,-1.0612750053405762,-16.630024909973145,0.00029987712,0.01153555850032717,0.019157154,38469,785.6799545288086,0.8473235964775085,137.60304260253906
-1.0186183563718072,-1.0828679579963406e-05,-0.22474436775064172,-0.42753276698091436,-0.04197078612074223,-0.11178775173516962,6.0763818004892935e-05,-0.04785034338574701,0.0,0.01,4,0.0,0.0,-0.0010322985375144829,-0.22408397125747154,0.0,73728,0.0,-0.30832994550705434,-0.14225408211660054,-4.396503086414929e-05,-0.14354874629163955,166.22,0.0,17,0.05658900686024812,0.0,-0.0005734258954963493,-0.7878706733100085,0.649576064,-0.009367977303552492,-141.32455284000002,-0.06076067196864897,0.0,0.0,-0.5,-0.04362176543719674,25.20736,4096,0.0018432,0.19791666666666666,0.2,-0.7367144823074341,-16.630133946736652,0.00029981568,0.011821626996000608,0.047904953,38471,322.07333119710285,0.8473193049430847,85.53350830078125
-0.8995473866949291,-1.6204872094325546e-05,-0.2642649553194112,-0.40314446107507845,-0.085808352418377,-0.11016766015426915,0.00030978684986217157,-0.040220072147191394,0.0,0.01,5,0.0,0.0,-0.0018197853706725356,-0.1804083585821502,0.0,92160,0.0,-0.3625333107240626,-0.1386944883449362,-7.263900242389879e-05,-0.27259360798415505,175.56,0.0,22,0.0570120424147787,0.0,-0.0007793039505388038,-0.6040459983464,0.649434752,-0.012670528993486769,-143.58158356,-0.08128923827242283,0.0,0.0,-0.5,-0.029973703330392683,25.27648,4115,0.0024576,0.11903076171875,0.2,-0.4656928777694702,-16.63036823272705,0.00029975423999999997,0.0022285490413196385,0.0098998975,38475,105.00238265991212,0.84732985496521,20.66754913330078
-0.6776890086479767,-2.4035712294494393e-05,-0.34827221011739995,-0.34394708859063816,-0.14912583621617664,-0.10972796333780832,0.0009494350395268864,-0.034858442600031576,0.0,0.01,6,0.0,0.0,-0.0008753750525001022,-0.18926858521283235,0.0,110592,0.0,-0.38081336102439167,-0.1558631321074528,-0.00011448248654878636,-0.27832175085831434,155.92,0.0,26,0.058107788095039276,0.0,-0.001142132691806977,-0.4703258994175667,0.64929344,-0.017698295538484593,-138.15544878999998,-0.10006820229468617,0.0,0.0,-0.5,-0.032786839867262656,25.3456,4132,0.003072,0.01217041015625,0.2,0.45737719535827637,-16.630841636657713,0.0002996928,-0.0027418590732850136,0.0033198427,38479,89.76295356750488,0.8473644852638245,25.763946533203125
-0.4521361890053308,-2.9810559248107544e-05,-0.36728834232967594,-0.32371723166954497,-0.17075861161899433,-0.10948505982290753,0.0012961146809781592,-0.03040105970056385,0.0,0.01,7,0.0,0.0,-0.001406786921304754,-0.17246010929392716,0.0,129024,0.0,-0.3996047421481104,-0.1549978139706626,-0.00014714698508184085,-0.2470310763555173,149.09,0.0,31,0.05987273831651942,0.0,-0.001356073228901979,-0.3926955060592704,0.649152128,-0.02101305129303794,-134.58939640999998,-0.11342073379113206,0.0,0.0,-0.5,-0.03298842217930653,25.41472,4144,0.0036864,0.02005615234375,0.2,0.8178534507751465,-16.631557178497314,0.00029963136,-0.0025571778067387642,0.0032761737,38483,298.23781661987306,0.8474087119102478,78.00936126708984
-0.3100441974733949,-3.527520667724673e-05,-0.3406662585423206,-0.322339737308575,-0.15784577505496417,-0.10934049094917062,0.0014127592924827088,-0.025294889225881693,0.0,0.01,8,0.0,0.0,-0.007288255277671851,-0.14464417327285664,0.0,147456,0.0,-0.401513886704419,-0.13682971324820004,-0.0001730623124258423,-0.21923400032540463,129.89,0.0,35,0.06245331970126192,0.0,-0.001458212995126075,-0.337296168845558,0.649010816,-0.020261766545188277,-129.78916504999998,-0.11015061152886953,0.0,0.0,-0.5,-0.03779598647999183,25.48384,4154,0.0043008,0.01005859375,0.2,0.7850748896598816,-16.632158946990966,0.00029956992,-0.0016378437692765146,0.0013533934,38487,469.28698883056643,0.8474376201629639,135.12481689453125
-0.4022186133376398,-3.950841371818643e-05,-0.3473071165351774,-0.32794085805229223,-0.15831282429324967,-0.10981900603679229,0.0014496516766181837,-0.022474908316831032,0.0,0.01,9,0.0,0.0,-0.002743724339072489,-0.14957003083073292,0.0,165888,0.0,-0.41179672874000983,-0.1378107182168908,-0.0001955465728486545,-0.23170972295690748,142.47,0.0,39,0.06024883165386363,0.0,-0.0017507093824611804,-0.3389905591183099,0.648869504,-0.019930547864749765,-133.54925706000003,-0.11776302599861478,0.0,0.0,-0.5,-0.03632566039434188,25.55296,4162,0.0049152,0.00390625,0.2,0.8177076578140259,-16.632564353942872,0.00029950848,-0.00182505426928401,0.0013924256,38491,298.74889221191404,0.8474615812301636,84.84932708740234
-0.3108662477341999,-4.575693054198317e-05,-0.3340451173362029,-0.31676671006759666,-0.1622292739240906,-0.10883847219800823,0.0014062488076484038,-0.022181123061506287,0.0,0.01,10,0.0,0.0,-0.0020617610280169174,-0.13563001383604764,0.0,184320,0.0,-0.425366830670885,-0.1308176903645241,-0.00022687563789875243,-0.2335615009223092,114.46,0.0,44,0.05840308155414754,0.0,-0.001843983560286973,-0.2760586291671187,0.648728192,-0.021848593965522335,-126.44828901000001,-0.12121607678122115,0.0,0.0,-0.5,-0.03497434621107903,25.62208,4165,0.0055296,0.0018798828125,0.2,0.8134949207305908,-16.63298101425171,0.00029944704,-0.0019870226620696484,0.00079816626,38495,252.80864334106445,0.8474840521812439,96.3565444946289
