reward_terms/residual_rate,reward_terms/vz,time/total_timesteps,reward_terms/assist_pen,reward_terms/coef_rate,reward_terms/stance,curriculum/ent_coef,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/clearance,reward_terms/height,reward_terms/foot_slip,reward_terms/time,reward_terms/upright,reward_terms/residual,reward_terms/energy,rollout/ep_rew_mean,reward_terms/torque,reward_terms/air_time,reward_terms/motor_vel,reward_terms/stance_time,reward_terms/ang_xy,time/time_elapsed,reward_terms/foot_ahead,reward_terms/lat_vel,curriculum/stance_ratio,reward_terms/angmom,reward_terms/phase_contact,reward_terms/step_rate,time/iterations,curriculum/eff_scale,reward_terms/hip_roll,time/fps,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/alive,reward_terms/stop,reward_terms/action_rate,train/learning_rate,train/policy_gradient_loss,train/std,train/clip_range,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/explained_variance,train/approx_kl
0.0,0.0,18432,0.0,-1.3002380746001458,-0.004199326322271166,0.01,25.0,0.0,0.06356208721326255,0.0,-0.43493664621462913,-0.5,-5.1194915911803994e-08,-0.061835553503001024,0.0,-100.25,0.0,0.00019368428426484266,0.0,0.0,-6.381860212711707e-06,4,0.0,-2.1702514741928804e-08,0.65,0.0,-0.12137136255171582,0.0,1,0.0,-0.017255932742392965,4228,0.6347233816146799,1.0,0.0,0.0,-0.13116546773859106,,,,,,,,,,,
0.0,0.0,36864,0.0,-1.303532743228999,-0.005900963571116744,0.01,25.06912,0.0,0.05563524173595553,0.0,-0.45594557925832774,-0.5,-3.895276375786057e-08,-0.06187946415419697,-9.900463971761034e-06,-100.25,-9.732916931057812e-05,0.00021864082858276865,-1.3593295974181058e-06,0.0,-4.238775351104639e-06,9,0.0,-2.0917500274064245e-08,0.649858688,0.0,-0.12192199842549514,0.0,2,0.0006144,-0.016522184248243216,4029,0.7209100473345669,1.0,0.0,0.0,-0.13237050859077257,0.00029993856,-0.01248289259383455,1.002282738685608,0.2,14.568068981170654,8.047451972961426,4,-19.882609367370605,0.04749755859375,-0.17768359184265137,0.0071395277
0.0,0.0,55296,0.0,-1.303796351488261,-0.004409843010597342,0.01,25.13824,0.0,0.06030354039939064,0.0,-0.412494808496136,-0.5,-3.79215610991089e-08,-0.06198043814366114,-1.9979538536427363e-05,-100.25,-0.00019168669346209446,0.00028482990455813706,-2.805474220215534e-06,0.0,-4.229033727402835e-06,13,0.0,-2.1390308802176085e-08,0.649717376,0.0,-0.10769448257274354,0.0,3,0.0012288,-0.016779796603943797,4116,0.7677079014191642,1.0,0.0,0.0,-0.1322484412456509,0.00029987712,-0.008701415685936808,1.0019527673721313,0.2,15.24372582435608,6.630573272705078,8,-19.878324508666992,0.02198486328125,0.31592607498168945,0.006028405
0.0,0.0,73728,0.0,-1.3096156052956227,-0.008602538239825498,0.01,25.20736,0.0,0.05978040891899899,0.0,-0.41952663517270034,-0.5,-3.624501573883527e-08,-0.06192695385224797,-2.9825579450158987e-05,-100.25,-0.000289236200349117,0.0003851985966321081,-4.2145037351338165e-06,0.0,-4.127122734673859e-06,17,0.0,-2.0676970723199696e-08,0.649576064,0.0,-0.10098846422064257,0.0,4,0.0018432,-0.017943009516403687,4165,0.7487937178205798,1.0,0.0,0.0,-0.1314213189355029,0.00029981568,-0.008904749702196568,1.001285195350647,0.2,13.923561620712281,5.926692962646484,12,-19.873091411590575,0.0257080078125,0.6649559736251831,0.0065059224
0.0,0.0,92160,0.0,-1.2917400156323064,-0.0051341044550779905,0.01,25.27648,0.0,0.06348650743607254,0.0,-0.40531731608943045,-0.5,-3.630060844280147e-08,-0.06196680945714647,-3.9836175496515353e-05,-100.25,-0.00038588400147709885,0.0003531891367553423,-5.583452935791206e-06,0.0,-4.028757866869644e-06,21,0.0,-2.0607413995519722e-08,0.649434752,0.0,-0.10403668087781867,0.0,5,0.0024576,-0.017475743011238425,4195,0.8092819631693134,1.0,0.0,0.0,-0.13279537621028797,0.00029975423999999997,-0.008905483223497868,1.0008052587509155,0.2,13.679974603652955,5.957551002502441,16,-19.86905174255371,0.02890625,0.8334100246429443,0.00695033
0.0,0.0,110592,0.0,-1.3003122845245676,-0.004633160729412401,0.01,25.3456,0.0,0.07024964971767546,0.0,-0.38883295585711575,-0.5,-3.463677192658015e-08,-0.06182003717830176,-4.905347251092945e-05,-100.25,-0.00047429568877163853,0.00039062385136882466,-6.871393537961553e-06,0.0,-3.9680434368073075e-06,26,0.0,-2.1362652089841187e-08,0.64929344,0.0,-0.09091867568462791,0.0,6,0.003072,-0.016256639879804705,4220,0.8453997834404122,1.0,0.0,0.0,-0.13221943719923263,0.0002996928,-0.006465595733607188,1.0006688833236694,0.2,12.110508155822753,4.348551273345947,20,-19.865193939208986,0.01405029296875,0.853135347366333,0.004929168
0.0,0.0,129024,0.0,-1.2735678039252862,-0.005799762256945043,0.01,25.41472,0.0,0.07348359785226087,0.0,-0.3631085557762692,-0.5,-3.2369007518216685e-08,-0.062128654695603504,-5.9637879184936474e-05,-100.25,-0.0005792232915668167,0.0006293388174122407,-8.417682011486719e-06,0.0,-3.688597230594282e-06,30,0.0,-2.0327929752069846e-08,0.649152128,0.0,-0.08103793741222974,0.0,7,0.0036864,-0.016950248803043553,4241,0.8269228649032212,1.0,0.0,0.0,-0.13228111341452106,0.00029963136,-0.006228876661043614,1.0003926753997803,0.2,10.823277378082276,3.6675643920898438,24,-19.86329174041748,0.01611328125,0.9047282934188843,0.0053546233
0.0,0.0,147456,0.0,-1.2757539354305856,-0.0057352124104968075,0.01,25.48384,0.0,0.07456813434474614,0.0,-0.3469637625129746,-0.5,-3.12270260835435e-08,-0.06195738339373538,-6.776434061010894e-05,-100.25,-0.000662685346538619,0.0006705713296671294,-9.401429841613365e-06,0.0,-3.7858497071937688e-06,34,0.0,-2.0192292433710403e-08,0.649010816,0.0,-0.06700205597143523,0.0,8,0.0043008,-0.01600056796915742,4260,0.8060958379912307,1.0,0.0,0.0,-0.13154023476449211,0.00029956992,-0.005506043345667422,1.0005478858947754,0.2,10.47024416923523,3.5118770599365234,28,-19.8629168510437,0.01109619140625,0.9053936004638672,0.0045423186
0.0,0.0,165888,0.0,-1.267290130463053,-0.004119783569905486,0.01,25.55296,0.0,0.08071499850199677,0.0,-0.3323747626033549,-0.5,-3.042437632194732e-08,-0.062448158779697005,-7.850968429874488e-05,-100.25,-0.0007673299825801753,0.0009988044524410118,-1.106457657915331e-05,0.0,-3.6800161339877504e-06,38,0.0,-2.0625146930836284e-08,0.648869504,0.0,-0.06731462906892643,0.0,9,0.0049152,-0.016064330787077044,4274,0.8690774841698183,1.0,0.0,0.0,-0.1307630749080242,0.00029950848,-0.005835130042396486,1.0009573698043823,0.2,9.827214074134826,2.9562175273895264,32,-19.868901920318603,0.01527099609375,0.9006235003471375,0.004817539
0.0,0.0,184320,0.0,-1.259146912829811,-0.0049850598897453165,0.01,25.62208,0.0,0.08269887280416362,0.0,-0.31511158294218616,-0.5,-2.9136834120832874e-08,-0.06244122738252757,-8.819945475493137e-05,-100.25,-0.0008640619543747897,0.0010389519124550538,-1.2467936486337192e-05,0.0,-3.560249593742501e-06,43,0.0,-2.0375536596172398e-08,0.648728192,0.0,-0.05984216827721503,0.0,10,0.0055296,-0.01674537186120286,4285,0.8165877346553546,1.0,0.0,0.0,-0.12999497341530142,0.00029944704,-0.00592211582697928,1.0013258457183838,0.2,9.76025550365448,3.111593008041382,36,-19.872089290618895,0.01156005859375,0.8690031170845032,0.004406225
