reward_terms/upright,reward_terms/track_yaw,reward_terms/duty_sym,reward_terms/residual_rate,time/iterations,reward_terms/step_rate,curriculum/stance_ratio,reward_terms/track_lin,curriculum/cmd_track_err,curriculum/eff_scale,reward_terms/assist_pen,curriculum/ctrl_drop_prob,reward_terms/height,curriculum/ent_coef,reward_terms/stand_drift,reward_terms/overrun,rollout/ep_rew_mean,reward_terms/phase_contact,reward_terms/alive,reward_terms/air_time,reward_terms/coef_rate,curriculum/ctrl_jitter_ms,reward_terms/stance_time,reward_terms/foot_slip,reward_terms/angmom,reward_terms/foot_ahead,reward_terms/stance,reward_terms/stand,reward_terms/residual,rollout/ep_len_mean,reward_terms/torque,time/fps,reward_terms/time,reward_terms/action_rate,reward_terms/lat_vel,curriculum/cmd_scale,reward_terms/fwd_speed,reward_terms/stop,reward_terms/clearance,reward_terms/energy,reward_terms/vz,time/time_elapsed,reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/ang_xy,time/total_timesteps,train/explained_variance,train/learning_rate,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/loss,train/entropy_loss,train/std,train/value_loss,train/policy_gradient_loss,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress
-0.2913141989900119,0.585959885685487,0.0,0.0,1,0.0,0.7,1.5144783892335785,0.5492364977262587,0.0,0.0,0.0,-0.011346863231003859,0.01,-0.09145575102046788,0.0,-51.372888842105255,-0.04121107945093573,0.5,0.00034071103113496467,-0.35164109998322385,0.0,0.0,-0.31341310136796513,-0.06648440733540609,0.0,-0.2520567514788817,0.1671372857544461,-0.11248098903941993,352.2631578947368,0.0,4105,0.0,-0.0515802253204155,-0.13662720445541748,0.0,0.0,0.0,0.05808379713351123,0.0,-0.041743337842632997,4,0.0,-0.1928409057576827,-0.31246894853338264,18432,,,,,,,,,,,,,,,
-0.2764843389094367,0.618570753306945,0.0,0.0,2,0.0,0.7,1.6583308295592945,0.38276745786830163,0.0,0.0,0.0,-0.010279659405194186,0.01,-0.21969225726503755,0.0,3.350709593750002,-0.021280894706938686,0.5,0.0004177508526481688,-0.3227310737164115,0.0,0.0,-0.29037727919793915,-0.056650766223371174,0.0,-0.3224304151443841,0.08730753576178882,-0.11354925840961812,511.65625,0.0,3963,0.0,-0.04783480802172088,-0.17059872311656712,0.0,0.0,0.0,0.04177769123699991,0.0,-0.026642785399399127,9,0.0,-0.19152035220060917,-0.29412029293877245,36864,0.9188516139984131,0.000299990784,0.29901123046875,0.2,0.03842249,83764,99.25568389892578,-36.91666107177734,1.0021533966064453,245.9644561767578,-0.03220334623474628,,,,
-0.29685865227418623,0.6199816797182179,0.0,0.0,3,0.0,0.7,1.822197741816242,0.27251117293930993,0.0,0.0,0.0,-0.012153140087215032,0.01,-0.1895435398116313,0.0,71.7156583773585,-0.023754884733093635,0.5,0.00029405310245541233,-0.3121715647085193,0.0,0.0,-0.2850545091171404,-0.07752348962657823,0.0,-0.2666420256425855,0.1575223173219522,-0.11327718303242035,651.8679245283018,0.0,4031,0.0,-0.04821576535614832,-0.21158764379080106,0.0,0.0,0.0,0.04211909670625683,0.0,-0.032148488707082916,13,0.0,-0.19284141233209975,-0.2972153837428509,55296,0.8731968402862549,0.000299981568,0.26407470703125,0.2,0.030025756,83768,111.07513427734375,-36.91651439666748,1.0019099712371826,300.512629699707,-0.02859531776048243,,,,
-0.2790107837116253,0.6221150651667999,0.0,0.0,4,0.0,0.7,1.8674167750632904,0.2949550149523981,0.0,0.0,0.0,-0.011832220339474581,0.01,-0.1751313109306609,0.0,98.35598264285713,-0.02972343086102654,0.5,0.00033691317851965624,-0.30839609599264306,0.0,0.0,-0.2712912774960752,-0.0529415164965372,0.0,-0.2972328739594442,0.235456417616561,-0.11337227569078695,707.1,0.0,4065,0.0,-0.04820439358606253,-0.2271811221645039,0.0,0.0,0.0,0.047322098273172464,0.0,-0.029445187643398738,18,0.0,-0.1953511739111725,-0.2873287768719492,73728,0.9007676243782043,0.00029997235199999997,0.2857666015625,0.2,0.032235425,83772,128.3419189453125,-36.9160551071167,1.0020465850830078,299.6868560791016,-0.03137695263139904,,,,
-0.2707326682456629,0.6368328462697945,0.0,0.0,5,0.0,0.7,1.820716222041821,0.2211814117808323,0.0,0.0,0.0,-0.013318923811920617,0.01,-0.1572910566605904,0.0,126.58868646341462,-0.03103419902773034,0.5,0.00033691311061071855,-0.31548294548987665,0.0,0.0,-0.26404424379671476,-0.06075343715597224,0.0,-0.27230059880795227,0.1337509022062719,-0.11375432205808339,786.1829268292682,0.0,4090,0.0,-0.049111162661832984,-0.18472405843076334,0.0,0.0,0.0,0.0503939250975829,0.0,-0.03516506513220218,22,0.0,-0.18702942695673574,-0.2805210040673111,92160,0.8822094202041626,0.000299963136,0.23785400390625,0.2,0.026306272,83776,120.6601333618164,-36.91585483551025,1.0018638372421265,324.612979888916,-0.02822873624972999,,,,
-0.24775565128980487,0.6546398940522968,0.0,0.0,6,0.0,0.7,1.6582791778174257,0.28937724416258626,0.0,0.0,0.0,-0.008030654517604456,0.01,-0.09678154883790774,0.0,165.20920235869565,-0.024911668457989245,0.5,0.0003396258980501443,-0.31717398615951053,0.0,0.0,-0.26662747224526756,-0.061089678762529825,0.0,-0.30521234678524123,0.04093787850706451,-0.11357587229226679,865.3152173913044,0.0,4105,0.0,-0.047348423157787506,-0.1535813831886284,0.0,0.0,0.0,0.04686457743082947,0.0,-0.021570874681586295,26,0.0,-0.18222287369451992,-0.2800014677087584,110592,0.8874579668045044,0.00029995392,0.25269775390625,0.2,0.03179809,83780,92.04537963867188,-36.91300945281982,1.0017770528793335,242.2561019897461,-0.03155221989145503,,,,
-0.2962601037072452,0.6009751630211128,0.0,0.0,7,0.0,0.7,1.5216972843522025,0.3591998488046392,0.0,0.0,0.0,-0.011584211096175606,0.01,-0.10114215777536918,0.0,197.77210683,-0.03126731991789054,0.5,0.0005311402686250707,-0.33346556153675116,0.0,0.0,-0.2816474541998042,-0.09341892662337757,0.0,-0.31776157366390495,0.08640994357083764,-0.11308573063067444,994.13,0.0,4118,0.0,-0.05009855813900068,-0.18945526665345758,0.0,0.0,0.0,0.0648691155845475,0.0,-0.03543948672683298,31,0.0,-0.19508249097178265,-0.31021176844904064,129024,0.8628994226455688,0.00029994470399999997,0.27991943359375,0.2,0.032734565,83784,97.75074768066406,-36.92227020263672,1.0025891065597534,220.45060348510742,-0.03121747593395412,,,,
-0.26770981804454397,0.6686871401126915,0.0,0.0,8,0.0,0.7,1.8477632959615176,0.27224841800102556,0.0,0.0,0.0,-0.00996380917354209,0.01,-0.20851442528584668,0.0,197.84105256000004,-0.024309324618022283,0.5,0.0002408847212791443,-0.3103501346150399,0.0,0.0,-0.2661055237104906,-0.054576921662981816,0.0,-0.2699200976719102,0.15754658971661584,-0.1137628243661238,1000.61,0.0,4130,0.0,-0.04783064974207987,-0.15833990155964098,0.0,0.0,0.0,0.03681730427556843,0.0,-0.027255201417543864,35,0.0,-0.18695109899800166,-0.2769232051100532,147456,0.9169914722442627,0.000299935488,0.26488037109375,0.2,0.031146273,83788,91.69182586669922,-36.92169399261475,1.002322793006897,256.56838302612306,-0.030808552680537105,,,,
-0.2730906632171505,0.6598037792653177,0.0,0.0,9,0.0,0.7,1.916815574659031,0.22418987727692274,0.0,0.0,0.0,-0.009281459374096872,0.01,-0.1846203160932893,0.0,238.02100584,-0.016843711239478726,0.5,0.00025987352516191703,-0.3189063391972693,0.0,0.0,-0.26159248638781657,-0.04847134609974401,0.0,-0.28970360535456763,0.15520609201370406,-0.11387482519330762,1134.05,0.0,4143,0.0,-0.04685079392627347,-0.17068440926397654,0.0,0.0,0.0,0.031070539579331077,0.0,-0.022598773539961647,40,0.0,-0.19345795387570253,-0.28138461612696153,165888,0.9084497094154358,0.000299926272,0.30546875,0.2,0.038633805,83792,74.89738464355469,-36.91812705993652,1.0020685195922852,200.54692153930665,-0.03131096776924096,,,,
-0.2728193385692939,0.6369070612677622,0.0,0.0,10,0.0,0.7,1.9157124269556323,0.32490223642061017,0.0,0.0,0.0,-0.011449374965038471,0.01,-0.24934335216542047,0.0,279.58044966,-0.012557261915966803,0.5,0.0002045351235816876,-0.3166416944300611,0.0,0.0,-0.2694183853253955,-0.06098992071084797,0.0,-0.3122778952594385,0.24122096274950225,-0.11362235151122493,1226.41,0.0,4149,0.0,-0.04836050424197435,-0.18573499907109026,0.0,0.0,0.0,0.023427143416734336,0.0,-0.027267807270708055,44,0.0,-0.1944180114655324,-0.2815870960544134,184320,0.9049100875854492,0.000299917056,0.30028076171875,0.2,0.03815751,83796,82.12440490722656,-36.9232666015625,1.0026943683624268,228.12799530029298,-0.031956150953192264,,,,
-0.27159651886805436,0.6709882926970306,0.0,0.0,11,0.0,0.7,1.9161471291741938,0.27782618172352413,0.0,0.0,0.0,-0.009583391510091186,0.01,-0.21706947384469857,0.0,285.27927096999997,-0.025415954378909717,0.5,0.0002891702364043643,-0.313234265375916,0.0,0.0,-0.2579781484562462,-0.07680226418934671,0.0,-0.3019766882581842,0.1789086816882875,-0.11365522123845133,1211.38,0.0,4155,0.0,-0.04758777131031194,-0.17592147176280956,0.0,0.0,0.0,0.04011198075231587,0.0,-0.02731687350399488,48,0.0,-0.18781801250307628,-0.28333790519953256,202752,0.9052169322967529,0.00029990784,0.30262451171875,0.2,0.03770995,83800,106.4197998046875,-36.92402305603027,1.0024036169052124,266.70599060058595,-0.031989467330276966,,,,
