reward_terms/overrun,reward_terms/motor_vel,reward_terms/stance_time,reward_terms/ang_xy,curriculum/ent_coef,reward_terms/foot_ahead,reward_terms/coef_rate,time/fps,reward_terms/residual,time/time_elapsed,reward_terms/air_time,rollout/ep_rew_mean,reward_terms/fwd_speed,reward_terms/torque,reward_terms/phase_contact,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/lat_vel,rollout/ep_len_mean,time/total_timesteps,reward_terms/step_rate,reward_terms/upright,reward_terms/energy,reward_terms/clearance,reward_terms/vz,curriculum/sprint_dist_m,reward_terms/residual_rate,reward_terms/stance,reward_terms/action_rate,reward_terms/stop,curriculum/stance_ratio,reward_terms/time,reward_terms/hip_roll,reward_terms/height,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,reward_terms/angmom,reward_terms/alive,time/iterations,reward_terms/assist_pen,train/explained_variance,train/clip_range,train/std,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss
0.0,0.0,0.0,-0.758676355450889,0.01,0.0,-0.2721543536271562,3160,-0.10394706169262945,5,9.331579915144377e-05,-124.46322163999999,-0.772770029633844,0.0,-0.25032199013781287,0.0,-0.25785240722417113,-9.164992088779474e-08,98.94,18432,0.0,-0.3837837362872235,0.0,0.061514819477995135,-0.20793074797549804,25.0,0.0,-0.0009706629045032376,-0.03127410928429037,0.0,0.65,-0.5,-0.04295441550958284,-0.03265677448952991,0.0,0.0,-0.2001692474492026,0.0,1,0.0,,,,,,,,,,,
0.0,-6.5253974382769176e-06,0.0,-0.8308030144264621,0.01,0.0,-0.23091864719870087,3078,-0.10667595774998478,11,0.00012858061947756342,-134.52304337,-1.0169641014978033,-0.0002359852394786809,-0.28066342104644165,0.0006144,-0.2996859904565634,-8.575500133785751e-08,139.25,36864,0.0,-0.4588911475473895,-3.15048999300641e-05,0.06069668781133153,-0.14422866113059285,25.06912,0.0,-0.001731065744394878,-0.025257968891859724,0.0,0.649858688,-0.5,-0.03047597542041529,-0.023153428805082414,0.0,0.0,-0.2251066534490095,0.0,2,0.0,0.2712511420249939,0.2,0.9235561490058899,0.0058752103,0.00029993856,25489,-18.72548637390137,4514.372583007813,1326.145751953125,0.03223876953125,-0.0011281234328635037
0.0,-1.1819045396647267e-05,-4.692874305571119e-05,-0.8630821777613329,0.01,0.0,-0.2309484324752119,3391,-0.10756999325771838,16,0.00013020824149457944,-140.1273597,-1.1199367156099862,-0.0005163222940145333,-0.2737438772892898,0.0012288,-0.29192578424099047,-8.284580723508739e-08,161.61,55296,0.0,-0.5073247750542156,-6.12992775703104e-05,0.06430128370769037,-0.13044323082257753,25.13824,0.0,-0.0017649888474156432,-0.023710690804310184,0.0,0.649717376,-0.5,-0.03409304328873174,-0.02472580360378941,0.0,0.0,-0.25494737525858135,0.0,3,0.0,0.5614957809448242,0.2,0.9235689640045166,0.0015281505,0.00029987712,25493,-18.725266647338866,2509.067596435547,627.9586181640625,0.0021240234375,-0.0011097912502009422
0.0,-1.723511896619175e-05,-8.951672094149722e-06,-0.8124011218546213,0.01,0.0,-0.23141751353476436,3571,-0.10840258383386424,20,8.734804578125477e-05,-144.22337763,-1.1144581514989467,-0.0007340247345998808,-0.27905881680656497,0.0018432,-0.29324757848733757,-6.90600622727238e-08,177.99,73728,0.0,-0.5075387587817324,-8.710382146403606e-05,0.0646646120656281,-0.14382459035640374,25.20736,0.0,-0.001211454317148263,-0.022313119440513122,0.0,0.649576064,-0.5,-0.031150427753556906,-0.02470392659539418,0.0,0.0,-0.2554123045270165,0.0,4,0.0,0.7487034201622009,0.2,0.9235912561416626,0.00036166765,0.00029981568,25497,-18.725503158569335,1448.1009704589844,356.9667663574219,0.0,-0.0007282640784978866
0.0,-2.3038990373846553e-05,-4.4351627972597875e-05,-0.8447847784737009,0.01,0.0,-0.22508355365465052,3689,-0.10846309729475134,24,9.385845623910427e-05,-144.23069287,-1.05741900270454,-0.0010297645231983638,-0.28104172730494575,0.0024576,-0.29659416705825126,-5.98418274342607e-08,178.03,92160,0.0,-0.5108581692447469,-0.00011769264745685871,0.06596763404875079,-0.14263225071706925,25.27648,0.0,-0.0009190930119590087,-0.021692635574421613,0.0,0.649434752,-0.5,-0.02875311723127283,-0.025233840442374,0.0,0.0,-0.2505209494495766,0.0,5,0.0,0.8392553329467773,0.2,0.9236292839050293,0.001097884,0.00029975423999999997,25501,-18.725937843322754,796.6437210083008,170.70118713378906,0.00045166015625,-0.001243980636354536
0.0,-2.941753204151044e-05,-6.36116181138075e-05,-0.783216362488647,0.01,0.0,-0.22714863636355886,3776,-0.10880617432711889,29,9.765624741299285e-05,-144.77075387000002,-0.9710632642624427,-0.0011530587288587303,-0.2951828090053549,0.003072,-0.3060370636831692,-5.1195487740385685e-08,180.15,110592,0.0,-0.49339021802155675,-0.00013999598988825016,0.06570091590976955,-0.14484120809693796,25.3456,0.0,-0.000289279245385791,-0.02199312585166034,0.0,0.64929344,-0.5,-0.030126972472701533,-0.01830313525288675,0.0,0.0,-0.294640725916551,0.0,6,0.0,0.8923930525779724,0.2,0.9236812591552734,0.0014435209,0.0002996928,25505,-18.72661199569702,689.566049194336,145.16554260253906,0.00054931640625,-0.001713596103945747
0.0,-3.5059646919824375e-05,-2.8482787052376403e-05,-0.8216773538986487,0.01,0.0,-0.2181939996847184,3837,-0.10871770717491173,33,2.1701271180063486e-06,-143.26186261,-1.009047413156204,-0.0014640901261711965,-0.2964854655477492,0.0036864,-0.3109809271801542,-4.6633708182482626e-08,174.18,129024,0.0,-0.5030570184200311,-0.00017123818719606203,0.0662244914755725,-0.14660922684520813,25.41472,0.0,-0.0002727404481778738,-0.021928968846217593,0.0,0.649152128,-0.5,-0.02549090951295557,-0.019312976026736737,0.0,0.0,-0.28791830204546826,0.0,7,0.0,0.90301513671875,0.2,0.9237457513809204,0.0011578503,0.00029963136,25509,-18.727478885650633,511.7132537841797,89.07189178466797,0.00064697265625,-0.001482979371212423
0.0,-4.128873467198889e-05,-9.806212619878352e-05,-0.830060084289556,0.01,0.0,-0.2138275721784837,3888,-0.10905978246725416,37,0.00013997383777880005,-143.98952223999999,-1.0214165764077177,-0.0016659510556321661,-0.3006907133194658,0.0043008,-0.32258337501454515,-5.1333052480197566e-08,177.07,147456,0.0,-0.4777762587996555,-0.00020052781646446625,0.06426467897522152,-0.13561521544868863,25.48384,0.0,-0.0015862972260814118,-0.0217624924261644,0.0,0.649010816,-0.5,-0.024323585257211785,-0.017494594977057847,0.0,0.0,-0.2749095271708913,0.0,8,0.0,0.9176282286643982,0.2,0.9238266944885254,0.002042162,0.00029956992,25513,-18.7285719871521,440.63394393920896,78.15003204345703,0.00283203125,-0.0022407962125726042
0.0,-4.727656283628042e-05,-3.7976488884952332e-06,-0.8146049345877623,0.01,0.0,-0.2082464142949264,3928,-0.10876965555032608,42,0.0,-143.54414874,-0.9990263123960198,-0.0018709662158697142,-0.3020520981557507,0.0049152,-0.32338198453593914,-4.114216424654365e-08,175.31,165888,0.0,-0.5140408841393987,-0.00022698238092887582,0.0672041841248196,-0.15115592600889668,25.55296,0.0,-0.00041920353261335424,-0.02157179515075667,0.0,0.648869504,-0.5,-0.02470815035042181,-0.0190728950782979,0.0,0.0,-0.26559286584375497,0.0,9,0.0,0.9150596261024475,0.2,0.9239555597305298,0.0038581067,0.00029950848,25517,-18.730010890960692,297.4997947692871,46.514102935791016,0.0096435546875,-0.0033480632468126715
0.0,-5.309731232951931e-05,-7.581857304709654e-05,-0.7880215737047949,0.01,0.0,-0.21619279470397493,3957,-0.10858167574044647,46,0.00017415342477357222,-143.7262292,-1.0155596046324897,-0.002037612217702583,-0.3052155331215122,0.0055296,-0.3143181087094725,-4.0284992560565e-08,176.13,184320,0.0,-0.5112953605194851,-0.00025019585687982956,0.06560263586763732,-0.15583066137847043,25.62208,0.0,-0.0007489725259503785,-0.022323250143879737,0.0,0.648728192,-0.5,-0.025668061830046614,-0.01879166319043261,0.0,0.0,-0.26619110592298434,0.0,10,0.0,0.8946397304534912,0.2,0.9241220355033875,0.003993167,0.00029944704,25521,-18.732320308685303,242.47911529541017,36.008750915527344,0.01221923828125,-0.0036149166407994926
