reward_terms/residual_rate,reward_terms/lat_vel,reward_terms/overrun,reward_terms/air_time,reward_terms/motor_vel,reward_terms/height,reward_terms/ang_xy,time/time_elapsed,reward_terms/stop,curriculum/stance_ratio,reward_terms/fwd_speed,curriculum/sprint_dist_m,reward_terms/action_rate,reward_terms/torque,reward_terms/energy,reward_terms/phase_contact,rollout/ep_rew_mean,reward_terms/step_rate,time/fps,reward_terms/upright,reward_terms/assist_pen,reward_terms/foot_slip,reward_terms/time,reward_terms/stance_time,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/vz,reward_terms/residual,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,reward_terms/stance,curriculum/eff_scale,reward_terms/foot_ahead,reward_terms/alive,reward_terms/clearance,reward_terms/angmom,curriculum/ent_coef,reward_terms/coef_rate,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/n_updates,train/entropy_loss,train/std,train/learning_rate
-1.5937340947645078,-3.5140674751855996e-08,0.0,0.0006939009536937294,0.0,-0.029156901309086332,-0.42746233373322634,4,0.0,0.65,-0.08099428356045753,25.0,-0.09319936598106972,0.0,0.0,-0.40785576197034173,-150.66240158227848,0.0,4384,-0.440264520801226,0.0,-0.5711550606743107,-0.5,-0.0012594891611822983,-0.08575040365424508,0.0,-0.1951783675275857,-0.10617138094213639,212.16455696202533,0.0,-0.003911810924424703,0.0,0.0,0.0,0.09534065344975301,-0.16754767804316503,0.01,-1.2390441170224096,18432,1,,,,,,,,,,,
-1.6844242680497628,-3.445319838059875e-08,0.0,9.49433403244863e-05,-1.2456531590025782e-06,-0.027918219020880777,-0.42803688020711195,8,0.0,0.649982336,0.3734477840883208,25.01152,-0.10299015270707228,-4.4608968156689784e-05,-6.268455012158089e-06,-0.4468220463997165,-140.83962621999999,0.0,4200,-0.5112891219007399,0.0,-0.6400019859062099,-0.5,-4.882704363101058e-06,-0.05001902319398823,0.0,-0.23207802302431857,-0.10445585744704888,164.22,0.0,-0.00018056399424213004,7.68e-05,0.0,0.0,0.10058277954862292,-0.16021533520336917,0.01,-1.2510835557358524,36864,2,0.045230757,0.2,-0.03429447584009419,47.07390213012695,0.2750244140625,0.8253435492515564,155.03687243991428,146757,-34.079246520996094,1.0021030902862549,0.0002999852544
-1.6853156512590894,-3.029511271204234e-08,0.0,0.00019748217891901731,-2.267995129001662e-06,-0.021903852011060192,-0.4281172421816351,12,0.0,0.6499646720000001,0.28052974735576175,25.02304,-0.10155603795792308,-8.790074593864445e-05,-1.203054053292071e-05,-0.4532888294000031,-133.53168924000002,0.0,4277,-0.505559088388861,0.0,-0.6301690440830646,-0.5,0.0,-0.03931871175756894,0.0,-0.18972855384522677,-0.1036678313956266,134.76,0.0,-0.00012368989979781838,0.0001536,0.0,0.0,0.09148034912245923,-0.15129553868870527,0.01,-1.2743982573298374,55296,3,0.061012276,0.2,-0.0162642528726296,26.315263748168945,0.2693758877840909,0.4924449324607849,77.43537521362305,146760,-34.07212898947976,1.001665711402893,0.0002999705088
-1.6950031452121863,-3.213129136997468e-08,0.0,0.0001692704293721666,-3.7638035294339518e-06,-0.02129845193933966,-0.4565919013907895,16,0.0,0.649947008,0.28368220272403716,25.03456,-0.10302435372565442,-0.00013451137851951697,-1.9040544703148957e-05,-0.44826934170357824,-141.00056848000003,0.0,4340,-0.4455073880664101,0.0,-0.6380759246644961,-0.5,0.0,-0.03969639235911346,0.0,-0.1758841446542715,-0.10430952732668199,164.97,0.0,-0.0009328041077879607,0.0002304,0.0,0.0,0.08744889417581456,-0.14503374091597146,0.01,-1.2729115736473804,73728,4,0.026050206,0.2,0.020026851212605834,39.245521545410156,0.278076171875,0.5588322281837463,88.42763710021973,146761,-34.062294006347656,1.000635027885437,0.00029995576319999997
-1.6846359585688648,-3.240765947042208e-08,0.0,0.0002560758051307251,-5.069851294764017e-06,-0.024388747058953365,-0.4453674324331347,21,0.0,0.649929344,0.38311355647795914,25.04608,-0.10264099692039155,-0.00017509825939189124,-2.5610657392085904e-05,-0.4334758094873043,-140.85437294000002,0.0,4374,-0.4536416816205527,0.0,-0.6439372436056114,-0.5,0.0,-0.0468370267688779,0.0,-0.1898148785612672,-0.10444467079852732,164.72,0.0,-0.0001421991469104851,0.0003072,0.0,0.0,0.09645436866837952,-0.142572995830548,0.01,-1.2688607439049226,92160,5,0.038067993,0.2,-0.0017646370189530508,32.003082275390625,0.22649274553571427,0.5608135461807251,74.22768947056362,146763,-34.06974411010742,1.0013399124145508,0.0002999410176
-1.6967914297867166,-3.2903187004082444e-08,0.0,0.00026095868088304996,-6.099782563826829e-06,-0.021682211740806926,-0.44677548485158497,25,0.0,0.64991168,0.3149640764075714,25.0576,-0.10199879970315845,-0.00022182834512336349,-3.125646630683921e-05,-0.446316459886009,-137.35859645000002,0.0,4393,-0.4486372158893706,0.0,-0.6352556856378634,-0.5,-4.882704363101058e-06,-0.04235910491606522,0.0,-0.18542551382168962,-0.10404393796514536,150.36,0.0,-0.0003535722669298436,0.000384,0.0,0.0,0.0895274903717002,-0.14900179388727064,0.01,-1.2710583446859038,110592,6,0.056858484,0.2,0.006959495988364021,28.697895050048828,0.3031819661458333,0.5391788482666016,64.0516866048177,146765,-34.06946563720703,1.0011922121047974,0.000299926272
-1.6828265908069717,-3.403450714445545e-08,0.0,0.00032335004329474434,-7.689706746372531e-06,-0.024569372391971225,-0.4516516312323705,29,0.0,0.6498940160000001,0.3588764500128834,25.06912,-0.10244965469331563,-0.00026836897458097316,-3.886672737400342e-05,-0.4217749652594731,-142.46870606999997,0.0,4414,-0.46862849346552093,0.0,-0.6473245335261408,-0.5,0.0,-0.04732490426149836,0.0,-0.19379488890395669,-0.10443805777366842,171.59,0.0,-0.0011668876895963099,0.0004608,0.0,0.0,0.09491930579156427,-0.14348769542136294,0.01,-1.2765860159881322,129024,7,0.056418136,0.2,0.011282499064691365,22.833152770996094,0.3096110026041667,0.4657701849937439,54.480058670043945,146767,-34.067129135131836,1.001143455505371,0.0002999115264
-1.68842323299553,-3.504916976130029e-08,0.0,0.00025010797415032156,-8.969227578787638e-06,-0.027267245215970435,-0.4588053740740705,33,0.0,0.649876352,0.41423513995767575,25.08064,-0.10339255717543729,-0.00031338352902577173,-4.515733308495416e-05,-0.4051895630829048,-141.98456829,0.0,4428,-0.45781532132112773,0.0,-0.6304042249839185,-0.5,0.0,-0.05223166625822117,0.0,-0.2044879855129154,-0.10439471296625322,169.84,0.0,-0.0031581634466007224,0.0005376,0.0,0.0,0.09778015139462003,-0.15186875287887797,0.01,-1.2523005933312286,147456,8,0.06552821,0.2,0.015968785000344116,23.855070114135742,0.3645426432291667,0.3337455987930298,51.87473169962565,146769,-34.07123692830404,1.0014309883117676,0.0002998967808
-1.6812330312684705,-3.378140168804248e-08,0.0,0.00020996041712351143,-1.0211977572628337e-05,-0.034357651910295016,-0.4477530101331846,37,0.0,0.649858688,0.47216025629476494,25.09216,-0.10016328118626759,-0.0003515491209184914,-5.114441538308714e-05,-0.415975395913337,-141.81587892,0.0,4438,-0.4352399065400327,0.0,-0.674950141500134,-0.5,0.0,-0.0619147110505187,0.0,-0.21191827072387406,-0.10459325623733295,170.75,0.0,-0.0014623540062010032,0.0006144,0.0,0.0,0.095201436330938,-0.15600412822399592,0.01,-1.2559759490020772,165888,9,0.06619888,0.2,0.014210198385020098,18.005136489868164,0.3621012369791667,0.2296849489212036,43.990533192952476,146771,-34.07255617777506,1.0015760660171509,0.0002998820352
-1.6880787835457325,-3.487929263209866e-08,0.0,0.00026367139394602016,-1.1534880468520375e-05,-0.024840130834153654,-0.4602383220681946,41,0.0,0.649841024,0.3646979595329719,25.10368,-0.10326075482401588,-0.00040058348427896706,-5.803297704273913e-05,-0.4185382779101454,-141.82848747000003,0.0,4449,-0.40078216223455526,0.0,-0.6343080012806124,-0.5,0.0,-0.04798037762407694,0.0,-0.18864043815230655,-0.10422992184685514,169.82,0.0,-0.0021793064156710815,0.0006912,0.0,0.0,0.08708640656342811,-0.14033524368030534,0.01,-1.2641287499291094,184320,10,0.025605608,0.2,0.017152141081169248,19.019779205322266,0.2904052734375,0.15535634756088257,39.97964286804199,146772,-34.06618785858154,1.000994324684143,0.0002998672896
