reward_terms/action_rate,reward_terms/angmom,reward_terms/clearance,reward_terms/stop,curriculum/cmd_scale,est/vel_rmse,reward_terms/alive,time/fps,reward_terms/time,time/total_timesteps,curriculum/stance_ratio,rollout/ep_len_mean,reward_terms/foot_ahead,curriculum/ent_coef,reward_terms/vz,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/torque,rollout/ep_rew_mean,reward_terms/duty_sym,ankle/ankle_spring_trq_peak,reward_terms/energy,reward_terms/stance,reward_terms/lat_vel,reward_terms/track_yaw,reward_terms/motor_vel,reward_terms/step_rate,curriculum/cmd_track_err,reward_terms/ang_xy,reward_terms/coef_rate,reward_terms/stand,reward_terms/phase_contact,time/iterations,reward_terms/upright,reward_terms/residual_rate,curriculum/swing_frac_min,curriculum/ctrl_drop_prob,reward_terms/hip_roll,curriculum/dr_scale,reward_terms/overrun,reward_terms/residual,ankle/ankle_spring_energy_peak,reward_terms/imp_rate,ankle/ankle_defl_peak,reward_terms/assist_pen,reward_terms/air_time,reward_terms/stance_time,reward_terms/fwd_speed,curriculum/ctrl_jitter_ms,curriculum/swing_frac_mean,time/time_elapsed,reward_terms/track_lin,reward_terms/stand_drift,reward_terms/height,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/value_loss,curriculum/ctrl_drop_prob_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/dr_scale_progress
-0.057931603463292035,-0.43898405274450986,0.08558390348795253,0.0,0.0,1.3700391838289683,0.0,8700,0.0,18432,0.7,99.39,0.0,0.01,-0.38351962251241667,0.0,-0.3606071979196764,0.0,-82.58219678000002,-0.002305538490860093,0.0,0.0,-0.034875940407829015,-3.920838302486399e-08,1.9994317336107637,0.0,-0.010742187499999868,1.1214944180731143,-0.3771734590536707,-0.3609066693960444,0.30309274402198905,-0.02578621721269429,1,-0.4357775751098534,0.0,0.5388997395833334,0.0,-0.06755849988389553,0.0,0.0,-0.10621318691625742,0.0,-0.010025234988248118,0.5052023803488553,0.0,0.0002631288694424762,0.0,0.0,0.0,0.7105305989583334,2,0.4881787824449261,-0.0019340424170558193,-0.030156125185845508,,,,,,,,,,,,,,,,
-0.06827722033658044,-0.4118543419362629,0.047771904096489536,0.0,0.0,1.1384676558767395,0.0,8718,0.0,36864,0.7,68.51,0.0,0.01,-0.2957006607011739,0.0,-0.4069687791526153,0.0,-88.37369658,-0.0035269175761540902,0.0,0.0,-0.015091564543784151,-5.243907643336118e-08,1.9994575787463422,0.0,-0.013259548611110858,0.9609657271883751,-0.46161601700146093,-0.3280676577552748,0.3960247578792797,-0.029795251152017557,2,-0.4683896440392297,0.0,0.47900390625,0.0,-0.11868818461539649,0.0,0.0,-0.10903877736166744,0.0,-0.013343211641532961,0.5052249024303674,0.0,0.0001589624055971702,0.0,0.0,0.0,0.6137966579861112,4,0.5767350991092789,-0.01303565333090354,-0.03696940240073033,0.0187756409868598,90484,0.6780771017074585,0.9993817210197449,-42.54626865386963,0.2,0.33416748046875,2805.686279296875,0.037401516,0.000299987712,10122.934399414062,,,,,
-0.09039928477017548,-0.39295707568348515,0.04736924185560586,0.0,0.0,0.8012896528861572,0.0,8518,0.0,55296,0.7,54.4,0.0,0.01,-0.33253017057052037,0.0,-0.3505643572175513,0.0,-87.29287800999998,-0.0003282778764998308,0.0,0.0,-0.005597849156429878,-1.0490256475118683e-07,1.9990315864917183,0.0,-0.014984809027777459,0.7758685486555744,-0.49380981305646937,-0.35988186384705345,0.4533437733639183,-0.012495312367697336,3,-0.42414243764394466,0.0,0.6922743055555556,0.0,-0.27592100455293095,0.0,0.0,-0.10795146523842161,0.0,-0.01804563028506474,0.5052192079669302,0.0,5.316832296860715e-05,0.0,0.0,0.0,0.6943901909722222,6,0.6974733659009718,-0.01472824045457424,-0.04409466637032167,0.0037104234215803444,90488,0.628606379032135,0.9991948008537292,-42.54253578186035,0.2,0.09986572265625,3172.169921875,0.009007284,0.000299975424,10702.960400390624,,,,,
-0.11424594775654073,-0.3334197666515648,0.050923981281616,0.0,0.0,0.6889709212848194,0.0,8181,0.0,73728,0.7,58.82,0.0,0.01,-0.3166401075063898,0.0,-0.3419308289504563,0.0,-86.67673187999999,-0.0008705293658406881,0.0,0.0,-0.0033343572350524936,-1.1521794221380466e-07,1.998948700932046,0.0,-0.015332031249999649,0.6166067449177283,-0.5258083658897427,-0.3924024463793616,0.5396751296122592,-0.009801997134937424,4,-0.35540476439779073,0.0,0.6911892361111112,0.0,-0.3360493457994287,0.0,0.0,-0.10771060286755696,0.0,-0.023302821221496565,0.5052138034888632,0.0,0.0,0.0,0.0,0.0,0.7080349392361112,9,0.8145813342621093,-0.019269583766147888,-0.03506528798541256,0.00022175117046572269,90492,0.3560744524002075,0.9992099404335022,-42.543157958984374,0.2,0.09447021484375,1320.3917236328125,0.009741424,0.000299963136,6079.747766113282,,,,,
-0.11035577107060163,-0.301603545110039,0.06608157769396222,0.0,0.0,0.5590475679794866,0.0,7832,0.0,92160,0.7,47.54,0.0,0.01,-0.33279679603647766,0.0,-0.34147127234698643,0.0,-87.50901732999999,-0.00038227268063677124,0.0,0.0,-0.0025341762801036638,-1.2160051795879661e-07,1.9987817887431076,0.0,-0.015017361111110775,0.5687268060112209,-0.5223953173838373,-0.3821909505521958,0.5374991080599222,-0.010796618968388398,5,-0.3429415232379429,0.0,0.6760525173611112,0.0,-0.35812303551722713,0.0,0.0,-0.10742440089474722,0.0,-0.022869993950905068,0.5051998277492712,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,11,0.8119997917580253,-0.012751668623447076,-0.03667477454801313,-0.0040156188886612655,90496,0.32695120573043823,0.9992623925209045,-42.54438419342041,0.2,0.0658935546875,904.248291015625,0.009258258,0.00029995084799999997,3401.114117431641,,,,,
-0.12356172760342367,-0.30199925898408775,0.05551949751793628,0.0,0.0,0.5690060374588275,0.0,7501,0.0,110592,0.7,54.57,0.0,0.0099981568,-0.32683655754978136,0.0,-0.3548232289263967,0.0,-85.15553528999999,-0.0009350911522889673,0.0,0.0,-0.004043566783420416,-1.2805223656032428e-07,1.9987631638051038,0.0,-0.015136718749999658,0.6500766430547799,-0.5404066866768226,-0.4353231035939878,0.5999760669458152,-0.009863307638364157,6,-0.3501847075530183,0.0,0.6948784722222222,0.0,-0.3539141249125869,0.0,0.0,-0.10718340416890484,0.0,-0.024740024884012984,0.505183610974642,0.0,0.0,0.0,0.0,0.0,0.7127821180555556,14,0.8767115092573692,-0.013686596126166418,-0.036726835851182055,-0.007814967818558217,90500,0.17475420236587524,0.9994050860404968,-42.54692840576172,0.2,0.0680419921875,363.3107604980469,0.0107491035,0.00029993856,1675.3915802001952,,,,,
-0.12740815107318226,-0.2969672901193713,0.06559672930802632,0.0,0.0,0.4939705627672641,0.0,7282,0.0,129024,0.7,52.23,0.0,0.0099963136,-0.3155796642642967,0.0,-0.344513825999687,0.0,-85.76492288,-0.0009115405581540365,0.0,0.0,-0.0033075651326220797,-1.409795709533e-07,1.9987272016060906,0.0,-0.015538194444444101,0.6248950788800905,-0.5677372557884145,-0.43192555127370796,0.6168341818510182,-0.012666379959889205,7,-0.3187693417986471,0.0,0.662109375,0.0,-0.3477623721351122,0.0,0.0,-0.10692863796788941,0.0,-0.025647376217985195,0.5052281142519277,0.0,0.0,0.0,0.0,0.0,0.7033962673611112,17,0.8997465033910365,-0.01192813863767591,-0.0327164194183067,-0.010732390580233186,90504,0.20387768745422363,0.9996342062950134,-42.55154151916504,0.2,0.13782958984375,293.0006103515625,0.017140675,0.000299926272,996.234243774414,,,,,
-0.1397370241761292,-0.31757512576271274,0.06526606945354861,0.0,0.0,0.5653141147385917,0.0,7153,0.0,147456,0.7,46.83,0.0,0.0099944704,-0.30705988027068076,0.0,-0.35379560866720283,0.0,-87.76934581000003,-0.0009376234859997759,0.0,0.0,-0.014006910286176637,-1.3632292870015018e-07,1.9986131002979906,0.0,-0.015407986111110748,0.631883304532361,-0.5849116605870679,-0.4762421565647403,0.5796768359368529,-0.012046796089569304,8,-0.3467611884897946,0.0,0.6711154513888888,0.0,-0.33629263751117666,0.0,0.0,-0.10655557411210592,0.0,-0.02808372386175611,0.5051998603158971,0.0,0.0,0.0,0.0,0.0,0.7019856770833333,20,0.864438036328673,-0.012001824088733867,-0.0323860724673262,-0.015197721950244159,90508,0.103504478931427,1.0000250339508057,-42.557877159118654,0.2,0.19173583984375,198.2606658935547,0.01717643,0.000299913984,646.7970550537109,,,,,
-0.14795837057359607,-0.3057522675712458,0.06549840533736737,0.0,0.0,0.5273377877357536,0.0,7040,0.0,165888,0.7,53.83,0.0,0.0099926272,-0.283960043625634,0.0,-0.3703736967063108,0.0,-86.12688202999999,-0.0014551251156602698,0.0,0.0,-0.011650282981470562,-1.3562230911277214e-07,1.9986723028392168,0.0,-0.01609157986111073,0.646368398948827,-0.5754432471423291,-0.48292846571529346,0.5178783632606146,-0.017387993407014683,9,-0.2977791297114849,0.0,0.6476779513888888,0.0,-0.33185072471883514,0.0,0.0,-0.10628911270192104,0.0,-0.029289940333392606,0.5051844863939946,0.0,0.0,0.0,0.0,0.0,0.6707085503472222,23,0.8106865040586837,-0.018081607060715293,-0.028468600873428482,-0.021325601084390654,90512,0.32875126600265503,1.000375747680664,-42.567176055908206,0.2,0.185595703125,416.61566162109375,0.019241992,0.00029990169599999997,982.2264099121094,,,,,
-0.12757143562277837,-0.31592483826794915,0.05344641594807374,0.0,0.0,0.4821002366765867,0.0,6948,0.0,184320,0.7,52.36,0.0,0.009990784,-0.2557956271553058,0.0,-0.3774652053665425,0.0,-85.66488914999998,-0.00045229753868395974,0.0,0.0,-0.008074840529679224,-1.2424388081895158e-07,1.998732844770057,0.0,-0.016254340277777363,0.6215034291613442,-0.5851104681257069,-0.45965336736618556,0.5848192684323844,-0.011858355860390166,10,-0.2941662352391833,0.0,0.6523980034722222,0.0,-0.28818841291360187,0.0,0.0,-0.10587842497008422,0.0,-0.023931605285680984,0.5052016119724876,0.0,0.0,0.0,0.0,0.0,0.6543511284722222,26,0.8911902303583044,-0.01218055779167427,-0.025794423297322795,-0.021008064254419877,90516,0.3017804026603699,1.0008037090301514,-42.574770545959474,0.2,0.16636962890625,292.5242919921875,0.016144905,0.00029988940799999996,862.8771331787109,,,,,
