reward_terms/residual,reward_terms/motor_vel,curriculum/cmd_scale,curriculum/swing_frac_min,reward_terms/assist_pen,reward_terms/stop,curriculum/swing_frac_mean,curriculum/eff_scale,time/fps,curriculum/cmd_track_err,reward_terms/foot_ahead,curriculum/stance_ratio,reward_terms/lat_vel,reward_terms/upright,ankle/ankle_spring_trq_peak,reward_terms/phase_contact,reward_terms/stance,rollout/ep_rew_mean,reward_terms/overrun,reward_terms/alive,reward_terms/angmom,reward_terms/coef_rate,reward_terms/foot_slip,reward_terms/residual_rate,reward_terms/stance_time,curriculum/ctrl_drop_prob,reward_terms/clearance,curriculum/dr_scale,reward_terms/fwd_speed,reward_terms/action_rate,reward_terms/vz,reward_terms/ang_xy,curriculum/ent_coef,rollout/ep_len_mean,reward_terms/stand,reward_terms/height,reward_terms/track_lin,ankle/ankle_spring_energy_peak,time/iterations,reward_terms/duty_sym,ankle/ankle_defl_peak,time/time_elapsed,reward_terms/hip_roll,est/vel_rmse,time/total_timesteps,reward_terms/stand_drift,reward_terms/air_time,reward_terms/torque,reward_terms/step_rate,reward_terms/energy,reward_terms/track_yaw,curriculum/ctrl_jitter_ms,reward_terms/time,train/clip_range,train/explained_variance,train/entropy_loss,train/std,train/value_loss,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress,curriculum/eff_scale_progress
-0.09435223884053169,0.0,0.0,0.19639756944444445,0.0,0.0,0.2465549045138889,0.0,8736,0.6781106914552514,0.0,0.7,-0.30471786033366277,-0.12016507961153058,0.0,-0.06111111281287905,-0.03207940546375689,-53.63275630612245,0.0,0.0,-0.072782734637979,-0.5223544904916226,-0.6578175751550283,0.0,-0.00017442403542291786,0.0,0.01459676298971371,0.0,0.0,-0.07219716293014719,-0.05834036602093754,-0.1209296018517208,0.01,139.22448979591837,0.2776169978950848,-0.013574206373988588,1.532158477766774,0.0,1,-9.252561603183106e-05,0.5052023278385805,2,-0.26553054240555557,2.0691466305648993,18432,-0.03947770758098764,5.588098429143429e-05,0.0,-0.00721571180555561,0.0,1.9999530945332336,0.0,0.0,,,,,,,,,,,,,,,,
-0.09686510056152751,0.0,0.0,0.13720703125,0.0,0.0,0.203857421875,0.0,8956,0.5824440491035311,0.0,0.7,-0.4232557743765116,-0.10417540375958653,0.0,-0.00016276041666666666,-0.01687435983277178,-29.00185667,0.0,0.0,-0.06459056963027839,-0.5063846854120395,-0.49991736778805823,0.0,0.0,0.0,0.00047781770499753833,0.0,0.0,-0.06642677982158748,-0.045566767788781194,-0.10043079890230272,0.01,145.09,0.23910237797976386,-0.016615290693632198,1.9092527245736202,0.0,2,0.0,0.5052234846792558,4,-0.36026995624947344,1.1725534636746744,36864,-0.057308190656389604,0.0,0.0,-0.005696614583333384,0.0,1.9999559307044958,0.0,0.0,0.2,0.7194019556045532,-36.869965171813966,0.9995177388191223,1371.9234405517577,0.014311679,441.8255310058594,0.00029995392,0.199365234375,39049,-0.0018676029751077295,,,,,
-0.0960023532613607,0.0,0.0,0.1199001736111111,0.0,0.0,0.21337890625,0.0,8952,0.5145757711276583,0.0,0.7,-0.38753580015264694,-0.09308715312235566,0.0,0.0,-0.0018100122295225615,-31.77777701,0.0,0.0,-0.05879092053107866,-0.4964930666574346,-0.4592810197238087,0.0,0.0,0.0,0.0,0.0,0.0,-0.0686137908494118,-0.04201442089508148,-0.10155136996157985,0.01,143.18,0.25645196182188157,-0.014583471827595328,1.8925926713205097,0.0,3,0.0,0.5051803436691953,6,-0.33524314876223293,0.6667899946540506,55296,-0.04423867709116616,0.0,0.0,-0.005837673611111165,0.0,1.9999660324549546,0.0,0.0,0.2,0.8854576349258423,-36.87857322692871,0.9998056888580322,913.6535400390625,0.012464057,288.520263671875,0.00029990784,0.14232177734375,39053,-0.002677738617057912,,,,,
-0.09670987814064017,0.0,0.0,0.10074869791666667,0.0,0.0,0.1976996527777778,0.0,8705,0.4982767804454053,0.0,0.7,-0.3893055114439013,-0.09282084995254403,0.0,0.0,-0.0002584161052984792,-29.24915351,0.0,0.0,-0.04998990937006811,-0.4993224382782811,-0.45808888948079446,0.0,0.0,0.0,0.0,0.0,0.0,-0.06497625985892916,-0.0403222681387321,-0.09972550868065004,0.01,137.8,0.2572928899554561,-0.015113788806290742,1.971836763321407,0.0,4,0.0,0.505216233174502,8,-0.3372343727077634,0.4889109251701582,73728,-0.04129051419588413,0.0,0.0,-0.005316840277777823,0.0,1.999968797522036,0.0,0.0,0.2,0.9232558608055115,-36.878196144104,0.9998401403427124,924.6386108398438,0.017636867,221.48155212402344,0.00029986176,0.17159423828125,39057,0.0010628855554386974,,,,,
-0.09666251770988472,0.0,0.0,0.11273871527777778,0.0,0.0,0.19132486979166669,0.0,8362,0.4878628758282474,0.0,0.7,-0.39250843664908336,-0.07443393496135892,0.0,0.0,-0.000634149465822826,-22.13345871,0.0,0.0,-0.04212463297693655,-0.48388531307454014,-0.48387404923707233,0.0,0.0,0.0,0.0,0.0,0.0,-0.06629947022434324,-0.04210369115698427,-0.09764423111069559,0.01,143.68,0.25169319948533997,-0.014979513573839072,1.9659260501232216,0.0,5,0.0,0.5051022818043216,11,-0.32976469737608677,0.4999835488474016,92160,-0.04089224298007364,0.0,0.0,-0.005642361111111161,0.0,1.9999694574003262,0.0,0.0,0.2,0.936938464641571,-36.882683753967285,1.0000529289245605,937.9959045410156,0.016740078,199.40953063964844,0.00029981568,0.16453857421875,39061,4.868925316259265e-05,,,,,
-0.09630729961092152,0.0,0.0,0.11317274305555555,0.0,0.0,0.1999240451388889,0.0,8084,0.5025235207790263,0.0,0.7,-0.37502173647636583,-0.08988358752212972,0.0,0.0,-0.0006024274265243612,-24.43905223999999,0.0,0.0,-0.05004745010852294,-0.4684064379535236,-0.49324073548290037,0.0,0.0,0.0,0.0,0.0,0.0,-0.06791485630172744,-0.040956917898657956,-0.10490276400766228,0.01,143.88,0.24592972429302667,-0.015557671528159697,1.9486622326468854,0.0,6,0.0,0.5048343445378151,13,-0.3293519383857136,0.4451174392465145,110592,-0.04108044669113231,0.0,0.0,-0.005891927083333388,0.0,1.9999526399835323,0.0,0.0,0.2,0.933077335357666,-36.88702602386475,1.000225305557251,938.4471557617187,0.007904154,163.7560272216797,0.00029976959999999996,0.061376953125,39065,-0.004029168031411246,,,,,
-0.09674056683595106,0.0,0.0,0.11046006944444445,0.0,0.0,0.18541124131944442,0.0,7900,0.567763483403711,0.0,0.7,-0.3985317873864816,-0.07071810407015883,0.0,0.0,-0.0017235671592884523,-18.30205005,0.0,0.0,-0.04764677435915131,-0.45903085144341266,-0.5175975790799349,0.0,0.0,0.0,0.0,0.0,0.0,-0.06726187867077893,-0.045075117200514075,-0.10340533672366142,0.01,155.86,0.2519311731573968,-0.016556453824377274,1.9877557147563865,0.0,7,0.0,0.5049160258460678,16,-0.33860503860903146,0.4362642512958546,129024,-0.04002053889150052,0.0,0.0,-0.005653211805555606,0.0,1.9999637091463005,0.0,0.0,0.2,0.919771134853363,-36.89078636169434,1.0003641843795776,613.8124046325684,0.010583988,103.27229309082031,0.00029972352,0.0909912109375,39069,-0.006133346719434485,,,,,
-0.0962157859772853,0.0,0.0,0.10313585069444445,0.0,0.0,0.19482421875,0.0,7704,0.5214182895777274,0.0,0.7,-0.38111889084420864,-0.0806071522599526,0.0,0.0,-0.006193440693212093,-27.25597125,0.0,0.0,-0.052602469232638414,-0.479672824134604,-0.5192779721275463,0.0,0.0,0.0,0.0,0.0,0.0,-0.0684496354188333,-0.04218942295944998,-0.10212248490665791,0.01,153.19,0.2535277955001878,-0.015606375447423123,1.8911463559516062,0.0,8,-0.00011391406611581764,0.5051501881252765,19,-0.3196541952284042,0.40568262607818467,147456,-0.03921632310227551,0.0,0.0,-0.005729166666666718,0.0,1.9999637162458375,0.0,0.0,0.2,0.8939762711524963,-36.893195724487306,1.0003974437713623,583.6718170166016,0.011485088,97.88920593261719,0.00029967744,0.1195556640625,39073,-0.004421350103802979,,,,,
-0.09599603119672862,0.0,0.0,0.1062282986111111,0.0,0.0,0.19227430555555555,0.0,7537,0.5088186897444599,0.0,0.7,-0.3846674727522887,-0.07747068263082042,0.0,0.0,-0.0027558704288312055,-22.595512359999997,0.0,0.0,-0.05222983138398375,-0.47390650750714847,-0.4931572484601714,0.0,0.0,0.0,0.0,0.0,0.0,-0.06883700597012843,-0.04245587965966378,-0.1069109316567635,0.01,143.82,0.25557294460534935,-0.015592068757721992,1.9118767008770599,0.0,9,-1.0453430371120026e-05,0.5051498003424765,22,-0.31121390145684696,0.3563814916042889,165888,-0.035352100635376436,0.0,0.0,-0.005577256944444494,0.0,1.9999604056111489,0.0,0.0,0.2,0.8794589042663574,-36.89197616577148,1.0004278421401978,525.831485748291,0.013046542,98.44445037841797,0.00029963136,0.129443359375,39077,-0.0024176033097319306,,,,,
-0.0961995505952301,0.0,0.0,0.0862087673611111,0.0,0.0,0.18372938368055555,0.0,7371,0.496822793574264,0.0,0.7,-0.3795314222189188,-0.06919473404523736,0.0,0.0,-0.0022638616300410704,-19.442628069999998,0.0,0.0,-0.04443355045237837,-0.46076338159976654,-0.52556099233933,0.0,0.0,0.0,0.0,0.0,0.0,-0.0674101181800807,-0.042327156362083763,-0.09746654042905824,0.01,152.53,0.28219906388546834,-0.01598856703154175,1.9417201593308147,0.0,10,0.0,0.5052291178125995,25,-0.3150690972478316,0.3447768739291046,184320,-0.03624793749642179,0.0,0.0,-0.0055338541666667155,0.0,1.9999675331798454,0.0,0.0,0.2,0.8703572154045105,-36.9004207611084,1.0014262199401855,257.5612922668457,0.020164456,42.59325408935547,0.00029958527999999996,0.15289306640625,39081,-0.003845491830725223,,,,,
