curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/assist_pen,reward_terms/clearance,reward_terms/torque,reward_terms/stance,reward_terms/action_rate,reward_terms/residual,reward_terms/stop,reward_terms/time,reward_terms/height,reward_terms/foot_slip,reward_terms/hip_roll,curriculum/ctrl_jitter_ms,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/stance_time,reward_terms/vz,curriculum/stance_ratio,time/time_elapsed,reward_terms/alive,time/total_timesteps,reward_terms/air_time,reward_terms/lat_vel,reward_terms/energy,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/upright,reward_terms/fwd_speed,time/iterations,curriculum/eff_scale,reward_terms/motor_vel,reward_terms/ang_xy,reward_terms/phase_contact,time/fps,reward_terms/coef_rate,rollout/ep_len_mean,train/learning_rate,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/std,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
0.0,0.01,0.0,0.013088588007618366,0.0,-0.002673148959446857,-0.12466069402442143,-0.10409151097550504,0.0,-0.5,-0.01826457375319901,-0.5536987197831543,-0.1137933300233227,0.0,-0.26686550330882747,-170.73296215789475,-0.07946589069777271,-0.13355817951440255,0.65,5,0.0,18432,1.085058708364765e-06,-2.4298092555251643e-08,0.0,25.0,0.0,-0.4030805151058435,-0.09660384234281852,1,0.0,0.0,-0.20279378518812097,-0.678338799794182,3107,-1.5429401423186802,283.57894736842104,,,,,,,,,,,
0.0,0.01,0.0,0.027969252705690832,-4.022161120952905e-05,-0.0006843646305057067,-0.1327519370890281,-0.10023439207580102,0.0,-0.5,-0.0396613547322237,-0.6298807312637223,-0.11850573608048148,0.0,-0.3601918278095746,-158.81744290999998,-0.013110720437705621,-0.20901987135231462,0.649982336,12,0.0,36864,3.1466964477052293e-05,-3.223027121547435e-08,-3.132381765706768e-06,25.01152,0.0,-0.4003006293621513,0.44453304715553454,2,7.68e-05,-3.4811689204777046e-07,-0.26680418702056125,-0.6093856533484209,3023,-1.4748313993623787,237.25,0.000299995392,43.68857955932617,177.27770919799804,0.2,-34.065873527526854,6296,0.008024309,1.000842571258545,0.05467529296875,-0.005510198837146163,0.7445428371429443
0.0,0.01,0.0,0.02627869431709809,-7.938142105198353e-05,-0.0004000417096473794,-0.1338253566363385,-0.09991882874174263,0.0,-0.5,-0.03889082207596142,-0.6210881001126723,-0.10011877316541319,0.0,-0.34694410647156104,-161.08874421,-0.028963823130147323,-0.17257482466599366,0.6499646720000001,16,0.0,55296,4.340263937289516e-06,-3.3255489194964435e-08,-5.95903015865616e-06,25.02304,0.0,-0.4220886593650474,0.4238278557517142,3,0.0001536,-6.587276546426933e-07,-0.2726730694715689,-0.6200145936561154,3402,-1.4398821081494595,248.02,0.000299990784,28.850582122802734,99.66033744812012,0.2,-34.06018333435058,6300,0.009822958,1.0006420612335205,0.0636474609375,-0.011392384179634974,0.838149905204773
0.0,0.01,0.0,0.02551680538911219,-0.00012016366839441028,-0.00014229253115186676,-0.13323531286236076,-0.10026656775342205,0.0,-0.5,-0.038516916047383276,-0.6823674370053072,-0.09391597078421575,0.0,-0.33924839712174654,-161.62449249,-0.032945611955559194,-0.1878072917100888,0.649947008,20,0.0,73728,1.08506646938622e-05,-3.340409035978528e-08,-9.331007247004957e-06,25.03456,0.0,-0.3662943077931369,0.4432914723002704,4,0.0002304,-1.046142094046752e-06,-0.2749852254792516,-0.6175015434427129,3636,-1.440501135612591,251.4,0.00029998617599999997,22.13258171081543,88.04457550048828,0.2,-34.06462631225586,6304,0.008913549,1.000921607017517,0.1272216796875,-0.007974951877258718,0.8527727127075195
0.0,0.01,0.0,0.02251035342375769,-0.000155648712513376,-0.00027856762886105933,-0.13177255466264942,-0.10038171446969496,0.0,-0.5,-0.03758092682506491,-0.6166974673812476,-0.09166564529975527,0.0,-0.3268432071013258,-166.93781234,-0.03971087920945138,-0.16865458918062767,0.649929344,24,0.0,92160,3.0924410869677864e-05,-3.1918465010497896e-08,-1.1659839794939052e-05,25.04608,0.0,-0.4298441084180457,0.27961095486792964,5,0.0003072,-1.3184933527609394e-06,-0.26924377708431824,-0.635168819985024,3791,-1.4458182705324634,272.05,0.000299981568,17.027755737304688,63.47572631835938,0.2,-34.06573276519775,6308,0.0104940925,1.0012085437774658,0.1049072265625,-0.014172736438922584,0.9050281047821045
0.0,0.01,0.0,0.02170108681516755,-0.00019309702905231842,-0.00032535893392292807,-0.1306783159360313,-0.10076390102859183,0.0,-0.5,-0.035949396395845816,-0.6723889557984712,-0.08159099005964436,0.0,-0.3364126860062009,-167.39113974000003,-0.03279492351026016,-0.16253132724612876,0.64991168,28,0.0,110592,0.0,-3.144543544923506e-08,-1.4915634496095377e-05,25.0576,0.0,-0.39187962049345265,0.2826827267567015,6,0.000384,-1.6881999821172388e-06,-0.2880681053488757,-0.6316945347899003,3906,-1.44318531567964,273.54,0.00029997696,18.33794593811035,57.21090526580811,0.2,-34.06944904327393,6312,0.01075512,1.0012638568878174,0.113623046875,-0.012221680441871285,0.919539213180542
0.0,0.01,0.0,0.02246537859871002,-0.0002283398110558231,-2.9466317198240434e-05,-0.13264621433756701,-0.1005511940853885,0.0,-0.5,-0.032878608666679514,-0.6401980966119064,-0.07672099161546586,0.0,-0.3197537689092389,-170.00263006,-0.06116169710326681,-0.15703424764532498,0.6498940160000001,32,0.0,129024,1.356333571796616e-05,-3.113989218788715e-08,-1.7184522912761638e-05,25.06912,0.0,-0.4312595694691182,0.14326111924057944,7,0.0004608,-1.9470106088769617e-06,-0.27355818685432315,-0.6342314533959778,3990,-1.4422315141095385,284.13,0.00029997235199999997,11.234705924987793,40.9838041305542,0.2,-34.06635494232178,6316,0.011014241,1.0011404752731323,0.086376953125,-0.014980139629915356,0.938186526298523
0.0,0.01,0.0,0.01574429082625499,-0.0002616052180433957,-1.7154989301965864e-05,-0.13217539701928085,-0.1008576967258656,0.0,-0.5,-0.02762613238219976,-0.61589246792165,-0.0746865507988515,0.0,-0.2939082077032464,-169.9204378,-0.06968505245943864,-0.1346901297114901,0.649876352,36,0.0,147456,6.510391055295865e-06,-3.052747944751714e-08,-1.9190593059747566e-05,25.08064,0.0,-0.44761873115869666,-0.03813744402819319,8,0.0005376,-2.1888395274721904e-06,-0.2607577326397204,-0.650227254630964,4056,-1.4620930802409924,283.08,0.000299967744,10.904840469360352,41.210054111480716,0.2,-34.07069110870361,6320,0.012126873,1.0015108585357666,0.13740234375,-0.013495713681913912,0.9327408671379089
0.0,0.01,0.0,0.017156656438545862,-0.0002998910409818948,-0.0005226397437754349,-0.131509988400775,-0.10095512418399513,0.0,-0.5,-0.025243924388226514,-0.6105434695417713,-0.0828750648579384,0.0,-0.28122634565244536,-168.46855874999997,-0.042812122415246755,-0.11671639778232287,0.649858688,40,0.0,165888,8.137983968481421e-06,-2.985696946309256e-08,-2.223265008715517e-05,25.09216,0.0,-0.4571342773900585,-0.18230379697272897,9,0.0006144,-2.5080172193907776e-06,-0.2617813441006945,-0.6690571541888175,4113,-1.487242861427287,276.89,0.000299963136,10.00524616241455,38.21834955215454,0.2,-34.072505187988284,6324,0.011575559,1.0015740394592285,0.13875732421875,-0.01397236271877773,0.9283430576324463
0.0,0.01,0.0,0.014964905270015677,-0.00032194356591017527,-0.0014555807444792154,-0.1314209137218874,-0.10120506423086446,0.0,-0.5,-0.021438040468613282,-0.5871947294864314,-0.0766926058627302,0.0,-0.2906290467891129,-170.77072907,-0.06293631756691159,-0.1271084027711204,0.649841024,44,0.0,184320,0.0,-2.842688567950356e-08,-2.466381570753711e-05,25.10368,0.0,-0.4406352610319906,-0.2176798955895869,10,0.0006912,-2.791577326170342e-06,-0.2571359354090473,-0.6627163319273873,4156,-1.488902338509299,285.38,0.00029995852799999997,8.62337875366211,31.424876403808593,0.2,-34.072218132019046,6328,0.014591306,1.0017396211624146,0.17337646484375,-0.014587758283596486,0.9273327589035034
