rollout/ep_rew_mean,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/vz,reward_terms/residual,reward_terms/coef_rate,time/time_elapsed,reward_terms/foot_slip,reward_terms/clearance,reward_terms/action_rate,ankle/ankle_defl_peak,reward_terms/torque,ankle/ankle_spring_trq_peak,reward_terms/upright,curriculum/ctrl_drop_prob,reward_terms/phase_contact,reward_terms/stance,reward_terms/energy,time/total_timesteps,reward_terms/time,ankle/ankle_spring_energy_peak,reward_terms/duty_sym,reward_terms/stance_time,reward_terms/assist_pen,reward_terms/step_rate,curriculum/eff_scale,reward_terms/lat_vel,reward_terms/height,curriculum/stance_ratio,time/fps,time/iterations,reward_terms/air_time,reward_terms/stop,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/alive,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/ang_xy,reward_terms/motor_vel,reward_terms/angmom,reward_terms/foot_ahead,reward_terms/residual_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_fraction
-148.49398244000002,25.1152,0.0,-0.10255009979916174,-0.0605502092885423,-1.5802215232512702,50,-0.22728009265631732,0.009390550144269543,-0.2143305065499814,0.5194146696232196,-3.3556001797731874e-05,0.0,-0.1262875261624047,0.0,-0.5965450003818417,-0.0012816306929687232,-9.976475676233613e-07,202752,-0.5,0.0,0.0,-0.025954621897350687,0.0,-0.002756076388888899,0.000768,-2.1528712799074796e-09,-0.026467427762689233,0.6498233600000001,3980,11,7.812482848142584e-05,0.0,0.01,0.0,0.0,-0.0036579481358991494,194.71,-1.2802440530738706,-0.0514154349814809,-8.844596735440057e-08,-0.17086667291503324,0.0,0.0,0.6865880489349365,40,349.07860565185547,-34.07645874023437,1.0019588470458984,0.004864237,0.2,0.00029990784,-0.008446957054547965,158.89059448242188,0.0170654296875
-148.70708532999998,25.12672,0.0,-0.1161462321826825,-0.06028082573709513,-1.5829845799742401,55,-0.22932409313822946,0.009765808498542887,-0.21404449734889053,0.5186277682828196,-3.431665550575945e-05,0.0,-0.15491153961441373,0.0,-0.6061180449063016,-0.004330601587826971,-1.0956166154435242e-06,221184,-0.5,0.0,-1.667598848544704e-06,-0.027267820528423827,0.0,-0.0025933159722222295,0.0008448,-2.054277451827948e-09,-0.030155133282743978,0.649805696,3982,12,9.11456623321606e-05,0.0,0.01,0.0,0.0,-0.004369730850444657,195.62,-1.3466300190465987,-0.0593121925333744,-1.0010639282536078e-07,-0.19707209751603544,0.0,0.0,0.6549503803253174,44,330.975651550293,-34.073724555969235,1.0015815496444702,0.0041745966,0.2,0.000299898624,-0.0077317525690887125,135.4476318359375,0.01082763671875
-149.0215018,25.13824,0.0,-0.10535064560080193,-0.0608302762896603,-1.5792103389907055,60,-0.2577015029032359,0.009343910675037224,-0.21382777011942047,0.518557611636966,-3.841440397617811e-05,0.0,-0.14420562783368523,0.0,-0.6068497177472659,-0.004709652661722332,-1.1995220199669098e-06,239616,-0.5,0.0,0.0,-0.024798890024410665,0.0,-0.0024848090277777837,0.0009216,-2.078940876004379e-09,-0.026898106410264227,0.649788032,3987,13,8.300763632481296e-05,0.0,0.01,0.0,0.0,-0.004843316312614849,196.89,-1.2701656078878583,-0.05583549082885501,-1.089120234623618e-07,-0.18054847680764186,0.0,0.0,0.6188793182373047,48,310.2419204711914,-34.06816101074219,1.0011882781982422,0.005169007,0.2,0.00029988940799999996,-0.008490815450204536,144.01258850097656,0.019140625
-149.16319771,25.14976,0.0,-0.11411352733770141,-0.06044750622220001,-1.585598220687193,64,-0.23409300210413506,0.009944883888996607,-0.21213248949416813,0.5191186250317266,-4.106020587356373e-05,0.0,-0.15293791080503677,0.0,-0.6002259915444355,-0.0037854811013790573,-1.2856380104781281e-06,258048,-0.5,0.0,0.0,-0.026875837277556356,0.0,-0.0024848090277777837,0.0009984,-2.185482335596904e-09,-0.0296653536462091,0.649770368,3992,14,8.409269503317773e-05,0.0,0.01,0.0,0.0,-0.004383567810048567,197.37,-1.334492992313939,-0.05575363769371918,-1.1704431445401524e-07,-0.1943581465303635,0.0,0.0,0.581255316734314,52,290.96847381591795,-34.06877269744873,1.0013636350631714,0.0041411817,0.2,0.000299880192,-0.0077542065526358785,127.9319076538086,0.01138916015625
-147.55750638,25.16128,0.0,-0.08735448200669048,-0.06037481581911061,-1.5840469938310626,69,-0.24321376401394815,0.007954092204796906,-0.21136077624446842,0.5194037305221125,-4.6006339832060746e-05,0.0,-0.10241472174580415,0.0,-0.6174807123098489,-0.0039678022853632715,-1.4517255712750838e-06,276480,-0.5,0.0,0.0,-0.02372752053068123,0.0,-0.00259331597222223,0.0010752,-2.0375900445965756e-09,-0.022241664837605136,0.6497527040000001,3998,15,4.394519298026959e-05,0.0,0.01,0.0,0.0,-0.0052787296668431434,190.94,-1.2296807951595754,-0.046948697985966716,-1.3087938410992662e-07,-0.14607222559462882,0.0,0.0,0.5337427854537964,56,263.11064529418945,-34.06951961517334,1.0013412237167358,0.0036167663,0.2,0.000299870976,-0.007088862638920545,109.51107025146484,0.00887451171875
-148.66564132,25.1728,0.0,-0.12012486595759746,-0.060534406820683846,-1.5798801311862951,73,-0.22807182682246807,0.010938582817707277,-0.2142065375407757,0.5193455586525438,-4.612997851351867e-05,0.0,-0.15957673617840334,0.0,-0.5978274107853908,-0.004877355399941088,-1.4276982891717403e-06,294912,-0.5,0.0,0.0,-0.027401828656568088,0.0,-0.002647569444444452,0.001152,-2.1924213281639027e-09,-0.03136369868284935,0.64973504,3999,16,0.00012858048042592904,0.0,0.01,0.0,0.0,-0.0047597041084851,195.47,-1.3403828967409945,-0.06093354995206809,-1.3512341819607735e-07,-0.1988647436541341,0.0,0.0,0.4563602805137634,60,262.13710708618163,-34.06623554229736,1.0011321306228638,0.005121005,0.2,0.00029986176,-0.008299780811648816,114.20354461669922,0.01761474609375
-148.61353755,25.18432,0.0,-0.10011436540925966,-0.060995397342417906,-1.5745858718647403,78,-0.24169533109172614,0.01079083546918869,-0.21456773910511368,0.5189966955548423,-5.195072435706871e-05,0.0,-0.12903219811045974,0.0,-0.5969569466824386,-0.003130418834195133,-1.6237626948677785e-06,313344,-0.5,0.0,0.0,-0.025822649511004176,0.0,-0.00259331597222223,0.0012288,-1.9955880685961322e-09,-0.025077962642344562,0.649717376,4002,17,0.00011610215490994354,0.0,0.01,0.0,0.0,-0.004540773962468769,195.31,-1.2596531073784354,-0.05451037153801382,-1.470494940789908e-07,-0.16932636248604493,0.0,0.0,0.38966089487075806,64,242.6461051940918,-34.07390232086182,1.0018749237060547,0.005925135,0.2,0.000299852544,-0.008962878817692399,113.23863983154297,0.0224365234375
-149.13419414,25.19584,0.0,-0.11857129666352427,-0.060558695369306435,-1.581000261094575,83,-0.20940143728317523,0.011588371360327678,-0.21331617163618824,0.518761862591414,-5.355754140020229e-05,0.0,-0.16440158753878287,0.0,-0.5851842356063333,-0.0031434856322397984,-1.7619282590963351e-06,331776,-0.5,0.0,0.0,-0.029120982241389964,0.0,-0.002690972222222231,0.0013056,-1.9454014322479203e-09,-0.030146784422913395,0.649699712,3995,18,8.73478517557184e-05,0.0,0.01,0.0,0.0,-0.004904746368350974,197.39,-1.3219085771305128,-0.06222921057996479,-1.5855926709133667e-07,-0.1966112296101244,0.0,0.0,0.3339484930038452,68,219.26849670410155,-34.080444526672366,1.0023527145385742,0.0059118103,0.2,0.000299843328,-0.009354852396063507,108.97142028808594,0.02333984375
-146.73095857,25.20736,0.0,-0.09767367864932457,-0.06049285862752106,-1.5907642468548575,87,-0.21559087218049383,0.010875401318319874,-0.21259938397598782,0.5194442183729528,-5.878250154492813e-05,0.0,-0.12003543727771548,0.0,-0.5981172616973431,-0.0011469571453055472,-1.8817524235122883e-06,350208,-0.5,0.0,0.0,-0.02248945571126468,0.0,-0.0024848090277777833,0.0013824,-2.2969996761149503e-09,-0.023986762767509093,0.6496820480000001,3993,19,5.750850929568211e-05,0.0,0.01,0.0,0.0,-0.003751953282884456,187.72,-1.2336659452642789,-0.05521370522236016,-1.7230487203007856e-07,-0.1563880365881215,0.0,0.0,0.28890055418014526,72,205.81766815185546,-34.07888813018799,1.0020554065704346,0.0056102527,0.2,0.000299834112,-0.008608596515841782,96.71647644042969,0.0220947265625
-146.83087211,25.21888,0.0,-0.08395490016941838,-0.06035382703502368,-1.5861881702885101,92,-0.2149600196170301,0.00950234245481955,-0.21066457755960336,0.5177869724233405,-6.346805272801088e-05,0.0,-0.09726737064595509,0.0,-0.5936675422237702,-0.000991532253025501,-1.9184041028663724e-06,368640,-0.5,0.0,0.0,-0.02328508553586693,0.0,-0.002506510416666673,0.0014592,-1.988482806884693e-09,-0.020775986672044812,0.649664384,3997,20,0.0001839189628501319,0.0,0.01,0.0,0.0,-0.0041877572535393235,188.06,-1.1827769861416084,-0.04411183799778523,-1.7448609614270673e-07,-0.13455850647989698,0.0,0.0,0.2620478868484497,76,203.84608535766603,-34.07707805633545,1.0020989179611206,0.00663542,0.2,0.00029982489599999996,-0.010104061337187886,94.61166381835938,0.02991943359375
